Random seed, 10
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.11133344216006143, 0.0, 0.0, -0.08443070948123932
validating, -1, 0.0772580087184906, -0.02740110456943512, 0.0, -0.02740110456943512
testing, -1, 0.11050665527582168, -0.06060993667143173, 0.0, -0.06060993667143173
training, 0, 1.037103053501674, 0.0, 0.0, -1.9624783992767334
validating, 0, 1.0015151143074035, -1.8490805268287658, 0.0, -1.9595744609832764
testing, 0, 1.098224115371704, -1.7637748420238495, 0.0, -1.9413982510566712
training, 1, 0.7177843255656106, -0.6212169905367363, 0.0, -0.6212363839149475
validating, 1, 0.4772365093231201, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 1, 0.5671017944812775, -0.06060993667143173, 0.0, -0.06060993667143173
training, 2, 0.47577005284173146, -0.08443077721067008, 0.0, -0.08443070948123932
validating, 2, 0.408143675327301, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 2, 0.5119702517986298, -0.06060993667143173, 0.0, -0.06060993667143173
training, 3, 0.4430457132203238, -0.0844310438361659, 0.0, -0.08443070948123932
validating, 3, 0.3940658926963806, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 3, 0.5018901824951172, -0.06060993667143173, 0.0, -0.06060993667143173
training, 4, 0.4361542591026851, -0.0844308838880546, 0.0, -0.08443070948123932
validating, 4, 0.39036635160446165, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 4, 0.4993902802467346, -0.06060993667143173, 0.0, -0.06060993667143173
training, 5, 0.43422047666140967, -0.08443096959952173, 0.0, -0.08443071693181992
validating, 5, 0.38934959173202516, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 5, 0.4987146735191345, -0.06060993667143173, 0.0, -0.06060993667143173
training, 6, 0.4333755876336779, -0.0844326908613948, 0.0, -0.08443070948123932
validating, 6, 0.38832137584686277, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 6, 0.498036128282547, -0.06060993667143173, 0.0, -0.06060993667143173
training, 7, 0.43273595997265407, -0.08443095774035965, 0.0, -0.08443071693181992
validating, 7, 0.3878710031509399, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 7, 0.4977407932281494, -0.06060993667143173, 0.0, -0.06060993667143173
training, 8, 0.43240019508770533, -0.08443094149604298, 0.0, -0.08443071693181992
validating, 8, 0.3874691367149353, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 8, 0.49747673869132997, -0.06060993667143173, 0.0, -0.06060993667143173
