Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.24303366797310966, 0.0, 0.0, -1.334540843963623
validating, -1, 0.22207279205322267, -1.6705397605895995, 0.0, -1.6370433688163757
testing, -1, 0.22089943885803223, -1.3373017281293869, 0.0, -1.3373068749904633
training, 0, 3.002590503011431, 0.0, 0.0, -3.1962838172912598
validating, 0, 2.9602063655853272, -3.2297383546829224, 0.0, -3.181418228149414
testing, 0, 2.895835852622986, -3.1878466248512267, 0.0, -3.187766063213348
training, 1, 4.819083860942295, -3.2001507895333425, 0.0, -3.1972320079803467
validating, 1, 7.226812744140625, -3.181418228149414, 0.0, -3.181418228149414
testing, 1, 6.806071257591247, -3.190372276306152, 0.0, -3.190372276306152
training, 2, 7.897404132570539, -3.1972316844122752, 0.0, -3.1972315311431885
validating, 2, 9.164509963989257, -3.181418228149414, 0.0, -3.181418228149414
testing, 2, 8.614727759361267, -3.190372276306152, 0.0, -3.190372276306152
training, 3, 8.990066807610647, -3.1972318070275443, 0.0, -3.1972315311431885
validating, 3, 9.741631984710693, -3.181418228149414, 0.0, -3.181418228149414
testing, 3, 9.154272985458373, -3.190372276306152, 0.0, -3.190372276306152
training, 4, 9.30489570753915, -3.1972325222832816, 0.0, -3.1972312927246094
validating, 4, 9.895577239990235, -3.181418228149414, 0.0, -3.181418228149414
testing, 4, 9.29797854423523, -3.190372276306152, 0.0, -3.190372276306152
training, 5, 9.382865721838815, -3.1972329923084803, 0.0, -3.1972312927246094
validating, 5, 9.928525829315186, -3.181418228149414, 0.0, -3.181418228149414
testing, 5, 9.32927885055542, -3.190372276306152, 0.0, -3.190372276306152
training, 6, 9.395492328916276, -3.1972332239151, 0.0, -3.1972317695617676
validating, 6, 9.927850818634033, -3.181418228149414, 0.0, -3.181418228149414
testing, 6, 9.33067283630371, -3.190372276306152, 0.0, -3.190372276306152
training, 7, 9.387699678965978, -3.1972329684666225, 0.0, -3.1972315311431885
validating, 7, 9.908411693572997, -3.181418228149414, 0.0, -3.181418228149414
testing, 7, 9.314557838439942, -3.190372276306152, 0.0, -3.190372276306152
training, 8, 9.374336045128958, -3.197231943266732, 0.0, -3.1972315311431885
validating, 8, 9.898901462554932, -3.181418228149414, 0.0, -3.181418228149414
testing, 8, 9.306517171859742, -3.190372276306152, 0.0, -3.190372276306152
training, 9, 9.597185455049788, -3.1972320454461234, 0.0, -3.1972315311431885
validating, 9, 11.206653833389282, -3.181418228149414, 0.0, -3.181418228149414
testing, 9, 10.528342151641846, -3.190372276306152, 0.0, -3.190372276306152
training, 10, 11.286786311013358, -3.197231425557818, 0.0, -3.1972320079803467
validating, 10, 12.533046245574951, -3.181418228149414, 0.0, -3.181418228149414
testing, 10, 11.772830247879028, -3.190372276306152, 0.0, -3.190372276306152
training, 11, 12.020053836277553, -3.1972340754100252, 0.0, -3.1972317695617676
validating, 11, 12.874873065948487, -3.181418228149414, 0.0, -3.181418228149414
testing, 11, 12.094487047195434, -3.190372276306152, 0.0, -3.190372276306152
training, 12, 12.200827475956508, -3.197233210291181, 0.0, -3.1972315311431885
validating, 12, 12.967618083953857, -3.181418228149414, 0.0, -3.181418228149414
testing, 12, 12.181647872924804, -3.190372276306152, 0.0, -3.190372276306152
training, 13, 12.410185200827462, -3.1972354786736625, 0.0, -3.1972315311431885
validating, 13, 13.278372669219971, -3.181418228149414, 0.0, -3.181418228149414
testing, 13, 12.473873138427734, -3.190372276306152, 0.0, -3.190372276306152
training, 14, 12.615724209376744, -3.197231718472072, 0.0, -3.1972320079803467
validating, 14, 13.552467823028564, -3.181418228149414, 0.0, -3.181418228149414
testing, 14, 12.731568574905396, -3.190372276306152, 0.0, -3.190372276306152
training, 15, 12.875149386269706, -3.197230461665562, 0.0, -3.1972312927246094
validating, 15, 13.71730089187622, -3.181418228149414, 0.0, -3.181418228149414
testing, 15, 12.886718559265137, -3.190372276306152, 0.0, -3.190372276306152
training, 16, 12.819592802865165, -3.19723835672651, 0.0, -3.1972320079803467
validating, 16, 13.46321153640747, -3.181418228149414, 0.0, -3.181418228149414
testing, 16, 12.647618675231934, -3.190372276306152, 0.0, -3.190372276306152
training, 17, 12.665036882672991, -3.1972314051219395, 0.0, -3.1972312927246094
validating, 17, 13.391601657867431, -3.181418228149414, 0.0, -3.181418228149414
testing, 17, 12.580187368392945, -3.190372276306152, 0.0, -3.190372276306152
training, 18, 12.628797967093332, -3.1972320011683872, 0.0, -3.1972315311431885
validating, 18, 13.376562595367432, -3.181418228149414, 0.0, -3.181418228149414
testing, 18, 12.565995454788208, -3.190372276306152, 0.0, -3.190372276306152
