Random seed, 10
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.11133344216006143, 0.0, 0.0, -0.08443070948123932
validating, -1, 0.0772580087184906, -0.02740110456943512, 0.0, -0.02740110456943512
testing, -1, 0.11050665527582168, -0.06060993667143173, 0.0, -0.06060993667143173
training, 0, 1.0717765271663666, 0.0, 0.0, -2.139049530029297
validating, 0, 1.029769229888916, -1.9227728009223939, 0.0, -2.14186487197876
testing, 0, 1.145386391878128, -1.8398107826709746, 0.0, -2.1038773477077486
training, 1, 0.7259593784809113, -0.6618862948161699, 0.0, -0.6619223356246948
validating, 1, 0.4651536703109741, -0.027856256999075412, 0.0, -0.02740110456943512
testing, 1, 0.5579941272735596, -0.062189581585296236, 0.0, -0.06060993667143173
training, 2, 0.4686445014817374, -0.08443087223018365, 0.0, -0.08443070948123932
validating, 2, 0.3968618869781494, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 2, 0.5032580137252808, -0.06060993667143173, 0.0, -0.06060993667143173
training, 3, 0.43601800671645574, -0.08443086589648731, 0.0, -0.08443070948123932
validating, 3, 0.3833442091941833, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 3, 0.49418059587478635, -0.06060993667143173, 0.0, -0.06060993667143173
training, 4, 0.4297076340232577, -0.08443088860790242, 0.0, -0.08443070948123932
validating, 4, 0.3800801157951355, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 4, 0.4920940905809402, -0.06060993667143173, 0.0, -0.06060993667143173
training, 5, 0.42793794742652347, -0.08443088154331306, 0.0, -0.08443071693181992
validating, 5, 0.3791412591934204, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 5, 0.4915086507797241, -0.06060993667143173, 0.0, -0.06060993667143173
training, 6, 0.42742196364062174, -0.08443094754909071, 0.0, -0.08443070948123932
validating, 6, 0.3788016676902771, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 6, 0.49130310118198395, -0.06060993667143173, 0.0, -0.06060993667143173
training, 7, 0.42718777017933984, -0.08443093481098042, 0.0, -0.08443071693181992
validating, 7, 0.37857441902160643, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 7, 0.4911704123020172, -0.06060993667143173, 0.0, -0.06060993667143173
training, 8, 0.4271286857979638, -0.08443086959819886, 0.0, -0.08443071693181992
validating, 8, 0.38273059129714965, -0.02740110456943512, 0.0, -0.02740110456943512
testing, 8, 0.4937951147556305, -0.06060993667143173, 0.0, -0.06060993667143173
