Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.1511948789869036, 0.0, 0.0, -0.657924473285675
validating, -1, 0.16361615657806397, -0.2772675996646285, 0.0, -0.5634689562022686
testing, -1, 0.14936838150024415, -0.2858168720267713, 0.0, -0.5604163654148578
training, 0, 1.8575164113725935, 0.0, 0.0, -1.768844723701477
validating, 0, 1.8354689121246337, -2.187558889389038, 0.0, -1.71229168176651
testing, 0, 1.816760516166687, -2.2140800774097444, 0.0, -1.686575323343277
training, 1, 1.7979265485491072, 0.0, 0.0, -1.2149242162704468
validating, 1, 1.7627991676330566, -2.0085363388061523, 0.0, -1.2425195932388307
testing, 1, 1.7261443853378295, -2.031971287727356, 0.0, -1.1869643092155457
training, 2, 1.7348408562796456, 0.0, 0.0, -1.0831553936004639
validating, 2, 1.697843313217163, -1.9131197690963746, 0.0, -0.8786711990833282
testing, 2, 1.6562760472297668, -1.8473595172166823, 0.0, -0.8047361522912979
training, 3, 1.6595532519476754, 0.0, 0.0, -0.8071309328079224
validating, 3, 1.6104676723480225, -1.7161916941404343, 0.0, -0.7204950585961342
testing, 3, 1.5838888049125672, -1.5668285578489303, 0.0, -0.6601377390325069
training, 4, 1.5691900593893868, 0.0, 0.0, -0.7188082337379456
validating, 4, 1.5087704181671142, -1.0456923067569732, 0.0, -0.6171706117689609
testing, 4, 1.493456208705902, -0.9197652444243432, 0.0, -0.5874978862702847
training, 5, 1.471852571623666, 0.0, 0.0, -0.6713321805000305
validating, 5, 1.3634493827819825, -0.40652209520339966, 0.0, -0.5952003590762616
testing, 5, 1.394287145137787, -0.5543453812599182, 0.0, -0.574443831294775
training, 6, 1.3730759484427315, 0.0, 0.0, -0.6600415110588074
validating, 6, 1.2939297676086425, -0.6266459290077762, 0.0, -0.5634689562022686
testing, 6, 1.312719428539276, -0.5850964538753033, 0.0, -0.5604163654148578
training, 7, 1.3111390079770768, 0.0, 0.0, -0.6582915186882019
validating, 7, 1.2003818511962892, -0.28931588027626276, 0.0, -0.5634689562022686
testing, 7, 1.274713945388794, -0.374199150223285, 0.0, -0.5604163654148578
training, 8, 1.2737464427947998, 0.0, 0.0, -0.6582915782928467
validating, 8, 1.1609154224395752, -0.29128498025238514, 0.0, -0.5634689562022686
testing, 8, 1.2456368803977966, -0.35761777544394135, 0.0, -0.5604163654148578
training, 9, 1.2450535331453596, 0.0, 0.0, -0.6582915782928467
validating, 9, 1.1421204805374146, -0.28905396405607464, 0.0, -0.5782041363418102
testing, 9, 1.2193772435188293, -0.354856435302645, 0.0, -0.5645417965948581
