Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.1511948789869036, 0.0, 0.0, -0.657924473285675
validating, -1, 0.16361615657806397, -0.2772675996646285, 0.0, -0.5634689562022686
testing, -1, 0.14936838150024415, -0.2858168720267713, 0.0, -0.5604163654148578
training, 0, 1.8562987531934465, 0.0, 0.0, -1.759602665901184
validating, 0, 1.8349971294403076, -2.18467001914978, 0.0, -1.7030479192733765
testing, 0, 1.8156031370162964, -2.2115694880485535, 0.0, -1.6796007454395294
training, 1, 1.9040749481746129, -0.9828149156911032, 0.0, -0.9828085899353027
validating, 1, 2.1985785007476806, -1.2217898905277251, 0.0, -0.5634689562022686
testing, 1, 2.0650903463363646, -1.1406347304582596, 0.0, -0.5604163654148578
training, 2, 2.312945577076503, -0.6582918206430234, 0.0, -0.6582916378974915
validating, 2, 2.5631572723388674, -0.9731261044740677, 0.0, -0.5634689562022686
testing, 2, 2.3920729398727416, -0.9163584321737289, 0.0, -0.5604163654148578
training, 3, 2.526179756437029, -0.6582916636108459, 0.0, -0.6582915782928467
validating, 3, 2.6794876575469972, -0.9082015246152878, 0.0, -0.5634689562022686
testing, 3, 2.497744584083557, -0.8605059526860714, 0.0, -0.5604163654148578
training, 4, 2.5927232946668353, -0.6582916502519408, 0.0, -0.6582915782928467
validating, 4, 2.712087631225586, -0.8942774951457977, 0.0, -0.5634689562022686
testing, 4, 2.5271232604980467, -0.8451080724596978, 0.0, -0.5604163654148578
training, 5, 2.6108561379568918, -0.6582916352652582, 0.0, -0.6582915782928467
validating, 5, 2.7207972049713134, -0.8902879327535629, 0.0, -0.5634689562022686
testing, 5, 2.534986901283264, -0.8413590118288994, 0.0, -0.5604163654148578
training, 6, 2.6095858301435197, -0.6582916699534076, 0.0, -0.6582915782928467
validating, 6, 2.710614633560181, -0.8948323994874954, 0.0, -0.5634689562022686
testing, 6, 2.5259077072143556, -0.84576261267066, 0.0, -0.5604163654148578
training, 7, 2.603765262876238, -0.6582916477337931, 0.0, -0.6582915782928467
validating, 7, 2.7081013679504395, -0.8960315972566605, 0.0, -0.5634689562022686
testing, 7, 2.5236775398254396, -0.8466490276157856, 0.0, -0.5604163654148578
training, 8, 2.6025915895189558, -0.6582916915975033, 0.0, -0.6582915186882019
validating, 8, 2.707610273361206, -0.8964110136032104, 0.0, -0.5634689562022686
testing, 8, 2.5232362508773805, -0.8466766253113747, 0.0, -0.5604163654148578
training, 9, 2.602268498284476, -0.6582916830561978, 0.0, -0.6582914590835571
validating, 9, 2.7073065757751467, -0.8971107721328735, 0.0, -0.5634689562022686
