Random seed, 7
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.09329094631331307, 0.0, 0.0, -1.1364840269088745
validating, -1, 0.08936688303947449, -1.0208490520715714, 0.0, -1.056146678328514
testing, -1, 0.08347769975662231, -1.267635241150856, 0.0, -1.1811642318964004
training, 0, 0.9821445175579616, 0.0, 0.0, -1.292052149772644
validating, 0, 0.9638903856277465, -1.3455012679100036, 0.0, -1.2355375826358794
testing, 0, 0.9210222959518433, -1.3942565441131591, 0.0, -1.3286353826522828
training, 1, 0.883139204127448, 0.0, 0.0, -1.293424129486084
validating, 1, 0.7926365017890931, -1.3181443095207215, 0.0, -1.2358538389205933
testing, 1, 0.7195232331752777, -1.3629327535629272, 0.0, -1.3245808124542235
training, 2, 0.6927571628774916, 0.0, 0.0, -1.2976335287094116
validating, 2, 0.6402798652648926, -1.2891308963298798, 0.0, -1.2432916402816772
testing, 2, 0.5561309158802032, -1.32677503824234, 0.0, -1.3200968623161315
training, 3, 0.536942058801651, 0.0, 0.0, -1.309322476387024
validating, 3, 0.5163347244262695, -1.2264788031578064, 0.0, -1.2840888261795045
testing, 3, 0.4429778754711151, -1.257977342605591, 0.0, -1.3392349302768707
training, 4, 0.43060984696660726, 0.0, 0.0, -1.3396408557891846
validating, 4, 0.444117534160614, -1.225644016265869, 0.0, -1.3278929710388183
testing, 4, 0.3890672981739044, -1.2517148554325104, 0.0, -1.3628650903701782
training, 5, 0.37391441464424136, 0.0, 0.0, -1.3576035499572754
validating, 5, 0.4108519911766052, -1.2410771012306214, 0.0, -1.3539952158927917
testing, 5, 0.3674068212509155, -1.2526927173137665, 0.0, -1.3697203338146209
training, 6, 0.36008780768939425, 0.0, 0.0, -1.3518683910369873
validating, 6, 0.4002215266227722, -1.2322986841201782, 0.0, -1.3475398659706115
testing, 6, 0.3559556841850281, -1.2410416901111603, 0.0, -1.3573819518089294
training, 7, 0.34164988228252957, 0.0, 0.0, -1.3405641317367554
validating, 7, 0.41243548393249513, -1.2119343638420106, 0.0, -1.3242286682128905
testing, 7, 0.36665337681770327, -1.2203604936599732, 0.0, -1.3310606360435486
