Random seed, 5
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.3863605533327375, 0.0, 0.0, -2.081380605697632
validating, -1, 0.39057967662811277, -1.9011551022529602, 0.0, -2.0856364369392395
testing, -1, 0.3974637031555176, -1.990117645263672, 0.0, -2.1327126741409304
training, 0, 1.6530087981905257, 0.0, 0.0, -2.5720763206481934
validating, 0, 1.578095555305481, -2.7657406091690064, 0.0, -2.623005771636963
testing, 0, 1.6197393178939818, -2.8498479247093202, 0.0, -2.607193672657013
training, 1, 1.646920691217695, -2.8589385407311574, 0.0, -2.5136067867279053
validating, 1, 1.5860313177108765, -2.722352933883667, 0.0, -2.500077223777771
testing, 1, 1.6136571884155273, -2.8374724626541137, 0.0, -2.480731987953186
training, 2, 1.6450762578419276, -2.8293525116784233, 0.0, -2.45332932472229
validating, 2, 1.5890289545059204, -2.7248973846435547, 0.0, -2.519481086730957
testing, 2, 1.6124953746795654, -2.8270423889160154, 0.0, -2.472021383047104
training, 3, 1.6413881812776838, -2.816193277495248, 0.0, -2.4517998695373535
validating, 3, 1.5850392580032349, -2.724632215499878, 0.0, -2.5505805015563965
testing, 3, 1.6131834030151366, -2.820483314990997, 0.0, -2.4768317699432374
training, 4, 1.6362280947821481, -2.803506878444127, 0.0, -2.4549760818481445
validating, 4, 1.583173394203186, -2.7167680263519287, 0.0, -2.571620726585388
testing, 4, 1.613261079788208, -2.810196506977081, 0.0, -2.477215027809143
training, 5, 1.6323864017214094, -2.7886059403419496, 0.0, -2.4501867294311523
validating, 5, 1.5820623636245728, -2.7067617177963257, 0.0, -2.5578392505645753
testing, 5, 1.6055907249450683, -2.7993261098861693, 0.0, -2.471943861246109
training, 6, 1.6269933802740915, -2.7679840411458696, 0.0, -2.452261209487915
validating, 6, 1.582060170173645, -2.6939749717712402, 0.0, -2.5746520280838014
testing, 6, 1.6055620193481446, -2.7773995280265806, 0.0, -2.4648528039455413
training, 7, 1.6250859907695225, -2.743844519342695, 0.0, -2.4481089115142822
validating, 7, 1.5851862668991088, -2.6749231100082396, 0.0, -2.6618966341018675
testing, 7, 1.6165542125701904, -2.7327814221382143, 0.0, -2.466541737318039
training, 8, 1.619970726966858, -2.7093434623309545, 0.0, -2.455880880355835
validating, 8, 1.5857210874557495, -2.6632757663726805, 0.0, -2.6717628717422484
testing, 8, 1.6183262109756469, -2.720801794528961, 0.0, -2.4799459278583527
training, 9, 1.6114010436194284, -2.671950156348092, 0.0, -2.4578371047973633
validating, 9, 1.5904162168502807, -2.646746516227722, 0.0, -2.683650803565979
testing, 9, 1.612226939201355, -2.6787755608558657, 0.0, -2.463882952928543
training, 10, 1.603496663911002, -2.6375678999083383, 0.0, -2.4546613693237305
validating, 10, 1.5994210481643676, -2.6472837686538697, 0.0, -2.710153818130493
testing, 10, 1.6201402187347411, -2.6467662811279298, 0.0, -2.47107914686203
training, 11, 1.5971450022288731, -2.608589221749987, 0.0, -2.451585531234741
validating, 11, 1.6015968561172484, -2.615680193901062, 0.0, -2.6910290718078613
testing, 11, 1.62104651927948, -2.616562193632126, 0.0, -2.4609022557735445
training, 12, 1.5931486095700944, -2.587656218664987, 0.0, -2.4584267139434814
validating, 12, 1.6082606077194215, -2.6157476186752318, 0.0, -2.7161060571670532
testing, 12, 1.6387486696243285, -2.6139415502548218, 0.0, -2.4791794300079344
training, 13, 1.5925627265657698, -2.55583826814379, 0.0, -2.4477925300598145
validating, 13, 1.6298449754714965, -2.599051356315613, 0.0, -2.724910545349121
testing, 13, 1.6537386417388915, -2.569356644153595, 0.0, -2.4602915167808534
training, 14, 1.5894958189555577, -2.5318219525473458, 0.0, -2.4428391456604004
validating, 14, 1.6325562238693236, -2.6049317359924316, 0.0, -2.713920783996582
testing, 14, 1.6556711435317992, -2.5537641644477844, 0.0, -2.4661216139793396
training, 15, 1.5895626102175031, -2.5051603283200947, 0.0, -2.4301974773406982
validating, 15, 1.6743552923202514, -2.640113639831543, 0.0, -2.7419514656066895
testing, 15, 1.7204864263534545, -2.5577863574028017, 0.0, -2.4769559621810915
training, 16, 1.5909545932497298, -2.487373561518533, 0.0, -2.4323692321777344
validating, 16, 1.6768205881118774, -2.604934310913086, 0.0, -2.6403584718704223
testing, 16, 1.6829950571060182, -2.534719783067703, 0.0, -2.4572711169719694
training, 17, 1.579842836516244, -2.465422582626343, 0.0, -2.4192183017730713
validating, 17, 1.6973810911178588, -2.601341128349304, 0.0, -2.6492751359939577
testing, 17, 1.7100419759750367, -2.548811084032059, 0.0, -2.4768184185028077
training, 18, 1.6007327624729701, -2.460813978740147, 0.0, -2.4405572414398193
validating, 18, 1.7285414934158325, -2.5825671434402464, 0.0, -2.6388662219047547
testing, 18, 1.7260119438171386, -2.5415890991687773, 0.0, -2.472678077220917
training, 19, 1.605853455407279, -2.4440639904567174, 0.0, -2.4323270320892334
validating, 19, 1.7836597204208373, -2.5925604820251467, 0.0, -2.686356472969055
testing, 19, 1.7913970470428466, -2.5516353011131288, 0.0, -2.490277570486069
training, 20, 1.6342631987162999, -2.441037550994328, 0.0, -2.4277124404907227
validating, 20, 1.779100728034973, -2.582776963710785, 0.0, -2.625763773918152
testing, 20, 1.817267894744873, -2.553936779499054, 0.0, -2.4575408697128296
training, 21, 1.6457494122641427, -2.4224607058933803, 0.0, -2.4233741760253906
validating, 21, 1.8460405111312865, -2.6306259632110596, 0.0, -2.6935503840446473
testing, 21, 1.8713452816009521, -2.5806944727897645, 0.0, -2.4993658006191253
training, 22, 1.681732031277248, -2.4244711211749483, 0.0, -2.4272944927215576
validating, 22, 1.8582771062850951, -2.6115997076034545, 0.0, -2.661617708206177
testing, 22, 1.8764523029327393, -2.5598918080329893, 0.0, -2.4828932642936707
training, 23, 1.654961688177926, -2.412738975456783, 0.0, -2.417720317840576
validating, 23, 1.865799880027771, -2.59835205078125, 0.0, -2.6484755516052245
testing, 23, 1.8857666492462157, -2.561982125043869, 0.0, -2.5047205984592438
training, 24, 1.6864244358880178, -2.40693678685597, 0.0, -2.4195501804351807
validating, 24, 1.888581681251526, -2.5916500806808473, 0.0, -2.6201780915260313
testing, 24, 1.9092203378677368, -2.5616221129894257, 0.0, -2.4924753606319427
training, 25, 1.6728568077087402, -2.384531395775931, 0.0, -2.4012768268585205
validating, 25, 1.9304800748825073, -2.5922775864601135, 0.0, -2.6194952487945558
testing, 25, 1.9391826391220093, -2.5663189053535462, 0.0, -2.4976691007614136
training, 26, 1.686538474900382, -2.377401976925986, 0.0, -2.3985753059387207
validating, 26, 1.9707690954208374, -2.6126726388931276, 0.0, -2.6396087884902952
testing, 26, 1.989658284187317, -2.5838724255561827, 0.0, -2.515256780385971
training, 27, 1.7344553538731167, -2.380798763888223, 0.0, -2.409984588623047
validating, 27, 1.9428193807601928, -2.588690662384033, 0.0, -2.5670918107032774
testing, 27, 1.9513998985290528, -2.561899834871292, 0.0, -2.490246820449829
training, 28, 1.6993497882570539, -2.368747217314584, 0.0, -2.3931100368499756
validating, 28, 1.9909802198410034, -2.6064501285552977, 0.0, -2.578378236293793
testing, 28, 1.9698404550552369, -2.574086880683899, 0.0, -2.506418991088867
training, 29, 1.6933926956994192, -2.3548665182931083, 0.0, -2.3910319805145264
validating, 29, 2.029909873008728, -2.5647303819656373, 0.0, -2.5350525975227356
testing, 29, 1.9932093858718871, -2.5513959348201753, 0.0, -2.492417013645172
training, 30, 1.7134994540895734, -2.3492413776261465, 0.0, -2.384643316268921
validating, 30, 2.0495287656784056, -2.5955398321151733, 0.0, -2.556527590751648
testing, 30, 2.0205209732055662, -2.570299136638641, 0.0, -2.516139340400696
training, 31, 1.722626645224435, -2.342930752890451, 0.0, -2.387349843978882
validating, 31, 2.136983132362366, -2.612794065475464, 0.0, -2.5940051913261413
testing, 31, 2.0886792182922362, -2.5798465490341185, 0.0, -2.5446436166763307
training, 32, 1.78828181879861, -2.3522156970841546, 0.0, -2.3834662437438965
validating, 32, 2.056136965751648, -2.537490725517273, 0.0, -2.485244631767273
testing, 32, 2.0115105628967287, -2.5471689641475677, 0.0, -2.49587659239769
training, 33, 1.7206318242209298, -2.3337881922721864, 0.0, -2.378664255142212
validating, 33, 2.1782269716262816, -2.6152458429336547, 0.0, -2.5826847553253174
testing, 33, 2.14868049621582, -2.5869492292404175, 0.0, -2.5479713439941407
training, 34, 1.7997590133122034, -2.331501511165074, 0.0, -2.3818767070770264
validating, 34, 2.1245527982711794, -2.5517104625701905, 0.0, -2.487334835529327
testing, 34, 2.047507810592651, -2.5463756322860718, 0.0, -2.4952503740787506
training, 35, 1.777025580406189, -2.3268894978931973, 0.0, -2.3807177543640137
validating, 35, 2.252602744102478, -2.5860443353652953, 0.0, -2.5106493830680847
testing, 35, 2.1571500301361084, -2.5732929706573486, 0.0, -2.546675282716751
training, 36, 1.83930823802948, -2.3181461674826487, 0.0, -2.3742172718048096
validating, 36, 2.3303498029708862, -2.613179898262024, 0.0, -2.517989420890808
testing, 36, 2.2394436597824097, -2.582515853643417, 0.0, -2.5720143258571624
training, 37, 1.9098958594458444, -2.3083990080016, 0.0, -2.3675718307495117
validating, 37, 2.3794851541519164, -2.6324240446090696, 0.0, -2.5528058052062987
testing, 37, 2.2764594554901123, -2.5713712751865385, 0.0, -2.5533048033714296
training, 38, 1.9385767493929182, -2.3070981298174176, 0.0, -2.36633038520813
validating, 38, 2.3633543729782103, -2.5628024101257325, 0.0, -2.4600135326385497
testing, 38, 2.218811821937561, -2.5464325189590453, 0.0, -2.5181388020515443
training, 39, 1.9064815146582468, -2.2969870158604215, 0.0, -2.3576016426086426
validating, 39, 2.55357882976532, -2.6911409854888917, 0.0, -2.5793256044387816
testing, 39, 2.4274841070175173, -2.6034488797187807, 0.0, -2.5876424908638
training, 40, 1.9564089672906058, -2.2952898604529244, 0.0, -2.3539857864379883
validating, 40, 2.390315127372742, -2.4961923480033876, 0.0, -2.36417875289917
testing, 40, 2.2248963832855226, -2.489796280860901, 0.0, -2.4768850684165953
training, 41, 2.0345937762941633, -2.3022698981421335, 0.0, -2.3505327701568604
validating, 41, 2.661547541618347, -2.779363226890564, 0.0, -2.614650535583496
testing, 41, 2.5811483383178713, -2.6237492322921754, 0.0, -2.5879240214824675
training, 42, 1.994199013710022, -2.287018803187779, 0.0, -2.3473803997039795
validating, 42, 2.483785891532898, -2.476130473613739, 0.0, -2.338867259025574
testing, 42, 2.28782958984375, -2.4886536300182343, 0.0, -2.488042747974396
training, 43, 2.0913092511040823, -2.301275358881269, 0.0, -2.3546862602233887
validating, 43, 2.7150123357772826, -2.7496664047241213, 0.0, -2.5777053117752073
testing, 43, 2.622535514831543, -2.6105991065502168, 0.0, -2.5834801316261293
training, 44, 2.1121715784072874, -2.28038785968508, 0.0, -2.352820634841919
validating, 44, 2.6587108373641968, -2.71843364238739, 0.0, -2.526735544204712
testing, 44, 2.544695496559143, -2.568718761205673, 0.0, -2.5470049023628234
training, 45, 2.1242344549724033, -2.2792804666927884, 0.0, -2.355475664138794
validating, 45, 2.7503088235855104, -2.6500780820846557, 0.0, -2.387794852256775
testing, 45, 2.529517340660095, -2.5461907267570494, 0.0, -2.5317416191101074
training, 46, 2.1901993921824863, -2.2736087100846425, 0.0, -2.343031167984009
validating, 46, 2.8923563718795777, -2.718128037452698, 0.0, -2.465776777267456
testing, 46, 2.7023752689361573, -2.5795968890190126, 0.0, -2.551986962556839
training, 47, 2.2122195618493214, -2.270639411040715, 0.0, -2.3400094509124756
validating, 47, 2.8517077684402468, -2.714041566848755, 0.0, -2.568954920768738
testing, 47, 2.7044136762619018, -2.6196156561374666, 0.0, -2.5747252106666565
training, 48, 2.2356225320271084, -2.2755256925310405, 0.0, -2.3383893966674805
validating, 48, 2.8381663084030153, -2.678237795829773, 0.0, -2.403060805797577
testing, 48, 2.622417688369751, -2.5277293980121613, 0.0, -2.5343508064746856
training, 49, 2.2205880471638273, -2.265671350274767, 0.0, -2.334479331970215
validating, 49, 2.99426953792572, -2.7178020000457765, 0.0, -2.4677042722702027
testing, 49, 2.795690107345581, -2.5942180156707764, 0.0, -2.5510070383548737
training, 50, 2.290662203516279, -2.261173837525504, 0.0, -2.3345885276794434
validating, 50, 3.0484279870986937, -2.7330427169799805, 0.0, -2.507283365726471
testing, 50, 2.84230580329895, -2.6138754963874815, 0.0, -2.5720875203609466
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.5057005609784807, 0.0, 0.0, -1.6756720542907715
validating, -1, 0.5125201225280762, -1.5771098971366881, 0.0, -1.752068781852722
testing, -1, 0.5328542232513428, -1.512025272846222, 0.0, -1.7413307905197144
training, 0, 2.288405990600586, 0.0, 0.0, -2.3361337184906006
validating, 0, 2.180374526977539, -2.247656488418579, 0.0, -2.336541223526001
testing, 0, 2.332071042060852, -2.133573663234711, 0.0, -2.273922622203827
training, 1, 1.9665843623025077, -1.9620020866394043, 0.0, -2.121697187423706
validating, 1, 1.6411020755767822, -1.906316876411438, 0.0, -1.970496618747711
testing, 1, 1.8251145839691163, -1.8106546640396117, 0.0, -1.940801465511322
training, 2, 1.553502893447876, -1.7456340891974313, 0.0, -1.9092117547988892
validating, 2, 1.3422739505767822, -1.8207369804382325, 0.0, -1.9488937377929687
testing, 2, 1.5812107563018798, -1.7650462925434112, 0.0, -1.8948890805244445
training, 3, 1.4893080983843123, -1.7213987401553563, 0.0, -1.8765766620635986
validating, 3, 1.4103386878967286, -1.8364959836006165, 0.0, -1.948543334007263
testing, 3, 1.6959683418273925, -1.770131880044937, 0.0, -1.8924643754959107
training, 4, 1.605588368007115, -1.7217734634876252, 0.0, -1.8732249736785889
validating, 4, 1.4286675453186035, -1.8387749075889588, 0.0, -1.948398768901825
testing, 4, 1.727112889289856, -1.7734328985214234, 0.0, -1.8937672138214112
training, 5, 1.5180228982652937, -1.7163365457739148, 0.0, -1.874333143234253
validating, 5, 1.3567290306091309, -1.8321223258972168, 0.0, -1.9493134498596192
testing, 5, 1.6107004404067993, -1.7673610687255858, 0.0, -1.8931716501712799
training, 6, 1.4477785587310792, -1.712372430733272, 0.0, -1.8766087293624878
validating, 6, 1.345173978805542, -1.833214282989502, 0.0, -1.9524722933769225
testing, 6, 1.5837156295776367, -1.7650426387786866, 0.0, -1.8917757272720337
training, 7, 1.4459373542240688, -1.7097760251590184, 0.0, -1.876974105834961
validating, 7, 1.3551356792449951, -1.8360819935798645, 0.0, -1.9510306596755982
testing, 7, 1.59463632106781, -1.7646661877632142, 0.0, -1.8915897905826569
training, 8, 1.454669509615217, -1.7078961168016706, 0.0, -1.876369833946228
validating, 8, 1.355391263961792, -1.8345568418502807, 0.0, -1.950107717514038
testing, 8, 1.5979190826416017, -1.765051007270813, 0.0, -1.8920871913433075
training, 9, 1.4474870204925536, -1.7065564095973969, 0.0, -1.8767741918563843
validating, 9, 1.3511574745178223, -1.8375600695610046, 0.0, -1.95162752866745
testing, 9, 1.5855364561080934, -1.763129323720932, 0.0, -1.8934717059135437
training, 10, 1.4444184303283691, -1.7069888166018894, 0.0, -1.8756600618362427
validating, 10, 1.353909158706665, -1.8377047300338745, 0.0, -1.9510806798934937
testing, 10, 1.581290602684021, -1.7603621363639832, 0.0, -1.892959588766098
training, 11, 1.4420750209263393, -1.7045764906065806, 0.0, -1.8758500814437866
validating, 11, 1.3598474979400634, -1.834453570842743, 0.0, -1.9511869311332704
testing, 11, 1.5859925508499146, -1.7563390135765076, 0.0, -1.8905460238456726
training, 12, 1.4395342690604074, -1.7022551357746125, 0.0, -1.8766385316848755
validating, 12, 1.3650969505310058, -1.8371575713157653, 0.0, -1.9527738690376282
testing, 12, 1.575353217124939, -1.7551371991634368, 0.0, -1.893802934885025
training, 13, 1.4386982781546456, -1.7030622260911124, 0.0, -1.8756890296936035
validating, 13, 1.3806289672851562, -1.8421334981918336, 0.0, -1.9547637701034546
testing, 13, 1.5751131057739258, -1.7461555540561675, 0.0, -1.8953008949756622
training, 14, 1.4336130823407853, -1.6988126363073077, 0.0, -1.8749496936798096
validating, 14, 1.3801812648773193, -1.8434935927391052, 0.0, -1.954647696018219
testing, 14, 1.5745949029922486, -1.745240581035614, 0.0, -1.894828885793686
training, 15, 1.4340475014277867, -1.6984386205673219, 0.0, -1.8750486373901367
validating, 15, 1.3805782318115234, -1.8441069364547729, 0.0, -1.9545551776885985
testing, 15, 1.5759207487106324, -1.7451180875301362, 0.0, -1.8945201516151429
training, 16, 1.4346973078591483, -1.6980715496199472, 0.0, -1.8749908208847046
validating, 16, 1.3809605598449708, -1.8448732376098633, 0.0, -1.9539693593978882
testing, 16, 1.5770313024520874, -1.74595188498497, 0.0, -1.8944206655025482
training, 17, 1.4341766357421875, -1.697198052065713, 0.0, -1.874722957611084
validating, 17, 1.3790942192077638, -1.8453760385513305, 0.0, -1.953654980659485
testing, 17, 1.5755959272384643, -1.7457757472991944, 0.0, -1.893742036819458
training, 18, 1.433383696419852, -1.697141637120928, 0.0, -1.8747667074203491
validating, 18, 1.3791754245758057, -1.8458254218101502, 0.0, -1.9534912347793578
testing, 18, 1.5752832651138307, -1.7459635734558105, 0.0, -1.8932717204093934
training, 19, 1.4330027035304478, -1.696606993675232, 0.0, -1.8745917081832886
validating, 19, 1.3803589344024658, -1.8465197801589965, 0.0, -1.9534748435020446
testing, 19, 1.575977611541748, -1.7458231627941132, 0.0, -1.893047308921814
training, 20, 1.4332483904702322, -1.6961071644510541, 0.0, -1.8744735717773438
validating, 20, 1.3817478179931642, -1.8469748973846436, 0.0, -1.9537221550941468
testing, 20, 1.5762451410293579, -1.7453270852565765, 0.0, -1.8930932402610778
training, 21, 1.434400612967355, -1.6960270830563136, 0.0, -1.8744977712631226
validating, 21, 1.3834756374359132, -1.8473528146743774, 0.0, -1.9543968796730042
testing, 21, 1.5763257980346679, -1.7448467850685119, 0.0, -1.8935976445674896
training, 22, 1.4336331026894706, -1.6959849272455487, 0.0, -1.874580979347229
validating, 22, 1.382101821899414, -1.8472885847091676, 0.0, -1.9541890263557433
testing, 22, 1.5749834537506104, -1.745045554637909, 0.0, -1.8929474413394929
training, 23, 1.4329435689108712, -1.6954712459019252, 0.0, -1.8743104934692383
validating, 23, 1.3828711986541748, -1.8477140545845032, 0.0, -1.9544260144233703
testing, 23, 1.5745167493820191, -1.7444320678710938, 0.0, -1.892758560180664
training, 24, 1.432309355054583, -1.6951179214886256, 0.0, -1.874329924583435
