Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.5057005609784807, 0.0, 0.0, -1.6756720542907715
validating, -1, 0.5125201225280762, -1.5771098971366881, 0.0, -1.752068781852722
testing, -1, 0.5328542232513428, -1.512025272846222, 0.0, -1.7413307905197144
training, 0, 2.288405990600586, 0.0, 0.0, -2.3361337184906006
validating, 0, 2.180374526977539, -2.247656488418579, 0.0, -2.336541223526001
testing, 0, 2.332071042060852, -2.133573663234711, 0.0, -2.273922622203827
training, 1, 1.9665843623025077, -1.9620020866394043, 0.0, -2.121697187423706
validating, 1, 1.6411020755767822, -1.906316876411438, 0.0, -1.970496618747711
testing, 1, 1.8251145839691163, -1.8106546640396117, 0.0, -1.940801465511322
training, 2, 1.553502893447876, -1.7456340891974313, 0.0, -1.9092117547988892
validating, 2, 1.3422739505767822, -1.8207369804382325, 0.0, -1.9488937377929687
testing, 2, 1.5812107563018798, -1.7650462925434112, 0.0, -1.8948890805244445
training, 3, 1.4893080983843123, -1.7213987401553563, 0.0, -1.8765766620635986
validating, 3, 1.4103386878967286, -1.8364959836006165, 0.0, -1.948543334007263
testing, 3, 1.6959683418273925, -1.770131880044937, 0.0, -1.8924643754959107
training, 4, 1.605588368007115, -1.7217734634876252, 0.0, -1.8732249736785889
validating, 4, 1.4286675453186035, -1.8387749075889588, 0.0, -1.948398768901825
testing, 4, 1.727112889289856, -1.7734328985214234, 0.0, -1.8937672138214112
