Random seed, 9
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.19813530423811504, 0.0, 0.0, 0.0
validating, -1, 0.2139734745025635, -0.7676683872938156, 0.0, 0.0
testing, -1, 0.18324986696243287, -0.8000391632318496, 0.0, 0.0
training, 0, 0.7978026534829821, 0.0, 0.0, 0.0
validating, 0, 0.7826298296451568, -1.255623185634613, 0.0, 0.0
testing, 0, 0.7497396349906922, -1.2850973904132843, 0.0, 0.0
training, 1, 0.7855531232697623, -1.2466171417917524, 0.0, 0.0
validating, 1, 0.7650378763675689, -1.2134216547012329, 0.0, 0.0
testing, 1, 0.729009461402893, -1.2550937950611114, 0.0, 0.0
training, 2, 0.7457971828324454, -1.180318398135049, 0.0, 0.0
validating, 2, 0.7199107944965363, -1.1474919438362121, 0.0, 0.0
testing, 2, 0.6931432366371155, -1.2115393191576005, 0.0, 0.0
training, 3, 0.713343917472022, -1.1288365704672678, 0.0, 0.0
validating, 3, 0.685213440656662, -1.088578647375107, 0.0, 0.0
testing, 3, 0.6657520294189453, -1.1543424114584924, 0.0, 0.0
training, 4, 0.6730660974979401, -1.0394518064601082, 0.0, 0.0
validating, 4, 0.641284292936325, -0.9493155479431152, 0.0, 0.0
testing, 4, 0.644567322731018, -1.0226007964462043, 0.0, 0.0
training, 5, 0.668017122575215, -0.9093719935310739, 0.0, 0.0
validating, 5, 0.6475351870059967, -0.8532626926898956, 0.0, 0.0
testing, 5, 0.6796761095523834, -0.9181779885198921, 0.0, 0.0
training, 6, 0.7274383468287332, -0.8560409684311058, 0.0, 0.0
validating, 6, 0.7116273581981659, -0.8051099643111229, 0.0, 0.0
testing, 6, 0.7888696372509003, -0.8568773005157709, 0.0, 0.0
training, 7, 0.8265429913997651, -0.8417445237147668, 0.0, 0.0
validating, 7, 0.7742496430873871, -0.7970312267541886, 0.0, 0.0
testing, 7, 0.8801708281040191, -0.8332610445097088, 0.0, 0.0
training, 8, 0.9615623099463326, -0.8438657444791252, 0.0, 0.0
validating, 8, 0.9091756880283356, -0.7857712596654892, 0.0, 0.0
testing, 8, 1.0626825153827668, -0.8205617929808795, 0.0, 0.0
training, 9, 1.1557410640375956, -0.842784194833491, 0.0, 0.0
validating, 9, 1.0553671061992644, -0.7814400225877762, 0.0, 0.0
testing, 9, 1.2507722556591034, -0.8170270581613295, 0.0, 0.0
