Random seed, 9
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.19813530423811504, 0.0, 0.0, -0.8247388005256653
validating, -1, 0.2139734745025635, -0.7677064597606659, 0.0, -0.7695585459470748
testing, -1, 0.18324986696243287, -0.8000633902847767, 0.0, -0.8183394216001034
training, 0, 0.8092211246490478, 0.0, 0.0, -1.2365663051605225
validating, 0, 0.7933393061161041, -1.3022825241088867, 0.0, -1.1789717257022858
testing, 0, 0.7581027626991272, -1.3006854385137558, 0.0, -1.2370667278766632
training, 1, 0.7317190221377782, 0.0, 0.0, -1.1283248662948608
validating, 1, 0.6358883678913116, -0.9838533222675323, 0.0, -0.9030118674039841
testing, 1, 0.6262847542762756, -1.0646816462278366, 0.0, -1.0144476659595967
training, 2, 0.6476012195859636, 0.0, 0.0, -0.909760594367981
validating, 2, 0.6221559584140778, -0.9247166961431503, 0.0, -0.8527428656816483
testing, 2, 0.6263120412826538, -1.0107462607324122, 0.0, -0.9514312783256174
training, 3, 0.6417092144489288, 0.0, 0.0, -0.9791811108589172
validating, 3, 0.6177582919597626, -1.032183712720871, 0.0, -0.9526177406311035
testing, 3, 0.6149808168411255, -1.093886497616768, 0.0, -1.0457308024168015
training, 4, 0.6366214990615845, 0.0, 0.0, -0.9384487867355347
validating, 4, 0.6093983471393585, -0.9754903316497803, 0.0, -0.8852761745452881
testing, 4, 0.6175561070442199, -1.0378847897052765, 0.0, -0.9736621916294098
training, 5, 0.628263806445258, 0.0, 0.0, -0.9496096968650818
validating, 5, 0.606637054681778, -0.9693595170974731, 0.0, -0.8836906179785728
testing, 5, 0.6136737704277039, -1.0372188687324524, 0.0, -0.9783701777458191
training, 6, 0.6213180507932391, 0.0, 0.0, -0.9150877594947815
validating, 6, 0.6015749156475068, -0.9615788400173187, 0.0, -0.8829049855470658
testing, 6, 0.610070139169693, -1.0353298306465148, 0.0, -0.9801567330956459
training, 7, 0.614007294178009, 0.0, 0.0, -0.9023919105529785
validating, 7, 0.5961735665798187, -0.9425229877233505, 0.0, -0.8714261561632156
testing, 7, 0.606191486120224, -1.0165699526667595, 0.0, -0.9651054419577122
training, 8, 0.6103295028209687, 0.0, 0.0, -0.8944414854049683
validating, 8, 0.5925827205181122, -0.9360889613628387, 0.0, -0.8682182967662812
testing, 8, 0.6018910825252533, -1.008179497718811, 0.0, -0.9574268769472838
training, 9, 0.6058856623513358, 0.0, 0.0, -0.8709554672241211
validating, 9, 0.5842285215854645, -0.8594565704464913, 0.0, -0.826806178689003
testing, 9, 0.5953931331634521, -0.934384747967124, 0.0, -0.8956069998443127
training, 10, 0.5957236877509526, 0.0, 0.0, -0.863976240158081
validating, 10, 0.5779995501041413, -0.8520754083991051, 0.0, -0.8262089163064956
testing, 10, 0.5892397165298462, -0.9268832560628653, 0.0, -0.8947376243770122
training, 11, 0.5895703664847782, 0.0, 0.0, -0.8593719601631165
validating, 11, 0.5722173273563385, -0.8560876995325089, 0.0, -0.8307235330343247
testing, 11, 0.5822954773902893, -0.9284049868583679, 0.0, -0.8979200460016727
training, 12, 0.5803388246468135, 0.0, 0.0, -0.8507543206214905
validating, 12, 0.5614675343036651, -0.828799906373024, 0.0, -0.802735760807991
testing, 12, 0.5801072001457215, -0.8465133271180093, 0.0, -0.8366932235658169
training, 13, 0.5734583692891257, 0.0, 0.0, -0.8572995066642761
validating, 13, 0.5543375790119172, -0.840337485074997, 0.0, -0.8127620786428451
testing, 13, 0.5663840651512146, -0.8538512837141752, 0.0, -0.8588140949606895
training, 14, 0.5672546769891467, 0.0, 0.0, -0.85774827003479
validating, 14, 0.5455087125301361, -0.8451436012983322, 0.0, -0.8208919852972031
testing, 14, 0.5632862031459809, -0.8490550672635436, 0.0, -0.8511990128085017
training, 15, 0.5561404245240348, 0.0, 0.0, -0.8574613928794861
validating, 15, 0.5395333707332611, -0.8271642744541168, 0.0, -0.8026692181825638
testing, 15, 0.5559871077537537, -0.8368950547650457, 0.0, -0.8289838049560785
training, 16, 0.5574617258140019, 0.0, 0.0, -0.8483745455741882
validating, 16, 0.535943204164505, -0.8263292402029038, 0.0, -0.7977988690137863
testing, 16, 0.5582229912281036, -0.8405047295615077, 0.0, -0.8203218899667263
training, 17, 0.5481068636689868, 0.0, 0.0, -0.8525984883308411
validating, 17, 0.5336649119853973, -0.8327557742595673, 0.0, -0.8120539456605911
testing, 17, 0.5544125437736511, -0.8456785619258881, 0.0, -0.8258084308356046
training, 18, 0.5455671199730464, 0.0, 0.0, -0.8489382863044739
validating, 18, 0.5290252149105072, -0.8458100706338882, 0.0, -0.8138809591531754
testing, 18, 0.5584129273891449, -0.8598936960101128, 0.0, -0.8307424088940024
training, 19, 0.5393609762191772, 0.0, 0.0, -0.8646577596664429
validating, 19, 0.526136165857315, -0.8539779782295227, 0.0, -0.8305966645479202
testing, 19, 0.5494504272937775, -0.8674355212599039, 0.0, -0.8532355029135943
training, 20, 0.5345937064715794, 0.0, 0.0, -0.8716643452644348
validating, 20, 0.5238828122615814, -0.8330014050006866, 0.0, -0.8087828904390335
testing, 20, 0.5498125493526459, -0.8523918954655528, 0.0, -0.8265601549763233
training, 21, 0.5345322379044124, 0.0, 0.0, -0.8516564965248108
validating, 21, 0.5247238457202912, -0.8276021599769592, 0.0, -0.799468782544136
testing, 21, 0.5493242472410202, -0.8472205962054431, 0.0, -0.821751556545496
training, 22, 0.5283536425658635, 0.0, 0.0, -0.8515558838844299
validating, 22, 0.5231897175312042, -0.8348315060138702, 0.0, -0.8097488790750503
testing, 22, 0.5467279434204102, -0.8507827820256353, 0.0, -0.8248944794759154
training, 23, 0.5257952630519866, 0.0, 0.0, -0.8683940172195435
validating, 23, 0.5193758189678193, -0.8396563917398453, 0.0, -0.8108845859766006
testing, 23, 0.5482352286577225, -0.8524691425263882, 0.0, -0.8268480271566659
