Random seed, 10
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.32751326731273106, -2.702789272580828, 0.0
validating, -1, 0.33604209423065184, -2.7300238370895387, 0.0
testing, -1, 0.3137274980545044, -2.7567208290100096, 0.0
training, 0, 1.718830226148878, -3.5187168087278096, 0.0
validating, 0, 1.7699574112892151, -3.5335840463638304, 0.0
testing, 0, 1.7334494471549988, -3.5181148290634154, 0.0
training, 1, 1.2190285052571979, -3.2098448378699165, 0.0
validating, 1, 0.987149453163147, -3.079855465888977, 0.0
testing, 1, 0.9608193516731263, -3.093142938613892, 0.0
training, 2, 0.869498520238059, -3.058566229684012, 0.0
validating, 2, 1.0107511520385741, -3.1184247016906737, 0.0
testing, 2, 1.0286174893379212, -3.1083423376083372, 0.0
training, 3, 0.8854317886488778, -3.0751700435365947, 0.0
validating, 3, 1.0055723667144776, -3.1176500797271727, 0.0
testing, 3, 1.0220288157463073, -3.1079165816307066, 0.0
training, 4, 0.8653860177312579, -3.0683127641677856, 0.0
validating, 4, 0.9737349033355713, -3.1064846515655518, 0.0
testing, 4, 0.9775142192840576, -3.101143181324005, 0.0
training, 5, 0.8590386135237558, -3.0648554495402744, 0.0
validating, 5, 0.9766998052597046, -3.1074452638626098, 0.0
testing, 5, 0.9831059098243713, -3.1018008947372437, 0.0
training, 6, 0.8613921625273568, -3.0647803476878575, 0.0
validating, 6, 0.9692785501480102, -3.1040276527404784, 0.0
testing, 6, 0.971648895740509, -3.1000300645828247, 0.0
training, 7, 0.8617039118494306, -3.0647741556167603, 0.0
validating, 7, 0.981504487991333, -3.1093388557434083, 0.0
testing, 7, 0.991364598274231, -3.103100097179413, 0.0
training, 8, 0.8717434866087778, -3.068754666192191, 0.0
validating, 8, 1.0187544584274293, -3.1215537548065186, 0.0
testing, 8, 1.0446948409080505, -3.11090749502182, 0.0
training, 9, 0.8862450037683759, -3.071657075200762, 0.0
validating, 9, 0.9944157123565673, -3.1133882999420166, 0.0
testing, 9, 1.0129822373390198, -3.1059450268745423, 0.0
