Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.1911330257143293, -1.1336193306105478, 0.0
validating, -1, 0.19385168552398682, -1.0932717800140381, 0.0
testing, -1, 0.19462935924530028, -1.1394274264574051, 0.0
training, 0, 1.2739195823669434, -1.6962391240256174, 0.0
validating, 0, 1.384627676010132, -1.6657805919647217, 0.0
testing, 0, 1.2520289540290832, -1.6568550705909728, 0.0
training, 1, 1.271753420148577, -1.693534164769309, 0.0
validating, 1, 1.3809849262237548, -1.660004723072052, 0.0
testing, 1, 1.2496013283729552, -1.6537847340106964, 0.0
training, 2, 1.2687743731907435, -1.6897190145083836, 0.0
validating, 2, 1.370931339263916, -1.6486758947372437, 0.0
testing, 2, 1.241942250728607, -1.6437694132328033, 0.0
training, 3, 1.253150360924857, -1.6690066729273114, 0.0
validating, 3, 1.3424924850463866, -1.612468457221985, 0.0
testing, 3, 1.2170229077339172, -1.610279667377472, 0.0
training, 4, 1.206649146761213, -1.606641469682966, 0.0
validating, 4, 1.2785694599151611, -1.5417341351509095, 0.0
testing, 4, 1.1606992602348327, -1.5500905215740204, 0.0
training, 5, 1.1623069081987654, -1.5657493455069407, 0.0
validating, 5, 1.2410051822662354, -1.5288541913032532, 0.0
testing, 5, 1.1271832585334778, -1.536776638031006, 0.0
training, 6, 1.132703583581107, -1.554353792326791, 0.0
validating, 6, 1.2136929035186768, -1.5296345949172974, 0.0
testing, 6, 1.1014148592948914, -1.536727213859558, 0.0
training, 7, 1.110269376209804, -1.5507230928965978, 0.0
validating, 7, 1.1863156318664552, -1.5325921535491944, 0.0
testing, 7, 1.0757016777992248, -1.5406724154949187, 0.0
training, 8, 1.0901010172707695, -1.5492325322968619, 0.0
validating, 8, 1.1784728050231934, -1.5340851306915284, 0.0
testing, 8, 1.0667097926139832, -1.5436791598796844, 0.0
training, 9, 1.0775374276297434, -1.548572928564889, 0.0
validating, 9, 1.1702232837677002, -1.5350464820861816, 0.0
testing, 9, 1.0571682095527648, -1.5437303841114045, 0.0
training, 10, 1.0868261745997838, -1.54782794543675, 0.0
validating, 10, 1.2015870094299317, -1.5326431035995483, 0.0
testing, 10, 1.0839235424995421, -1.5365497946739197, 0.0
