Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0342954583466053, -0.6014250562659331, 0.0
validating, -1, 0.03239008486270904, -0.51281478703022, 0.0
testing, -1, 0.032618158310651776, -0.5434430487453937, 0.0
training, 0, 0.40615954058510917, -1.0922427262578691, 0.0
validating, 0, 0.3728316932916641, -1.0686391830444335, 0.0
testing, 0, 0.4120954602956772, -1.0828112214803696, 0.0
training, 1, 0.4060419423239572, -1.0921985983848572, 0.0
validating, 1, 0.37303195893764496, -1.0696946740150453, 0.0
testing, 1, 0.41203024685382844, -1.08325255215168, 0.0
training, 2, 0.40568877628871375, -1.0920782497950963, 0.0
validating, 2, 0.373037126660347, -1.0703453540802002, 0.0
testing, 2, 0.41194958984851837, -1.083908599615097, 0.0
training, 3, 0.40498835274151396, -1.0919410109519958, 0.0
validating, 3, 0.37288772165775297, -1.070342767238617, 0.0
testing, 3, 0.41054834723472594, -1.084968090057373, 0.0
training, 4, 0.4044978490897587, -1.0908633393900735, 0.0
validating, 4, 0.3724331110715866, -1.0702440738677979, 0.0
testing, 4, 0.4108460366725922, -1.0846478641033173, 0.0
training, 5, 0.4033856017248971, -1.0906355312892368, 0.0
validating, 5, 0.36548832654953, -1.0495187163352966, 0.0
testing, 5, 0.4032601207494736, -1.0819613099098206, 0.0
training, 6, 0.3975658816950662, -1.0858332463673184, 0.0
validating, 6, 0.3572664737701416, -1.023527067899704, 0.0
testing, 6, 0.39432093799114226, -1.0790754348039626, 0.0
training, 7, 0.39216792796339306, -1.07633935213089, 0.0
validating, 7, 0.35169014930725095, -1.0100666880607605, 0.0
testing, 7, 0.3882542163133621, -1.0783475548028947, 0.0
training, 8, 0.3864916316100529, -1.0645180804388863, 0.0
validating, 8, 0.3465352416038513, -0.9907218754291535, 0.0
testing, 8, 0.3814024806022644, -1.0758267223834992, 0.0
training, 9, 0.38074974715709686, -1.0599567072732108, 0.0
validating, 9, 0.34344264268875124, -0.9769650578498841, 0.0
testing, 9, 0.37740232348442077, -1.0774837136268616, 0.0
training, 10, 0.3781514210360391, -1.0566326354231153, 0.0
validating, 10, 0.3469203174114227, -0.9971056401729583, 0.0
testing, 10, 0.37737756669521333, -1.0743846535682677, 0.0
training, 11, 0.3751238286495209, -1.0583423605987003, 0.0
validating, 11, 0.3444545328617096, -0.9659731447696686, 0.0
testing, 11, 0.3746751397848129, -1.093684309720993, 0.0
training, 12, 0.3737026572227478, -1.0627489000558854, 0.0
validating, 12, 0.34670059084892274, -0.9626942873001099, 0.0
testing, 12, 0.37336536943912507, -1.0901306033134461, 0.0
training, 13, 0.36895282821995873, -1.0383298737662179, 0.0
validating, 13, 0.34874032735824584, -0.9577950894832611, 0.0
testing, 13, 0.36811875104904174, -1.087533500790596, 0.0
training, 14, 0.36560870451586586, -1.0526203815426145, 0.0
validating, 14, 0.3516995310783386, -0.9186027944087982, 0.0
testing, 14, 0.3719392567873001, -1.102894851565361, 0.0
training, 15, 0.3686032976422991, -1.04324640248503, 0.0
validating, 15, 0.35651189684867857, -0.9789111882448196, 0.0
testing, 15, 0.3610295742750168, -1.081265538930893, 0.0
training, 16, 0.3599459409713745, -1.0368659653833934, 0.0
validating, 16, 0.3593392789363861, -0.9576618909835816, 0.0
testing, 16, 0.3607457220554352, -1.0816937267780304, 0.0
training, 17, 0.3634283197777612, -1.0460807423506464, 0.0
validating, 17, 0.36475309133529665, -1.0042852222919465, 0.0
testing, 17, 0.36161754429340365, -1.0843561470508576, 0.0
training, 18, 0.3673933161156518, -1.0431418961712293, 0.0
validating, 18, 0.3564569026231766, -1.047941642999649, 0.0
testing, 18, 0.3899474501609802, -1.094915932416916, 0.0
training, 19, 0.3631440086024148, -1.0644882891859326, 0.0
validating, 19, 0.353547203540802, -0.9372177064418793, 0.0
testing, 19, 0.3630978256464005, -1.082421362400055, 0.0
training, 20, 0.3590514191559383, -1.0390950330666133, 0.0
validating, 20, 0.3668490767478943, -0.9828502714633942, 0.0
testing, 20, 0.35473003685474397, -1.076454535126686, 0.0
training, 21, 0.350695155773844, -1.033543916259493, 0.0
validating, 21, 0.3680426299571991, -0.984606871008873, 0.0
testing, 21, 0.35424805879592897, -1.0765768378973006, 0.0
training, 22, 0.35022773742675783, -1.0330708363226482, 0.0
validating, 22, 0.368045574426651, -0.9881279647350312, 0.0
testing, 22, 0.3546154618263245, -1.0776908934116363, 0.0
training, 23, 0.34824985904353006, -1.0325763536351067, 0.0
validating, 23, 0.36869479417800904, -0.9849349349737168, 0.0
testing, 23, 0.35404187738895415, -1.0770696550607681, 0.0
training, 24, 0.3493520481245858, -1.0335142906223025, 0.0
validating, 24, 0.3695586442947388, -0.9805022686719894, 0.0
testing, 24, 0.3533085733652115, -1.076150654256344, 0.0
training, 25, 0.3486097765820367, -1.0334432286875588, 0.0
validating, 25, 0.36793993711471557, -0.992559278011322, 0.0
testing, 25, 0.3554180145263672, -1.0801258563995362, 0.0
training, 26, 0.348698296717235, -1.03573437162808, 0.0
validating, 26, 0.3684723496437073, -0.988568726181984, 0.0
testing, 26, 0.35485112965106963, -1.0793264567852021, 0.0
training, 27, 0.3483329155615398, -1.0338945618697575, 0.0
validating, 27, 0.3686802327632904, -0.988312166929245, 0.0
testing, 27, 0.3548788666725159, -1.0795083522796631, 0.0
training, 28, 0.34776093746934617, -1.0325894724045481, 0.0
validating, 28, 0.3704614996910095, -0.9767926603555679, 0.0
testing, 28, 0.35280290246009827, -1.0758502572774886, 0.0
training, 29, 0.3485348846231188, -1.0346088141202927, 0.0
validating, 29, 0.3696513116359711, -0.9815676540136338, 0.0
testing, 29, 0.3533932834863663, -1.077502617239952, 0.0
training, 30, 0.3478499016591481, -1.0310500715460096, 0.0
validating, 30, 0.36998594403266905, -0.9808116257190704, 0.0
testing, 30, 0.35338724553585055, -1.0774683952331543, 0.0
training, 31, 0.3474533362048013, -1.031931301312787, 0.0
validating, 31, 0.3703336238861084, -0.9800157397985458, 0.0
testing, 31, 0.353424933552742, -1.076726359128952, 0.0
training, 32, 0.34708205120904106, -1.0310932208384787, 0.0
validating, 32, 0.37044597864151, -0.9796365618705749, 0.0
testing, 32, 0.3533151686191559, -1.076509739458561, 0.0
training, 33, 0.3471834714923586, -1.0307776987552644, 0.0
validating, 33, 0.370527058839798, -0.9790198564529419, 0.0
testing, 33, 0.35326133370399476, -1.0764923989772797, 0.0
training, 34, 0.3471656620502472, -1.0308518026556288, 0.0
validating, 34, 0.3705250918865204, -0.979247185587883, 0.0
testing, 34, 0.3532718807458878, -1.0766226932406426, 0.0
training, 35, 0.3471232771873474, -1.031034092605114, 0.0
validating, 35, 0.3703459620475769, -0.980072483420372, 0.0
testing, 35, 0.3535055905580521, -1.076956096291542, 0.0
training, 36, 0.3469775212662561, -1.0309731221624783, 0.0
validating, 36, 0.37050817608833314, -0.9794644296169281, 0.0
testing, 36, 0.35336498320102694, -1.0766174048185349, 0.0
training, 37, 0.34710021700177873, -1.0305976976241384, 0.0
validating, 37, 0.37055585980415345, -0.9794579297304153, 0.0
testing, 37, 0.35331591963768005, -1.0766539335250855, 0.0
training, 38, 0.34715038069656917, -1.0307572707533836, 0.0
validating, 38, 0.37070703506469727, -0.9787021517753601, 0.0
testing, 38, 0.35317354202270507, -1.0763083472847939, 0.0
training, 39, 0.34701528336320603, -1.0306228795221875, 0.0
validating, 39, 0.37060166001319883, -0.9791009932756424, 0.0
testing, 39, 0.3533116340637207, -1.0766011595726013, 0.0
training, 40, 0.3469685388462884, -1.0310582788927214, 0.0
validating, 40, 0.3706063687801361, -0.9790784031152725, 0.0
testing, 40, 0.3533442735671997, -1.076684857904911, 0.0
training, 41, 0.3470686090844018, -1.0309142849275044, 0.0
validating, 41, 0.3706904470920563, -0.978849133849144, 0.0
testing, 41, 0.35327533781528475, -1.0765487879514695, 0.0
training, 42, 0.3470617766891207, -1.030717927643231, 0.0
validating, 42, 0.3707367181777954, -0.9787723869085312, 0.0
testing, 42, 0.35324606895446775, -1.076440016925335, 0.0
training, 43, 0.3469812180314745, -1.0307147153786251, 0.0
validating, 43, 0.37072852849960325, -0.9787758141756058, 0.0
testing, 43, 0.35325639843940737, -1.0764379546046257, 0.0
training, 44, 0.3469795491014208, -1.0306943608181818, 0.0
validating, 44, 0.3707391321659088, -0.9786926865577698, 0.0
testing, 44, 0.35324977338314056, -1.0764623790979386, 0.0
training, 45, 0.3469774710280555, -1.0307371595076151, 0.0
validating, 45, 0.3707401156425476, -0.9788087546825409, 0.0
testing, 45, 0.3532520353794098, -1.0763753056526184, 0.0
training, 46, 0.34698708014828816, -1.0306594940168516, 0.0
validating, 46, 0.370755136013031, -0.9788585126399993, 0.0
testing, 46, 0.353239643573761, -1.0763671845197678, 0.0
training, 47, 0.3469868860074452, -1.0306526441659247, 0.0
validating, 47, 0.37075248956680296, -0.9785292387008667, 0.0
testing, 47, 0.35324369966983793, -1.0764153763651847, 0.0
training, 48, 0.34700257437569754, -1.0306775250605174, 0.0
validating, 48, 0.3707582354545593, -0.978896751999855, 0.0
testing, 48, 0.3532380014657974, -1.0764364093542098, 0.0
training, 49, 0.34698574755872996, -1.030677217245102, 0.0
validating, 49, 0.37076486349105836, -0.9787322282791138, 0.0
testing, 49, 0.35323765575885774, -1.0764191836118697, 0.0
training, 50, 0.3470106205769948, -1.0306686701519148, 0.0
validating, 50, 0.37078208327293394, -0.9786498636007309, 0.0
testing, 50, 0.3532210558652878, -1.076392538845539, 0.0
training, 51, 0.34699117626462667, -1.0305750099675997, 0.0
validating, 51, 0.3707783341407776, -0.9785807639360428, 0.0
testing, 51, 0.3532253563404083, -1.0763241648674011, 0.0
training, 52, 0.34699681869574955, -1.0307143964937755, 0.0
validating, 52, 0.37076480984687804, -0.9784238040447235, 0.0
testing, 52, 0.35324748456478117, -1.0763752341270447, 0.0
training, 53, 0.34698418974876405, -1.0307161231126105, 0.0
validating, 53, 0.3707650125026703, -0.9786752492189408, 0.0
testing, 53, 0.3532470166683197, -1.0763749018311501, 0.0
training, 54, 0.3469735141311373, -1.0306431834186827, 0.0
validating, 54, 0.37076659202575685, -0.9788436681032181, 0.0
testing, 54, 0.353245684504509, -1.0763571321964265, 0.0
training, 55, 0.3469732689005988, -1.0306710639170238, 0.0
validating, 55, 0.3707667708396912, -0.9788195371627808, 0.0
testing, 55, 0.3532459795475006, -1.076393263041973, 0.0
training, 56, 0.3469746006386621, -1.0306854556713785, 0.0
validating, 56, 0.3707688212394714, -0.9786700248718262, 0.0
testing, 56, 0.35324411988258364, -1.0765023171901702, 0.0
training, 57, 0.34697369635105135, -1.0306653984955378, 0.0
validating, 57, 0.37076722383499144, -0.9784792751073838, 0.0
testing, 57, 0.35324605703353884, -1.0764927566051483, 0.0
