Random seed, 7
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0977237445967538, -1.535723991053445, 0.0
validating, -1, 0.07093818187713623, -2.034114217758179, 0.0
testing, -1, 0.09882621765136719, -1.7741742491722108, 0.0
training, 0, 1.1171642065048217, -1.8781362635748726, 0.0
validating, 0, 1.0679231882095337, -1.9981727600097656, 0.0
testing, 0, 1.0315278887748718, -1.9329830646514892, 0.0
training, 1, 1.0781688724245344, -1.8089420880590166, 0.0
validating, 1, 0.9749205827713012, -1.8416213750839234, 0.0
testing, 1, 0.983191192150116, -2.517368507385254, 0.0
training, 2, 1.144694151197161, -2.149643404994692, 0.0
validating, 2, 0.31606757640838623, -2.171586203575134, 0.0
testing, 2, 0.32809947729110717, -1.9989918231964112, 0.0
training, 3, 0.8477853315217154, -1.7257277965545654, 0.0
validating, 3, 0.9297529220581054, -2.2667998313903808, 0.0
testing, 3, 1.0878576636314392, -2.070292901992798, 0.0
training, 4, 0.8811188203947885, -1.7548238260405404, 0.0
validating, 4, 0.4753920078277588, -2.1253838300704957, 0.0
testing, 4, 0.5543981909751892, -2.065289080142975, 0.0
training, 5, 0.6451842904090881, -1.712801854951041, 0.0
validating, 5, 0.4724056959152222, -2.0867173433303834, 0.0
testing, 5, 0.6265001177787781, -2.1124821066856385, 0.0
training, 6, 0.8059550779206412, -1.6688241600990295, 0.0
validating, 6, 0.5999754428863525, -2.1116499423980715, 0.0
testing, 6, 0.8114336133003235, -2.2436242580413817, 0.0
training, 7, 1.0833066361291068, -1.6748783767223359, 0.0
validating, 7, 0.5774753332138062, -2.326289939880371, 0.0
testing, 7, 0.7616953730583191, -2.2370477676391602, 0.0
training, 8, 0.944472827230181, -1.687539957676615, 0.0
validating, 8, 0.6473650693893432, -1.8369015216827393, 0.0
testing, 8, 0.7995418190956116, -2.0741801142692564, 0.0
training, 9, 1.4048052021435329, -1.7264893914972033, 0.0
validating, 9, 1.1869318008422851, -2.1843041658401487, 0.0
testing, 9, 1.4480857133865357, -2.238649368286133, 0.0
training, 10, 1.5290716426713127, -1.62979479602405, 0.0
validating, 10, 1.1174357652664184, -2.1540060520172117, 0.0
testing, 10, 1.3200143337249757, -2.015366721153259, 0.0
training, 11, 1.5205519012042454, -1.616281202009746, 0.0
validating, 11, 1.0823462724685669, -1.9652471780776977, 0.0
testing, 11, 1.3117900013923645, -2.141597205400467, 0.0
training, 12, 1.5450862084116255, -1.7023516382489885, 0.0
validating, 12, 1.294296145439148, -2.207609844207764, 0.0
testing, 12, 1.5418268322944642, -2.2313494861125944, 0.0
training, 13, 1.5918823463576182, -1.6488819735390798, 0.0
validating, 13, 1.0367897033691407, -2.1637964248657227, 0.0
testing, 13, 1.2289054155349732, -2.0842280983924866, 0.0
training, 14, 1.5491094027246748, -1.6316503592899867, 0.0
validating, 14, 1.240561842918396, -2.3389922618865966, 0.0
testing, 14, 1.5053264856338502, -1.8636094629764557, 0.0
training, 15, 1.7364440900938851, -1.7485136227948326, 0.0
validating, 15, 1.2050853013992309, -1.9318567037582397, 0.0
testing, 15, 1.4660989761352539, -1.950237089395523, 0.0
training, 16, 1.7207505311284745, -1.733925615463938, 0.0
validating, 16, 1.251132082939148, -2.19055712223053, 0.0
testing, 16, 1.5657867193222046, -2.1040857911109923, 0.0
training, 17, 1.8152137330600193, -1.7004169344902038, 0.0
validating, 17, 1.362309193611145, -2.4143516540527346, 0.0
testing, 17, 1.7246710896492004, -2.0678219199180603, 0.0
training, 18, 1.864074637208666, -1.6397043040820531, 0.0
validating, 18, 1.3454829931259156, -2.0684494018554687, 0.0
testing, 18, 1.6924447655677795, -1.9981764554977417, 0.0
training, 19, 1.8333679216248648, -1.6827044120856693, 0.0
validating, 19, 1.7039427995681762, -2.269465374946594, 0.0
testing, 19, 1.920171892642975, -2.1124507904052736, 0.0
training, 20, 2.203423249721527, -1.8463943430355616, 0.0
validating, 20, 1.6494388103485107, -2.2516868114471436, 0.0
testing, 20, 1.8497764706611632, -2.2879138350486756, 0.0
training, 21, 2.1122864859444754, -1.8618159532546996, 0.0
validating, 21, 1.650359869003296, -2.1418826580047607, 0.0
testing, 21, 1.8485311627388001, -2.160162901878357, 0.0
training, 22, 2.0897453035627094, -1.7932238757610321, 0.0
validating, 22, 1.6786522626876832, -2.116092491149902, 0.0
testing, 22, 1.8760212540626526, -2.014190983772278, 0.0
training, 23, 2.073214108603341, -1.6985991307667323, 0.0
validating, 23, 1.6337080240249633, -2.3701937675476072, 0.0
testing, 23, 1.8226014733314515, -2.0680058538913726, 0.0
training, 24, 2.009472826548985, -1.68615905387061, 0.0
validating, 24, 1.5642927885055542, -2.152158999443054, 0.0
testing, 24, 1.7613049864768981, -1.9544412195682526, 0.0
training, 25, 1.9339626959392002, -1.6449146449565888, 0.0
validating, 25, 1.5541823148727416, -1.9828416585922242, 0.0
testing, 25, 1.742308008670807, -2.0745982050895693, 0.0
training, 26, 1.9688021148954118, -1.711121608529772, 0.0
validating, 26, 1.5795917749404906, -2.2163875579833983, 0.0
testing, 26, 1.7721508145332336, -2.121450662612915, 0.0
training, 27, 1.9754424129213606, -1.690111141545432, 0.0
validating, 27, 1.5772499799728394, -2.1682077646255493, 0.0
