Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.4994592257908412, -4.322934259687151, 0.0
validating, -1, 1.5442518234252929, -4.394669866561889, 0.0
testing, -1, 1.539351463317871, -4.478136420249939, 0.0
training, 0, 4.026732839856829, -6.106543949672154, 0.0
validating, 0, 4.072181129455567, -6.107019233703613, 0.0
testing, 0, 3.985300636291504, -6.064831399917603, 0.0
training, 1, 3.992997019631522, -6.0521612576075965, 0.0
validating, 1, 3.958285903930664, -5.962204456329346, 0.0
testing, 1, 3.85772819519043, -5.897980356216431, 0.0
training, 2, 3.590190764835903, -5.502096543993269, 0.0
validating, 2, 3.155913162231445, -4.899096488952637, 0.0
testing, 2, 3.007530403137207, -4.869398784637451, 0.0
training, 3, 2.9854989051818848, -4.731713220051357, 0.0
validating, 3, 2.9892053604125977, -4.669965934753418, 0.0
testing, 3, 2.8686376571655274, -4.724688291549683, 0.0
training, 4, 2.919850090571812, -4.690229211534772, 0.0
validating, 4, 2.938559341430664, -4.687210941314698, 0.0
testing, 4, 2.8224770545959474, -4.744743537902832, 0.0
training, 5, 2.8869938577924454, -4.68397136415754, 0.0
validating, 5, 2.9016801834106447, -4.674568176269531, 0.0
testing, 5, 2.798348617553711, -4.754076051712036, 0.0
training, 6, 2.8574528421674454, -4.682408448628017, 0.0
validating, 6, 2.87567253112793, -4.678570938110352, 0.0
testing, 6, 2.7836372375488283, -4.768854761123658, 0.0
training, 7, 2.8341497829982214, -4.689532082421439, 0.0
validating, 7, 2.857427406311035, -4.678993225097656, 0.0
testing, 7, 2.7741777420043947, -4.774682521820068, 0.0
training, 8, 2.817268657684326, -4.688378647395543, 0.0
validating, 8, 2.846307373046875, -4.672700214385986, 0.0
testing, 8, 2.7746303558349608, -4.794545412063599, 0.0
training, 9, 2.8035680634634836, -4.675754131589617, 0.0
validating, 9, 2.8407991409301756, -4.659815311431885, 0.0
testing, 9, 2.770984172821045, -4.794726181030273, 0.0
training, 10, 2.7929471833365302, -4.666972064971924, 0.0
