Random seed, 17
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.13361416544233048, -1.1196282395294734, 0.0
validating, -1, 0.1390662670135498, -1.1483051180839539, 0.0
testing, -1, 0.1472570776939392, -1.1335187792778014, 0.0
training, 0, 1.998730342728751, -1.1061281102044243, 0.0
validating, 0, 1.9210475921630858, -1.0852694988250733, 0.0
testing, 0, 1.9907147765159607, -1.1095204293727874, 0.0
training, 1, 1.9990693194525582, -1.1061398931912014, 0.0
validating, 1, 1.9209859371185303, -1.0852695107460022, 0.0
testing, 1, 1.9907604098320006, -1.1095204114913941, 0.0
training, 2, 1.9920782327651978, -1.106158857686179, 0.0
validating, 2, 1.9133989334106445, -1.0852695107460022, 0.0
testing, 2, 1.9828482747077942, -1.1095204174518585, 0.0
training, 3, 1.9871023075921195, -1.1061416268348694, 0.0
validating, 3, 1.9066731929779053, -1.0852695107460022, 0.0
testing, 3, 1.97664076089859, -1.1095204114913941, 0.0
training, 4, 1.9839579411915371, -1.106140204838344, 0.0
validating, 4, 1.9066001892089843, -1.0852695107460022, 0.0
testing, 4, 1.9765729784965516, -1.1095204293727874, 0.0
training, 5, 1.9839197533471244, -1.1061401128768922, 0.0
validating, 5, 1.9065819263458252, -1.0852695107460022, 0.0
testing, 5, 1.9765492796897888, -1.109520435333252, 0.0
training, 6, 1.9839020013809203, -1.1061514394623893, 0.0
validating, 6, 1.9065708637237548, -1.0852695107460022, 0.0
testing, 6, 1.976541006565094, -1.1095204174518585, 0.0
training, 7, 1.961483005114964, -1.106152127470289, 0.0
validating, 7, 1.8618371963500977, -1.08526953458786, 0.0
testing, 7, 1.927223527431488, -1.1095204114913941, 0.0
training, 8, 1.935312785421099, -1.106150450025286, 0.0
validating, 8, 1.861704158782959, -1.085269558429718, 0.0
testing, 8, 1.9270496249198914, -1.1095204293727874, 0.0
training, 9, 1.9575481176376344, -1.1061404143060958, 0.0
validating, 9, 1.9028699398040771, -1.0852695107460022, 0.0
testing, 9, 1.9712553143501281, -1.1095204174518585, 0.0
training, 10, 1.981371249471392, -1.1061403427805219, 0.0
validating, 10, 1.9035205364227294, -1.0852695107460022, 0.0
testing, 10, 1.9719081044197082, -1.1095204293727874, 0.0
training, 11, 1.981011618886675, -1.1061597500528608, 0.0
validating, 11, 1.9028649806976319, -1.08526953458786, 0.0
testing, 11, 1.9711767315864563, -1.1095204114913941, 0.0
training, 12, 1.9803968940462384, -1.1061529414994375, 0.0
validating, 12, 1.9023276805877685, -1.0852695107460022, 0.0
testing, 12, 1.9705616354942321, -1.1095204174518585, 0.0
training, 13, 1.979902720451355, -1.1061415774481638, 0.0
validating, 13, 1.902093267440796, -1.0852695107460022, 0.0
testing, 13, 1.970292317867279, -1.1095204293727874, 0.0
training, 14, 1.9818021944590978, -1.1061341081346785, 0.0
validating, 14, 1.9040639400482178, -1.085269522666931, 0.0
testing, 14, 1.9741703867912292, -1.1095204114913941, 0.0
training, 15, 1.9809824092047554, -1.1061427116394043, 0.0
validating, 15, 1.8965155124664306, -1.0852695107460022, 0.0
testing, 15, 1.9665921807289124, -1.1095204114913941, 0.0
training, 16, 1.9881644010543824, -1.1061489071164812, 0.0
validating, 16, 1.9139897346496582, -1.0852695107460022, 0.0
testing, 16, 1.9858646273612977, -1.1095204114913941, 0.0
training, 17, 2.0025042636053905, -1.106148852620806, 0.0
validating, 17, 1.9626495361328125, -1.0852695941925048, 0.0
testing, 17, 2.0515738844871523, -1.1095204114913941, 0.0
training, 18, 2.0519342388425557, -1.106141461644854, 0.0
validating, 18, 1.9621514797210693, -1.0852695107460022, 0.0
testing, 18, 2.050612008571625, -1.1095204114913941, 0.0
training, 19, 2.074521122659956, -1.1061328666550772, 0.0
validating, 19, 2.0266980648040773, -1.0852695107460022, 0.0
testing, 19, 2.120508873462677, -1.1095204114913941, 0.0
training, 20, 2.1282378707613265, -1.106129458972386, 0.0
validating, 20, 2.0384763717651366, -1.0852695107460022, 0.0
testing, 20, 2.1327547907829283, -1.1095204114913941, 0.0
training, 21, 2.1217148065567017, -1.1061330114092145, 0.0
validating, 21, 2.028290319442749, -1.0852695107460022, 0.0
testing, 21, 2.122448217868805, -1.1095204114913941, 0.0
training, 22, 2.120465690749032, -1.1061347365379333, 0.0
validating, 22, 2.0235715389251707, -1.0852695107460022, 0.0
testing, 22, 2.1176897406578066, -1.1095204174518585, 0.0
training, 23, 2.115487660680498, -1.1061421462467738, 0.0
validating, 23, 2.0322065353393555, -1.0852695107460022, 0.0
testing, 23, 2.123520815372467, -1.1095204174518585, 0.0
training, 24, 2.1340671164648874, -1.1061519912311009, 0.0
validating, 24, 2.0430485725402834, -1.0852695107460022, 0.0
testing, 24, 2.131788694858551, -1.1095204174518585, 0.0
training, 25, 2.134634212085179, -1.1061345662389483, 0.0
validating, 25, 2.015885925292969, -1.0852695107460022, 0.0
testing, 25, 2.098706591129303, -1.1095204114913941, 0.0
training, 26, 2.089066072872707, -1.10613648550851, 0.0
validating, 26, 2.004280662536621, -1.085269522666931, 0.0
testing, 26, 2.086470091342926, -1.109520423412323, 0.0
training, 27, 2.083436690058027, -1.106136589390891, 0.0
validating, 27, 1.987254810333252, -1.0852695107460022, 0.0
testing, 27, 2.0683062195777895, -1.1095204114913941, 0.0
training, 28, 2.096481592314584, -1.1061478529657636, 0.0
validating, 28, 2.021476221084595, -1.085269522666931, 0.0
testing, 28, 2.0986130595207215, -1.1095204174518585, 0.0
training, 29, 2.1117816959108624, -1.1061412164143154, 0.0
validating, 29, 1.9964301586151123, -1.0852695107460022, 0.0
