Random seed, 17
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.333653222663062, -1.0932941734790802, 0.0
validating, -1, 1.298862874507904, -1.106428575515747, 0.0
testing, -1, 1.3682676523923873, -1.090579617023468, 0.0
training, 0, 2.0913651875087194, -1.0895115239279611, 0.0
validating, 0, 2.048139441013336, -1.0900920987129212, 0.0
testing, 0, 2.1511213004589083, -1.120538103580475, 0.0
training, 1, 2.090566679409572, -1.0895319368158067, 0.0
validating, 1, 2.0473476529121397, -1.0900920987129212, 0.0
testing, 1, 2.1503939509391783, -1.120538103580475, 0.0
training, 2, 2.0843792217118398, -1.0895209278379168, 0.0
validating, 2, 2.0239658117294312, -1.0900920987129212, 0.0
testing, 2, 2.1263412296772004, -1.120538103580475, 0.0
training, 3, 2.0376981888498578, -1.0895628477845873, 0.0
validating, 3, 1.934144341945648, -1.0900921106338501, 0.0
testing, 3, 2.031534433364868, -1.120538103580475, 0.0
training, 4, 1.9432530556406293, -1.0895290298121316, 0.0
validating, 4, 1.8813282132148743, -1.0900921106338501, 0.0
testing, 4, 1.971543115377426, -1.120538103580475, 0.0
training, 5, 1.9301547033446176, -1.089531831230436, 0.0
validating, 5, 1.8743804693222046, -1.0900920987129212, 0.0
testing, 5, 1.9647638380527497, -1.120538157224655, 0.0
training, 6, 1.9393030830792017, -1.0896280825138092, 0.0
validating, 6, 1.8624011754989624, -1.0900920987129212, 0.0
testing, 6, 1.9494571268558503, -1.1205381274223327, 0.0
training, 7, 1.9120461055210658, -1.089942842721939, 0.0
validating, 7, 1.8575093746185303, -1.0900921463966369, 0.0
testing, 7, 1.943559044599533, -1.1205381393432616, 0.0
training, 8, 1.9074977738516672, -1.0898071152823312, 0.0
validating, 8, 1.8502021431922913, -1.090092086791992, 0.0
testing, 8, 1.9357070803642273, -1.1205381095409392, 0.0
training, 9, 1.898256254196167, -1.0895465203693935, 0.0
validating, 9, 1.8333232879638672, -1.0900921106338501, 0.0
testing, 9, 1.9196542859077455, -1.1205381214618684, 0.0
training, 10, 1.8924600413867405, -1.089521541765758, 0.0
validating, 10, 1.8326422810554504, -1.090092086791992, 0.0
testing, 10, 1.91662295460701, -1.1205381214618684, 0.0
training, 11, 1.8863138897078378, -1.0896257698535918, 0.0
validating, 11, 1.8221625566482544, -1.0900921106338501, 0.0
testing, 11, 1.9051001906394958, -1.1205381274223327, 0.0
training, 12, 1.8839932118143354, -1.0896209452833447, 0.0
validating, 12, 1.8237544775009156, -1.0900920987129212, 0.0
testing, 12, 1.905929696559906, -1.120538103580475, 0.0
training, 13, 1.8852618183408465, -1.0896870919636317, 0.0
validating, 13, 1.8202242255210876, -1.0900920987129212, 0.0
testing, 13, 1.9024132668972016, -1.1205381095409392, 0.0
training, 14, 1.8825814144951956, -1.0896003569875445, 0.0
validating, 14, 1.8180219769477843, -1.0900920987129212, 0.0
testing, 14, 1.8996001839637757, -1.120538103580475, 0.0
training, 15, 1.8830319251332963, -1.0896200018269675, 0.0
validating, 15, 1.8220853805541992, -1.0900920987129212, 0.0
testing, 15, 1.9045860290527343, -1.120538103580475, 0.0
training, 16, 1.8828605311257498, -1.0895606637001038, 0.0
validating, 16, 1.8153017997741698, -1.0900920987129212, 0.0
testing, 16, 1.897845482826233, -1.120538103580475, 0.0
training, 17, 1.8796076621328082, -1.0895268891538892, 0.0
validating, 17, 1.8140384674072265, -1.0900920987129212, 0.0
testing, 17, 1.8948610126972198, -1.1205381095409392, 0.0
training, 18, 1.8843812363488333, -1.089526504278183, 0.0
validating, 18, 1.8181461691856384, -1.0900920987129212, 0.0
testing, 18, 1.8985302984714507, -1.120538103580475, 0.0
training, 19, 1.890410944393703, -1.089528899533408, 0.0
validating, 19, 1.8250951647758484, -1.0900920987129212, 0.0
testing, 19, 1.899235326051712, -1.124894493818283, 0.0
training, 20, 1.8955219268798829, -1.0895229314054762, 0.0
validating, 20, 1.8298578977584838, -1.0900920987129212, 0.0
testing, 20, 1.899532860517502, -1.1252030551433563, 0.0
training, 21, 1.8952215824808394, -1.0984900210584914, 0.0
validating, 21, 1.7900620937347411, -1.0900920987129212, 0.0
testing, 21, 1.8699997127056123, -1.120538103580475, 0.0
training, 22, 1.8819971374103002, -1.0895357983452933, 0.0
validating, 22, 1.833145761489868, -1.0900920987129212, 0.0
testing, 22, 1.9170983195304871, -1.120538103580475, 0.0
training, 23, 1.8891449928283692, -1.0895240817751204, 0.0
validating, 23, 1.8330972075462342, -1.0900920987129212, 0.0
testing, 23, 1.9167872965335846, -1.120538103580475, 0.0
training, 24, 1.8884531055177962, -1.089537686109543, 0.0
validating, 24, 1.831688141822815, -1.0900920987129212, 0.0
testing, 24, 1.9151457846164703, -1.120538103580475, 0.0
training, 25, 1.8870022160666329, -1.0895295645509446, 0.0
validating, 25, 1.8300663709640503, -1.0900920987129212, 0.0
testing, 25, 1.913175231218338, -1.120538103580475, 0.0
training, 26, 1.885877730165209, -1.089529068980898, 0.0
validating, 26, 1.8295985579490661, -1.0900920987129212, 0.0
testing, 26, 1.9125158131122588, -1.120538103580475, 0.0
training, 27, 1.8847215584346226, -1.0895351443971906, 0.0
validating, 27, 1.8278882384300232, -1.0900920987129212, 0.0
testing, 27, 1.9106408298015594, -1.120538103580475, 0.0
training, 28, 1.8832822714533124, -1.0895255369799477, 0.0
validating, 28, 1.826374626159668, -1.0900920987129212, 0.0
testing, 28, 1.9089347660541534, -1.120538103580475, 0.0
training, 29, 1.8820914711271013, -1.0895237267017364, 0.0
validating, 29, 1.8256687879562379, -1.0900920987129212, 0.0
testing, 29, 1.9081010520458221, -1.120538103580475, 0.0
training, 30, 1.8814585856028965, -1.089531079360417, 0.0
validating, 30, 1.8238038182258607, -1.0900920987129212, 0.0
testing, 30, 1.9062611043453217, -1.120538103580475, 0.0
training, 31, 1.878577617236546, -1.0895281910896302, 0.0
validating, 31, 1.8210190296173097, -1.0900920987129212, 0.0
testing, 31, 1.9033263444900512, -1.120538103580475, 0.0
training, 32, 1.8766742195401873, -1.0895347220557077, 0.0
validating, 32, 1.8198150634765624, -1.0900920987129212, 0.0
testing, 32, 1.9018225193023681, -1.120538103580475, 0.0
training, 33, 1.875823278086526, -1.0895334201199667, 0.0
validating, 33, 1.8185751676559447, -1.0900920987129212, 0.0
testing, 33, 1.9004109263420106, -1.120538103580475, 0.0
training, 34, 1.8740404384476799, -1.0895436389105662, 0.0
validating, 34, 1.8166299223899842, -1.0900920987129212, 0.0
testing, 34, 1.8982480466365814, -1.120538103580475, 0.0
training, 35, 1.8720456736428397, -1.0895403376647403, 0.0
validating, 35, 1.8149254083633424, -1.0900920987129212, 0.0
testing, 35, 1.8962341487407683, -1.120538103580475, 0.0
training, 36, 1.8709713407925197, -1.089529914515359, 0.0
validating, 36, 1.8130372166633606, -1.0900920987129212, 0.0
testing, 36, 1.8940910398960114, -1.1205381095409392, 0.0
training, 37, 1.8692958440099443, -1.0895319300038473, 0.0
validating, 37, 1.811518144607544, -1.0900920987129212, 0.0
testing, 37, 1.8924187481403352, -1.1205381095409392, 0.0
training, 38, 1.90185512644904, -1.089540821313858, 0.0
validating, 38, 1.9035340309143067, -1.0900920987129212, 0.0
testing, 38, 1.9971168756484985, -1.120538103580475, 0.0
training, 39, 1.9541778428213936, -1.0895328555788313, 0.0
validating, 39, 1.9029844760894776, -1.0900920987129212, 0.0
testing, 39, 1.9968026995658874, -1.120538103580475, 0.0
training, 40, 1.9479042598179408, -1.0895370210920061, 0.0
validating, 40, 1.8911629557609557, -1.0900920987129212, 0.0
testing, 40, 1.9844409644603729, -1.120538103580475, 0.0
training, 41, 1.9378087912287032, -1.0895397654601506, 0.0
validating, 41, 1.8836494565010071, -1.0900920987129212, 0.0
testing, 41, 1.9771370351314546, -1.120538103580475, 0.0
training, 42, 1.929976715360369, -1.0895302525588444, 0.0
validating, 42, 1.8707332730293273, -1.0900920987129212, 0.0
testing, 42, 1.9623361110687256, -1.120538103580475, 0.0
training, 43, 1.9222777945654732, -1.0895311364105769, 0.0
validating, 43, 1.8662921786308289, -1.0900920987129212, 0.0
testing, 43, 1.9575615584850312, -1.120538103580475, 0.0
training, 44, 1.916890151160104, -1.089524143082755, 0.0
validating, 44, 1.860419249534607, -1.0900921106338501, 0.0
testing, 44, 1.9527321338653565, -1.120538103580475, 0.0
training, 45, 1.906465915271214, -1.0895466906683786, 0.0
validating, 45, 1.8482934355735778, -1.0900920987129212, 0.0
testing, 45, 1.9399806261062622, -1.120538103580475, 0.0
training, 46, 1.9000882591520036, -1.0895376307623728, 0.0
validating, 46, 1.8417701125144958, -1.0900920987129212, 0.0
testing, 46, 1.9327388644218444, -1.1205381095409392, 0.0
training, 47, 1.8934578810419356, -1.089526700122016, 0.0
validating, 47, 1.8355881571769714, -1.0900920987129212, 0.0
testing, 47, 1.9246439933776855, -1.120538103580475, 0.0
training, 48, 1.8905697073255265, -1.0895335972309113, 0.0
validating, 48, 1.8323980927467347, -1.0900920987129212, 0.0
testing, 48, 1.9207141637802123, -1.120538103580475, 0.0
training, 49, 1.885795567716871, -1.0895390365804944, 0.0
validating, 49, 1.8272849678993226, -1.0900920987129212, 0.0
testing, 49, 1.9131265342235566, -1.1205381095409392, 0.0
training, 50, 1.8884334921836854, -1.0895263697419848, 0.0
validating, 50, 1.8294507622718812, -1.0900920987129212, 0.0
testing, 50, 1.9201422929763794, -1.1205381095409392, 0.0
training, 51, 1.8846567630767823, -1.089525296006884, 0.0
validating, 51, 1.8246495366096496, -1.0900920987129212, 0.0
testing, 51, 1.9125387072563171, -1.1205381095409392, 0.0
training, 52, 1.8811220475605557, -1.0895215392112731, 0.0
validating, 52, 1.821647047996521, -1.0900920987129212, 0.0
testing, 52, 1.9056624531745912, -1.1205381155014038, 0.0
training, 53, 1.8793380379676818, -1.0895376324653625, 0.0
validating, 53, 1.8181935667991638, -1.0900920987129212, 0.0
testing, 53, 1.902630239725113, -1.120538103580475, 0.0
training, 54, 1.8753921236310687, -1.0895284243992396, 0.0
validating, 54, 1.8150566935539245, -1.0900920987129212, 0.0
testing, 54, 1.8982102870941162, -1.120538103580475, 0.0
training, 55, 1.8716193471636091, -1.0895301129136767, 0.0
validating, 55, 1.8106399059295655, -1.0900920987129212, 0.0
testing, 55, 1.8944344162940978, -1.120538103580475, 0.0
training, 56, 1.87415520463671, -1.0895215545381818, 0.0
validating, 56, 1.8127904891967774, -1.0900920987129212, 0.0
testing, 56, 1.894096553325653, -1.120538103580475, 0.0
training, 57, 1.8720638530594962, -1.089523093189512, 0.0
validating, 57, 1.812535548210144, -1.0900920987129212, 0.0
testing, 57, 1.8939022481441499, -1.1205381095409392, 0.0
training, 58, 1.8706229380198887, -1.0895298881190163, 0.0
validating, 58, 1.8079245924949645, -1.0900920987129212, 0.0
testing, 58, 1.8953150749206542, -1.1205381095409392, 0.0
training, 59, 1.8732887336186, -1.089532881975174, 0.0
validating, 59, 1.813208556175232, -1.0900920987129212, 0.0
testing, 59, 1.9019484758377074, -1.120538103580475, 0.0
training, 60, 1.8735593012401035, -1.0895286909171513, 0.0
validating, 60, 1.8097111582756042, -1.0900920987129212, 0.0
testing, 60, 1.8926280856132507, -1.120538103580475, 0.0
training, 61, 1.8687437193734304, -1.089537695475987, 0.0
validating, 61, 1.806089997291565, -1.0900920987129212, 0.0
testing, 61, 1.893445336818695, -1.1205381155014038, 0.0
training, 62, 1.8690665670803615, -1.0895223924091884, 0.0
validating, 62, 1.8089448928833007, -1.0900920987129212, 0.0
testing, 62, 1.8962310910224915, -1.1205381155014038, 0.0
training, 63, 1.8643417256219046, -1.0895293167659215, 0.0
validating, 63, 1.8062016129493714, -1.0900920987129212, 0.0
testing, 63, 1.8859908163547516, -1.120538103580475, 0.0
