Random seed, 17
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.2141570006098066, -1.8111895203590394, 0.0
validating, -1, 2.1461127161979676, -1.7973509192466737, 0.0
testing, -1, 2.4162359178066253, -1.761325430870056, 0.0
training, 0, 3.0618253196988787, -2.4046463217054095, 0.0
validating, 0, 3.0432982206344605, -2.3999870300292967, 0.0
testing, 0, 3.122414565086365, -2.3792054891586303, 0.0
training, 1, 2.9248866013118198, -2.075907460280827, 0.0
validating, 1, 2.7244614601135253, -1.7973509192466737, 0.0
testing, 1, 2.8679912090301514, -1.7630666196346283, 0.0
training, 2, 2.706509191649301, -1.815402454989297, 0.0
validating, 2, 2.6643845081329345, -1.7973509192466737, 0.0
testing, 2, 2.8035998225212095, -1.7612279772758483, 0.0
training, 3, 2.6490435327802384, -1.8144773636545455, 0.0
validating, 3, 2.6072383165359496, -1.7973509192466737, 0.0
testing, 3, 2.752792251110077, -1.7612279772758483, 0.0
training, 4, 2.582315696988787, -1.813738785471235, 0.0
validating, 4, 2.510929083824158, -1.7973509192466737, 0.0
testing, 4, 2.6824898600578306, -1.7612279772758483, 0.0
training, 5, 2.49995219877788, -1.813321200438908, 0.0
validating, 5, 2.4765293836593627, -1.7989410281181335, 0.0
testing, 5, 2.6670907974243163, -1.7612279772758483, 0.0
training, 6, 2.466772658484323, -1.8135167496544975, 0.0
validating, 6, 2.4316025257110594, -1.801105546951294, 0.0
testing, 6, 2.6046096205711367, -1.7612279772758483, 0.0
training, 7, 2.441309472492763, -1.8137750455311366, 0.0
validating, 7, 2.4134037733078, -1.7974974036216735, 0.0
testing, 7, 2.5838975429534914, -1.7612279772758483, 0.0
training, 8, 2.4326901401792256, -1.8134449550083704, 0.0
validating, 8, 2.399045205116272, -1.7973509192466737, 0.0
testing, 8, 2.5753013849258424, -1.7612279772758483, 0.0
training, 9, 2.432737612724304, -1.8138116240501403, 0.0
validating, 9, 2.4281068801879884, -1.7973509192466737, 0.0
testing, 9, 2.6224131107330324, -1.7612279772758483, 0.0
training, 10, 2.439201397555215, -1.8151174221720014, 0.0
validating, 10, 2.407300877571106, -1.7973509192466737, 0.0
testing, 10, 2.5897932767868044, -1.7612279772758483, 0.0
training, 11, 2.4288846492767333, -1.8139732701437814, 0.0
validating, 11, 2.399882674217224, -1.7973509192466737, 0.0
testing, 11, 2.5822470426559447, -1.7612279772758483, 0.0
training, 12, 2.4268593873296465, -1.813766188280923, 0.0
validating, 12, 2.4023420333862306, -1.7973509192466737, 0.0
testing, 12, 2.5718414425849914, -1.7612279772758483, 0.0
training, 13, 2.426121059485844, -1.8137030482292176, 0.0
validating, 13, 2.3992390871047973, -1.7973509192466737, 0.0
testing, 13, 2.5741856575012205, -1.7612279772758483, 0.0
training, 14, 2.4260035361562458, -1.8145120756966726, 0.0
validating, 14, 2.396442174911499, -1.7973509192466737, 0.0
testing, 14, 2.5792561888694765, -1.7612279772758483, 0.0
training, 15, 2.424010000910078, -1.8146521057401384, 0.0
validating, 15, 2.3970136880874633, -1.7973509192466737, 0.0
testing, 15, 2.572749674320221, -1.761227983236313, 0.0
training, 16, 2.423274907044002, -1.8143229263169425, 0.0
validating, 16, 2.401757264137268, -1.7973509192466737, 0.0
testing, 16, 2.5869370222091677, -1.7612279772758483, 0.0
training, 17, 2.424968193258558, -1.814311671257019, 0.0
validating, 17, 2.3980702638626097, -1.7973509192466737, 0.0
testing, 17, 2.5735697388648986, -1.7612279772758483, 0.0
training, 18, 2.42539381980896, -1.8140671287264143, 0.0
validating, 18, 2.4146471977233888, -1.7973509192466737, 0.0
testing, 18, 2.5993957042694094, -1.7612279772758483, 0.0
training, 19, 2.42464040688106, -1.8146811859948295, 0.0
validating, 19, 2.4039718389511107, -1.7973509192466737, 0.0
testing, 19, 2.5777105927467345, -1.7612279772758483, 0.0
training, 20, 2.4223652124404906, -1.8146892411368234, 0.0
validating, 20, 2.398852825164795, -1.7973509192466737, 0.0
testing, 20, 2.570949578285217, -1.7616238713264465, 0.0
training, 21, 2.4224748066493444, -1.8150112424577987, 0.0
validating, 21, 2.4055022954940797, -1.7973509192466737, 0.0
testing, 21, 2.5872554898262026, -1.7612279772758483, 0.0
training, 22, 2.422807696887425, -1.8149276869637625, 0.0
validating, 22, 2.3936840057373048, -1.7973509192466737, 0.0
testing, 22, 2.5738819360733034, -1.7613946080207825, 0.0
training, 23, 2.4225855060986112, -1.8154058609689985, 0.0
validating, 23, 2.40262188911438, -1.7973509192466737, 0.0
testing, 23, 2.580964183807373, -1.7617013573646545, 0.0
training, 24, 2.4242314168385097, -1.815362777028765, 0.0
validating, 24, 2.3976310968399046, -1.7973509192466737, 0.0
testing, 24, 2.576760005950928, -1.7612279772758483, 0.0
training, 25, 2.421717849799565, -1.815062585898808, 0.0
validating, 25, 2.3912204027175905, -1.7973509192466737, 0.0
testing, 25, 2.568474543094635, -1.7616879105567933, 0.0
training, 26, 2.422743919917515, -1.8151091984340122, 0.0
validating, 26, 2.3932549476623537, -1.7973509192466737, 0.0
testing, 26, 2.5708977341651917, -1.761661171913147, 0.0
training, 27, 2.420722200189318, -1.8147993087768555, 0.0
validating, 27, 2.391354274749756, -1.7973509192466737, 0.0
testing, 27, 2.5698644876480103, -1.7623496294021606, 0.0
training, 28, 2.419745828424181, -1.8151470473834446, 0.0
validating, 28, 2.393223762512207, -1.7973509192466737, 0.0
testing, 28, 2.5748464584350588, -1.7612279772758483, 0.0
training, 29, 2.4202730246952604, -1.8148873226983206, 0.0
validating, 29, 2.3891194343566893, -1.7973509192466737, 0.0
testing, 29, 2.571052849292755, -1.7616665005683898, 0.0
training, 30, 2.419622688634055, -1.8151215723582677, 0.0
validating, 30, 2.3963332653045653, -1.7973509192466737, 0.0
testing, 30, 2.5822239995002745, -1.7612279772758483, 0.0
training, 31, 2.420256131035941, -1.8156968184879847, 0.0
validating, 31, 2.3918096303939818, -1.7973509192466737, 0.0
testing, 31, 2.5718677282333373, -1.7612279772758483, 0.0
training, 32, 2.42089581319264, -1.8143475106784275, 0.0
validating, 32, 2.3934921979904176, -1.7973509192466737, 0.0
testing, 32, 2.570520615577698, -1.761537206172943, 0.0
training, 33, 2.4190071753093174, -1.8148879187447684, 0.0
validating, 33, 2.393733549118042, -1.7973509192466737, 0.0
testing, 33, 2.5696799039840696, -1.7625559091567993, 0.0
training, 34, 2.4189076491764614, -1.8153977649552482, 0.0
validating, 34, 2.395273542404175, -1.7973509192466737, 0.0
testing, 34, 2.577434575557709, -1.7616461634635925, 0.0
training, 35, 2.41803434576307, -1.8148014153753007, 0.0
validating, 35, 2.396252489089966, -1.7973509192466737, 0.0
testing, 35, 2.573537456989288, -1.7626941919326782, 0.0
training, 36, 2.4192407829420906, -1.8202686394963945, 0.0
validating, 36, 2.3934794425964356, -1.7973509192466737, 0.0
testing, 36, 2.5672164797782897, -1.7629435181617736, 0.0
training, 37, 2.4173846278871807, -1.814656172479902, 0.0
validating, 37, 2.3915760040283205, -1.7973509192466737, 0.0
testing, 37, 2.5752051949501036, -1.7619360089302063, 0.0
training, 38, 2.4188498718397957, -1.814920619555882, 0.0
validating, 38, 2.391669511795044, -1.7973509192466737, 0.0
testing, 38, 2.569648778438568, -1.7618618965148927, 0.0
training, 39, 2.4174574170793806, -1.8153247765132359, 0.0
validating, 39, 2.3965790987014772, -1.7973509192466737, 0.0
testing, 39, 2.5769241213798524, -1.7612279772758483, 0.0
training, 40, 2.4198891009603227, -1.8156854322978428, 0.0
validating, 40, 2.3880746364593506, -1.7973509192466737, 0.0
testing, 40, 2.5670809149742126, -1.7623146891593933, 0.0
training, 41, 2.4200324961117334, -1.8157251800809588, 0.0
validating, 41, 2.396403670310974, -1.7973509192466737, 0.0
testing, 41, 2.5819687843322754, -1.7612279772758483, 0.0
training, 42, 2.419341857092721, -1.8155042733464921, 0.0
validating, 42, 2.38861825466156, -1.7973509192466737, 0.0
testing, 42, 2.5648930311203, -1.7625639319419861, 0.0
training, 43, 2.4178025467055186, -1.8144815155438014, 0.0
validating, 43, 2.391937494277954, -1.7973509192466737, 0.0
testing, 43, 2.5770233154296873, -1.7612279772758483, 0.0
training, 44, 2.423579582146236, -1.8138651967048645, 0.0
validating, 44, 2.3965383529663087, -1.799174726009369, 0.0
