Random seed, 18
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -1.2342084050178528, 0.0
validating, -1, 0.0, -1.231207287311554, 0.0
testing, -1, 0.0, -1.2347909569740296, 0.0
training, 0, 1.2747108961854663, -1.409149558203561, 0.0
validating, 0, 1.2321586608886719, -1.401526403427124, 0.0
testing, 0, 1.3026386052370071, -1.4105636477470398, 0.0
training, 1, 1.16873408470835, -1.3568534357207163, 0.0
validating, 1, 0.948024594783783, -1.302926254272461, 0.0
testing, 1, 0.9891923576593399, -1.3020166993141173, 0.0
training, 2, 0.9546484504427228, -1.2939660361834935, 0.0
validating, 2, 0.8751967370510101, -1.2961588144302367, 0.0
testing, 2, 0.9169766724109649, -1.2967688500881196, 0.0
training, 3, 0.7312574071543557, -1.2718802860804967, 0.0
validating, 3, 0.5065968036651611, -1.2899964094161986, 0.0
testing, 3, 0.5563606008887291, -1.2591895639896393, 0.0
training, 4, 0.5536774209567479, -1.2480444278035845, 0.0
validating, 4, 0.44875195622444153, -1.238839030265808, 0.0
testing, 4, 0.47981169521808625, -1.247108954191208, 0.0
training, 5, 0.49388861379453114, -1.241897966180529, 0.0
validating, 5, 0.46939746141433714, -1.2409816145896913, 0.0
testing, 5, 0.502507820725441, -1.2476040184497834, 0.0
training, 6, 0.4791850645627294, -1.2406022923333304, 0.0
validating, 6, 0.4501445829868317, -1.2362543106079102, 0.0
testing, 6, 0.470860992372036, -1.2449844419956206, 0.0
training, 7, 0.466430084833077, -1.2402042440005712, 0.0
validating, 7, 0.4283749580383301, -1.236345636844635, 0.0
testing, 7, 0.4514459647238255, -1.2449496805667877, 0.0
training, 8, 0.4566532701253891, -1.239876535960606, 0.0
validating, 8, 0.4133039012551308, -1.2356673955917359, 0.0
testing, 8, 0.431385749578476, -1.2437084078788758, 0.0
training, 9, 0.4504953586629459, -1.2397432718958175, 0.0
validating, 9, 0.39429827630519865, -1.2354723930358886, 0.0
testing, 9, 0.416437503695488, -1.2434065461158752, 0.0
training, 10, 0.44174333427633555, -1.239891105038779, 0.0
validating, 10, 0.398499122262001, -1.2361907601356505, 0.0
testing, 10, 0.4191226623952389, -1.243988674879074, 0.0
training, 11, 0.43329775908163615, -1.2394691518374852, 0.0
validating, 11, 0.37839003950357436, -1.2365289688110352, 0.0
testing, 11, 0.3992431819438934, -1.243800902366638, 0.0
training, 12, 0.4370062415088926, -1.2393430488450186, 0.0
validating, 12, 0.36539582461118697, -1.2366844058036803, 0.0
testing, 12, 0.3851190347224474, -1.244123923778534, 0.0
training, 13, 0.42091156265565327, -1.2393598437309266, 0.0
validating, 13, 0.3855138048529625, -1.2365259051322937, 0.0
testing, 13, 0.40413067638874056, -1.2436778962612152, 0.0
training, 14, 0.4108400623713221, -1.2392737439700536, 0.0
validating, 14, 0.35334345400333406, -1.236438810825348, 0.0
testing, 14, 0.37317256927490233, -1.2432540237903595, 0.0
training, 15, 0.40935169266802923, -1.2392625859805515, 0.0
validating, 15, 0.35437506139278413, -1.2370254397392273, 0.0
testing, 15, 0.3710945561528206, -1.2434986412525177, 0.0
training, 16, 0.39808159417339734, -1.2387851442609514, 0.0
validating, 16, 0.4061778724193573, -1.2380458950996398, 0.0
testing, 16, 0.41614497900009156, -1.2443379700183868, 0.0
training, 17, 0.41959737624440874, -1.2385999662535532, 0.0
validating, 17, 0.34061834812164304, -1.237273895740509, 0.0
testing, 17, 0.3580290488898754, -1.2432842016220094, 0.0
training, 18, 0.3954242344413485, -1.2391001854624066, 0.0
validating, 18, 0.3428138568997383, -1.2367287874221802, 0.0
testing, 18, 0.3566816322505474, -1.242635691165924, 0.0
training, 19, 0.392198662672724, -1.2385373490197318, 0.0
validating, 19, 0.36976463347673416, -1.2376514315605163, 0.0
testing, 19, 0.37784180864691735, -1.2433299779891969, 0.0
training, 20, 0.3927671743290765, -1.2390862430844989, 0.0
validating, 20, 0.3518310487270355, -1.2381356477737426, 0.0
testing, 20, 0.3633215703070164, -1.2435061097145081, 0.0
training, 21, 0.40939604725156514, -1.2382601261138917, 0.0
validating, 21, 0.35852912366390227, -1.2372721672058105, 0.0
testing, 21, 0.3632644712924957, -1.242463195323944, 0.0
training, 22, 0.39302391090563366, -1.2391499791826521, 0.0
validating, 22, 0.36747958064079284, -1.2373839974403382, 0.0
testing, 22, 0.36817617043852807, -1.242500329017639, 0.0
training, 23, 0.38737778046301435, -1.2385480437959944, 0.0
validating, 23, 0.3463979557156563, -1.2370643973350526, 0.0
testing, 23, 0.35088929273188113, -1.2423428535461425, 0.0
training, 24, 0.3952843408499445, -1.2382007837295532, 0.0
validating, 24, 0.35278363823890685, -1.2371111273765565, 0.0
testing, 24, 0.35426714196801184, -1.2420324385166168, 0.0
training, 25, 0.3799236020871571, -1.237949585914612, 0.0
validating, 25, 0.3693704307079315, -1.2379822492599488, 0.0
testing, 25, 0.3673025704920292, -1.2431276202201844, 0.0
training, 26, 0.3880338394216129, -1.2379822748047964, 0.0
validating, 26, 0.3756612345576286, -1.2369375586509705, 0.0
testing, 26, 0.3702806293964386, -1.2419360518455504, 0.0
training, 27, 0.3846096751945359, -1.2381515724318368, 0.0
validating, 27, 0.397541843354702, -1.237958514690399, 0.0
testing, 27, 0.38702053725719454, -1.2427056431770325, 0.0
training, 28, 0.3814261664237295, -1.2380515711648123, 0.0
validating, 28, 0.35703342258930204, -1.2379495739936828, 0.0
testing, 28, 0.3551668614149094, -1.2429219663143158, 0.0
training, 29, 0.3869427538343838, -1.237927554334913, 0.0
validating, 29, 0.3518325507640839, -1.2375940680503845, 0.0
testing, 29, 0.35021080262959003, -1.2423440873622895, 0.0
training, 30, 0.38669856914452144, -1.2382513012204852, 0.0
validating, 30, 0.36598983108997346, -1.237317442893982, 0.0
testing, 30, 0.3593266922980547, -1.2422251284122467, 0.0
training, 31, 0.38468788053308217, -1.2377278344971794, 0.0
validating, 31, 0.35767496526241305, -1.236783766746521, 0.0
testing, 31, 0.3522833213210106, -1.241886818408966, 0.0
training, 32, 0.38265939844506125, -1.2381253736359732, 0.0
validating, 32, 0.3486937388777733, -1.2372654676437378, 0.0
testing, 32, 0.34728060066699984, -1.2422463774681092, 0.0
training, 33, 0.3869131918464388, -1.2377466133662633, 0.0
validating, 33, 0.38527245372533797, -1.237747025489807, 0.0
testing, 33, 0.37560259699821474, -1.2426388442516327, 0.0
training, 34, 0.386172901732581, -1.2381207278796604, 0.0
validating, 34, 0.35059801340103147, -1.2373683452606201, 0.0
testing, 34, 0.3481712002307177, -1.24226513504982, 0.0
training, 35, 0.38097742359553066, -1.2380689314433506, 0.0
validating, 35, 0.34921630620956423, -1.2379139065742493, 0.0
testing, 35, 0.34983778446912767, -1.2426956832408904, 0.0
training, 36, 0.3809410828564848, -1.2381902251924788, 0.0
validating, 36, 0.3589066579937935, -1.2371999144554138, 0.0
testing, 36, 0.35206425450742246, -1.2420284450054169, 0.0
training, 37, 0.37743823336703436, -1.2379469633102418, 0.0
validating, 37, 0.38807263821363447, -1.2366738319396973, 0.0
testing, 37, 0.37531580701470374, -1.2416795372962952, 0.0
training, 38, 0.3794273558471884, -1.2383631689207895, 0.0
validating, 38, 0.36083385050296785, -1.2365384101867676, 0.0
testing, 38, 0.35412700548768045, -1.2415901958942412, 0.0
training, 39, 0.38156920735325134, -1.2378185272216797, 0.0
validating, 39, 0.36134420782327653, -1.2375527381896974, 0.0
testing, 39, 0.35359240248799323, -1.2423089385032653, 0.0
training, 40, 0.3741643736405032, -1.2376644662448337, 0.0
validating, 40, 0.3635628253221512, -1.2373373985290528, 0.0
testing, 40, 0.3556391976773739, -1.2421372056007385, 0.0
training, 41, 0.37560313663312367, -1.2373975617544992, 0.0
validating, 41, 0.3685477450489998, -1.2370315194129944, 0.0
testing, 41, 0.357189816236496, -1.2419148445129395, 0.0
training, 42, 0.37687964897070614, -1.2378397583961487, 0.0
validating, 42, 0.36807352751493455, -1.236748492717743, 0.0
testing, 42, 0.35876072756946087, -1.2417700111865997, 0.0
training, 43, 0.37369991317391393, -1.2376307708876473, 0.0
validating, 43, 0.35587478429079056, -1.237121033668518, 0.0
testing, 43, 0.35142082944512365, -1.2420377552509307, 0.0
training, 44, 0.3835148006677628, -1.23781841141837, 0.0
validating, 44, 0.3735184073448181, -1.2373052000999452, 0.0
testing, 44, 0.3616427071392536, -1.242057555913925, 0.0
training, 45, 0.3743369859244142, -1.2376066480364118, 0.0
validating, 45, 0.3784012570977211, -1.2373869657516479, 0.0
testing, 45, 0.36482020244002344, -1.2421801447868348, 0.0
