Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -2.6151012420654296, 0.0
validating, -1, 0.0, -2.551317310333252, 0.0
testing, -1, 0.0, -2.5998342871665954, 0.0
training, 0, 1.7949648244040353, -3.1071888208389282, 0.0
validating, 0, 1.8212673664093018, -3.044723129272461, 0.0
testing, 0, 1.722961777448654, -3.0611043095588686, 0.0
training, 1, 1.783180526324681, -3.1034561736243114, 0.0
validating, 1, 1.8024731755256653, -3.0401396989822387, 0.0
testing, 1, 1.7027553260326385, -3.0535057902336122, 0.0
training, 2, 1.704800227710179, -3.072556131226676, 0.0
validating, 2, 1.5952661752700805, -2.9402259826660155, 0.0
testing, 2, 1.4768153190612794, -2.9256450176239013, 0.0
training, 3, 1.2388584051813398, -2.8599192006247383, 0.0
validating, 3, 1.1365727365016938, -2.7324126243591307, 0.0
testing, 3, 0.9834880977869034, -2.751960015296936, 0.0
training, 4, 1.0834535888263157, -2.8036474670682634, 0.0
validating, 4, 1.2894203782081604, -2.7567036151885986, 0.0
testing, 4, 1.1285339295864105, -2.7671840310096742, 0.0
training, 5, 0.9860554814338685, -2.7912138904844013, 0.0
validating, 5, 0.987608003616333, -2.6752706289291384, 0.0
testing, 5, 0.8340752586722374, -2.7364254355430604, 0.0
training, 6, 0.8914703164781843, -2.7738306113651823, 0.0
validating, 6, 1.0642182886600495, -2.688807821273804, 0.0
testing, 6, 0.9094024866819381, -2.732734751701355, 0.0
training, 7, 0.9747108212539128, -2.8012452261788505, 0.0
validating, 7, 1.2480557203292846, -2.7975115060806273, 0.0
testing, 7, 1.0976519495248795, -2.7873710870742796, 0.0
training, 8, 0.9491354388850076, -2.7990136623382567, 0.0
validating, 8, 0.8928312480449676, -2.68122820854187, 0.0
testing, 8, 0.796552500128746, -2.757673239707947, 0.0
training, 9, 0.8260951152869633, -2.7647199971335277, 0.0
validating, 9, 0.8873693943023682, -2.6775087118148804, 0.0
testing, 9, 0.777289691567421, -2.7434821248054506, 0.0
training, 10, 0.8016493609973363, -2.7634780645370483, 0.0
validating, 10, 0.811108472943306, -2.6654680490493776, 0.0
testing, 10, 0.7500267565250397, -2.748583710193634, 0.0
training, 11, 0.780755295072283, -2.761998704501561, 0.0
validating, 11, 0.8157969206571579, -2.671399974822998, 0.0
testing, 11, 0.7801488429307938, -2.760717678070068, 0.0
training, 12, 0.8065238322530474, -2.7797867809023176, 0.0
validating, 12, 0.8196734070777894, -2.6520286560058595, 0.0
testing, 12, 0.7885339766740799, -2.7655999183654787, 0.0
training, 13, 0.7976516876901899, -2.773044092314584, 0.0
validating, 13, 0.8878266006708145, -2.6571386098861693, 0.0
testing, 13, 0.803866608440876, -2.7465009927749633, 0.0
training, 14, 0.8255984510694231, -2.786884430476597, 0.0
validating, 14, 0.8662310153245926, -2.642183303833008, 0.0
testing, 14, 0.7655134618282318, -2.7348049163818358, 0.0
training, 15, 0.7882957075323377, -2.7669594526290893, 0.0
validating, 15, 0.8283218741416931, -2.66234028339386, 0.0
testing, 15, 0.7678121715784073, -2.7515207886695863, 0.0
training, 16, 0.804786832843508, -2.7758120945521765, 0.0
validating, 16, 0.8407342880964279, -2.6848899841308596, 0.0
testing, 16, 0.8098295778036118, -2.752431583404541, 0.0
training, 17, 0.8073990072522844, -2.741950934273856, 0.0
validating, 17, 0.8605974912643433, -2.6673258781433105, 0.0
testing, 17, 0.7869202062487602, -2.7235884189605715, 0.0
training, 18, 0.8063254513910838, -2.751576246534075, 0.0
validating, 18, 0.8243544399738312, -2.6673999071121215, 0.0
testing, 18, 0.7568606555461883, -2.730973780155182, 0.0
training, 19, 0.8109599760600499, -2.7541845389774866, 0.0
validating, 19, 0.8613841265439988, -2.667405104637146, 0.0
testing, 19, 0.7802400022745133, -2.7375701546669005, 0.0
training, 20, 0.8713512224810464, -2.7703433854239328, 0.0
validating, 20, 1.0509664237499237, -2.6907409191131593, 0.0
testing, 20, 0.9379499405622482, -2.7520668625831606, 0.0
training, 21, 0.9240968823432922, -2.770297850881304, 0.0
validating, 21, 0.9899285674095154, -2.682294750213623, 0.0
testing, 21, 0.8810891509056091, -2.7415457010269164, 0.0
training, 22, 0.9005819742168699, -2.7698088475636076, 0.0
validating, 22, 0.9154013395309448, -2.65809485912323, 0.0
testing, 22, 0.8415727078914642, -2.735089135169983, 0.0
training, 23, 0.8535807771342141, -2.7572439636502946, 0.0
validating, 23, 0.8933015584945678, -2.672397565841675, 0.0
testing, 23, 0.806370010972023, -2.7281023144721983, 0.0
training, 24, 0.8086057032857622, -2.7594813687460764, 0.0
validating, 24, 0.8685871481895446, -2.6482065439224245, 0.0
testing, 24, 0.7902346268296242, -2.733446717262268, 0.0
training, 25, 0.8448470481804439, -2.7593143701553347, 0.0
validating, 25, 0.8985911011695862, -2.6728885173797607, 0.0
testing, 25, 0.8333120524883271, -2.7447421312332154, 0.0
training, 26, 0.8313215902873448, -2.76730340889522, 0.0
validating, 26, 0.9023827999830246, -2.6717633962631226, 0.0
testing, 26, 0.8340240910649299, -2.7438345670700075, 0.0
training, 27, 0.8251064896583558, -2.760221406391689, 0.0
validating, 27, 0.858809369802475, -2.652339744567871, 0.0
testing, 27, 0.7627189353108406, -2.722653257846832, 0.0
training, 28, 0.8304984978267125, -2.741650799342564, 0.0
validating, 28, 0.9142214953899384, -2.668537712097168, 0.0
testing, 28, 0.8070734933018684, -2.7289597034454345, 0.0
training, 29, 0.8550751141139439, -2.7502232619694302, 0.0
validating, 29, 0.9152942299842834, -2.6505727529525758, 0.0
testing, 29, 0.8018181875348092, -2.7274433612823485, 0.0
training, 30, 0.8206387106861387, -2.755729750224522, 0.0
validating, 30, 0.8694763273000717, -2.6578156471252443, 0.0
testing, 30, 0.7829490661621094, -2.729317831993103, 0.0
training, 31, 0.8399507820606231, -2.757440001623971, 0.0
validating, 31, 0.9425238966941833, -2.662956142425537, 0.0
testing, 31, 0.839524558186531, -2.7272414326667787, 0.0
training, 32, 0.8613368702786309, -2.7579228912081035, 0.0
validating, 32, 0.9037759482860566, -2.652800130844116, 0.0
testing, 32, 0.7937615022063256, -2.7258095502853394, 0.0
training, 33, 0.8290074987070901, -2.7564562116350446, 0.0
validating, 33, 0.9367509365081788, -2.6698055028915406, 0.0
testing, 33, 0.8130984276533126, -2.7363151788711546, 0.0
training, 34, 0.8387597586427417, -2.757756553377424, 0.0
validating, 34, 0.9131937712430954, -2.6565816402435303, 0.0
testing, 34, 0.8085716843605042, -2.735599601268768, 0.0
training, 35, 0.8192712162222181, -2.7605386325291223, 0.0
validating, 35, 0.8859845995903015, -2.6455129384994507, 0.0
testing, 35, 0.7753483727574348, -2.723479223251343, 0.0
training, 36, 0.8360762689794813, -2.7579610075269425, 0.0
validating, 36, 0.9079592287540436, -2.6553951263427735, 0.0
testing, 36, 0.7967874020338058, -2.7302362084388734, 0.0
training, 37, 0.8256335450070245, -2.7546080010277882, 0.0
validating, 37, 0.917532941699028, -2.6619804382324217, 0.0
testing, 37, 0.8157723933458328, -2.7344034075737, 0.0
training, 38, 0.8456460348197392, -2.76060654095241, 0.0
validating, 38, 0.9047464609146119, -2.664827561378479, 0.0
testing, 38, 0.8190157830715179, -2.7365100145339967, 0.0
training, 39, 0.8145410060882569, -2.7462026357650755, 0.0
validating, 39, 0.8750704556703568, -2.66072256565094, 0.0
testing, 39, 0.7907004058361053, -2.733127999305725, 0.0
training, 40, 0.7981822669506073, -2.743897591318403, 0.0
validating, 40, 0.8570095300674438, -2.658832383155823, 0.0
testing, 40, 0.7795367419719696, -2.734076809883118, 0.0
training, 41, 0.8005142552512032, -2.739981048447745, 0.0
validating, 41, 0.8821164309978485, -2.653516912460327, 0.0
testing, 41, 0.7955346360802651, -2.7219837307929993, 0.0
training, 42, 0.8409947574138641, -2.744482578550066, 0.0
validating, 42, 0.9166223376989364, -2.6681968212127685, 0.0
testing, 42, 0.8265982508659363, -2.73016300201416, 0.0
training, 43, 0.8434235398258482, -2.74094603402274, 0.0
validating, 43, 0.9225397288799286, -2.6769946098327635, 0.0
testing, 43, 0.8233365446329117, -2.738098847866058, 0.0
training, 44, 0.8370639694588525, -2.7450570958001275, 0.0
validating, 44, 0.8924832016229629, -2.652979326248169, 0.0
testing, 44, 0.7960947245359421, -2.716780757904053, 0.0
training, 45, 0.8417840067829404, -2.737216785975865, 0.0
validating, 45, 0.9127659320831298, -2.6671709299087523, 0.0
testing, 45, 0.8098370462656022, -2.727295732498169, 0.0
training, 46, 0.8418254034859793, -2.7460408653531756, 0.0
validating, 46, 0.8990770429372787, -2.6588879108428953, 0.0
testing, 46, 0.8221884936094284, -2.730541694164276, 0.0
training, 47, 0.8356210057224546, -2.7481947013310024, 0.0
validating, 47, 0.9396429300308228, -2.660644865036011, 0.0
testing, 47, 0.8318050473928451, -2.7255843043327332, 0.0
training, 48, 0.8821859053203038, -2.749724691254752, 0.0
validating, 48, 0.947994989156723, -2.6664108514785765, 0.0
testing, 48, 0.8547831743955612, -2.7334446907043457, 0.0
training, 49, 0.8612920939922333, -2.7458497728620257, 0.0
validating, 49, 0.9263026475906372, -2.6693938255310057, 0.0
testing, 49, 0.8266128391027451, -2.7342653393745424, 0.0
training, 50, 0.8357759577887399, -2.746018409729004, 0.0
validating, 50, 0.9009263306856156, -2.6568369388580324, 0.0
testing, 50, 0.8160712838172912, -2.7246006965637206, 0.0
training, 51, 0.8238866439887456, -2.7436602830886843, 0.0
validating, 51, 0.881743049621582, -2.644866681098938, 0.0
testing, 51, 0.7787331968545914, -2.716578149795532, 0.0
training, 52, 0.8057448029518127, -2.7338363545281545, 0.0
validating, 52, 0.8726313382387161, -2.6539614677429197, 0.0
testing, 52, 0.7859530925750733, -2.727889335155487, 0.0
training, 53, 0.8222201687949044, -2.7396160806928362, 0.0
validating, 53, 0.8985832333564758, -2.657501983642578, 0.0
testing, 53, 0.8029265582561493, -2.7257427096366884, 0.0
training, 54, 0.822095371569906, -2.7445295572280886, 0.0
validating, 54, 0.9061005532741546, -2.657972240447998, 0.0
testing, 54, 0.8176380008459091, -2.7263506412506104, 0.0
training, 55, 0.8257219961711338, -2.7398549931389944, 0.0
validating, 55, 0.8748588740825654, -2.6561971426010134, 0.0
testing, 55, 0.7904423624277115, -2.72791827917099, 0.0
training, 56, 0.8141256690025329, -2.7357165268489294, 0.0
validating, 56, 0.8605710119009018, -2.654180645942688, 0.0
testing, 56, 0.78116674721241, -2.7284752130508423, 0.0
training, 57, 0.7868699320725032, -2.7264654091426306, 0.0
validating, 57, 0.8254283398389817, -2.6512937545776367, 0.0
testing, 57, 0.756038048863411, -2.7209600448608398, 0.0
training, 58, 0.781526295202119, -2.730632839884077, 0.0
validating, 58, 0.8471811026334762, -2.6427417278289793, 0.0
testing, 58, 0.7628739297389984, -2.7094657897949217, 0.0
training, 59, 0.7942939004727773, -2.7224660396575926, 0.0
