Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.4938446657998221, -0.7980098485946655, 0.0
validating, -1, 0.5083850383758545, -0.7136521816253663, 0.0
testing, -1, 0.5029703617095947, -0.8388127170503139, 0.0
training, 0, 7.4694007396697994, -2.190433670793261, 0.0
validating, 0, 9.80122389793396, -1.7161315500736236, 0.0
testing, 0, 7.851759672164917, -2.096506804227829, 0.0
training, 1, 6.589803171157837, -1.7826089373656682, 0.0
validating, 1, 7.84259524345398, -1.4716923475265502, 0.0
testing, 1, 7.659351921081543, -1.896176168322563, 0.0
training, 2, 6.334755373001099, -1.6430284474577224, 0.0
validating, 2, 7.565572834014892, -1.6998010218143462, 0.0
testing, 2, 7.577102375030518, -1.5353303015232087, 0.0
training, 3, 6.176536049161639, -1.3856174290180205, 0.0
validating, 3, 7.654234790802002, -1.6848973393440247, 0.0
testing, 3, 7.1426924705505375, -1.5288459718227387, 0.0
training, 4, 6.1717241082872665, -1.354476945740836, 0.0
validating, 4, 7.957422208786011, -1.4963484585285187, 0.0
testing, 4, 7.047127199172974, -1.745531764626503, 0.0
training, 5, 6.102713223866054, -1.3368769381727492, 0.0
validating, 5, 7.563839149475098, -1.5125964164733887, 0.0
testing, 5, 7.0246806144714355, -1.3457939118146895, 0.0
training, 6, 5.999111768177578, -1.3039562710693904, 0.0
validating, 6, 7.500188684463501, -1.3632172167301178, 0.0
testing, 6, 7.2088682651519775, -1.2552062541246414, 0.0
training, 7, 5.963322932379587, -1.2745266922882625, 0.0
validating, 7, 7.525139474868775, -1.4407048583030702, 0.0
testing, 7, 7.167488050460816, -1.3025243401527404, 0.0
training, 8, 5.959002433504377, -1.2553747492177145, 0.0
validating, 8, 7.703989553451538, -1.6304036676883698, 0.0
testing, 8, 6.938732147216797, -1.4023625552654266, 0.0
training, 9, 5.955417789731707, -1.2916017626013074, 0.0
validating, 9, 7.594956254959106, -1.446474200487137, 0.0
testing, 9, 7.043685340881348, -1.3026735842227937, 0.0
training, 10, 5.913134935923985, -1.2919085689953396, 0.0
validating, 10, 7.631186008453369, -1.3565263986587524, 0.0
testing, 10, 7.140219640731812, -1.3011866718530656, 0.0
Random seed, 11
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.4740709815706525, -0.6673458975340639, 0.0
validating, -1, 0.4971583843231201, -0.6641668438911438, 0.0
testing, -1, 0.5070528507232666, -0.7504874676465988, 0.0
training, 0, 5.585059475898743, -1.2433878988027574, 0.0
validating, 0, 7.33950662612915, -1.1968438863754272, 0.0
testing, 0, 5.187808537483216, -1.3248109459877013, 0.0
training, 1, 5.52499668598175, -1.2404758117028645, 0.0
validating, 1, 7.234144973754883, -1.1927193760871888, 0.0
testing, 1, 5.073474287986755, -1.3195426344871521, 0.0
training, 2, 5.431907234873091, -1.2352261360202517, 0.0
validating, 2, 7.124118900299072, -1.1849112927913665, 0.0
testing, 2, 4.987172150611878, -1.3122506767511368, 0.0
training, 3, 5.231578843934195, -1.2408246551241193, 0.0
validating, 3, 6.673188877105713, -1.1406756669282914, 0.0
testing, 3, 4.795358562469483, -1.3330983698368073, 0.0
training, 4, 4.889954154832022, -1.262583984221731, 0.0
validating, 4, 6.3905996799469, -1.1437591552734374, 0.0
testing, 4, 4.690203261375427, -1.3525595635175705, 0.0
training, 5, 4.71144209929875, -1.279499847974096, 0.0
validating, 5, 6.282913875579834, -1.1535643011331558, 0.0
testing, 5, 4.58665919303894, -1.3420330882072449, 0.0
training, 6, 4.612921425274441, -1.257066633445876, 0.0
validating, 6, 6.4390970230102536, -1.1702327936887742, 0.0
testing, 6, 4.734353852272034, -1.3905023753643035, 0.0
training, 7, 4.449982305935451, -1.2475169854504722, 0.0
validating, 7, 6.254855442047119, -1.1748259246349335, 0.0
testing, 7, 4.464466142654419, -1.287637460231781, 0.0
training, 8, 4.42495356627873, -1.2355658578021185, 0.0
validating, 8, 6.252143621444702, -1.1799242675304413, 0.0
testing, 8, 4.470108222961426, -1.2776909559965133, 0.0
training, 9, 4.412827263559614, -1.2084547106708798, 0.0
validating, 9, 6.26722412109375, -1.172616994380951, 0.0
testing, 9, 4.391344904899597, -1.2715468049049377, 0.0
training, 10, 4.277801374026708, -1.2030947289296559, 0.0
validating, 10, 6.388762521743774, -1.1997691690921783, 0.0
testing, 10, 4.5696718215942385, -1.3168965876102448, 0.0
training, 11, 4.299888266835894, -1.1883889266422816, 0.0
validating, 11, 6.384682321548462, -1.20394127368927, 0.0
testing, 11, 4.381871342658997, -1.2572258159518241, 0.0
training, 12, 4.2359778574534825, -1.1942679933139255, 0.0
validating, 12, 6.615796184539795, -1.2466838032007217, 0.0
testing, 12, 4.424066209793091, -1.2397430062294006, 0.0
Random seed, 15
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.4623826026916504, -0.9179243155888148, 0.0
validating, -1, 0.4560601234436035, -1.0667162448167802, 0.0
testing, -1, 0.4442872405052185, -0.9604373380541802, 0.0
training, 0, 6.564061273847307, -2.0451079632554734, 0.0
validating, 0, 5.6575134754180905, -1.8526431620121002, 0.0
testing, 0, 5.209796142578125, -2.2023319840431212, 0.0
training, 1, 5.958776187896729, -1.796271818450519, 0.0
validating, 1, 6.016804265975952, -1.6408975064754485, 0.0
testing, 1, 4.422846007347107, -1.8986357152462006, 0.0
training, 2, 5.784754119600568, -1.80583379311221, 0.0
validating, 2, 5.657578706741333, -1.6871078550815581, 0.0
testing, 2, 4.2666280508041385, -1.951310658454895, 0.0
training, 3, 5.719910335540772, -1.7487583254064833, 0.0
validating, 3, 5.946239709854126, -1.5727096319198608, 0.0
testing, 3, 4.1045029878616335, -1.788200917840004, 0.0
training, 4, 5.63797960962568, -1.6712633780070714, 0.0
validating, 4, 5.710109758377075, -1.530998569726944, 0.0
testing, 4, 3.9904754638671873, -1.7308553844690322, 0.0
training, 5, 5.593326030458723, -1.587461816413062, 0.0
validating, 5, 5.553261613845825, -1.4991618156433106, 0.0
testing, 5, 3.994486403465271, -1.7053986698389054, 0.0
training, 6, 5.479055411475045, -1.5805333137512207, 0.0
validating, 6, 5.437786531448364, -1.4608853697776794, 0.0
testing, 6, 3.8799389362335206, -1.6614596903324128, 0.0
training, 7, 5.432953126089913, -1.5156980463436671, 0.0
validating, 7, 7.186173677444458, -1.5084265172481537, 0.0
testing, 7, 4.27563509941101, -1.6815818458795548, 0.0
training, 8, 5.351287909916469, -1.5626100306000028, 0.0
validating, 8, 5.120668363571167, -1.4678995132446289, 0.0
testing, 8, 4.169271874427795, -1.7059709012508393, 0.0
training, 9, 5.121478387287685, -1.4602434294564384, 0.0
validating, 9, 5.247128057479858, -1.3666011691093445, 0.0
testing, 9, 3.6913510084152223, -1.5443052798509598, 0.0
training, 10, 5.096729925700596, -1.5420240947178432, 0.0
validating, 10, 5.2890197277069095, -1.4150922298431396, 0.0
testing, 10, 3.6517760038375853, -1.596942099928856, 0.0
training, 11, 4.935916471481323, -1.386342116338866, 0.0
validating, 11, 6.005050706863403, -1.3232405066490174, 0.0
testing, 11, 3.6822046995162965, -1.4328253388404846, 0.0
training, 12, 4.984786462783814, -1.3927607404334204, 0.0
validating, 12, 5.6321022510528564, -1.3252464532852173, 0.0
testing, 12, 3.572899889945984, -1.4349530994892121, 0.0
training, 13, 4.780107123511178, -1.3490330798285348, 0.0
validating, 13, 5.645980310440064, -1.326194739341736, 0.0
testing, 13, 3.5923578262329103, -1.4384494841098785, 0.0
Random seed, 9
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.5186832972935268, -1.7830014143671309, 0.0
validating, -1, 0.4731727123260498, -1.563841450214386, 0.0
testing, -1, 0.5320991516113281, -1.6727794289588929, 0.0
training, 0, 5.4581526824406215, -2.986284305368151, 0.0
validating, 0, 5.23090443611145, -2.7737825512886047, 0.0
testing, 0, 5.621564531326294, -2.8354041814804076, 0.0
training, 1, 5.1201094354902, -2.639195348535265, 0.0
validating, 1, 4.6374595165252686, -2.3037970423698426, 0.0
testing, 1, 5.1791469812393185, -2.336406636238098, 0.0
training, 2, 4.904421533857073, -2.4409403852054052, 0.0
validating, 2, 4.360143661499023, -2.1481751918792726, 0.0
testing, 2, 4.927920389175415, -2.172175997495651, 0.0
training, 3, 4.714053910119193, -2.2911796842302596, 0.0
validating, 3, 4.131219148635864, -2.0661905288696287, 0.0
testing, 3, 4.748465466499328, -2.199261850118637, 0.0
training, 4, 4.614848736354283, -2.288001923901694, 0.0
validating, 4, 3.9831926822662354, -2.0323837041854858, 0.0
testing, 4, 4.4840904712677006, -2.156247800588608, 0.0
training, 5, 4.5322267532348635, -2.2494512217385427, 0.0
validating, 5, 3.8700974941253663, -2.020060360431671, 0.0
testing, 5, 4.3974625825881954, -2.0932907581329347, 0.0
training, 6, 4.406851761681693, -2.187471834250859, 0.0
validating, 6, 3.95019645690918, -1.9381784915924072, 0.0
testing, 6, 4.412141680717468, -2.0481029987335204, 0.0
training, 7, 4.298622703552246, -2.182681907926287, 0.0
validating, 7, 3.7341686248779298, -1.9804033756256103, 0.0
