Random seed, 10
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.32548437799726215, -0.9114820659160614, 0.0
validating, -1, 0.31319379806518555, -0.8790418446063996, 0.0
testing, -1, 0.33144364356994627, -0.906122162938118, 0.0
training, 0, 4.477412618909564, -0.9504374206066132, 0.0
validating, 0, 4.535618686676026, -0.9352050602436066, 0.0
testing, 0, 4.2765332698822025, -0.9396900951862335, 0.0
training, 1, 4.477680260794504, -0.9504796300615583, 0.0
validating, 1, 4.534575462341309, -0.9352845013141632, 0.0
testing, 1, 4.27324070930481, -0.939717510342598, 0.0
training, 2, 4.471243327004569, -0.9505656497819083, 0.0
validating, 2, 4.530081081390381, -0.9354256570339203, 0.0
testing, 2, 4.262821769714355, -0.9398269593715668, 0.0
training, 3, 4.465257712772915, -0.9504727687154497, 0.0
validating, 3, 4.527664852142334, -0.935574060678482, 0.0
testing, 3, 4.257415866851806, -0.9397342532873154, 0.0
training, 4, 4.457049942016601, -0.9505172601767948, 0.0
validating, 4, 4.515989017486572, -0.935672926902771, 0.0
testing, 4, 4.238743925094605, -0.9396444231271743, 0.0
training, 5, 4.44585188456944, -0.9503266291958945, 0.0
validating, 5, 4.521317005157471, -0.9354846358299256, 0.0
testing, 5, 4.246431350708008, -0.9395649641752243, 0.0
training, 6, 4.449252605438232, -0.9502942979335784, 0.0
validating, 6, 4.516433429718018, -0.9355899453163147, 0.0
testing, 6, 4.236656618118286, -0.9394461691379548, 0.0
training, 7, 4.441060038975307, -0.9501011303492954, 0.0
validating, 7, 4.50945520401001, -0.9357352674007415, 0.0
testing, 7, 4.226822328567505, -0.9393189758062362, 0.0
training, 8, 4.430124051230294, -0.9499303443091256, 0.0
validating, 8, 4.501232051849366, -0.9356928288936615, 0.0
testing, 8, 4.210986375808716, -0.9390992611646652, 0.0
training, 9, 4.411559064047677, -0.949653479882649, 0.0
validating, 9, 4.484572410583496, -0.9357731699943542, 0.0
testing, 9, 4.187174367904663, -0.9386450827121735, 0.0
training, 10, 4.398503930228097, -0.9503941808428084, 0.0
validating, 10, 4.482282447814941, -0.9357581734657288, 0.0
testing, 10, 4.176898384094239, -0.9427774220705032, 0.0
training, 11, 4.399188504900251, -0.9501774515424456, 0.0
validating, 11, 4.491342353820801, -0.935800039768219, 0.0
testing, 11, 4.185830163955688, -0.9384771198034286, 0.0
training, 12, 4.402811282021659, -0.950052911894662, 0.0
validating, 12, 4.493525981903076, -0.9449625372886657, 0.0
testing, 12, 4.176369714736938, -0.9425943344831467, 0.0
training, 13, 4.398870849609375, -0.9491720753056663, 0.0
validating, 13, 4.507949924468994, -0.9457319021224976, 0.0
testing, 13, 4.176159954071045, -0.9380022048950195, 0.0
training, 14, 4.401285525730678, -0.9497218651430948, 0.0
validating, 14, 4.503682231903076, -0.9458880722522736, 0.0
testing, 14, 4.160706901550293, -0.9427245706319809, 0.0
training, 15, 4.384928975786481, -0.9489558918135507, 0.0
validating, 15, 4.492756080627442, -0.9459052145481109, 0.0
testing, 15, 4.142169952392578, -0.9378360480070114, 0.0
training, 16, 4.369595037187849, -0.9499586812087468, 0.0
validating, 16, 4.456759262084961, -0.9356460928916931, 0.0
testing, 16, 4.132660245895385, -0.937967735528946, 0.0
