Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.5132731028965541, -0.38085419610142707, 0.0
validating, -1, 0.4969794273376465, -0.33560534119606017, 0.0
testing, -1, 0.5183938503265381, -0.36162473298609255, 0.0
training, 0, 3.2254548958369664, -1.12516508102417, 0.0
validating, 0, 3.2028438091278075, -1.2166880786418914, 0.0
testing, 0, 3.2633200168609617, -1.1142201215028762, 0.0
training, 1, 3.221285159247262, -1.1357783462320055, 0.0
validating, 1, 3.1860774517059327, -1.209335094690323, 0.0
testing, 1, 3.2472837448120115, -1.136729907989502, 0.0
training, 2, 3.121252747944423, -1.0360759045396533, 0.0
validating, 2, 2.9251433849334716, -0.9628247320652008, 0.0
testing, 2, 2.996828556060791, -0.8333435267210006, 0.0
training, 3, 2.7247759546552386, -0.665940352848598, 0.0
validating, 3, 2.4546480655670164, -0.637285178899765, 0.0
testing, 3, 2.5333903074264525, -0.6194455042481423, 0.0
training, 4, 2.4043819086892264, -0.6365469362054552, 0.0
validating, 4, 2.207449769973755, -0.576770281791687, 0.0
testing, 4, 2.2865721225738525, -0.6501094669103622, 0.0
training, 5, 2.2404094968523296, -0.6013282026563372, 0.0
validating, 5, 2.044286680221558, -0.5694224953651428, 0.0
testing, 5, 2.1321010112762453, -0.6272309616208076, 0.0
training, 6, 2.1114354951041086, -0.5726552452359881, 0.0
validating, 6, 1.9073538303375244, -0.5599653989076614, 0.0
testing, 6, 2.0108722686767577, -0.5699970051646233, 0.0
training, 7, 1.9847273213522776, -0.5526820344584329, 0.0
validating, 7, 1.7684492588043212, -0.5492268174886703, 0.0
testing, 7, 1.892652201652527, -0.5484033763408661, 0.0
training, 8, 1.8567744050707136, -0.535539853147098, 0.0
validating, 8, 1.6428033351898192, -0.5320334881544113, 0.0
testing, 8, 1.7918211698532105, -0.5405685931444169, 0.0
training, 9, 1.8120607103620257, -0.5275498935154506, 0.0
validating, 9, 1.6112412929534912, -0.5217971652746201, 0.0
testing, 9, 1.769980216026306, -0.5339140146970749, 0.0
training, 10, 1.76214188848223, -0.5255039304494857, 0.0
validating, 10, 1.5637649059295655, -0.5156258702278137, 0.0
testing, 10, 1.739869475364685, -0.5326694041490555, 0.0
training, 11, 1.7062217099325998, -0.517643583885261, 0.0
validating, 11, 1.541182851791382, -0.5020935267210007, 0.0
testing, 11, 1.7253970623016357, -0.5283616930246353, 0.0
training, 12, 1.687630067552839, -0.5103061965533665, 0.0
validating, 12, 1.5059845447540283, -0.49593313932418825, 0.0
testing, 12, 1.6927985429763794, -0.5417829394340515, 0.0
training, 13, 1.6729279858725412, -0.5080320422138487, 0.0
validating, 13, 1.5258405208587646, -0.4893504112958908, 0.0
testing, 13, 1.7079602241516114, -0.5183032989501953, 0.0
training, 14, 1.669254984174456, -0.50552915760449, 0.0
validating, 14, 1.492469072341919, -0.4850760489702225, 0.0
testing, 14, 1.6786751985549926, -0.5114619970321655, 0.0
training, 15, 1.6420056547437396, -0.509740247470992, 0.0
validating, 15, 1.4842299938201904, -0.47999115884304044, 0.0
