Random seed, 10
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.17566001074654716, -1.0286341045583998, 0.0
validating, -1, 0.14337496757507323, -1.0255302250385285, 0.0
testing, -1, 0.17865068912506105, -1.0142792910337448, 0.0
training, 0, 2.118133837836129, -2.192257419654301, 0.0
validating, 0, 2.1885257720947267, -2.3241766571998594, 0.0
testing, 0, 2.360768449306488, -2.2209605395793917, 0.0
training, 1, 1.6072758095605033, -1.474405106476375, 0.0
validating, 1, 1.489921760559082, -1.3577774167060852, 0.0
testing, 1, 1.5654062151908874, -1.5033936202526093, 0.0
training, 2, 1.4150069986070906, -1.3130273342132568, 0.0
validating, 2, 1.4136574745178223, -1.2146281838417052, 0.0
testing, 2, 1.3778728365898132, -1.2879638612270354, 0.0
training, 3, 1.4492596762520926, -1.3890016606875828, 0.0
validating, 3, 1.3810126304626464, -1.2571824669837952, 0.0
testing, 3, 1.3950896382331848, -1.2729718387126923, 0.0
training, 4, 1.4186568532671247, -1.3574124251093183, 0.0
validating, 4, 1.3924197673797607, -1.1350843906402588, 0.0
testing, 4, 1.3139312148094178, -1.1496631145477294, 0.0
training, 5, 1.3484302418572562, -1.3122755323137556, 0.0
validating, 5, 1.3728513717651367, -1.1452483534812927, 0.0
testing, 5, 1.2851989626884461, -1.1620559513568878, 0.0
training, 6, 1.327091305596488, -1.2761017986706324, 0.0
validating, 6, 1.3417205810546875, -1.1248910188674928, 0.0
testing, 6, 1.2355257034301759, -1.147628766298294, 0.0
training, 7, 1.2832005739212036, -1.289186794417245, 0.0
validating, 7, 1.399147891998291, -1.1418559074401855, 0.0
testing, 7, 1.321546196937561, -1.2443520247936248, 0.0
training, 8, 1.2758858919143676, -1.2679703746523177, 0.0
validating, 8, 1.2454573154449462, -1.1019123196601868, 0.0
testing, 8, 1.1788549780845643, -1.1136011064052582, 0.0
training, 9, 1.1722244603293284, -1.2292288984571185, 0.0
validating, 9, 1.318424892425537, -1.2226393461227416, 0.0
testing, 9, 1.3181607365608214, -1.2037298083305359, 0.0
training, 10, 1.1732083695275444, -1.178706077166966, 0.0
validating, 10, 1.1411659240722656, -1.0532902717590331, 0.0
testing, 10, 1.141084325313568, -1.068120962381363, 0.0
training, 11, 1.1716270412717547, -1.1763108713286263, 0.0
validating, 11, 1.226680326461792, -1.0565075516700744, 0.0
testing, 11, 1.2115363359451294, -1.1235108196735382, 0.0
training, 12, 1.1673915931156704, -1.1666192173957826, 0.0
validating, 12, 1.1175225734710694, -1.0595630526542663, 0.0
testing, 12, 1.1064133882522582, -1.088312166929245, 0.0
training, 13, 1.1357187475476946, -1.1930295382227216, 0.0
validating, 13, 1.070385789871216, -1.0646759271621704, 0.0
testing, 13, 1.1206777572631836, -1.0777051389217376, 0.0
training, 14, 1.113610942023141, -1.1164474538394382, 0.0
validating, 14, 1.1028196811676025, -1.0597657799720763, 0.0
testing, 14, 1.0683565258979797, -1.0614386916160583, 0.0
training, 15, 1.0866600172860281, -1.0988252401351928, 0.0
validating, 15, 1.1170339107513427, -1.052891445159912, 0.0
testing, 15, 1.0846566081047058, -1.0547922372817993, 0.0
training, 16, 1.0753537859235491, -1.1056364365986415, 0.0
validating, 16, 1.3408801555633545, -1.0398834824562073, 0.0
testing, 16, 1.2463144540786744, -1.0393489956855775, 0.0
training, 17, 1.0972750152860369, -1.106272166115897, 0.0
validating, 17, 1.1238537788391114, -1.078474521636963, 0.0
testing, 17, 1.1037847638130187, -1.1026351273059845, 0.0
training, 18, 1.0840868132455008, -1.1150894573756627, 0.0
validating, 18, 1.0989680290222168, -1.0632867336273193, 0.0
testing, 18, 1.1205706119537353, -1.06382674574852, 0.0
training, 19, 1.0973706381661552, -1.1329196725572859, 0.0
validating, 19, 1.1354318141937256, -1.063166880607605, 0.0
testing, 19, 1.1480644822120667, -1.0850493013858795, 0.0
training, 20, 1.0929490123476302, -1.137265660081591, 0.0
validating, 20, 1.0706333637237548, -1.0696311593055725, 0.0
testing, 20, 1.1556215047836305, -1.071423888206482, 0.0
training, 21, 1.0852930920464652, -1.141267112323216, 0.0
validating, 21, 1.1094631195068358, -1.0728283882141114, 0.0
testing, 21, 1.1374971270561218, -1.0729138433933259, 0.0
training, 22, 1.0705370426177978, -1.12267222063882, 0.0
validating, 22, 1.1865880012512207, -1.0663353562355042, 0.0
testing, 22, 1.109909963607788, -1.0737537562847137, 0.0
training, 23, 1.057039625304086, -1.118389780180795, 0.0
validating, 23, 1.2334142684936524, -1.0672854423522948, 0.0
testing, 23, 1.1233825445175172, -1.0864138305187225, 0.0
training, 24, 1.0248588357652937, -1.0949191757610865, 0.0
validating, 24, 1.237567138671875, -1.1010976552963256, 0.0
testing, 24, 1.1475504279136657, -1.1169069230556488, 0.0
training, 25, 1.008133339881897, -1.0911756379263742, 0.0
validating, 25, 1.0894606590270997, -1.1261802911758423, 0.0
testing, 25, 1.1239611506462097, -1.0726104497909545, 0.0
training, 26, 0.9965060676847185, -1.0964246017592294, 0.0
validating, 26, 1.2080965518951416, -1.1093823552131652, 0.0
testing, 26, 1.0927246689796448, -1.083878719806671, 0.0
training, 27, 1.0014248984200613, -1.078311003957476, 0.0
validating, 27, 1.182516384124756, -1.114079773426056, 0.0
testing, 27, 1.1071974039077759, -1.0909939885139466, 0.0
training, 28, 0.9934217997959682, -1.0883004478045872, 0.0
validating, 28, 1.121385431289673, -1.069798719882965, 0.0
testing, 28, 1.1365920901298523, -1.0769879758358, 0.0
training, 29, 0.9751896483557565, -1.0633510402270725, 0.0
validating, 29, 1.1515621662139892, -1.081970465183258, 0.0
testing, 29, 1.1403332829475403, -1.0664070785045623, 0.0
training, 30, 1.0084187882287161, -1.109818640777043, 0.0
validating, 30, 1.2292201519012451, -1.08748037815094, 0.0
testing, 30, 1.1096548438072205, -1.0835779130458831, 0.0
training, 31, 0.9722039563315256, -1.07247656583786, 0.0
validating, 31, 1.1097021102905273, -1.1333798527717591, 0.0
testing, 31, 1.1305446386337281, -1.071950101852417, 0.0
training, 32, 0.9708357538495745, -1.0726078288895744, 0.0
validating, 32, 1.102447271347046, -1.096479892730713, 0.0
testing, 32, 1.155954074859619, -1.0764855206012727, 0.0
training, 33, 0.9639497075762068, -1.0796166334833417, 0.0
validating, 33, 1.0993224143981934, -1.0853681087493896, 0.0
testing, 33, 1.1450871348381042, -1.0702001333236695, 0.0
training, 34, 0.9590044157845633, -1.0758327671459742, 0.0
validating, 34, 1.1754436492919922, -1.1476112008094788, 0.0
testing, 34, 1.1449455618858337, -1.1014698624610901, 0.0
training, 35, 0.9493081705910819, -1.0637132065636772, 0.0
validating, 35, 1.2286640644073485, -1.1382333636283875, 0.0
testing, 35, 1.1248809456825257, -1.0924176156520844, 0.0
training, 36, 0.9424829448972429, -1.0789374947547912, 0.0
validating, 36, 1.1398601055145263, -1.099491250514984, 0.0
testing, 36, 1.1384898900985718, -1.0689903497695923, 0.0
training, 37, 0.9329947233200073, -1.0633426904678345, 0.0
validating, 37, 1.1646739959716796, -1.109311318397522, 0.0
testing, 37, 1.1411402344703674, -1.082892906665802, 0.0
training, 38, 0.9331586633409773, -1.066437143938882, 0.0
validating, 38, 1.1585254192352294, -1.097795045375824, 0.0
testing, 38, 1.131956446170807, -1.078814947605133, 0.0
training, 39, 0.9295713152204241, -1.0628612535340445, 0.0
validating, 39, 1.1304050922393798, -1.1060675263404847, 0.0
testing, 39, 1.15083487033844, -1.073699301481247, 0.0
training, 40, 0.9270262411662511, -1.0699501361165729, 0.0
validating, 40, 1.196821403503418, -1.130390191078186, 0.0
testing, 40, 1.1490639805793763, -1.084406352043152, 0.0
training, 41, 0.9240361826760428, -1.0651022791862488, 0.0
validating, 41, 1.192358636856079, -1.1016237497329713, 0.0
testing, 41, 1.13659348487854, -1.081259834766388, 0.0
training, 42, 0.9243221385138375, -1.0652239731379918, 0.0
validating, 42, 1.1015288829803467, -1.0923561573028564, 0.0
testing, 42, 1.1490498065948487, -1.0664338886737823, 0.0
training, 43, 0.9286467858723232, -1.0674530965941293, 0.0
validating, 43, 1.1442360401153564, -1.1240852236747743, 0.0
testing, 43, 1.1595950245857238, -1.0713900446891784, 0.0
training, 44, 0.9227777242660522, -1.0628726516451155, 0.0
validating, 44, 1.1205557823181151, -1.0972193241119386, 0.0
testing, 44, 1.1641994833946228, -1.075007712841034, 0.0
training, 45, 0.9318903684616089, -1.0671539221491133, 0.0
validating, 45, 1.2274349212646485, -1.1014270544052125, 0.0
testing, 45, 1.16285879611969, -1.09082151055336, 0.0
training, 46, 0.9210284403392247, -1.067105872290475, 0.0
validating, 46, 1.1773324489593506, -1.1115041494369506, 0.0
testing, 46, 1.161436176300049, -1.0915996313095093, 0.0
training, 47, 0.9031495571136474, -1.0671651448522295, 0.0
validating, 47, 1.1704580783843994, -1.1056048631668092, 0.0
testing, 47, 1.149539089202881, -1.0867466390132905, 0.0
training, 48, 0.9018920523779733, -1.0671414051737105, 0.0
validating, 48, 1.1775445461273193, -1.1178550601005555, 0.0
testing, 48, 1.1451539635658263, -1.0793954968452453, 0.0
training, 49, 0.9014228105545044, -1.0610654047557286, 0.0
validating, 49, 1.183065366744995, -1.1020240783691406, 0.0
testing, 49, 1.147186803817749, -1.079305773973465, 0.0
training, 50, 0.8984225170952933, -1.0625694002423967, 0.0
validating, 50, 1.1941347122192383, -1.097883152961731, 0.0
testing, 50, 1.1328888177871703, -1.0817038536071777, 0.0
training, 51, 0.9035034758704049, -1.0558779222624644, 0.0
validating, 51, 1.1463118076324463, -1.082317841053009, 0.0
testing, 51, 1.1400012731552125, -1.0714434325695037, 0.0
training, 52, 0.9020345074789865, -1.053812759263175, 0.0
validating, 52, 1.1229145050048828, -1.0903689026832581, 0.0
testing, 52, 1.1238653540611268, -1.065026593208313, 0.0
training, 53, 0.9131192650113787, -1.0519252640860421, 0.0
validating, 53, 1.1402661323547363, -1.0719693303108215, 0.0
testing, 53, 1.1453891158103944, -1.0651112079620362, 0.0
training, 54, 0.9061718940734863, -1.0502900668552944, 0.0
validating, 54, 1.1388232707977295, -1.0742949008941651, 0.0
testing, 54, 1.1227025628089904, -1.066133189201355, 0.0
training, 55, 0.9002000944955009, -1.0532394562448775, 0.0
validating, 55, 1.1554718971252442, -1.0887080430984497, 0.0
testing, 55, 1.1035203695297242, -1.0696091830730439, 0.0
training, 56, 0.9073957341057913, -1.0511891892978122, 0.0
validating, 56, 1.1492431640625, -1.0890392661094666, 0.0
testing, 56, 1.1111929535865783, -1.0632337927818298, 0.0
training, 57, 0.9125612122671944, -1.055524642126901, 0.0
validating, 57, 1.1641294956207275, -1.1049554347991943, 0.0
testing, 57, 1.0917316913604735, -1.06827392578125, 0.0
training, 58, 0.9168586662837437, -1.056076797417232, 0.0
validating, 58, 1.1765242576599122, -1.0947416782379151, 0.0
testing, 58, 1.1015897631645202, -1.0637214183807373, 0.0
training, 59, 0.9149711881365095, -1.0529430593763078, 0.0
validating, 59, 1.1796138286590576, -1.0950143694877625, 0.0
testing, 59, 1.1042036652565002, -1.0633934676647185, 0.0
training, 60, 0.9121657167162214, -1.0517248868942262, 0.0
validating, 60, 1.1693597316741944, -1.0915425896644593, 0.0
testing, 60, 1.1112043499946593, -1.062425708770752, 0.0
training, 61, 0.9147572926112584, -1.0507130026817322, 0.0
validating, 61, 1.174246597290039, -1.0849836826324464, 0.0
testing, 61, 1.1215606570243835, -1.0619859457015992, 0.0
training, 62, 0.9180470636912754, -1.0474827800478255, 0.0
validating, 62, 1.1672287464141846, -1.0856678485870361, 0.0
testing, 62, 1.1310045003890992, -1.0633053064346314, 0.0
training, 63, 0.9180840492248535, -1.0479390246527536, 0.0
validating, 63, 1.177849817276001, -1.096971905231476, 0.0
testing, 63, 1.120154356956482, -1.063472294807434, 0.0
training, 64, 0.9161261081695556, -1.0498626853738513, 0.0
validating, 64, 1.1840620517730713, -1.0967568635940552, 0.0
testing, 64, 1.1107757329940795, -1.0630919635295868, 0.0
training, 65, 0.9254175765173775, -1.0500077715941838, 0.0
validating, 65, 1.1729115009307862, -1.0729919075965881, 0.0
testing, 65, 1.1241739153862, -1.0597253501415254, 0.0
training, 66, 0.9297033991132464, -1.0468929512160166, 0.0
validating, 66, 1.185084056854248, -1.0727670550346375, 0.0
testing, 66, 1.1329703450202941, -1.0611083567142487, 0.0
training, 67, 0.930444734437125, -1.0464664101600647, 0.0
validating, 67, 1.1911970138549806, -1.0717070817947387, 0.0
testing, 67, 1.1319746494293212, -1.0606218457221985, 0.0
training, 68, 0.9367892095020839, -1.0458879011017936, 0.0
validating, 68, 1.18571195602417, -1.0761614561080932, 0.0
testing, 68, 1.1426766991615296, -1.0601708114147186, 0.0
training, 69, 0.9376546178545271, -1.0461204017911638, 0.0
validating, 69, 1.1856613636016846, -1.084365177154541, 0.0
testing, 69, 1.136014211177826, -1.0598880231380463, 0.0
training, 70, 0.9363391092845372, -1.0479836804526192, 0.0
validating, 70, 1.1844456195831299, -1.0911425948143005, 0.0
testing, 70, 1.1294135808944703, -1.0598685503005982, 0.0
training, 71, 0.938696779523577, -1.0476647973060609, 0.0
validating, 71, 1.1806320190429687, -1.0878145098686218, 0.0
testing, 71, 1.1411973357200622, -1.0590579867362977, 0.0
training, 72, 0.9403419971466065, -1.0474295599120005, 0.0
validating, 72, 1.1841808319091798, -1.092727291584015, 0.0
testing, 72, 1.1355947375297546, -1.0600137114524841, 0.0
training, 73, 0.936456230708531, -1.047087608064924, 0.0
validating, 73, 1.1834533214569092, -1.0885258316993713, 0.0
testing, 73, 1.1416833996772766, -1.0597975909709931, 0.0
training, 74, 0.938196199280875, -1.0468060050691876, 0.0
validating, 74, 1.185206937789917, -1.0900716662406922, 0.0
testing, 74, 1.1428865432739257, -1.058935034275055, 0.0
training, 75, 0.9422704151698521, -1.0466066888400487, 0.0
validating, 75, 1.187557315826416, -1.0878363609313966, 0.0
testing, 75, 1.1453324794769286, -1.0583872377872467, 0.0
training, 76, 0.9397756917136056, -1.0468131065368653, 0.0
validating, 76, 1.184749460220337, -1.0941759824752808, 0.0
testing, 76, 1.142056977748871, -1.0590345561504364, 0.0
training, 77, 0.9361188752310616, -1.046660590171814, 0.0
validating, 77, 1.1902218818664552, -1.090168535709381, 0.0
testing, 77, 1.143923556804657, -1.060053414106369, 0.0
training, 78, 0.9407253197261265, -1.0443370359284536, 0.0
validating, 78, 1.1978883266448974, -1.0786544680595398, 0.0
testing, 78, 1.1489963412284852, -1.0608137786388396, 0.0
training, 79, 0.9402939149311611, -1.0444255113601684, 0.0
validating, 79, 1.1873743534088135, -1.0820370078086854, 0.0
testing, 79, 1.1481906294822692, -1.0596661925315858, 0.0
training, 80, 0.9412700959614345, -1.0440005353518895, 0.0
validating, 80, 1.1852613925933837, -1.086888027191162, 0.0
testing, 80, 1.1436567544937133, -1.059188312292099, 0.0
training, 81, 0.9411326578685215, -1.044022239957537, 0.0
validating, 81, 1.1855550289154053, -1.0867708325386047, 0.0
testing, 81, 1.1465963006019593, -1.059067142009735, 0.0
training, 82, 0.9428118910108294, -1.0439594984054565, 0.0
validating, 82, 1.1815730571746825, -1.0865617632865905, 0.0
testing, 82, 1.148274004459381, -1.0594484448432921, 0.0
training, 83, 0.9422422511237009, -1.0435449855668204, 0.0
validating, 83, 1.184474802017212, -1.0856409311294555, 0.0
testing, 83, 1.1503257989883422, -1.0601096749305725, 0.0
training, 84, 0.9432682003293719, -1.0434213944843838, 0.0
validating, 84, 1.1817690849304199, -1.0816035151481629, 0.0
testing, 84, 1.1579176187515259, -1.0612917959690094, 0.0
training, 85, 0.9439793586730957, -1.042522920880999, 0.0
validating, 85, 1.1864409446716309, -1.080320918560028, 0.0
testing, 85, 1.1583539605140687, -1.061833930015564, 0.0
training, 86, 0.9450817550931658, -1.0420172469956535, 0.0
validating, 86, 1.188735342025757, -1.0772581338882445, 0.0
testing, 86, 1.1618368268013, -1.0622627198696137, 0.0
training, 87, 0.9451285634722029, -1.042137963431222, 0.0
validating, 87, 1.1919222831726075, -1.0754947900772094, 0.0
testing, 87, 1.1587548851966858, -1.0619423389434814, 0.0
training, 88, 0.9426838738577706, -1.0420673779078893, 0.0
validating, 88, 1.1887983798980712, -1.087861716747284, 0.0
testing, 88, 1.1511943936347961, -1.061023360490799, 0.0
training, 89, 0.9395219870976039, -1.0430458920342582, 0.0
validating, 89, 1.198597002029419, -1.0886711120605468, 0.0
testing, 89, 1.1452242970466613, -1.0613378524780273, 0.0
training, 90, 0.9393177202769688, -1.0432636976242065, 0.0
validating, 90, 1.186119556427002, -1.0908492803573608, 0.0
testing, 90, 1.1498685479164124, -1.0606226861476897, 0.0
training, 91, 0.9381863287517003, -1.0425534061023167, 0.0
validating, 91, 1.185347032546997, -1.0918367385864258, 0.0
testing, 91, 1.1485273003578187, -1.0607770085334778, 0.0
training, 92, 0.9378238371440343, -1.0426565936633518, 0.0
validating, 92, 1.1871902465820312, -1.0888773560523988, 0.0
testing, 92, 1.1514961123466492, -1.0609945118427277, 0.0
training, 93, 0.9364260877881732, -1.0425304344722204, 0.0
validating, 93, 1.1921015739440919, -1.091731333732605, 0.0
testing, 93, 1.1465535759925842, -1.0612680792808533, 0.0
training, 94, 0.936592047555106, -1.0428782769611904, 0.0
validating, 94, 1.191419744491577, -1.0920804142951965, 0.0
testing, 94, 1.1453307151794434, -1.0614661574363708, 0.0
training, 95, 0.9361433914729527, -1.0428173201424735, 0.0
validating, 95, 1.1892916679382324, -1.0891685009002685, 0.0
testing, 95, 1.147176456451416, -1.0615092158317565, 0.0
training, 96, 0.9370995828083584, -1.0425830142838615, 0.0
validating, 96, 1.1925408363342285, -1.0891418218612672, 0.0
testing, 96, 1.1478715062141418, -1.0619380235671998, 0.0
training, 97, 0.935907118661063, -1.042404704434531, 0.0
validating, 97, 1.1881106853485108, -1.0904470682144165, 0.0
testing, 97, 1.1485787987709046, -1.0620537102222443, 0.0
training, 98, 0.9355964354106359, -1.0421164989471436, 0.0
validating, 98, 1.1850066661834717, -1.0901711583137512, 0.0
