Random seed, 7
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.4051872117178781, -2.032763569695609, 0.0
validating, -1, 0.40912508964538574, -2.0640507698059083, 0.0
testing, -1, 0.38902792930603025, -2.015391159057617, 0.0
training, 0, 2.6699369396482195, -2.9627194370542256, 0.0
validating, 0, 2.652991008758545, -2.9733102083206178, 0.0
testing, 0, 2.6717729806900024, -2.9317891955375672, 0.0
training, 1, 2.0802727528980802, -2.855257453237261, 0.0
validating, 1, 2.131606435775757, -3.4146907567977904, 0.0
testing, 1, 2.045840048789978, -3.3968315005302427, 0.0
training, 2, 1.8230071987424579, -2.6524749858038765, 0.0
validating, 2, 1.904494571685791, -2.69137966632843, 0.0
testing, 2, 1.8305919170379639, -2.7531620025634767, 0.0
training, 3, 1.8880612066813878, -2.7228127649852207, 0.0
validating, 3, 2.1878988265991213, -2.758071708679199, 0.0
testing, 3, 1.9758697271347045, -2.7706995368003846, 0.0
training, 4, 1.9667778389794486, -2.6580111163003104, 0.0
validating, 4, 2.0143436908721926, -2.031412649154663, 0.0
testing, 4, 1.89909029006958, -2.017550605535507, 0.0
training, 5, 1.8603599514280047, -2.4629239576203483, 0.0
validating, 5, 1.9809278964996337, -2.552975654602051, 0.0
testing, 5, 1.8468426942825318, -2.6285895824432375, 0.0
training, 6, 1.890416898046221, -2.202061212062836, 0.0
validating, 6, 2.116957759857178, -2.0327048778533934, 0.0
testing, 6, 1.9972416877746582, -2.017550605535507, 0.0
training, 7, 2.0074937650135585, -2.1603148988315035, 0.0
validating, 7, 2.0828969955444334, -2.352797818183899, 0.0
testing, 7, 1.8922356605529784, -2.3194596409797668, 0.0
training, 8, 2.0928740535463604, -2.5629362072263446, 0.0
validating, 8, 2.4214521408081056, -2.5936043500900268, 0.0
testing, 8, 2.044905352592468, -2.4753150582313537, 0.0
training, 9, 1.9138044459479195, -2.224196571963174, 0.0
validating, 9, 2.203917121887207, -2.0294312715530394, 0.0
testing, 9, 1.9587105989456177, -2.017550605535507, 0.0
training, 10, 1.9298741783414568, -2.0326736603464397, 0.0
validating, 10, 2.099644660949707, -2.0297353982925417, 0.0
