Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.08546492883137294, -2.2353101338659016, 0.0
validating, -1, 0.09853166937828065, -2.154923474788666, 0.0
testing, -1, 0.08723798394203186, -2.3342622041702272, 0.0
training, 0, 1.2395156264305114, -2.667919753279005, 0.0
validating, 0, 1.7110412836074829, -2.6792689323425294, 0.0
testing, 0, 1.120177870988846, -2.6748011708259583, 0.0
training, 1, 1.0569803629602705, -2.53700213432312, 0.0
validating, 1, 1.6387173414230347, -2.5474367141723633, 0.0
testing, 1, 0.8525191366672515, -2.55827956199646, 0.0
training, 2, 1.014969629900796, -2.5241591913359507, 0.0
validating, 2, 1.6729070901870728, -2.5553141117095945, 0.0
testing, 2, 0.8598747193813324, -2.5749950289726256, 0.0
training, 3, 1.049215568814959, -2.538866247449602, 0.0
validating, 3, 1.722219216823578, -2.4665101289749147, 0.0
testing, 3, 0.8755143404006958, -2.5943414688110353, 0.0
training, 4, 1.0376819218908038, -2.4839090142931255, 0.0
validating, 4, 1.7536342024803162, -2.4964726686477663, 0.0
testing, 4, 0.8931994080543518, -2.631346893310547, 0.0
training, 5, 1.075633214201246, -2.5677867991583687, 0.0
validating, 5, 1.643362009525299, -2.488260579109192, 0.0
testing, 5, 0.8583185315132141, -2.5658640027046205, 0.0
training, 6, 0.9941638963563102, -2.510154925073896, 0.0
validating, 6, 1.5441426634788513, -2.4860445976257326, 0.0
testing, 6, 0.8554211378097534, -2.4654542446136474, 0.0
training, 7, 0.991570770740509, -2.501890071800777, 0.0
validating, 7, 1.6231854915618897, -2.477052330970764, 0.0
testing, 7, 0.8516367077827454, -2.550741183757782, 0.0
training, 8, 1.021308273928506, -2.4895531705447604, 0.0
validating, 8, 1.5975648283958435, -2.485901618003845, 0.0
testing, 8, 0.8588141798973083, -2.5021546244621278, 0.0
training, 9, 1.0382865462984359, -2.482259316103799, 0.0
validating, 9, 1.737184739112854, -2.4464864253997805, 0.0
testing, 9, 0.902424955368042, -2.616310250759125, 0.0
training, 10, 1.1505707570484707, -2.5464597582817077, 0.0
validating, 10, 1.7986196875572205, -2.4575950622558596, 0.0
testing, 10, 0.9494364738464356, -2.672117793560028, 0.0
training, 11, 1.0563644766807556, -2.4984382510185243, 0.0
