Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.5323056697845459, -6.149730682373047, 0.0
validating, -1, 1.7034396171569823, -6.178434562683106, 0.0
testing, -1, 1.5733498573303222, -6.1136058330535885, 0.0
training, 0, 9.295450156075614, -7.077157075064523, 0.0
validating, 0, 10.73971939086914, -7.225697708129883, 0.0
testing, 0, 10.290649795532227, -7.059829568862915, 0.0
training, 1, 4.1363055161067415, -6.8825247083391465, 0.0
validating, 1, 2.933109664916992, -6.700592422485352, 0.0
testing, 1, 2.709297704696655, -6.520954036712647, 0.0
training, 2, 2.632610409600394, -6.5868044989449634, 0.0
validating, 2, 2.8533044815063477, -6.691020107269287, 0.0
testing, 2, 2.67838339805603, -6.5336627006530765, 0.0
training, 3, 2.6053903102874756, -6.579009873526437, 0.0
validating, 3, 2.8368862152099608, -6.682463645935059, 0.0
testing, 3, 2.657975959777832, -6.525803327560425, 0.0
training, 4, 2.5972470487867083, -6.576681028093611, 0.0
validating, 4, 2.8354187965393067, -6.6668048858642575, 0.0
testing, 4, 2.651678371429443, -6.506746244430542, 0.0
training, 5, 2.598081350326538, -6.570262745448521, 0.0
validating, 5, 2.850596237182617, -6.679208660125733, 0.0
testing, 5, 2.6536627292633055, -6.52497878074646, 0.0
training, 6, 2.5876852921077185, -6.566083526611328, 0.0
validating, 6, 2.818232536315918, -6.648334312438965, 0.0
testing, 6, 2.6408448696136473, -6.498261833190918, 0.0
training, 7, 2.5786893504006523, -6.559888703482492, 0.0
validating, 7, 2.8233381271362306, -6.658074378967285, 0.0
testing, 7, 2.631524896621704, -6.504603004455566, 0.0
training, 8, 2.5966444083622524, -6.573803738185338, 0.0
validating, 8, 2.808957576751709, -6.640868854522705, 0.0
testing, 8, 2.626372718811035, -6.491997718811035, 0.0
training, 9, 2.5705357619694302, -6.55299129486084, 0.0
validating, 9, 2.8104223251342773, -6.643131923675537, 0.0
testing, 9, 2.6228371143341063, -6.490196752548218, 0.0
training, 10, 2.5614425318581717, -6.546870449611119, 0.0
validating, 10, 2.8006054878234865, -6.638107204437256, 0.0
testing, 10, 2.624503755569458, -6.487931251525879, 0.0
training, 11, 2.5638010910579134, -6.54317455291748, 0.0
