Random seed, 5
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.24110123429979596, -4.691742174965995, 0.0
validating, -1, 0.2344756841659546, -4.61824893951416, 0.0
testing, -1, 0.24421905279159545, -4.670047187805176, 0.0
training, 0, 0.7806209291730608, -5.07317019871303, 0.0
validating, 0, 0.8187557935714722, -5.094983386993408, 0.0
testing, 0, 0.7911713004112244, -5.076915645599366, 0.0
training, 1, 0.7795728479112898, -5.071188558850969, 0.0
validating, 1, 0.8235273599624634, -5.094426918029785, 0.0
testing, 1, 0.7936594843864441, -5.07557430267334, 0.0
training, 2, 0.7853903906685965, -5.066749341147286, 0.0
validating, 2, 0.8292773008346558, -5.085581684112549, 0.0
testing, 2, 0.7911069989204407, -5.065684509277344, 0.0
training, 3, 0.7906140872410365, -5.065920829772949, 0.0
validating, 3, 0.8328820943832398, -5.088351535797119, 0.0
testing, 3, 0.7929298281669617, -5.0677379131317135, 0.0
training, 4, 0.7867523670196533, -5.062831142970494, 0.0
validating, 4, 0.8293398141860961, -5.09059247970581, 0.0
testing, 4, 0.7852665781974792, -5.064416837692261, 0.0
training, 5, 0.7789726121085031, -5.064203684670584, 0.0
validating, 5, 0.8276817083358765, -5.088152122497559, 0.0
testing, 5, 0.7854564547538757, -5.063903188705444, 0.0
training, 6, 0.7826215539659772, -5.062583800724575, 0.0
validating, 6, 0.8219440221786499, -5.0775917053222654, 0.0
testing, 6, 0.7783143877983093, -5.052847099304199, 0.0
training, 7, 0.7800583226340158, -5.060561098371234, 0.0
validating, 7, 0.831130862236023, -5.081868839263916, 0.0
testing, 7, 0.7790353178977967, -5.048717403411866, 0.0
training, 8, 0.7806605747767857, -5.059920583452497, 0.0
validating, 8, 0.820569109916687, -5.076276111602783, 0.0
testing, 8, 0.7773518919944763, -5.050217151641846, 0.0
training, 9, 0.7772618498120989, -5.05778910773141, 0.0
validating, 9, 0.8275060892105103, -5.079070949554444, 0.0
testing, 9, 0.784453284740448, -5.054772615432739, 0.0
training, 10, 0.7779637813568115, -5.05883799961635, 0.0
validating, 10, 0.8202183485031128, -5.0805388450622555, 0.0
testing, 10, 0.7796117424964905, -5.05522665977478, 0.0
training, 11, 0.7771437304360526, -5.057087707519531, 0.0
validating, 11, 0.824897313117981, -5.076231288909912, 0.0
testing, 11, 0.7817997097969055, -5.05256872177124, 0.0
training, 12, 0.7737619400024414, -5.053489358084542, 0.0
validating, 12, 0.8261151075363159, -5.074978065490723, 0.0
testing, 12, 0.77963947057724, -5.05125207901001, 0.0
training, 13, 0.7874539920261928, -5.0570870126996725, 0.0
validating, 13, 0.8451258897781372, -5.07677583694458, 0.0
testing, 13, 0.790795624256134, -5.04739818572998, 0.0
training, 14, 0.7863015515463693, -5.057549980708531, 0.0
validating, 14, 0.8242897272109986, -5.069075870513916, 0.0
testing, 14, 0.7735005259513855, -5.044997596740723, 0.0
training, 15, 0.7712206704275949, -5.049037102290562, 0.0
validating, 15, 0.8240317583084107, -5.0682188987731935, 0.0
testing, 15, 0.7857665657997132, -5.053287220001221, 0.0
training, 16, 0.772804982321603, -5.045964894975935, 0.0
validating, 16, 0.8288180589675903, -5.064153671264648, 0.0
testing, 16, 0.7851434350013733, -5.04681167602539, 0.0
training, 17, 0.7681539944240026, -5.042279052734375, 0.0
validating, 17, 0.8219549417495727, -5.062038230895996, 0.0
testing, 17, 0.7777583003044128, -5.044399404525757, 0.0
training, 18, 0.765164818082537, -5.038123975481306, 0.0
validating, 18, 0.8229319334030152, -5.054136943817139, 0.0
testing, 18, 0.78106769323349, -5.040673732757568, 0.0
training, 19, 0.7594751834869384, -5.033001259395054, 0.0
validating, 19, 0.8222218751907349, -5.053326511383057, 0.0
testing, 19, 0.7784799695014953, -5.039939069747925, 0.0
training, 20, 0.7627446583339146, -5.03312326158796, 0.0
validating, 20, 0.8313298940658569, -5.055834484100342, 0.0
testing, 20, 0.7785968661308289, -5.034678554534912, 0.0
training, 21, 0.7577254295349121, -5.0289566721235, 0.0
validating, 21, 0.8256563901901245, -5.052794933319092, 0.0
testing, 21, 0.7714850068092346, -5.034951114654541, 0.0
training, 22, 0.7460953031267439, -5.022918796539306, 0.0
validating, 22, 0.8054702043533325, -5.040138626098633, 0.0
testing, 22, 0.773113238811493, -5.03989725112915, 0.0
training, 23, 0.7410243170601981, -5.014049734388079, 0.0
validating, 23, 0.8108398199081421, -5.031764030456543, 0.0
testing, 23, 0.786445701122284, -5.036822319030762, 0.0
training, 24, 0.7436255659375872, -5.012798949650356, 0.0
validating, 24, 0.8046082735061646, -5.026387786865234, 0.0
testing, 24, 0.7856085181236268, -5.037006664276123, 0.0
training, 25, 0.7366297858101981, -5.008007362910679, 0.0
validating, 25, 0.797791600227356, -5.026126289367676, 0.0
testing, 25, 0.7796470284461975, -5.0395668029785154, 0.0
training, 26, 0.7351630551474435, -5.004359667641776, 0.0
validating, 26, 0.8095280408859253, -5.022675037384033, 0.0
testing, 26, 0.7880048632621766, -5.034998846054077, 0.0
training, 27, 0.7323779242379325, -5.000800636836461, 0.0
validating, 27, 0.8103168725967407, -5.031306648254395, 0.0
testing, 27, 0.7857850193977356, -5.042175579071045, 0.0
training, 28, 0.7287684031895229, -4.9986850466047015, 0.0
