Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.08359522478921073, -2.3511400972093854, 0.0
validating, -1, 0.08114142417907715, -2.34751672744751, 0.0
testing, -1, 0.08260835409164428, -2.3379915952682495, 0.0
training, 0, 0.7772283724376133, -2.802741023472377, 0.0
validating, 0, 0.8192553520202637, -2.7959531784057616, 0.0
testing, 0, 0.7555624842643738, -2.7605936527252197, 0.0
training, 1, 0.6334887436458043, -2.7313887664249967, 0.0
validating, 1, 0.5056031703948974, -2.6698444843292237, 0.0
testing, 1, 0.4152448773384094, -2.5757981538772583, 0.0
training, 2, 0.4309795822416033, -2.56784063066755, 0.0
validating, 2, 0.41476051807403563, -2.5113843441009522, 0.0
testing, 2, 0.3402518033981323, -2.4238405227661133, 0.0
training, 3, 0.40773179531097414, -2.5302343777247835, 0.0
validating, 3, 0.41179163455963136, -2.542076301574707, 0.0
testing, 3, 0.338731062412262, -2.4476863861083986, 0.0
training, 4, 0.40578885759626115, -2.502786091395787, 0.0
validating, 4, 0.4173754692077637, -2.5374000549316404, 0.0
testing, 4, 0.34108270406723024, -2.441139340400696, 0.0
training, 5, 0.39619654927934916, -2.52867020879473, 0.0
validating, 5, 0.41164579391479494, -2.532744550704956, 0.0
testing, 5, 0.34107671976089476, -2.4384864807128905, 0.0
training, 6, 0.3925800153187343, -2.50326954977853, 0.0
validating, 6, 0.41334631443023684, -2.5407504081726073, 0.0
testing, 6, 0.3384780168533325, -2.4530645847320556, 0.0
training, 7, 0.38696888855525424, -2.510526602608817, 0.0
validating, 7, 0.4108710527420044, -2.5321742057800294, 0.0
testing, 7, 0.3412567377090454, -2.441477108001709, 0.0
training, 8, 0.3822148936135428, -2.4987212453569683, 0.0
validating, 8, 0.4094071865081787, -2.527988815307617, 0.0
testing, 8, 0.33961395025253294, -2.4397043228149413, 0.0
training, 9, 0.37872224535260884, -2.4935893399374827, 0.0
validating, 9, 0.4098396062850952, -2.5257235527038575, 0.0
testing, 9, 0.34024447202682495, -2.4341383934020997, 0.0
training, 10, 0.37367427349090576, -2.4882282393319266, 0.0
validating, 10, 0.41065473556518556, -2.5240597248077394, 0.0
testing, 10, 0.33689852952957156, -2.437063217163086, 0.0
training, 11, 0.367410853930882, -2.488636030469622, 0.0
validating, 11, 0.40916450023651124, -2.525505208969116, 0.0
testing, 11, 0.34028958082199096, -2.4464866399765013, 0.0
training, 12, 0.36435296194893974, -2.482485975537981, 0.0
validating, 12, 0.4101281642913818, -2.527627372741699, 0.0
testing, 12, 0.3347042441368103, -2.4503323078155517, 0.0
training, 13, 0.3573298079626901, -2.4757175377437046, 0.0
validating, 13, 0.4081192255020142, -2.5159226417541505, 0.0
testing, 13, 0.3343539237976074, -2.43924503326416, 0.0
training, 14, 0.3524142674037388, -2.4587080887385775, 0.0
validating, 14, 0.411919903755188, -2.5171792030334474, 0.0
testing, 14, 0.3341320872306824, -2.438953733444214, 0.0
training, 15, 0.34833375045231413, -2.461008058275495, 0.0
validating, 15, 0.41038105487823484, -2.5162164688110353, 0.0
testing, 15, 0.33618799448013303, -2.4455730438232424, 0.0
training, 16, 0.3446277345929827, -2.4523681436266216, 0.0
validating, 16, 0.412130331993103, -2.5128825187683104, 0.0
testing, 16, 0.3346595525741577, -2.4451327562332152, 0.0
training, 17, 0.34045865535736086, -2.451126629965646, 0.0
validating, 17, 0.4136768579483032, -2.513451337814331, 0.0
testing, 17, 0.33611718416213987, -2.43974027633667, 0.0
training, 18, 0.3375072853905814, -2.447376135417393, 0.0
validating, 18, 0.41543049812316896, -2.5117919921875, 0.0
testing, 18, 0.3353209614753723, -2.4403258562088013, 0.0
training, 19, 0.3333486488887242, -2.444467340196882, 0.0
validating, 19, 0.41615686416625974, -2.50933518409729, 0.0
testing, 19, 0.33864853382110593, -2.443716049194336, 0.0
