Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.07107500008174351, -2.0042137009756904, 0.0
validating, -1, 0.07873384952545166, -1.9708134889602662, 0.0
testing, -1, 0.07101188898086548, -1.9979693055152894, 0.0
training, 0, 1.3877260003771101, -2.7310529845101494, 0.0
validating, 0, 1.3772626399993897, -2.635997772216797, 0.0
testing, 0, 1.3858216762542725, -2.6971226215362547, 0.0
training, 1, 0.9628173760005406, -2.163618298939296, 0.0
validating, 1, 0.832539415359497, -2.049550485610962, 0.0
testing, 1, 0.8470927476882935, -2.080266761779785, 0.0
training, 2, 0.8191052504948207, -2.053779738289969, 0.0
validating, 2, 0.9114752769470215, -2.044969177246094, 0.0
testing, 2, 0.926156735420227, -2.074326252937317, 0.0
training, 3, 0.8940823418753487, -2.0515456744602747, 0.0
validating, 3, 0.910374641418457, -2.0464290618896483, 0.0
testing, 3, 0.9330153703689575, -2.075370168685913, 0.0
training, 4, 0.8704796722957067, -2.051973022733416, 0.0
validating, 4, 0.888237714767456, -2.044843053817749, 0.0
testing, 4, 0.9037057399749756, -2.073729133605957, 0.0
training, 5, 0.8298727512359619, -2.0516212122780937, 0.0
validating, 5, 0.8769822120666504, -2.0436798095703126, 0.0
testing, 5, 0.8920163154602051, -2.0729007005691527, 0.0
training, 6, 0.860935994556972, -2.050558526175363, 0.0
validating, 6, 0.8860718250274658, -2.042927551269531, 0.0
testing, 6, 0.9031958103179931, -2.0717154026031492, 0.0
training, 7, 0.8372656890324184, -2.050394855226789, 0.0
validating, 7, 0.8694090843200684, -2.043525552749634, 0.0
testing, 7, 0.8778847217559814, -2.072483468055725, 0.0
training, 8, 0.8538156032562256, -2.0509224006107876, 0.0
validating, 8, 0.8508578300476074, -2.0427321910858156, 0.0
testing, 8, 0.8646292448043823, -2.0713438034057616, 0.0
training, 9, 0.8403424603598458, -2.049609075273786, 0.0
validating, 9, 0.8525482654571533, -2.0429660797119142, 0.0
testing, 9, 0.8564588308334351, -2.071651792526245, 0.0
training, 10, 0.8368300301688057, -2.048033128465925, 0.0
validating, 10, 0.8340643882751465, -2.0413148641586303, 0.0
testing, 10, 0.8494456291198731, -2.069650101661682, 0.0
training, 11, 0.8182440485273089, -2.047484588623047, 0.0
validating, 11, 0.8154539108276367, -2.0408225059509277, 0.0
testing, 11, 0.8305404901504516, -2.0684926509857178, 0.0
training, 12, 0.7816934994288853, -2.0467726366860526, 0.0
validating, 12, 0.7513575553894043, -2.0407355785369874, 0.0
testing, 12, 0.7646003246307373, -2.0687397480010987, 0.0
training, 13, 0.7753645624433245, -2.0466093710490636, 0.0
validating, 13, 0.7709816455841064, -2.0388930320739744, 0.0
testing, 13, 0.7879734516143799, -2.065059757232666, 0.0
training, 14, 0.7726759774344308, -2.0446183000292097, 0.0
validating, 14, 0.7892630577087403, -2.036923885345459, 0.0
testing, 14, 0.8070956230163574, -2.064794635772705, 0.0
training, 15, 0.7495360238211496, -2.044297357967922, 0.0
validating, 15, 0.7538802623748779, -2.0359225034713746, 0.0
testing, 15, 0.7662340402603149, -2.0610860347747804, 0.0
training, 16, 0.7709444659096855, -2.0433990478515627, 0.0
validating, 16, 0.7543476104736329, -2.034396266937256, 0.0
testing, 16, 0.7732187271118164, -2.0593197345733643, 0.0
training, 17, 0.7358444486345563, -2.044650673866272, 0.0
validating, 17, 0.6794797420501709, -2.034177541732788, 0.0
testing, 17, 0.7093745231628418, -2.05753071308136, 0.0
training, 18, 0.6707309109824044, -2.0409456321171353, 0.0
validating, 18, 0.6967740535736084, -2.0341164588928224, 0.0
testing, 18, 0.7181267738342285, -2.0566354751586915, 0.0
training, 19, 0.6953570740563529, -2.0406323705400737, 0.0
validating, 19, 0.7710351467132568, -2.0446299076080323, 0.0
testing, 19, 0.7874277591705322, -2.0714521408081055, 0.0
training, 20, 0.6901838711329868, -2.04189452784402, 0.0
validating, 20, 0.6819544315338135, -2.031854343414307, 0.0
testing, 20, 0.706758999824524, -2.050949764251709, 0.0
training, 21, 0.6996714387621198, -2.0429396901811874, 0.0
validating, 21, 0.6305796146392822, -2.032294750213623, 0.0
testing, 21, 0.6679111242294311, -2.0492881774902343, 0.0
training, 22, 0.6973234176635742, -2.038841881070818, 0.0
validating, 22, 0.6444198608398437, -2.032007837295532, 0.0
testing, 22, 0.6642080783843994, -2.0475799083709716, 0.0
training, 23, 0.6470518861498151, -2.037652727535793, 0.0
validating, 23, 0.5913488864898682, -2.0313248157501222, 0.0
testing, 23, 0.6094561815261841, -2.046668791770935, 0.0
training, 24, 0.564846386228289, -2.0354026658194404, 0.0
validating, 24, 0.5930410385131836, -2.0330429553985594, 0.0
testing, 24, 0.6247714281082153, -2.045336651802063, 0.0
training, 25, 0.6539817912237985, -2.0405504362923756, 0.0
validating, 25, 0.6412943840026856, -2.0350671768188477, 0.0
testing, 25, 0.6933929443359375, -2.0456207752227784, 0.0
training, 26, 0.6567310197012765, -2.0371866294315883, 0.0
validating, 26, 0.5242081880569458, -2.0316339492797852, 0.0
testing, 26, 0.5608017921447754, -2.0479201555252073, 0.0
training, 27, 0.559142746244158, -2.034044889041356, 0.0
validating, 27, 0.4905220985412598, -2.0318648338317873, 0.0
testing, 27, 0.5185124516487122, -2.0484800577163695, 0.0
training, 28, 0.5685582842145648, -2.0326621532440186, 0.0
validating, 28, 0.6529473304748535, -2.034224033355713, 0.0
testing, 28, 0.6576913595199585, -2.0406933784484864, 0.0
training, 29, 0.6164141416549682, -2.0331018720354352, 0.0
validating, 29, 0.565205192565918, -2.032442808151245, 0.0
testing, 29, 0.5773881196975708, -2.0402832984924317, 0.0
training, 30, 0.5644945314952305, -2.0340387991496494, 0.0
validating, 30, 0.45197219848632814, -2.030297040939331, 0.0
testing, 30, 0.472992742061615, -2.043813633918762, 0.0
training, 31, 0.5738085644585745, -2.0361316544669017, 0.0
validating, 31, 0.4943077087402344, -2.033781814575195, 0.0
testing, 31, 0.5378790497779846, -2.0435648918151856, 0.0
training, 32, 0.47575872625623433, -2.0340670040675572, 0.0
validating, 32, 0.4937185049057007, -2.033974266052246, 0.0
testing, 32, 0.5129118800163269, -2.0416694402694704, 0.0
training, 33, 0.5634386880057198, -2.0306840998785836, 0.0
validating, 33, 0.6539077281951904, -2.0376102924346924, 0.0
testing, 33, 0.6549126863479614, -2.040672469139099, 0.0
training, 34, 0.6790856531688145, -2.0331765174865724, 0.0
validating, 34, 0.5144056558609009, -2.0350276947021486, 0.0
testing, 34, 0.5349643707275391, -2.0373945951461794, 0.0
training, 35, 0.46490528583526614, -2.030222293308803, 0.0
validating, 35, 0.4445909261703491, -2.0325913429260254, 0.0
testing, 35, 0.46578795909881593, -2.0400160789489745, 0.0
training, 36, 0.49518316473279683, -2.0305902651378087, 0.0
validating, 36, 0.5350183963775634, -2.037253427505493, 0.0
testing, 36, 0.5341288805007934, -2.0393319845199587, 0.0
training, 37, 0.5939615113394601, -2.0313718352999004, 0.0
validating, 37, 0.5698407173156739, -2.03896050453186, 0.0
testing, 37, 0.5647083044052124, -2.0402640819549562, 0.0
training, 38, 0.5114497900009155, -2.0310993024281094, 0.0
validating, 38, 0.6191964149475098, -2.0420730113983154, 0.0
testing, 38, 0.6172321319580079, -2.0383450269699095, 0.0
training, 39, 0.6025296415601458, -2.0310104370117186, 0.0
validating, 39, 0.6017518520355225, -2.0422131061553954, 0.0
testing, 39, 0.5903840303421021, -2.0369842529296873, 0.0
training, 40, 0.5701581171580723, -2.0291075842721122, 0.0
validating, 40, 0.5061609268188476, -2.037278938293457, 0.0
testing, 40, 0.49715163707733157, -2.038175177574158, 0.0
training, 41, 0.4430318593978882, -2.029449026925223, 0.0
validating, 41, 0.5280766487121582, -2.0398584365844727, 0.0
testing, 41, 0.5196881771087647, -2.038207173347473, 0.0
training, 42, 0.6250437464032854, -2.031698884282793, 0.0
validating, 42, 0.603235387802124, -2.0453969478607177, 0.0
testing, 42, 0.5922743558883667, -2.036488354206085, 0.0
training, 43, 0.5358271666935512, -2.0294524260929654, 0.0
validating, 43, 0.479172420501709, -2.0399423122406004, 0.0
testing, 43, 0.4671350598335266, -2.037804889678955, 0.0
training, 44, 0.45067990847996303, -2.0283016545431956, 0.0
validating, 44, 0.48862926959991454, -2.039988803863525, 0.0
testing, 44, 0.46897525787353517, -2.0381127834320067, 0.0
training, 45, 0.44965915339333673, -2.0286626407078336, 0.0
validating, 45, 0.4216910839080811, -2.0370148181915284, 0.0
testing, 45, 0.40860633850097655, -2.040537476539612, 0.0
training, 46, 0.45386597769601006, -2.028720852306911, 0.0
validating, 46, 0.513231611251831, -2.0433791637420655, 0.0
testing, 46, 0.49479652643203736, -2.0380276441574097, 0.0
training, 47, 0.481334696497236, -2.028098794392177, 0.0
validating, 47, 0.4614099025726318, -2.0418962478637694, 0.0
testing, 47, 0.44716644287109375, -2.04054708480835, 0.0
training, 48, 0.4473754916872297, -2.028149001938956, 0.0
validating, 48, 0.4580653190612793, -2.0382500648498536, 0.0
testing, 48, 0.4416767120361328, -2.0384766340255736, 0.0
training, 49, 0.4170862640653338, -2.0285457100187028, 0.0
validating, 49, 0.4032807111740112, -2.0357077598571776, 0.0
testing, 49, 0.3933874249458313, -2.041459822654724, 0.0
training, 50, 0.39625863347734724, -2.0295539038521904, 0.0
validating, 50, 0.47110235691070557, -2.040451240539551, 0.0
testing, 50, 0.45409603118896485, -2.038458776473999, 0.0
training, 51, 0.4828171900340489, -2.0281793424061365, 0.0
validating, 51, 0.5324225425720215, -2.043608617782593, 0.0
testing, 51, 0.5098724126815796, -2.036359429359436, 0.0
training, 52, 0.4873147623879569, -2.028862043789455, 0.0
validating, 52, 0.494463586807251, -2.0398975372314454, 0.0
testing, 52, 0.47253990173339844, -2.0367713451385496, 0.0
training, 53, 0.4556270292827061, -2.0280855996268135, 0.0
validating, 53, 0.49427022933959963, -2.0395271301269533, 0.0
testing, 53, 0.47142595052719116, -2.036836314201355, 0.0
training, 54, 0.4879485198429653, -2.027489049094064, 0.0
validating, 54, 0.4914893627166748, -2.039001941680908, 0.0
testing, 54, 0.4690547943115234, -2.0367919206619263, 0.0
training, 55, 0.47701547486441476, -2.0278141702924457, 0.0
validating, 55, 0.4946256637573242, -2.039104461669922, 0.0
testing, 55, 0.4714861631393433, -2.036691355705261, 0.0
training, 56, 0.48018294743129186, -2.027675110953195, 0.0
validating, 56, 0.4985559701919556, -2.0408799171447756, 0.0
testing, 56, 0.47270727157592773, -2.0370378494262695, 0.0
training, 57, 0.507426871572222, -2.0278628655842375, 0.0
validating, 57, 0.5264173984527588, -2.043616247177124, 0.0
testing, 57, 0.49776339530944824, -2.0366540908813477, 0.0
training, 58, 0.5386097942079816, -2.0287185634885514, 0.0
