Random seed, 39
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.21209657873426166, -1.2080171414784022, 0.0
validating, -1, 0.18176932334899903, -1.137481927871704, 0.0
testing, -1, 0.21981775760650635, -1.142453682422638, 0.0
training, 0, 1.3814160449164254, -2.0622781821659633, 0.0
validating, 0, 1.4758760452270507, -1.9504143953323365, 0.0
testing, 0, 1.4298991680145263, -2.0120373964309692, 0.0
training, 1, 1.3743419817515783, -2.0568159784589497, 0.0
validating, 1, 1.4631449222564696, -1.9404290676116944, 0.0
testing, 1, 1.4166143655776977, -2.002453124523163, 0.0
training, 2, 1.355757314818246, -2.040500123160226, 0.0
validating, 2, 1.4395909786224366, -1.9183420419692994, 0.0
testing, 2, 1.3972443342208862, -1.9861842751502992, 0.0
training, 3, 1.3220067058290754, -2.006054438863482, 0.0
validating, 3, 1.3908738136291503, -1.8563110828399658, 0.0
testing, 3, 1.3578075885772705, -1.9410630226135255, 0.0
training, 4, 1.2626841511045184, -1.9290771552494594, 0.0
validating, 4, 1.31924147605896, -1.7072505950927734, 0.0
testing, 4, 1.2991947174072265, -1.8489463329315186, 0.0
training, 5, 1.1791327987398421, -1.770446583202907, 0.0
validating, 5, 1.2212987899780274, -1.5313197135925294, 0.0
testing, 5, 1.2218549489974975, -1.5897032380104066, 0.0
training, 6, 1.084841309274946, -1.5506052085331508, 0.0
validating, 6, 1.1561202526092529, -1.489188551902771, 0.0
testing, 6, 1.1603853702545166, -1.4744916319847108, 0.0
training, 7, 1.0233451196125576, -1.4781550782067434, 0.0
validating, 7, 1.1285120964050293, -1.4697588205337524, 0.0
testing, 7, 1.128527617454529, -1.4325284123420716, 0.0
training, 8, 0.9864009754998343, -1.4299735307693482, 0.0
validating, 8, 1.114154291152954, -1.448097825050354, 0.0
testing, 8, 1.1109968662261962, -1.3962632060050963, 0.0
training, 9, 0.9606038468224661, -1.3863694599696568, 0.0
validating, 9, 1.1197465896606444, -1.4184540033340454, 0.0
testing, 9, 1.1142624616622925, -1.3777069926261902, 0.0
training, 10, 0.9506948437009539, -1.3707500287464687, 0.0
validating, 10, 1.1273511886596679, -1.4147254467010497, 0.0
testing, 10, 1.119221067428589, -1.373147451877594, 0.0
training, 11, 0.9514490161623274, -1.3598014082227434, 0.0
validating, 11, 1.143584632873535, -1.4060184717178346, 0.0
testing, 11, 1.1209405183792114, -1.362463617324829, 0.0
training, 12, 0.9483763183866228, -1.350127274649484, 0.0
validating, 12, 1.135605478286743, -1.3963905572891235, 0.0
testing, 12, 1.1269555330276488, -1.3576953530311584, 0.0
training, 13, 0.9457944222858974, -1.3435109887804304, 0.0
validating, 13, 1.1695323944091798, -1.3944176197052003, 0.0
testing, 13, 1.142050075531006, -1.3530189752578736, 0.0
training, 14, 0.9650819812502179, -1.3350943599428449, 0.0
validating, 14, 1.17851824760437, -1.389243197441101, 0.0
testing, 14, 1.154214072227478, -1.3333934545516968, 0.0
training, 15, 0.9612279585429601, -1.3247988939285278, 0.0
validating, 15, 1.1794146060943604, -1.3827248811721802, 0.0
testing, 15, 1.160905385017395, -1.3313966751098634, 0.0
training, 16, 0.9649001291819981, -1.3199500220162528, 0.0
validating, 16, 1.2027644634246826, -1.37437105178833, 0.0
testing, 16, 1.170211672782898, -1.3071704745292663, 0.0
training, 17, 0.9664502927235195, -1.3175825187138148, 0.0
validating, 17, 1.2001774787902832, -1.3868685483932495, 0.0
testing, 17, 1.1823316097259522, -1.3100317239761352, 0.0
training, 18, 0.9835913487843104, -1.3151216200419835, 0.0
validating, 18, 1.249191665649414, -1.3774405479431153, 0.0
testing, 18, 1.2012265205383301, -1.3082497835159301, 0.0
training, 19, 0.9877216713769096, -1.3059135402951922, 0.0
validating, 19, 1.226067590713501, -1.3790891885757446, 0.0
testing, 19, 1.2001676082611084, -1.3066867351531983, 0.0
training, 20, 0.9779174498149327, -1.3013965470450266, 0.0
validating, 20, 1.2528753757476807, -1.3799485921859742, 0.0
testing, 20, 1.2161962985992432, -1.309270703792572, 0.0
training, 21, 0.9888052361352103, -1.2960518292018346, 0.0
validating, 21, 1.2890185832977294, -1.3687650203704833, 0.0
testing, 21, 1.2466249465942383, -1.3322791814804078, 0.0
training, 22, 1.0143479926245553, -1.3041389874049596, 0.0
validating, 22, 1.294186782836914, -1.3665958166122436, 0.0
testing, 22, 1.248599600791931, -1.32880197763443, 0.0
training, 23, 1.0272827454975673, -1.2915677649634225, 0.0
validating, 23, 1.3366447925567626, -1.3721538305282592, 0.0
testing, 23, 1.28135507106781, -1.3106515169143678, 0.0
training, 24, 1.0627326795033045, -1.2843488420758928, 0.0
validating, 24, 1.39576153755188, -1.3734267234802247, 0.0
testing, 24, 1.3169082403182983, -1.3134594798088073, 0.0
training, 25, 1.0992340156010219, -1.2837246656417847, 0.0
validating, 25, 1.4448469161987305, -1.3788595914840698, 0.0
testing, 25, 1.351633405685425, -1.318857741355896, 0.0
training, 26, 1.111556032725743, -1.28595381464277, 0.0
validating, 26, 1.4497214794158935, -1.3778796911239624, 0.0
testing, 26, 1.3728930234909058, -1.3216201901435851, 0.0
training, 27, 1.0929507664271763, -1.2845731939588274, 0.0
validating, 27, 1.4470489501953125, -1.375875759124756, 0.0
testing, 27, 1.371680450439453, -1.321123731136322, 0.0
training, 28, 1.140698834827968, -1.2891403606959753, 0.0
validating, 28, 1.5551023483276367, -1.3853232622146607, 0.0
testing, 28, 1.4243710041046143, -1.3256338357925415, 0.0
training, 29, 1.17020047051566, -1.2814587116241456, 0.0
validating, 29, 1.5321527004241944, -1.381501889228821, 0.0
testing, 29, 1.4347369194030761, -1.3295697450637818, 0.0
training, 30, 1.1523869786943708, -1.270508200781686, 0.0
validating, 30, 1.4689247608184814, -1.3818210363388062, 0.0
testing, 30, 1.4004283189773559, -1.3344045162200928, 0.0
training, 31, 1.151624264035906, -1.2702845300946917, 0.0
validating, 31, 1.6042162895202636, -1.3837466716766358, 0.0
testing, 31, 1.4998043060302735, -1.339675736427307, 0.0
training, 32, 1.2075063909803119, -1.2624651500156947, 0.0
validating, 32, 1.6194590091705323, -1.382653260231018, 0.0
testing, 32, 1.512119722366333, -1.3400667667388917, 0.0
training, 33, 1.1981542246682304, -1.2629625865391323, 0.0
validating, 33, 1.563476276397705, -1.3815702199935913, 0.0
testing, 33, 1.4770766496658325, -1.3413374543190002, 0.0
training, 34, 1.1927371501922608, -1.2650807755334037, 0.0
validating, 34, 1.6511330604553223, -1.3838643074035644, 0.0
testing, 34, 1.5384897708892822, -1.344329833984375, 0.0
training, 35, 1.2693116528647286, -1.2640145301818848, 0.0
validating, 35, 1.7103589534759522, -1.3857882022857666, 0.0
testing, 35, 1.584342932701111, -1.34605370759964, 0.0
training, 36, 1.2281783717019217, -1.2590353897639683, 0.0
validating, 36, 1.6355989933013917, -1.38455171585083, 0.0
testing, 36, 1.5317444324493408, -1.3470759034156798, 0.0
training, 37, 1.2653255530766079, -1.262195096697126, 0.0
