Random seed, 32
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.07917384590421404, -4.108872876848493, 0.0
validating, -1, 0.05276806354522705, -4.117672920227051, 0.0
testing, -1, 0.05791002213954925, -4.084988594055176, 0.0
training, 0, 0.41049864632742744, -4.306619010652814, 0.0
validating, 0, 0.42690856456756593, -4.324681949615479, 0.0
testing, 0, 0.42005648016929625, -4.264144659042358, 0.0
training, 1, 0.4099119458879743, -4.306450864246913, 0.0
validating, 1, 0.42444963455200196, -4.323983764648437, 0.0
testing, 1, 0.4190028488636017, -4.263940858840942, 0.0
training, 2, 0.40898578848157613, -4.306225844791958, 0.0
validating, 2, 0.42279112339019775, -4.323583698272705, 0.0
testing, 2, 0.41831457018852236, -4.263779640197754, 0.0
training, 3, 0.40814328534262523, -4.306022473743984, 0.0
validating, 3, 0.4208482503890991, -4.3233113288879395, 0.0
testing, 3, 0.41732305884361265, -4.2635815143585205, 0.0
training, 4, 0.40697401251111714, -4.305725445066179, 0.0
validating, 4, 0.4180984616279602, -4.322470092773438, 0.0
testing, 4, 0.4161055862903595, -4.263230037689209, 0.0
training, 5, 0.40560286726270406, -4.305386979239327, 0.0
validating, 5, 0.41329470872879026, -4.321035575866699, 0.0
testing, 5, 0.4139524519443512, -4.262449550628662, 0.0
training, 6, 0.4039994784763881, -4.304787063598633, 0.0
validating, 6, 0.4100156545639038, -4.319835567474366, 0.0
testing, 6, 0.4121937334537506, -4.261800241470337, 0.0
training, 7, 0.40210041318620954, -4.304049982343401, 0.0
validating, 7, 0.40575876235961916, -4.318532085418701, 0.0
testing, 7, 0.40952044129371645, -4.260851860046387, 0.0
training, 8, 0.40029861927032473, -4.3028825146811345, 0.0
validating, 8, 0.40183454751968384, -4.316721725463867, 0.0
testing, 8, 0.4079210937023163, -4.26043963432312, 0.0
training, 9, 0.3983054501669748, -4.301935046059745, 0.0
validating, 9, 0.3983052492141724, -4.315211772918701, 0.0
testing, 9, 0.40510717034339905, -4.259429407119751, 0.0
training, 10, 0.39611895084381105, -4.300517014094761, 0.0
validating, 10, 0.3935515761375427, -4.312648773193359, 0.0
testing, 10, 0.40247198939323425, -4.258095169067383, 0.0
training, 11, 0.3940450089318412, -4.299030038288661, 0.0
validating, 11, 0.39013890027999876, -4.310637092590332, 0.0
testing, 11, 0.39978404641151427, -4.25713210105896, 0.0
training, 12, 0.3921743529183524, -4.297307300567627, 0.0
validating, 12, 0.3871090054512024, -4.308358192443848, 0.0
testing, 12, 0.3977014601230621, -4.2551923274993895, 0.0
training, 13, 0.390998557635716, -4.295642362322126, 0.0
validating, 13, 0.3842774987220764, -4.306484603881836, 0.0
testing, 13, 0.395348984003067, -4.254693984985352, 0.0
training, 14, 0.3894766364778791, -4.294928142002651, 0.0
validating, 14, 0.3805516719818115, -4.303847694396973, 0.0
testing, 14, 0.39387287497520446, -4.253894472122193, 0.0
training, 15, 0.3878901822226388, -4.2919430187770296, 0.0
validating, 15, 0.3794946908950806, -4.304348659515381, 0.0
testing, 15, 0.39052616953849795, -4.252277803421021, 0.0
training, 16, 0.3869989837918963, -4.290740694318499, 0.0
validating, 16, 0.3777072668075562, -4.303059387207031, 0.0
testing, 16, 0.389137202501297, -4.250710439682007, 0.0
training, 17, 0.3850634336471558, -4.289413172858102, 0.0
validating, 17, 0.37610937356948854, -4.303585529327393, 0.0
testing, 17, 0.3849157512187958, -4.250022983551025, 0.0
training, 18, 0.38508519785744805, -4.28992337499346, 0.0
validating, 18, 0.37421330213546755, -4.303077697753906, 0.0
testing, 18, 0.38400679230690005, -4.247709941864014, 0.0
training, 19, 0.38365891320364814, -4.287127467564174, 0.0
validating, 19, 0.372494113445282, -4.302967929840088, 0.0
testing, 19, 0.38141061663627623, -4.246502685546875, 0.0
training, 20, 0.3809520789555141, -4.287519468579974, 0.0
validating, 20, 0.3723815202713013, -4.302419662475586, 0.0
testing, 20, 0.382902055978775, -4.244490766525269, 0.0
training, 21, 0.3818798065185547, -4.285875408990043, 0.0
validating, 21, 0.3711763024330139, -4.303013801574707, 0.0
testing, 21, 0.38083005547523496, -4.242829513549805, 0.0
training, 22, 0.38066837106432233, -4.2830735887799944, 0.0
validating, 22, 0.3682215690612793, -4.3029224395751955, 0.0
testing, 22, 0.37720908522605895, -4.242351770401001, 0.0
training, 23, 0.37758323805672783, -4.284628077915737, 0.0
validating, 23, 0.3706831097602844, -4.303189945220947, 0.0
testing, 23, 0.3753185570240021, -4.240945863723755, 0.0
training, 24, 0.378233231816973, -4.282605157579694, 0.0
validating, 24, 0.37843523025512693, -4.305321407318115, 0.0
testing, 24, 0.37713928818702697, -4.238213634490966, 0.0
training, 25, 0.3768075432096209, -4.281675379616874, 0.0
validating, 25, 0.36691046953201295, -4.303670406341553, 0.0
testing, 25, 0.37421284317970277, -4.242286252975464, 0.0
training, 26, 0.374098801612854, -4.28090969494411, 0.0
validating, 26, 0.3683272123336792, -4.304612731933593, 0.0
testing, 26, 0.37290328145027163, -4.237085342407227, 0.0
training, 27, 0.37211763518197194, -4.277981499263219, 0.0
validating, 27, 0.3621606469154358, -4.303384590148926, 0.0
testing, 27, 0.3691020667552948, -4.239866399765015, 0.0
training, 28, 0.36964835439409527, -4.279825728280204, 0.0
validating, 28, 0.36537458896636965, -4.304715728759765, 0.0
testing, 28, 0.3729162871837616, -4.238008213043213, 0.0
training, 29, 0.36956213542393274, -4.275252710069929, 0.0
validating, 29, 0.3666911840438843, -4.3046948432922365, 0.0
testing, 29, 0.36645383238792417, -4.237299489974975, 0.0
training, 30, 0.3682629040309361, -4.275795868464878, 0.0
validating, 30, 0.356370747089386, -4.303046131134034, 0.0
testing, 30, 0.3648335874080658, -4.237405776977539, 0.0
training, 31, 0.36466294356754847, -4.275501230784825, 0.0
validating, 31, 0.3583783745765686, -4.30316915512085, 0.0
testing, 31, 0.36177857518196105, -4.234577798843384, 0.0
training, 32, 0.36254119532448903, -4.272332845415388, 0.0
validating, 32, 0.37002829313278196, -4.3058679580688475, 0.0
testing, 32, 0.36367157101631165, -4.232241296768189, 0.0
training, 33, 0.3615688630512783, -4.27215028490339, 0.0
validating, 33, 0.36007410287857056, -4.303956317901611, 0.0
testing, 33, 0.35932899117469785, -4.233695459365845, 0.0
training, 34, 0.3599436828068325, -4.273091929299491, 0.0
validating, 34, 0.3590069770812988, -4.30408296585083, 0.0
testing, 34, 0.3583572208881378, -4.232867860794068, 0.0
training, 35, 0.3586639813014439, -4.271815640585763, 0.0
validating, 35, 0.35797330141067507, -4.303352737426758, 0.0
testing, 35, 0.35804600119590757, -4.232594013214111, 0.0
training, 36, 0.3595199074063982, -4.270752075740269, 0.0
validating, 36, 0.36111886501312257, -4.304246807098389, 0.0
testing, 36, 0.3592482268810272, -4.230949449539184, 0.0
training, 37, 0.35832199709756035, -4.270903982434954, 0.0
validating, 37, 0.35725691318511965, -4.303024768829346, 0.0
testing, 37, 0.3561574161052704, -4.2319952011108395, 0.0
training, 38, 0.35617090123040335, -4.268016801561628, 0.0
validating, 38, 0.35489760637283324, -4.3029172897338865, 0.0
testing, 38, 0.3566299855709076, -4.231947374343872, 0.0
training, 39, 0.35616079909460885, -4.268012959616525, 0.0
validating, 39, 0.3622336149215698, -4.304286003112793, 0.0
testing, 39, 0.3567949116230011, -4.230539703369141, 0.0
training, 40, 0.3560657330921718, -4.268489442552839, 0.0
validating, 40, 0.35265958309173584, -4.302137660980224, 0.0
testing, 40, 0.35529081225395204, -4.232638263702393, 0.0
training, 41, 0.3551829661641802, -4.267916795185634, 0.0
validating, 41, 0.35535688400268556, -4.3027088165283205, 0.0
testing, 41, 0.35262966752052305, -4.228230571746826, 0.0
training, 42, 0.35312907525471277, -4.26507283619472, 0.0
validating, 42, 0.35301979780197146, -4.302810573577881, 0.0
testing, 42, 0.3518242180347443, -4.2277747631073, 0.0
training, 43, 0.3503003290721348, -4.265779903956822, 0.0
validating, 43, 0.3513260126113892, -4.302332592010498, 0.0
testing, 43, 0.3513255059719086, -4.228503561019897, 0.0
training, 44, 0.34945649419512065, -4.264775030953544, 0.0
validating, 44, 0.3510409116744995, -4.301975917816162, 0.0
testing, 44, 0.35111311078071594, -4.22832145690918, 0.0
training, 45, 0.3489833610398429, -4.264409705570766, 0.0
validating, 45, 0.349700403213501, -4.301773643493652, 0.0
testing, 45, 0.35036850571632383, -4.2281757354736325, 0.0
training, 46, 0.3489033954484122, -4.262934262411935, 0.0
validating, 46, 0.3507972002029419, -4.3020635604858395, 0.0
testing, 46, 0.3506782233715057, -4.226841783523559, 0.0
training, 47, 0.34891595329557146, -4.262262657710484, 0.0
validating, 47, 0.3515971899032593, -4.302318572998047, 0.0
testing, 47, 0.3512588798999786, -4.225504398345947, 0.0
training, 48, 0.34774087156568256, -4.262612186159406, 0.0
validating, 48, 0.3505460858345032, -4.301721477508545, 0.0
testing, 48, 0.34995678067207336, -4.225810194015503, 0.0
training, 49, 0.3463572706495013, -4.262077583585467, 0.0
