Random seed, 39493
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -7.493155343191964e-08, -3.6633249691554477, 0
validating, -1, -2.384185791015625e-08, -3.6785566568374635, 0
testing, -1, -5.960464477539063e-09, -3.7139525413513184, 0
training, 0, 0.970377436705998, -4.218475365638733, 0
validating, 0, 1.0934276342391969, -4.302480554580688, 0
testing, 0, 1.1032371520996094, -4.2804248213768, 0
training, 1, 0.920135840347835, -4.141465977260045, 0
validating, 1, 0.7770006418228149, -3.9112416982650755, 0
testing, 1, 0.7821952104568481, -3.9226948857307433, 0
training, 2, 0.5272458851337433, -3.786442473956517, 0
validating, 2, 0.5304771542549134, -3.741334819793701, 0
testing, 2, 0.538274621963501, -3.7954100608825683, 0
training, 3, 0.46160019040107725, -3.7411440542766026, 0
validating, 3, 0.4804903149604797, -3.7420221090316774, 0
testing, 3, 0.49835904836654665, -3.7941089510917663, 0
training, 4, 0.4383798062801361, -3.7360626322882515, 0
validating, 4, 0.48457084894180297, -3.778964614868164, 0
testing, 4, 0.48333680629730225, -3.8098722219467165, 0
training, 5, 0.4587174373013633, -3.7535598175866265, 0
validating, 5, 0.4211716055870056, -3.740835094451904, 0
testing, 5, 0.43908597230911256, -3.7949517607688903, 0
training, 6, 0.3771511035306113, -3.723995668547494, 0
validating, 6, 0.3845968246459961, -3.74160373210907, 0
testing, 6, 0.36051329374313357, -3.784642720222473, 0
training, 7, 0.30315953407968793, -3.7187158039637973, 0
validating, 7, 0.2992368221282959, -3.75336754322052, 0
testing, 7, 0.25847967267036437, -3.783277702331543, 0
training, 8, 0.24135955657277788, -3.71326607636043, 0
validating, 8, 0.2720563650131226, -3.7495751857757567, 0
testing, 8, 0.24343833923339844, -3.7737068057060243, 0
training, 9, 0.2207842903477805, -3.7089732851300923, 0
validating, 9, 0.26371384859085084, -3.751664161682129, 0
testing, 9, 0.24477939009666444, -3.755186069011688, 0
training, 10, 0.20548634273665292, -3.7053827932902745, 0
validating, 10, 0.25425260066986083, -3.742871809005737, 0
testing, 10, 0.25722758173942567, -3.778583812713623, 0
training, 11, 0.19753810082163129, -3.7016200644629342, 0
validating, 11, 0.2439701199531555, -3.7536984205245973, 0
testing, 11, 0.23583658933639526, -3.75730015039444, 0
training, 12, 0.19675895742007665, -3.700721332005092, 0
validating, 12, 0.23521063327789307, -3.748512387275696, 0
testing, 12, 0.23697303533554076, -3.7540322661399843, 0
training, 13, 0.18921621441841124, -3.6961247069495067, 0
validating, 13, 0.22621417045593262, -3.7442041397094727, 0
testing, 13, 0.22851659059524537, -3.7726139187812806, 0
training, 14, 0.1817394026688167, -3.6972617626190187, 0
validating, 14, 0.2246219754219055, -3.7507492542266845, 0
testing, 14, 0.21851539015769958, -3.755783700942993, 0
training, 15, 0.18029491986547197, -3.695599477631705, 0
validating, 15, 0.22241998910903932, -3.7461335182189943, 0
testing, 15, 0.23120599389076232, -3.7533719539642334, 0
training, 16, 0.17761425035340445, -3.695636452947344, 0
validating, 16, 0.21934516429901124, -3.751851963996887, 0
testing, 16, 0.21866688132286072, -3.7549017667770386, 0
training, 17, 0.17397554516792296, -3.691041534287589, 0
validating, 17, 0.22549492120742798, -3.7566959142684935, 0
testing, 17, 0.22284412384033203, -3.7579836368560793, 0
training, 18, 0.17294746041297912, -3.6964109863553727, 0
validating, 18, 0.21338973045349122, -3.744056987762451, 0
testing, 18, 0.22276780009269714, -3.752120792865753, 0
training, 19, 0.17425932628767832, -3.6921842404774257, 0
validating, 19, 0.22062395811080932, -3.7567933559417725, 0
testing, 19, 0.22121395468711852, -3.756230020523071, 0
Random seed, 81828
mode, epoch, average loss, defender utility, simulated defender utility
