Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.946037302698408, -4.0887032372610905, 0.0
validating, -1, 2.0343531370162964, -4.110851764678955, 0.0
testing, -1, 1.9043466091156005, -4.099166226387024, 0.0
training, 0, 2.3808221306119646, -4.6952629498073035, 0.0
validating, 0, 2.437085580825806, -4.627090549468994, 0.0
testing, 0, 2.286478638648987, -4.616040992736816, 0.0
Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.946037302698408, -4.0887032372610905, 0.0
validating, -1, 2.0343531370162964, -4.110851764678955, 0.0
testing, -1, 1.9043466091156005, -4.099166226387024, 0.0
training, 0, 2.3808221306119646, -4.6952629498073035, 0.0
validating, 0, 2.437085580825806, -4.627090549468994, 0.0
testing, 0, 2.286478638648987, -4.616040992736816, 0.0
training, 1, 2.342643853596279, -4.65411342893328, 0.0
validating, 1, 2.3717153072357178, -4.57486743927002, 0.0
testing, 1, 2.217480254173279, -4.551952219009399, 0.0
Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.946037302698408, -4.0887032372610905, 0.0
validating, -1, 2.0343531370162964, -4.110851764678955, 0.0
testing, -1, 1.9043466091156005, -4.099166226387024, 0.0
training, 0, 2.3808221306119646, -4.6952629498073035, 0.0
validating, 0, 2.437085580825806, -4.627090549468994, 0.0
testing, 0, 2.286478638648987, -4.616040992736816, 0.0
training, 1, 2.3363885743277413, -4.655546065739223, 0.0
