Random seed, 24
Random seed, 24
mode, epoch, average loss, defender utility, simulated defender utility
Random seed, 24
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.8443080510411944, -1.8056390115192957, 0.0
validating, -1, 1.8606623649597167, -1.695029878616333, 0.0
testing, -1, 1.9207717299461364, -1.8341238021850585, 0.0
training, 0, 2.4563844476427352, -1.9350807785987854, 0.0
validating, 0, 2.490475869178772, -1.9183296322822572, 0.0
testing, 0, 2.558654487133026, -1.9906247138977051, 0.0
training, 1, 2.3881194812910898, -1.8551810809544154, 0.0
validating, 1, 2.303509974479675, -1.625508677959442, 0.0
testing, 1, 2.39047657251358, -1.7489997029304505, 0.0
training, 2, 2.1730489935193744, -1.587444920199258, 0.0
validating, 2, 2.0894484877586366, -1.4278691768646241, 0.0
testing, 2, 2.202812683582306, -1.4864797234535216, 0.0
Random seed, 24
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -1.8264375601496015, 0.0
validating, -1, 0.0, -1.7442780971527099, 0.0
testing, -1, 0.0, -1.8381385922431945, 0.0
training, 0, 1.7565234746251788, -1.9469886354037693, 0.0
validating, 0, 1.8060865879058838, -1.9283912420272826, 0.0
testing, 0, 1.7450241029262543, -1.9830575048923493, 0.0
training, 1, 1.755536527293069, -1.9449842946869986, 0.0
validating, 1, 1.8022473812103272, -1.9203943371772767, 0.0
testing, 1, 1.7425111413002015, -1.9740319728851319, 0.0
training, 2, 1.7305982691901072, -1.9146615045411246, 0.0
validating, 2, 1.709834921360016, -1.8384511828422547, 0.0
testing, 2, 1.6798763573169708, -1.8591364562511443, 0.0
training, 3, 1.603817059312548, -1.7957890783037458, 0.0
validating, 3, 1.5372645258903503, -1.7463388204574586, 0.0
testing, 3, 1.5901569485664369, -1.7349810421466827, 0.0
training, 4, 1.5339145524161202, -1.7393870523997716, 0.0
validating, 4, 1.5008992075920105, -1.6975836277008056, 0.0
testing, 4, 1.553579843044281, -1.6896152377128602, 0.0
training, 5, 1.4987440858568464, -1.7052858625139509, 0.0
validating, 5, 1.4832277655601502, -1.6822813034057618, 0.0
testing, 5, 1.5476800858974458, -1.6683808147907258, 0.0
Random seed, 24
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -2.2017875960894995, 0.0
