Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.29449379784720287, -2.434033782141549, 0.0
validating, -1, 0.2797757625579834, -2.634821653366089, 0.0
testing, -1, 0.2923824429512024, -2.4767218947410585, 0.0
training, 0, 1.5779471465519497, -3.726509874207633, 0.0
validating, 0, 1.4534689903259277, -3.6219409942626952, 0.0
testing, 0, 1.5291660666465758, -3.6553279519081117, 0.0
training, 1, 1.5076523167746407, -3.8090300151279997, 0.0
validating, 1, 1.3545132160186768, -3.666865849494934, 0.0
testing, 1, 1.442609393596649, -3.7810343146324157, 0.0
training, 2, 1.4527448381696428, -3.855393147468567, 0.0
validating, 2, 1.3393778324127197, -3.7214308261871336, 0.0
testing, 2, 1.4341343760490417, -3.8891115307807924, 0.0
training, 3, 1.4328042915889194, -3.773363832065037, 0.0
validating, 3, 1.3182085037231446, -3.5900296926498414, 0.0
testing, 3, 1.4100178837776185, -3.6963775992393493, 0.0
training, 4, 1.4101719379425048, -3.7850731372833253, 0.0
validating, 4, 1.3105715274810792, -3.6353417158126833, 0.0
testing, 4, 1.3989066243171693, -3.798080360889435, 0.0
training, 5, 1.427334976196289, -3.59378707749503, 0.0
validating, 5, 1.3618566989898682, -3.4719480752944945, 0.0
testing, 5, 1.4358665585517882, -3.5744809985160826, 0.0
training, 6, 1.3905746970857893, -3.712933771950858, 0.0
validating, 6, 1.399542236328125, -4.141457033157349, 0.0
testing, 6, 1.5410305857658386, -4.183503198623657, 0.0
training, 7, 1.3656273569379533, -3.801585408619472, 0.0
validating, 7, 1.2506072998046875, -3.481742596626282, 0.0
testing, 7, 1.3479285836219788, -3.5776782393455506, 0.0
training, 8, 1.3434675591332572, -3.650738055365426, 0.0
validating, 8, 1.2562312126159667, -3.5798091650009156, 0.0
testing, 8, 1.352170956134796, -3.822329211235046, 0.0
training, 9, 1.3545739139829363, -3.5868518693106517, 0.0
validating, 9, 1.3084529876708983, -3.5570235013961793, 0.0
testing, 9, 1.3908847451210022, -3.6871843099594117, 0.0
training, 10, 1.363341120311192, -3.6906059401375906, 0.0
validating, 10, 1.3267495155334472, -3.586125922203064, 0.0
testing, 10, 1.4030838131904602, -3.8349182963371278, 0.0
training, 11, 1.3544599805559432, -3.7644531420298986, 0.0
validating, 11, 1.4367696285247802, -4.450650334358215, 0.0
testing, 11, 1.6032148003578186, -4.539442765712738, 0.0
training, 12, 1.4079897165298463, -3.904538995879037, 0.0
validating, 12, 1.4123114585876464, -3.5442617416381834, 0.0
testing, 12, 1.501568114757538, -3.8138430953025817, 0.0
Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.29449379784720287, -2.434033782141549, 0.0
validating, -1, 0.2797757625579834, -2.634821653366089, 0.0
testing, -1, 0.2923824429512024, -2.4767218947410585, 0.0
training, 0, 1.5779471465519497, -3.726509874207633, 0.0
validating, 0, 1.4534689903259277, -3.6219409942626952, 0.0
testing, 0, 1.5291660666465758, -3.6553279519081117, 0.0
training, 1, 1.49375136920384, -3.7997247798102243, 0.0
validating, 1, 1.3482709407806397, -3.6661664485931396, 0.0
testing, 1, 1.4388527750968934, -3.7753185272216796, 0.0
training, 2, 1.44976624080113, -3.8482928616659984, 0.0
validating, 2, 1.3346307754516602, -3.7045024394989015, 0.0
testing, 2, 1.4329813361167907, -3.8719643712043763, 0.0
training, 3, 1.4419075693402972, -3.757131549290248, 0.0
validating, 3, 1.3271780967712403, -3.573925232887268, 0.0
testing, 3, 1.4169813990592957, -3.6712109327316282, 0.0
training, 4, 1.4064168044498988, -3.7687006303242274, 0.0
validating, 4, 1.2900075912475586, -3.594301128387451, 0.0
testing, 4, 1.3897817730903625, -3.7515223622322083, 0.0
training, 5, 1.4060850552150181, -3.6417976004736765, 0.0
validating, 5, 1.3012173652648926, -3.485590195655823, 0.0
testing, 5, 1.4003700137138366, -3.6338572025299074, 0.0
training, 6, 1.361977618081229, -3.6952979155949186, 0.0
validating, 6, 1.3586160659790039, -3.9920153856277465, 0.0
testing, 6, 1.4918712973594666, -3.966966438293457, 0.0
training, 7, 1.3504862785339355, -3.7177302701132637, 0.0
validating, 7, 1.2608891010284424, -3.458260345458984, 0.0
testing, 7, 1.3569729208946228, -3.6272282123565676, 0.0
training, 8, 1.351718725476946, -3.6844370331083027, 0.0
validating, 8, 1.2581233501434326, -3.563563013076782, 0.0
testing, 8, 1.3729348063468934, -3.81231974363327, 0.0
training, 9, 1.3842435019356865, -3.7072282927376885, 0.0
validating, 9, 1.520589542388916, -4.3046410322189335, 0.0
testing, 9, 1.6635337233543397, -4.160770153999328, 0.0
training, 10, 1.4978445870535715, -4.016298386028835, 0.0
validating, 10, 1.3957927227020264, -3.9517273187637327, 0.0
testing, 10, 1.5085981965065003, -3.7970864176750183, 0.0
Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.29449379784720287, -2.434033782141549, 0.0
validating, -1, 0.2797757625579834, -2.634821653366089, 0.0
testing, -1, 0.2923824429512024, -2.4767218947410585, 0.0
training, 0, 1.5779471465519497, -3.726509874207633, 0.0
validating, 0, 1.4534689903259277, -3.6219409942626952, 0.0
testing, 0, 1.5291660666465758, -3.6553279519081117, 0.0
training, 1, 1.5565723827907016, -3.725271885735648, 0.0
validating, 1, 1.4366767406463623, -3.607415223121643, 0.0
testing, 1, 1.513240897655487, -3.643359625339508, 0.0
training, 2, 1.5440934453691755, -3.708816657747541, 0.0
validating, 2, 1.429005241394043, -3.5980329275131226, 0.0
testing, 2, 1.5069493174552917, -3.636380708217621, 0.0
training, 3, 1.538732235772269, -3.692302373477391, 0.0
validating, 3, 1.400388526916504, -3.5727820873260496, 0.0
testing, 3, 1.4797795414924622, -3.617934596538544, 0.0
training, 4, 1.4714310032980782, -3.6939485345567977, 0.0
validating, 4, 1.3415473461151124, -3.5469982862472533, 0.0
testing, 4, 1.4253067135810853, -3.6154688596725464, 0.0
training, 5, 1.4859877245766775, -3.5926720482962473, 0.0
validating, 5, 1.4097071170806885, -3.5057936668395997, 0.0
testing, 5, 1.4767792105674744, -3.549800527095795, 0.0
training, 6, 1.425835691179548, -3.674107255254473, 0.0
validating, 6, 1.2880237579345704, -3.46969587802887, 0.0
testing, 6, 1.3806591629981995, -3.65851514339447, 0.0
training, 7, 1.362228318623134, -3.570317166192191, 0.0
validating, 7, 1.2669472217559814, -3.4282847166061403, 0.0
testing, 7, 1.3728639960289002, -3.6442775964736938, 0.0
training, 8, 1.3206788846424649, -3.509239629336766, 0.0
validating, 8, 1.2708505153656007, -3.483581376075745, 0.0
testing, 8, 1.3589633345603942, -3.610614502429962, 0.0
training, 9, 1.421651860645839, -3.614265854018075, 0.0
validating, 9, 1.3220299243927003, -3.6008636713027955, 0.0
testing, 9, 1.4205862641334535, -3.692323863506317, 0.0
training, 10, 1.3823566232408797, -3.6002783468791417, 0.0
validating, 10, 1.354761266708374, -3.954149627685547, 0.0
testing, 10, 1.4969935297966004, -3.8056712985038756, 0.0
training, 11, 1.3425131048474992, -3.585982813153948, 0.0
validating, 11, 1.2658076763153077, -3.55901358127594, 0.0
testing, 11, 1.4087449669837953, -3.7793224811553956, 0.0
training, 12, 1.3294236966541835, -3.589903834887913, 0.0
validating, 12, 1.3279834270477295, -3.587844133377075, 0.0
testing, 12, 1.422071635723114, -3.738063895702362, 0.0
training, 13, 1.450270060130528, -3.5665023020335607, 0.0
validating, 13, 1.3722541809082032, -3.4077717542648314, 0.0
testing, 13, 1.4168108820915222, -3.5176483511924745, 0.0
training, 14, 1.3666340930121286, -3.511699298449925, 0.0
validating, 14, 1.2901843547821046, -3.525498080253601, 0.0
testing, 14, 1.419432532787323, -3.7887791991233826, 0.0
training, 15, 1.36834728036608, -3.6708737816129413, 0.0
validating, 15, 1.307608413696289, -3.518392872810364, 0.0
testing, 15, 1.4330042958259583, -3.7656775593757628, 0.0
training, 16, 1.435232036454337, -3.774978423118591, 0.0
validating, 16, 1.55401611328125, -4.287520217895508, 0.0
testing, 16, 1.685106360912323, -4.116514980792999, 0.0
training, 17, 1.425218173435756, -3.8231130429676603, 0.0
validating, 17, 1.3677711963653565, -3.9397502660751345, 0.0
testing, 17, 1.5324685454368592, -3.840870034694672, 0.0
training, 18, 1.4464744635990687, -3.915896303313119, 0.0
validating, 18, 1.7849820137023926, -4.869334316253662, 0.0
testing, 18, 1.941321814060211, -4.554774188995362, 0.0
training, 19, 1.453584827695574, -3.9174662147249495, 0.0
validating, 19, 1.517305278778076, -4.265445876121521, 0.0
testing, 19, 1.700796115398407, -4.224463069438935, 0.0
training, 20, 1.4118207590920584, -3.7595495973314557, 0.0
validating, 20, 1.4737857818603515, -4.265809798240662, 0.0
testing, 20, 1.6578382849693298, -4.068154108524323, 0.0
training, 21, 1.4221911226000106, -3.774471586091178, 0.0
validating, 21, 1.4172276496887206, -4.253906917572022, 0.0
testing, 21, 1.616887629032135, -4.089134478569031, 0.0
training, 22, 1.7901140417371477, -4.260673410551888, 0.0
validating, 22, 3.398642635345459, -5.002081561088562, 0.0
testing, 22, 3.4775365471839903, -5.069915950298309, 0.0
training, 23, 2.9000168936593194, -4.8844103949410576, 0.0
validating, 23, 2.69963960647583, -4.9083586692810055, 0.0
testing, 23, 2.7454831480979918, -4.910409760475159, 0.0
training, 24, 2.221079969406128, -4.583780949456351, 0.0
validating, 24, 3.07908034324646, -4.952177953720093, 0.0
testing, 24, 3.1917861819267275, -5.032621467113495, 0.0
