Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.6759872436523438, -1.7117061921528407, 0.0
validating, -1, 2.7583635330200194, -1.66398024559021, 0.0
testing, -1, 2.70104558467865, -1.7242092609405517, 0.0
training, 0, 2.8501846858433315, -2.2671715429850985, 0.0
validating, 0, 2.902101755142212, -2.1790701389312743, 0.0
testing, 0, 2.8848307132720947, -2.3977503299713137, 0.0
Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.6759872436523438, -1.7117061921528407, 0.0
validating, -1, 2.7583635330200194, -1.66398024559021, 0.0
testing, -1, 2.70104558467865, -1.7242092609405517, 0.0
training, 0, 2.8501846858433315, -2.2671715429850985, 0.0
validating, 0, 2.902101755142212, -2.1790701389312743, 0.0
testing, 0, 2.8848307132720947, -2.3977503299713137, 0.0
