Random seed, 49
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.7029898507254463e-08, -2.1764051369258337, 0
validating, -1, 4.76837158203125e-08, -2.0106409072875975, 0
testing, -1, 8.344650268554687e-08, -2.227111256122589, 0
training, 0, 0.4318032775606428, -2.7864331109183174, 0
validating, 0, 0.35215225219726565, -2.5748841762542725, 0
testing, 0, 0.39060264825820923, -2.692170429229736, 0
training, 1, 0.36866219384329657, -2.7796548775264194, 0
validating, 1, 0.2867135524749756, -2.541761541366577, 0
testing, 1, 0.32111999988555906, -2.6823567867279055, 0
training, 2, 0.3402069670813424, -2.7750194140842983, 0
validating, 2, 0.29569301605224607, -2.547689199447632, 0
testing, 2, 0.33089896440505984, -2.682099962234497, 0
training, 3, 0.39494790349687847, -2.7766306945255823, 0
validating, 3, 0.33714454174041747, -2.569492483139038, 0
testing, 3, 0.37400591373443604, -2.688157320022583, 0
training, 4, 0.38969033786228724, -2.775479623249599, 0
validating, 4, 0.3200098752975464, -2.561953639984131, 0
testing, 4, 0.35421391725540163, -2.6841347455978393, 0
training, 5, 0.38421710218702043, -2.7722885881151473, 0
validating, 5, 0.3347436189651489, -2.5717007637023928, 0
testing, 5, 0.3684326171875, -2.6855089902877807, 0
training, 6, 0.419438328061785, -2.7714178357805523, 0
validating, 6, 0.35424730777740476, -2.591182279586792, 0
testing, 6, 0.3851938843727112, -2.6900553464889527, 0
training, 7, 0.4387033087866647, -2.771328966958182, 0
validating, 7, 0.33246545791625975, -2.5785000801086424, 0
testing, 7, 0.36048086881637575, -2.6834429264068604, 0
training, 8, 0.3526291745049613, -2.752674674987793, 0
validating, 8, 0.2606788635253906, -2.534915399551392, 0
testing, 8, 0.2736708760261536, -2.66435546875, 0
training, 9, 0.2913659300122942, -2.7446704728262765, 0
validating, 9, 0.2524001121520996, -2.5306713581085205, 0
testing, 9, 0.26069341897964476, -2.660558986663818, 0
training, 10, 0.2988043989453997, -2.7355422496795656, 0
validating, 10, 0.3140690326690674, -2.5853140354156494, 0
testing, 10, 0.3203390598297119, -2.6757689476013184, 0
training, 11, 0.31133651392800465, -2.736204024723598, 0
validating, 11, 0.3200218200683594, -2.606732225418091, 0
testing, 11, 0.313674533367157, -2.678868293762207, 0
training, 12, 0.2647832291466849, -2.724167994090489, 0
validating, 12, 0.2173243999481201, -2.5170403957366942, 0
testing, 12, 0.1977891206741333, -2.6526363849639893, 0
training, 13, 0.20906227827072144, -2.7056895664760043, 0
validating, 13, 0.24277167320251464, -2.555041694641113, 0
testing, 13, 0.22326847314834594, -2.6481542587280273, 0
training, 14, 0.24932763746806552, -2.708220475060599, 0
validating, 14, 0.2535346508026123, -2.569930648803711, 0
testing, 14, 0.22333753108978271, -2.647988796234131, 0
training, 15, 0.22124578952789306, -2.7044759137289867, 0
validating, 15, 0.26075360774993894, -2.577884864807129, 0
testing, 15, 0.23215967416763306, -2.651219916343689, 0
training, 16, 0.2566303491592407, -2.7109479222978865, 0
validating, 16, 0.2536071062088013, -2.5776007175445557, 0
testing, 16, 0.20732698440551758, -2.6466837167739867, 0
training, 17, 0.19384752001081193, -2.689059257507324, 0
validating, 17, 0.2768648624420166, -2.6014403343200683, 0
testing, 17, 0.2088549852371216, -2.6609788656234743, 0
