Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.9391784191131591, -4.455586351667132, 0.0
validating, -1, 1.948374629020691, -4.48646650314331, 0.0
testing, -1, 1.9480327248573304, -4.279755568504333, 0.0
training, 0, 2.042230694634574, -4.755826595851353, 0.0
validating, 0, 2.016238784790039, -4.776473331451416, 0.0
testing, 0, 2.0509502053260804, -4.65625901222229, 0.0
training, 1, 2.017394130570548, -4.696021774836949, 0.0
validating, 1, 1.9777617692947387, -4.6712664604187015, 0.0
testing, 1, 2.005445826053619, -4.55381407737732, 0.0
training, 2, 1.999431242261614, -4.638833522796631, 0.0
validating, 2, 1.9756813287734984, -4.65454216003418, 0.0
testing, 2, 2.0008687734603883, -4.538142108917237, 0.0
training, 3, 2.001463573319571, -4.62745874949864, 0.0
validating, 3, 1.9808594226837157, -4.650114250183106, 0.0
testing, 3, 2.003607392311096, -4.533661794662476, 0.0
training, 4, 2.0006908995764596, -4.620458439418248, 0.0
validating, 4, 1.9834808588027955, -4.649208736419678, 0.0
testing, 4, 2.004991912841797, -4.531439208984375, 0.0
training, 5, 2.0020237479891096, -4.616921997070312, 0.0
validating, 5, 1.9802472829818725, -4.644447135925293, 0.0
testing, 5, 2.0025055766105653, -4.526215124130249, 0.0
