Random seed, 25
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -0.5800213111298425, 0.0
validating, -1, 0.0, -0.5930758118629456, 0.0
testing, -1, 0.0, -0.5547685101628304, 0.0
training, 0, 1.793396750518254, -0.6940570907933371, 0.0
validating, 0, 1.6809794068336488, -0.6932802259922027, 0.0
testing, 0, 1.776740401983261, -0.6855489999055863, 0.0
training, 1, 1.9255242892674038, -0.6827938326767513, 0.0
validating, 1, 2.41343092918396, -0.6340733528137207, 0.0
testing, 1, 2.4411189794540404, -0.6279092282056808, 0.0
training, 2, 2.850865568433489, -0.6987243447984968, 0.0
validating, 2, 2.878568911552429, -0.8196176052093506, 0.0
testing, 2, 2.8786501407623293, -0.8767933398485184, 0.0
training, 3, 2.963985892704555, -0.7806915568453925, 0.0
validating, 3, 2.917461466789246, -0.87114719748497, 0.0
testing, 3, 2.9282414317131042, -0.8839347824454308, 0.0
Random seed, 25
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -0.5800213111298425, 0.0
validating, -1, 0.0, -0.5930758118629456, 0.0
testing, -1, 0.0, -0.5547685101628304, 0.0
training, 0, 1.793396750518254, -0.6940570907933371, 0.0
validating, 0, 1.6809794068336488, -0.6932802259922027, 0.0
testing, 0, 1.776740401983261, -0.6855489999055863, 0.0
training, 1, 1.922340112073081, -0.6837055563926697, 0.0
validating, 1, 2.301567184925079, -0.6447916805744172, 0.0
testing, 1, 2.3272392988204955, -0.6391616374254226, 0.0
training, 2, 2.8154126712254115, -0.7002347252198629, 0.0
validating, 2, 2.833097147941589, -0.747969925403595, 0.0
testing, 2, 2.84052175283432, -0.7826969221234321, 0.0
training, 3, 2.9070880719593593, -0.74158288027559, 0.0
validating, 3, 2.854928231239319, -0.7959560275077819, 0.0
testing, 3, 2.8575377106666564, -0.8507725358009338, 0.0
Random seed, 25
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -0.5800213111298425, 0.0
validating, -1, 0.0, -0.5930758118629456, 0.0
testing, -1, 0.0, -0.5547685101628304, 0.0
training, 0, 1.793396750518254, -0.6940570907933371, 0.0
validating, 0, 1.6809794068336488, -0.6932802259922027, 0.0
testing, 0, 1.776740401983261, -0.6855489999055863, 0.0
training, 1, 1.9231017010552542, -0.6829905893121447, 0.0
validating, 1, 2.3286390900611877, -0.6391184747219085, 0.0
testing, 1, 2.3578352093696595, -0.6328960180282592, 0.0
training, 2, 2.7702293532235283, -0.6685939533369881, 0.0
validating, 2, 2.7882358551025392, -0.6721980631351471, 0.0
testing, 2, 2.7933730363845823, -0.6562258943915367, 0.0
training, 3, 2.9427148887089323, -0.797289844921657, 0.0
validating, 3, 2.905908799171448, -0.8690940022468567, 0.0
testing, 3, 2.908757185935974, -0.8636684522032738, 0.0
