Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility, fast defender utility
training, -1, 0.31179402215140206, -1.7498626334326608, 0.0, 0.0
validating, -1, 0.32346339225769044, -1.6178192257881165, 0.0, 0.0
testing, -1, 0.3290935754776001, -1.7825201004743576, 0.0, 0.0
training, 0, 2.163628155844552, -2.7937925951821465, 0.0, 0.0
validating, 0, 2.361679029464722, -2.7944299936294557, 0.0, 0.0
testing, 0, 2.305298221111298, -2.809855616092682, 0.0, 0.0
training, 1, 2.0193952219826836, -2.7144923789160593, 0.0, 0.0
validating, 1, 2.096701431274414, -2.7057971000671386, 0.0, 0.0
testing, 1, 2.0638904690742494, -2.696517086029053, 0.0, 0.0
training, 2, 1.8046432358878, -2.629008773394993, 0.0, 0.0
validating, 2, 1.823486566543579, -2.6618507385253904, 0.0, 0.0
testing, 2, 1.7734501957893372, -2.596741056442261, 0.0, 0.0
training, 3, 1.6033209323883058, -2.5639436806951252, 0.0, 0.0
validating, 3, 1.7706120014190674, -2.724493932723999, 0.0, 0.0
testing, 3, 1.7074137806892395, -2.6010424911975862, 0.0, 0.0
training, 4, 1.409503092084612, -2.468626958983285, 0.0, 0.0
validating, 4, 1.611642599105835, -2.686232161521912, 0.0, 0.0
testing, 4, 1.5334677577018738, -2.504978281259537, 0.0, 0.0
training, 5, 1.539200953074864, -2.4717301402773177, 0.0, 0.0
validating, 5, 1.8780444622039796, -2.7982760190963747, 0.0, 0.0
testing, 5, 1.8292814373970032, -2.5385405659675597, 0.0, 0.0
training, 6, 1.6232845510755267, -2.490338909626007, 0.0, 0.0
validating, 6, 1.8273908138275146, -2.8101478934288027, 0.0, 0.0
testing, 6, 1.7719439148902894, -2.5429551005363464, 0.0, 0.0
training, 7, 1.6689159733908516, -2.4977585877690998, 0.0, 0.0
validating, 7, 2.1909936904907226, -2.799205708503723, 0.0, 0.0
testing, 7, 2.126875913143158, -2.5398868322372437, 0.0, 0.0
training, 8, 2.036235237121582, -2.5006686908858162, 0.0, 0.0
validating, 8, 2.1010926246643065, -2.802060294151306, 0.0, 0.0
testing, 8, 2.0416146874427796, -2.5358985543251036, 0.0, 0.0
training, 9, 1.474406807763236, -2.5055775250707355, 0.0, 0.0
validating, 9, 1.5190546989440918, -2.780412483215332, 0.0, 0.0
testing, 9, 1.4235143780708313, -2.613522458076477, 0.0, 0.0
training, 10, 1.3507061004638672, -2.552143452848707, 0.0, 0.0
validating, 10, 1.502473783493042, -2.7018640637397766, 0.0, 0.0
testing, 10, 1.4228656888008118, -2.5147593438625337, 0.0, 0.0
training, 11, 1.311891371863229, -2.443048163822719, 0.0, 0.0
validating, 11, 1.5398522853851317, -2.6875586032867433, 0.0, 0.0
testing, 11, 1.4444613575935363, -2.5441861271858217, 0.0, 0.0
training, 12, 1.3441222735813685, -2.486964522089277, 0.0, 0.0
validating, 12, 1.5300777435302735, -2.631422019004822, 0.0, 0.0
testing, 12, 1.442289650440216, -2.493791925907135, 0.0, 0.0
training, 13, 1.5931494235992432, -2.457146876198905, 0.0, 0.0
validating, 13, 2.264774703979492, -2.780953896045685, 0.0, 0.0
testing, 13, 2.2026214957237245, -2.530095857381821, 0.0, 0.0
training, 14, 2.0246600559779577, -2.494553317342486, 0.0, 0.0
validating, 14, 2.435158061981201, -2.7968432545661925, 0.0, 0.0
testing, 14, 2.38772634267807, -2.5344535648822784, 0.0, 0.0
