Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.7904279129845755, -2.710971321378435, 0.0
validating, -1, 1.7841405391693115, -2.439548444747925, 0.0
testing, -1, 1.8175086379051208, -2.5336565732955934, 0.0
training, 0, 2.134978675842285, -3.2471796308244976, 0.0
validating, 0, 2.0978591442108154, -2.941499185562134, 0.0
testing, 0, 2.1931899905204775, -3.083312201499939, 0.0
training, 1, 2.1067190272467475, -3.317659330368042, 0.0
validating, 1, 2.0834219217300416, -3.1171255111694336, 0.0
testing, 1, 2.150951826572418, -3.2014198303222656, 0.0
training, 2, 2.084734569277082, -3.3730556351797922, 0.0
validating, 2, 2.0665300130844115, -3.049251890182495, 0.0
testing, 2, 2.1328611016273498, -3.150952196121216, 0.0
training, 3, 2.0644751310348513, -3.372647639683315, 0.0
validating, 3, 2.04499614238739, -3.0732813358306883, 0.0
testing, 3, 2.1030376076698305, -3.173235774040222, 0.0
training, 4, 2.0322543825422015, -3.449010760443551, 0.0
validating, 4, 2.0184335231781008, -3.0870957374572754, 0.0
testing, 4, 2.0707634329795837, -3.1809038162231444, 0.0
training, 5, 2.0073189701352803, -3.506217527389526, 0.0
validating, 5, 1.9982913494110108, -3.161394214630127, 0.0
testing, 5, 2.0413550972938537, -3.2262404203414916, 0.0
training, 6, 1.9923064776829311, -3.536160264696394, 0.0
validating, 6, 1.9887357711791993, -3.1562822818756104, 0.0
testing, 6, 2.0292036294937135, -3.222678709030151, 0.0
training, 7, 1.9783054624285017, -3.521397420338222, 0.0
validating, 7, 1.9744549036026, -2.9924299716949463, 0.0
testing, 7, 2.021686291694641, -3.1031744480133057, 0.0
training, 8, 1.9702617611203874, -3.4796073368617466, 0.0
validating, 8, 1.967776846885681, -3.0359521865844727, 0.0
testing, 8, 2.008337843418121, -3.1340935945510866, 0.0
training, 9, 1.9610781124659946, -3.481521838051932, 0.0
validating, 9, 1.960325288772583, -2.9396418571472167, 0.0
testing, 9, 2.0018620133399962, -3.067980170249939, 0.0
training, 10, 1.9523544481822424, -3.4651979378291538, 0.0
validating, 10, 1.9584418535232544, -2.822461986541748, 0.0
testing, 10, 2.0041377425193785, -2.9810781240463258, 0.0
training, 11, 1.9453544821058, -3.3698379925319126, 0.0
validating, 11, 1.948373031616211, -2.8288145542144774, 0.0
testing, 11, 1.9901113986968995, -2.9711717844009398, 0.0
training, 12, 1.9363435404641287, -3.305386986051287, 0.0
validating, 12, 1.9481678009033203, -2.7541947841644285, 0.0
testing, 12, 1.9921459555625916, -2.9114015817642214, 0.0
training, 13, 1.9364485229764665, -3.2225673948015485, 0.0
validating, 13, 1.9514718532562256, -2.680430698394775, 0.0
testing, 13, 2.0074833035469055, -2.847065877914429, 0.0
training, 14, 1.9274827003479005, -3.2051971503666468, 0.0
validating, 14, 1.933072805404663, -2.668647623062134, 0.0
testing, 14, 1.990667462348938, -2.8899712800979613, 0.0
training, 15, 1.9277237040655955, -3.1745844772883824, 0.0
validating, 15, 1.9301929950714112, -2.6754081726074217, 0.0
testing, 15, 1.9806656956672668, -2.8558393001556395, 0.0
training, 16, 1.9169495855058942, -3.173065866742815, 0.0
validating, 16, 1.9280860424041748, -2.644875192642212, 0.0
testing, 16, 1.9818304896354675, -2.8168389558792115, 0.0
training, 17, 1.913085917064122, -3.145341546194894, 0.0
validating, 17, 1.9207871198654174, -2.654441404342651, 0.0
testing, 17, 1.9742419123649597, -2.812684154510498, 0.0
training, 18, 1.9024340050561088, -3.1504605293273924, 0.0
validating, 18, 1.929654335975647, -2.6459102630615234, 0.0
testing, 18, 1.9793473482131958, -2.7682071924209595, 0.0
training, 19, 1.913164063862392, -3.1105779375348774, 0.0
validating, 19, 1.927160096168518, -2.666439962387085, 0.0
testing, 19, 1.9804718971252442, -2.863739347457886, 0.0
