Random seed, 1
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.07919015543801444, -3.883661106654576, 0.0
validating, -1, 0.07608819007873535, -3.8273398876190186, 0.0
testing, -1, 0.09795379638671875, -3.814633274078369, 0.0
training, 0, 0.6472064052309309, -4.5033951691218785, 0.0
validating, 0, 0.5041051626205444, -4.353366851806641, 0.0
testing, 0, 0.6702928900718689, -4.4545211553573605, 0.0
training, 1, 0.6605944565364292, -4.414219645091466, 0.0
validating, 1, 0.5483793973922729, -4.300279760360718, 0.0
testing, 1, 0.7288358092308045, -4.334923362731933, 0.0
training, 2, 0.671863511630467, -4.340824406487601, 0.0
validating, 2, 0.5765268087387085, -4.314445924758911, 0.0
testing, 2, 0.7585564970970153, -4.321722292900086, 0.0
training, 3, 0.6916760751179286, -4.328582668304444, 0.0
validating, 3, 0.6013716936111451, -4.338837337493897, 0.0
testing, 3, 0.7792582154273987, -4.312726616859436, 0.0
training, 4, 0.70968086038317, -4.314108760016305, 0.0
validating, 4, 0.66862952709198, -4.393279933929444, 0.0
testing, 4, 0.8400112748146057, -4.309980750083923, 0.0
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.07919015543801444, -3.883661106654576, 0.0
validating, -1, 0.07608819007873535, -3.8273398876190186, 0.0
testing, -1, 0.09795379638671875, -3.814633274078369, 0.0
training, 0, 0.6472064052309309, -4.5033951691218785, 0.0
validating, 0, 0.5041051626205444, -4.353366851806641, 0.0
testing, 0, 0.6702928900718689, -4.4545211553573605, 0.0
training, 1, 0.6605956997190203, -4.414195462635585, 0.0
validating, 1, 0.5483677625656128, -4.300342130661011, 0.0
testing, 1, 0.7288697600364685, -4.334946703910828, 0.0
training, 2, 0.6745981318610055, -4.337918642589024, 0.0
validating, 2, 0.5917742490768433, -4.319858980178833, 0.0
testing, 2, 0.7843823075294495, -4.31933491230011, 0.0
training, 3, 0.7188988821847099, -4.328760521752494, 0.0
validating, 3, 0.632542634010315, -4.358031940460205, 0.0
testing, 3, 0.8244550108909607, -4.318182516098022, 0.0
training, 4, 0.710165296282087, -4.3276670387813025, 0.0
validating, 4, 0.618107008934021, -4.354093742370606, 0.0
testing, 4, 0.7931967616081238, -4.312499642372131, 0.0
training, 5, 0.7290310348783221, -4.315106092180525, 0.0
validating, 5, 0.7008145093917847, -4.415486907958984, 0.0
testing, 5, 0.8656660437583923, -4.312635326385498, 0.0
training, 6, 0.754217985698155, -4.315946769714356, 0.0
validating, 6, 0.6979881525039673, -4.4191914081573485, 0.0
testing, 6, 0.8440223097801208, -4.301852464675903, 0.0
training, 7, 0.7578266722815378, -4.3044549805777415, 0.0
validating, 7, 0.742451548576355, -4.450066375732422, 0.0
testing, 7, 0.8817095637321473, -4.294615983963013, 0.0
training, 8, 0.7618809223175049, -4.297131156921386, 0.0
validating, 8, 0.7546708822250366, -4.477687931060791, 0.0
testing, 8, 0.8561805367469788, -4.275946259498596, 0.0
training, 9, 0.7916534764426095, -4.28649537222726, 0.0
validating, 9, 0.8292437314987182, -4.537797307968139, 0.0
testing, 9, 0.9006083607673645, -4.2579680442810055, 0.0
training, 10, 0.7907036508832659, -4.276416724068778, 0.0
validating, 10, 0.8218155622482299, -4.544940185546875, 0.0
testing, 10, 0.874886667728424, -4.24831006526947, 0.0
training, 11, 0.7909898281097412, -4.2617225783211845, 0.0
validating, 11, 0.8636443853378296, -4.575211429595948, 0.0
testing, 11, 0.8776248812675476, -4.235693311691284, 0.0
training, 12, 0.7907573359353202, -4.255544424057007, 0.0
validating, 12, 0.95876624584198, -4.611882019042969, 0.0
testing, 12, 0.9193066477775573, -4.219384264945984, 0.0
training, 13, 0.8238711970193046, -4.2308095182691305, 0.0
validating, 13, 1.0108919382095336, -4.616564846038818, 0.0
testing, 13, 0.9551364064216614, -4.215648722648621, 0.0
training, 14, 0.8479609285082136, -4.2278190544673375, 0.0
validating, 14, 1.014008641242981, -4.627203559875488, 0.0
testing, 14, 0.9392696976661682, -4.21077151298523, 0.0
training, 15, 0.8420126846858433, -4.222702087674822, 0.0
validating, 15, 1.025487494468689, -4.602525615692139, 0.0
testing, 15, 0.95111585855484, -4.210237312316894, 0.0
training, 16, 0.8404102155140468, -4.213906472069876, 0.0
validating, 16, 1.1068105459213258, -4.617600297927856, 0.0
testing, 16, 0.9979506611824036, -4.202266001701355, 0.0
training, 17, 0.9005392347063337, -4.212003305980137, 0.0
validating, 17, 1.1698844671249389, -4.638302326202393, 0.0
testing, 17, 1.0239381194114685, -4.196230340003967, 0.0
training, 18, 0.9171078886304583, -4.208872420447213, 0.0
validating, 18, 1.2467936754226685, -4.654079818725586, 0.0
testing, 18, 1.076483428478241, -4.194612693786621, 0.0
