Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.5355863911764964, -2.407989573478699, 0.0
validating, -1, 2.559228038787842, -2.3983835220336913, 0.0
testing, -1, 2.5371387004852295, -2.3912655830383303, 0.0
training, 0, 2.580364601952689, -2.7052944455827985, 0.0
validating, 0, 2.6585025787353516, -2.6272393226623536, 0.0
testing, 0, 2.585659694671631, -2.7907485485076906, 0.0
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.5355863911764964, -2.407989573478699, 0.0
validating, -1, 2.559228038787842, -2.3983835220336913, 0.0
testing, -1, 2.5371387004852295, -2.3912655830383303, 0.0
training, 0, 2.580364601952689, -2.7052944455827985, 0.0
validating, 0, 2.6585025787353516, -2.6272393226623536, 0.0
testing, 0, 2.585659694671631, -2.7907485485076906, 0.0
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.5355863911764964, -2.407989573478699, 0.0
validating, -1, 2.559228038787842, -2.3983835220336913, 0.0
testing, -1, 2.5371387004852295, -2.3912655830383303, 0.0
training, 0, 2.580364601952689, -2.7052944455827985, 0.0
validating, 0, 2.6585025787353516, -2.6272393226623536, 0.0
testing, 0, 2.585659694671631, -2.7907485485076906, 0.0
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.5355863911764964, -2.407989573478699, 0.0
validating, -1, 2.559228038787842, -2.3983835220336913, 0.0
testing, -1, 2.5371387004852295, -2.3912655830383303, 0.0
training, 0, 2.580364601952689, -2.7052944455827985, 0.0
validating, 0, 2.6585025787353516, -2.6272393226623536, 0.0
testing, 0, 2.585659694671631, -2.7907485485076906, 0.0
training, 1, 2.5474547249930244, -2.608463028499058, 0.0
validating, 1, 2.6009284973144533, -2.477410984039307, 0.0
testing, 1, 2.534092164039612, -2.4951014518737793, 0.0
training, 2, 2.5156402179173063, -2.564999498639788, 0.0
validating, 2, 2.584109592437744, -2.4770532131195067, 0.0
testing, 2, 2.5166239500045777, -2.4646999835968018, 0.0
training, 3, 2.4990876129695345, -2.549855055127825, 0.0
validating, 3, 2.576529359817505, -2.4927982330322265, 0.0
testing, 3, 2.5116284847259522, -2.4935984373092652, 0.0
training, 4, 2.492060559136527, -2.505446638379778, 0.0
validating, 4, 2.578473615646362, -2.500992202758789, 0.0
testing, 4, 2.50963134765625, -2.4847970724105837, 0.0
training, 5, 2.487319769178118, -2.48444732938494, 0.0
validating, 5, 2.5769600868225098, -2.3904210567474364, 0.0
testing, 5, 2.5049027681350706, -2.4467310428619387, 0.0
training, 6, 2.4822280543191093, -2.447742305483137, 0.0
validating, 6, 2.5718792915344237, -2.3968760490417482, 0.0
testing, 6, 2.4996945381164553, -2.401382040977478, 0.0
training, 7, 2.476685013089861, -2.4338838917868477, 0.0
validating, 7, 2.575919008255005, -2.3969388008117676, 0.0
testing, 7, 2.498562145233154, -2.392044997215271, 0.0
training, 8, 2.471708379473005, -2.4316927433013915, 0.0
validating, 8, 2.569982099533081, -2.3965575218200685, 0.0
testing, 8, 2.490929365158081, -2.4048210620880126, 0.0
training, 9, 2.4665170805794854, -2.4046444620404923, 0.0
validating, 9, 2.575689172744751, -2.39790825843811, 0.0
testing, 9, 2.4862711668014525, -2.408393383026123, 0.0
training, 10, 2.4628304890223913, -2.4149507522583007, 0.0
validating, 10, 2.570659875869751, -2.3972620964050293, 0.0
testing, 10, 2.483274149894714, -2.3990252017974854, 0.0
training, 11, 2.458623892920358, -2.4117234025682723, 0.0
validating, 11, 2.5776867389678957, -2.3978403568267823, 0.0
testing, 11, 2.4814080238342284, -2.405236744880676, 0.0
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0931124074118478, -2.407989573478699, 0.0
validating, -1, 0.06693451404571533, -2.3983835220336913, 0.0
testing, -1, 0.09688348770141601, -2.3912655830383303, 0.0
training, 0, 0.8223154817308699, -2.7052944455827985, 0.0
validating, 0, 0.8146193265914917, -2.6272393226623536, 0.0
testing, 0, 0.8583379030227661, -2.7907485485076906, 0.0
training, 1, 0.6143327815192087, -2.609935814993722, 0.0
validating, 1, 0.5323341608047485, -2.4719283103942873, 0.0
testing, 1, 0.4905670642852783, -2.6647926330566407, 0.0
training, 2, 0.45459255150386263, -2.5753469126565114, 0.0
validating, 2, 0.49743216037750243, -2.4696964263916015, 0.0
testing, 2, 0.44965758323669436, -2.6548656225204468, 0.0
training, 3, 0.4268215996878488, -2.5838072299957275, 0.0
validating, 3, 0.479783034324646, -2.5087815284729005, 0.0
testing, 3, 0.4348897457122803, -2.6505375623703005, 0.0
training, 4, 0.41316421031951905, -2.5579663821629115, 0.0
validating, 4, 0.4300755262374878, -2.433743143081665, 0.0
testing, 4, 0.3997028827667236, -2.5589391946792603, 0.0
training, 5, 0.3982111896787371, -2.5373100417000907, 0.0
validating, 5, 0.430778956413269, -2.468060827255249, 0.0
testing, 5, 0.39978853464126585, -2.6004470109939577, 0.0
training, 6, 0.3819433007921491, -2.5071485791887556, 0.0
validating, 6, 0.4109374761581421, -2.4651145458221437, 0.0
testing, 6, 0.387752377986908, -2.548134469985962, 0.0
training, 7, 0.37225400379725865, -2.465499789374215, 0.0
validating, 7, 0.402215838432312, -2.4628150939941404, 0.0
testing, 7, 0.37792245149612425, -2.5462774991989137, 0.0
training, 8, 0.3594445160457066, -2.4647087642124723, 0.0
validating, 8, 0.389203143119812, -2.4267736434936524, 0.0
testing, 8, 0.3543989181518555, -2.5188841819763184, 0.0
training, 9, 0.3590337242398943, -2.4438770975385395, 0.0
validating, 9, 0.394281792640686, -2.427715015411377, 0.0
testing, 9, 0.3663990616798401, -2.510410785675049, 0.0
