Random seed, 29
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.787134919847761, -1.8663407053266252, 0.0
validating, -1, 2.889629364013672, -1.4955432415008545, 0.0
testing, -1, 2.5297356843948364, -2.9610341787338257, 0.0
training, 0, 2.9859237670898438, -3.8468546526772633, 0.0
validating, 0, 2.9046008586883545, -3.8028063774108887, 0.0
testing, 0, 2.5886075496673584, -4.285735368728638, 0.0
training, 1, 2.98484924861363, -3.8375066689082553, 0.0
validating, 1, 2.901949405670166, -3.772372007369995, 0.0
testing, 1, 2.5863057374954224, -4.261868476867676, 0.0
Random seed, 29
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -1.9497762748173304, 0.0
validating, -1, 0.0, -1.700294017791748, 0.0
testing, -1, 0.0, -3.097808599472046, 0.0
training, 0, 2.1093517201287404, -3.877537557056972, 0.0
validating, 0, 2.131239414215088, -3.8776631355285645, 0.0
testing, 0, 1.8184163570404053, -4.067852973937988, 0.0
training, 1, 2.107635395867484, -3.8695034299577986, 0.0
validating, 1, 2.1273856163024902, -3.856004238128662, 0.0
testing, 1, 1.8150054812431335, -4.052785396575928, 0.0
training, 2, 2.1016197204589844, -3.846274273736136, 0.0
validating, 2, 2.119227170944214, -3.8118391036987305, 0.0
testing, 2, 1.8068451881408691, -4.016358852386475, 0.0
training, 3, 2.091050999505179, -3.802175896508353, 0.0
validating, 3, 2.105107307434082, -3.734044075012207, 0.0
testing, 3, 1.793440043926239, -3.9620327949523926, 0.0
training, 4, 2.0716358593532016, -3.732127836772374, 0.0
validating, 4, 2.077526092529297, -3.591118812561035, 0.0
testing, 4, 1.767992079257965, -3.8729456663131714, 0.0
training, 5, 2.031519719532558, -3.593092203140259, 0.0
validating, 5, 2.026553153991699, -3.343174457550049, 0.0
testing, 5, 1.722462236881256, -3.7463295459747314, 0.0
training, 6, 1.9626478467668806, -3.4031996386391774, 0.0
validating, 6, 1.9550559520721436, -3.012077808380127, 0.0
testing, 6, 1.6574708819389343, -3.642969846725464, 0.0
training, 7, 1.8849681104932512, -3.161735568727766, 0.0
validating, 7, 1.9005166292190552, -2.6339712142944336, 0.0
testing, 7, 1.6051859259605408, -3.5806519985198975, 0.0
training, 8, 1.8287784031459264, -2.998265096119472, 0.0
validating, 8, 1.885972261428833, -2.330164909362793, 0.0
testing, 8, 1.5905030965805054, -3.552126407623291, 0.0
training, 9, 1.7978204318455286, -2.8937368392944336, 0.0
validating, 9, 1.8794981241226196, -2.189242362976074, 0.0
testing, 9, 1.5913808345794678, -3.5620468854904175, 0.0
training, 10, 1.7882501227515084, -2.834549461092268, 0.0
validating, 10, 1.8481451272964478, -2.466181993484497, 0.0
testing, 10, 1.6370677947998047, -3.58261501789093, 0.0
training, 11, 1.7831239019121443, -2.8243898323604038, 0.0
validating, 11, 1.8467872142791748, -2.020474910736084, 0.0
testing, 11, 1.586277961730957, -3.5600234270095825, 0.0
training, 12, 1.7595005205699377, -2.740576812199184, 0.0
validating, 12, 1.818970799446106, -2.253901481628418, 0.0
testing, 12, 1.589846670627594, -3.5403807163238525, 0.0
training, 13, 1.7491204398018974, -2.742175442831857, 0.0
validating, 13, 1.801365613937378, -1.979811668395996, 0.0
testing, 13, 1.5696558952331543, -3.5321388244628906, 0.0
training, 14, 1.7340309279305595, -2.6962202957698276, 0.0
validating, 14, 1.777430534362793, -1.9705965518951416, 0.0
testing, 14, 1.5623992681503296, -3.5274229049682617, 0.0
training, 15, 1.7186379602977209, -2.6735783645084927, 0.0
validating, 15, 1.7509313821792603, -1.9738858938217163, 0.0
testing, 15, 1.5527232885360718, -3.5218276977539062, 0.0
training, 16, 1.7003405775342668, -2.666383538927351, 0.0
validating, 16, 1.7192314863204956, -2.063734531402588, 0.0
testing, 16, 1.5394809246063232, -3.5202367305755615, 0.0
training, 17, 1.6809976952416557, -2.6393703051975796, 0.0
validating, 17, 1.6973376274108887, -2.099332809448242, 0.0
testing, 17, 1.5021865963935852, -3.489274740219116, 0.0
training, 18, 1.6595417601721627, -2.6287781851632253, 0.0
validating, 18, 1.6600240468978882, -1.9490711688995361, 0.0
testing, 18, 1.5379045009613037, -3.559301018714905, 0.0
training, 19, 1.6398542438234602, -2.6142031465257918, 0.0
validating, 19, 1.6178512573242188, -2.0868585109710693, 0.0
testing, 19, 1.4890236854553223, -3.530018448829651, 0.0
training, 20, 1.6146763052259172, -2.6098287446158275, 0.0
validating, 20, 1.590652346611023, -2.0798897743225098, 0.0
