Random seed, 5
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.022511636785098484, -4.345902919769287, 0.0
validating, -1, 0.025146621465682983, -4.320153999328613, 0.0
testing, -1, 0.02046642601490021, -4.252579545974731, 0.0
training, 0, 0.07008999500955854, -4.3645640645708355, 0.0
validating, 0, 0.04382203221321106, -4.340369319915771, 0.0
testing, 0, 0.0656543344259262, -4.265805435180664, 0.0
training, 1, 0.06955341611589705, -4.3651165008544925, 0.0
validating, 1, 0.04294478893280029, -4.339313697814942, 0.0
testing, 1, 0.06572116017341614, -4.265403413772583, 0.0
training, 2, 0.07264973180634635, -4.366241482325963, 0.0
validating, 2, 0.0451285183429718, -4.342434406280518, 0.0
testing, 2, 0.06577439904212952, -4.266669416427613, 0.0
training, 3, 0.07048938785280501, -4.365111146654401, 0.0
validating, 3, 0.04518588781356812, -4.342525863647461, 0.0
testing, 3, 0.06578989326953888, -4.266712474822998, 0.0
training, 4, 0.07273305228778294, -4.3656677109854565, 0.0
validating, 4, 0.044943594932556154, -4.342123317718506, 0.0
testing, 4, 0.06572606563568115, -4.266531467437744, 0.0
training, 5, 0.07068760480199542, -4.365161037445068, 0.0
validating, 5, 0.04474634528160095, -4.341794013977051, 0.0
testing, 5, 0.0656833678483963, -4.266386699676514, 0.0
training, 6, 0.07184992943491254, -4.365415368761335, 0.0
validating, 6, 0.04428143501281738, -4.341029262542724, 0.0
testing, 6, 0.06561495065689087, -4.266065502166748, 0.0
training, 7, 0.07257102046694075, -4.365716961451939, 0.0
validating, 7, 0.04534924030303955, -4.342784595489502, 0.0
testing, 7, 0.065848109126091, -4.266837930679321, 0.0
training, 8, 0.07094808902059282, -4.3649979863848, 0.0
validating, 8, 0.044644659757614134, -4.3416341781616214, 0.0
testing, 8, 0.06567586064338685, -4.26632342338562, 0.0
training, 9, 0.07343523928097316, -4.366288566589356, 0.0
validating, 9, 0.04573563933372497, -4.3433431625366214, 0.0
testing, 9, 0.06594491899013519, -4.267106342315674, 0.0
training, 10, 0.07075735756329128, -4.365061909811837, 0.0
validating, 10, 0.044235944747924805, -4.340897083282471, 0.0
