Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.048768565484455656, -3.5159064837864467, 0.0
validating, -1, 0.033645260334014895, -3.6163027763366697, 0.0
testing, -1, 0.04344602227210999, -3.581699252128601, 0.0
training, 0, 0.3487581772463662, -3.728379794529506, 0.0
validating, 0, 0.2348681092262268, -3.7550843715667725, 0.0
testing, 0, 0.3389240920543671, -3.790602111816406, 0.0
training, 1, 0.33196718267032077, -3.7067762987954276, 0.0
validating, 1, 0.23324236869812012, -3.7388747215270994, 0.0
testing, 1, 0.31300674080848695, -3.7705960035324098, 0.0
training, 2, 0.31430878383772715, -3.696457529067993, 0.0
validating, 2, 0.24467000961303711, -3.7314225673675536, 0.0
testing, 2, 0.2890083253383636, -3.748307299613953, 0.0
training, 3, 0.28379646965435573, -3.662268781661987, 0.0
validating, 3, 0.17555952072143555, -3.6847745418548583, 0.0
testing, 3, 0.269363534450531, -3.7238322496414185, 0.0
training, 4, 0.2517684144633157, -3.6308043956756593, 0.0
validating, 4, 0.15539315938949586, -3.6859206199645995, 0.0
testing, 4, 0.22754620313644408, -3.6948700189590453, 0.0
training, 5, 0.2196445746081216, -3.6133431162152974, 0.0
validating, 5, 0.14020949602127075, -3.671697473526001, 0.0
testing, 5, 0.20270587205886842, -3.676271891593933, 0.0
training, 6, 0.20844291022845676, -3.6043143136160714, 0.0
validating, 6, 0.15613349676132202, -3.6390256881713867, 0.0
testing, 6, 0.18581140637397767, -3.648141860961914, 0.0
training, 7, 0.19544289026941572, -3.6004495552607945, 0.0
validating, 7, 0.15540237426757814, -3.6793581008911134, 0.0
testing, 7, 0.17976512908935546, -3.6561445236206054, 0.0
training, 8, 0.19044669100216458, -3.5995627880096435, 0.0
validating, 8, 0.1580066680908203, -3.636691093444824, 0.0
testing, 8, 0.17492514252662658, -3.6422385931015016, 0.0
training, 9, 0.18560557791164944, -3.595220490864345, 0.0
validating, 9, 0.1386607766151428, -3.65504994392395, 0.0
testing, 9, 0.17518365979194642, -3.6545055389404295, 0.0
training, 10, 0.18056618571281433, -3.5878959110804964, 0.0
validating, 10, 0.1506178855895996, -3.6513293266296385, 0.0
