Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.6759872436523438, -1.711706178528922, 0.0
validating, -1, 2.7583635330200194, -1.6639803171157836, 0.0
testing, -1, 2.70104558467865, -1.7242092609405517, 0.0
training, 0, 2.8501846994672504, -2.267175929886954, 0.0
validating, 0, 2.902101755142212, -2.179069447517395, 0.0
testing, 0, 2.8848307847976686, -2.3977805614471435, 0.0
training, 1, 3.27435108593532, -2.11168361050742, 0.0
validating, 1, 3.745035266876221, -1.8724884510040283, 0.0
testing, 1, 3.7079379558563232, -2.048816776275635, 0.0
training, 2, 3.8747870445251467, -1.7873878240585328, 0.0
validating, 2, 3.9778176307678224, -1.7263286113739014, 0.0
testing, 2, 3.9415565490722657, -1.7281566262245178, 0.0
training, 3, 3.9543644087655205, -1.7273457561220442, 0.0
validating, 3, 3.990794563293457, -1.7263286113739014, 0.0
testing, 3, 3.953833889961243, -1.7263775229454041, 0.0
training, 4, 3.956730256761823, -1.7265523399625506, 0.0
validating, 4, 3.9894364356994627, -1.7263286113739014, 0.0
testing, 4, 3.9530684471130373, -1.7264241099357605, 0.0
training, 5, 3.9573770318712507, -1.726448198727199, 0.0
validating, 5, 3.993308734893799, -1.7263286113739014, 0.0
testing, 5, 3.956559491157532, -1.7263286113739014, 0.0
training, 6, 3.9604765142713276, -1.7263294526508877, 0.0
validating, 6, 3.994172525405884, -1.7263286113739014, 0.0
testing, 6, 3.957329607009888, -1.7263286113739014, 0.0
training, 7, 3.960736758368356, -1.7263306856155396, 0.0
validating, 7, 3.994550895690918, -1.7263286113739014, 0.0
testing, 7, 3.9576603174209595, -1.7263286113739014, 0.0
training, 8, 3.961720255443028, -1.7263365473066057, 0.0
validating, 8, 3.9978568077087404, -1.7263286113739014, 0.0
testing, 8, 3.9606114625930786, -1.7263286113739014, 0.0
training, 9, 3.9635348047528947, -1.7263286522456578, 0.0
validating, 9, 3.9952554225921633, -1.7263286113739014, 0.0
testing, 9, 3.9583784341812134, -1.7263286113739014, 0.0
training, 10, 3.9591731071472167, -1.7263291835784913, 0.0
validating, 10, 3.9892284870147705, -1.7263286113739014, 0.0
testing, 10, 3.9532036066055296, -1.7264104723930358, 0.0
training, 11, 3.9564551762172155, -1.7262980154582432, 0.0
validating, 11, 3.987541913986206, -1.7263286113739014, 0.0
testing, 11, 3.951635217666626, -1.726457405090332, 0.0
training, 12, 3.9524310316358293, -1.7264295952660698, 0.0
validating, 12, 3.9874825954437254, -1.7263286113739014, 0.0
testing, 12, 3.951704978942871, -1.726456308364868, 0.0
training, 13, 3.9542447907584055, -1.7262398549488613, 0.0
validating, 13, 3.9809263706207276, -1.7263286113739014, 0.0
testing, 13, 3.9457759857177734, -1.7266577363014222, 0.0
training, 14, 3.949831444876535, -1.7263965129852294, 0.0
validating, 14, 3.986649990081787, -1.7263286113739014, 0.0
testing, 14, 3.950870394706726, -1.7264684796333314, 0.0
training, 15, 3.9545410088130404, -1.7262775932039534, 0.0
validating, 15, 3.9882959365844726, -1.7263286113739014, 0.0
testing, 15, 3.952496576309204, -1.7263665199279785, 0.0
training, 16, 3.9554949487958635, -1.7263236931392125, 0.0
validating, 16, 3.988653039932251, -1.7263286113739014, 0.0
testing, 16, 3.9528305768966674, -1.7263467907905579, 0.0
training, 17, 3.954743950707572, -1.7263299090521675, 0.0
validating, 17, 3.9864091873168945, -1.7263286113739014, 0.0
testing, 17, 3.950856065750122, -1.7264846563339233, 0.0
training, 18, 3.954831906727382, -1.7262199197496686, 0.0
validating, 18, 3.9912981033325194, -1.7263286113739014, 0.0
testing, 18, 3.9552432775497435, -1.7263286113739014, 0.0
training, 19, 3.957243728637695, -1.7263261318206786, 0.0
validating, 19, 3.9884445667266846, -1.7263286113739014, 0.0
testing, 19, 3.9527853965759276, -1.7263542771339417, 0.0
training, 20, 3.9563077994755336, -1.7263378245489938, 0.0
validating, 20, 3.991098403930664, -1.7263286113739014, 0.0
testing, 20, 3.955094265937805, -1.7263286113739014, 0.0
training, 21, 3.9585257530212403, -1.7263291222708566, 0.0
validating, 21, 3.991875696182251, -1.7263286113739014, 0.0
testing, 21, 3.955781602859497, -1.7263286113739014, 0.0
training, 22, 3.95878267288208, -1.7263300248554774, 0.0
validating, 22, 3.9920171737670898, -1.7263286113739014, 0.0
testing, 22, 3.95590717792511, -1.7263286113739014, 0.0
training, 23, 3.9590165274483815, -1.7263297591890607, 0.0
validating, 23, 3.99230375289917, -1.7263286113739014, 0.0
testing, 23, 3.956157660484314, -1.7263286113739014, 0.0
