Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.5355863979884554, -2.4080716030938283, 0.0
validating, -1, 2.5592281341552736, -2.3983835697174074, 0.0
testing, -1, 2.5371387243270873, -2.3912610054016112, 0.0
training, 0, 2.5804674421037945, -2.7063446317400253, 0.0
validating, 0, 2.6589599609375, -2.6286581993103026, 0.0
testing, 0, 2.5869034051895143, -2.7911218404769897, 0.0
training, 1, 2.5445238385881694, -2.624815763745989, 0.0
validating, 1, 2.600455570220947, -2.5373403549194338, 0.0
testing, 1, 2.5345622539520263, -2.690808582305908, 0.0
training, 2, 2.5118019785199848, -2.5740552697862897, 0.0
validating, 2, 2.5786526203155518, -2.508959484100342, 0.0
testing, 2, 2.514963698387146, -2.5988178968429567, 0.0
training, 3, 2.4933501992906844, -2.5457025732312886, 0.0
validating, 3, 2.5693971633911135, -2.4473733425140383, 0.0
testing, 3, 2.506588077545166, -2.4060495853424073, 0.0
training, 4, 2.4838307516915457, -2.439440665926252, 0.0
validating, 4, 2.5669132232666017, -2.396126461029053, 0.0
testing, 4, 2.494629216194153, -2.393002223968506, 0.0
training, 5, 2.473630394254412, -2.4088229383741107, 0.0
validating, 5, 2.5591714859008787, -2.400189924240112, 0.0
testing, 5, 2.4834607362747194, -2.3932427167892456, 0.0
training, 6, 2.4628095899309432, -2.4072009767804827, 0.0
validating, 6, 2.5519389629364015, -2.3959259033203124, 0.0
testing, 6, 2.473948526382446, -2.392424964904785, 0.0
training, 7, 2.454121494293213, -2.398533718926566, 0.0
validating, 7, 2.548387050628662, -2.3991701126098635, 0.0
testing, 7, 2.464119076728821, -2.392705488204956, 0.0
training, 8, 2.4467096533094135, -2.393433495930263, 0.0
validating, 8, 2.5342373847961426, -2.3968044757843017, 0.0
testing, 8, 2.461736965179443, -2.3921056270599363, 0.0
training, 9, 2.4407937322344098, -2.39331066267831, 0.0
validating, 9, 2.5294438362121583, -2.396322250366211, 0.0
testing, 9, 2.451418924331665, -2.3920170068740845, 0.0
training, 10, 2.4353688512529645, -2.393426888329642, 0.0
validating, 10, 2.5220927238464355, -2.3964194297790526, 0.0
testing, 10, 2.446575403213501, -2.3921056270599363, 0.0
training, 11, 2.4309149401528494, -2.3932784489222936, 0.0
validating, 11, 2.5202699184417723, -2.3987534046173096, 0.0
testing, 11, 2.4417920827865602, -2.391937017440796, 0.0
