Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.05010313817432949, -1.711706178528922, 0.0
validating, -1, 0.04290714263916016, -1.6639803171157836, 0.0
testing, -1, 0.04958168268203735, -1.7242092609405517, 0.0
training, 0, 0.8139673403331211, -2.267175929886954, 0.0
validating, 0, 0.922417402267456, -2.179069447517395, 0.0
testing, 0, 0.9045194625854492, -2.3977805614471435, 0.0
training, 1, 0.628675433567592, -2.1158656460898264, 0.0
validating, 1, 0.4998291015625, -1.8761455774307252, 0.0
testing, 1, 0.5254379391670227, -2.0547857880592346, 0.0
training, 2, 0.8166065011705671, -1.787586464200701, 0.0
validating, 2, 0.9228370666503907, -1.7263286113739014, 0.0
testing, 2, 0.9661120176315308, -1.7269606471061707, 0.0
training, 3, 1.4193859577178956, -1.726765193258013, 0.0
validating, 3, 1.072743558883667, -1.7263286113739014, 0.0
testing, 3, 1.111392092704773, -1.726275134086609, 0.0
training, 4, 1.561455157824925, -1.7264223303113664, 0.0
validating, 4, 1.1300772666931151, -1.7263286113739014, 0.0
testing, 4, 1.1691480875015259, -1.7263286113739014, 0.0
training, 5, 1.5521861042295184, -1.726334159714835, 0.0
validating, 5, 1.1068467855453492, -1.7263286113739014, 0.0
testing, 5, 1.1479256749153137, -1.7263286113739014, 0.0
training, 6, 1.5732405287878855, -1.7263412816183907, 0.0
validating, 6, 1.1524986505508423, -1.7263286113739014, 0.0
testing, 6, 1.1899511218070984, -1.7263286113739014, 0.0
training, 7, 1.619074136870248, -1.7263451269694736, 0.0
validating, 7, 1.1649420022964478, -1.7263286113739014, 0.0
testing, 7, 1.2016161143779756, -1.7263286113739014, 0.0
training, 8, 1.644472278867449, -1.7263352496283395, 0.0
validating, 8, 1.2077652931213378, -1.7263286113739014, 0.0
testing, 8, 1.241227638721466, -1.7263286113739014, 0.0
training, 9, 1.7201433999197824, -1.7263356992176602, 0.0
validating, 9, 1.2476359844207763, -1.7263286113739014, 0.0
testing, 9, 1.2779995620250701, -1.7263286113739014, 0.0
training, 10, 1.7658101933343069, -1.7263351576668875, 0.0
validating, 10, 1.2807553291320801, -1.7263286113739014, 0.0
testing, 10, 1.3086664378643036, -1.7263286113739014, 0.0
training, 11, 1.7995557819093977, -1.7263366290501185, 0.0
validating, 11, 1.3038420915603637, -1.7263286113739014, 0.0
testing, 11, 1.329143124818802, -1.7263286113739014, 0.0
training, 12, 1.8088591507502965, -1.7263029643467493, 0.0
validating, 12, 1.2937954664230347, -1.7263286113739014, 0.0
testing, 12, 1.3196569979190826, -1.7263286113739014, 0.0
training, 13, 1.8264980861118862, -1.7263281788144793, 0.0
validating, 13, 1.4205823421478272, -1.7263286113739014, 0.0
testing, 13, 1.4371715843677522, -1.7263286113739014, 0.0
training, 14, 2.002350034032549, -1.726332187652588, 0.0
validating, 14, 1.4493400573730468, -1.7263286113739014, 0.0
