Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.048768565484455656, -3.5159064837864467, 0.0
validating, -1, 0.033645260334014895, -3.6163027763366697, 0.0
testing, -1, 0.04344602227210999, -3.581699252128601, 0.0
training, 0, 0.3437229301248278, -3.731542873382568, 0.0
validating, 0, 0.24030760526657105, -3.7519179821014403, 0.0
testing, 0, 0.33140268325805666, -3.7750611305236816, 0.0
training, 1, 0.33196902189935956, -3.719696487699236, 0.0
validating, 1, 0.24737277030944824, -3.7499035835266112, 0.0
testing, 1, 0.312822163105011, -3.7534459590911866, 0.0
training, 2, 0.31389852336474827, -3.6935865129743304, 0.0
validating, 2, 0.240466845035553, -3.743121290206909, 0.0
testing, 2, 0.3009721219539642, -3.7565988540649413, 0.0
training, 3, 0.297961791072573, -3.6819335665021624, 0.0
validating, 3, 0.21893776655197145, -3.739891242980957, 0.0
testing, 3, 0.2859357953071594, -3.7410088777542114, 0.0
training, 4, 0.2696862893445151, -3.6574662821633477, 0.0
validating, 4, 0.22049721479415893, -3.7297558784484863, 0.0
testing, 4, 0.2601747870445251, -3.7198676586151125, 0.0
training, 5, 0.2451516364301954, -3.648945549556187, 0.0
validating, 5, 0.2056020975112915, -3.7094037532806396, 0.0
testing, 5, 0.24313759803771973, -3.7096349716186525, 0.0
training, 6, 0.23333618726049152, -3.638923304421561, 0.0
validating, 6, 0.20702598094940186, -3.6991389274597166, 0.0
testing, 6, 0.23251009583473206, -3.705183815956116, 0.0
training, 7, 0.22053058573177883, -3.627745887211391, 0.0
validating, 7, 0.21829015016555786, -3.6994364738464354, 0.0
testing, 7, 0.22875380516052246, -3.706061100959778, 0.0
training, 8, 0.21676347851753236, -3.6228023392813546, 0.0
validating, 8, 0.21156399250030516, -3.6991848945617676, 0.0
testing, 8, 0.23032720685005187, -3.705982208251953, 0.0
training, 9, 0.21264942969594683, -3.6181674139840263, 0.0
validating, 9, 0.22346001863479614, -3.712661361694336, 0.0
testing, 9, 0.2267674446105957, -3.7050358057022095, 0.0
training, 10, 0.20953170827456882, -3.6172003064836775, 0.0
validating, 10, 0.21843554973602294, -3.7103009700775145, 0.0
