Random seed, 14
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.284032610484532, -2.6261175155639647, 0.0
validating, -1, 2.145611047744751, -2.631215286254883, 0.0
testing, -1, 2.2074767708778382, -2.6079208850860596, 0.0
training, 0, 2.582351677758353, -2.866618987492153, 0.0
validating, 0, 2.457413911819458, -2.8744197845458985, 0.0
testing, 0, 2.4416090965271, -2.8241369485855103, 0.0
training, 1, 2.507558182307652, -2.7810155051095147, 0.0
validating, 1, 2.313757085800171, -2.772546672821045, 0.0
testing, 1, 2.3637532949447633, -2.748386597633362, 0.0
training, 2, 2.487656136921474, -2.7104016167776925, 0.0
validating, 2, 2.347643280029297, -2.64068546295166, 0.0
testing, 2, 2.3652390241622925, -2.635270047187805, 0.0
training, 3, 2.455895369393485, -2.6793809754507882, 0.0
validating, 3, 2.3025508403778074, -2.6328938484191893, 0.0
testing, 3, 2.344815468788147, -2.622791600227356, 0.0
training, 4, 2.4611854416983467, -2.7034698826926093, 0.0
validating, 4, 2.312769365310669, -2.633821201324463, 0.0
testing, 4, 2.347955322265625, -2.6260563373565673, 0.0
training, 5, 2.445864146096366, -2.6571267809186665, 0.0
validating, 5, 2.2953819751739504, -2.631215286254883, 0.0
testing, 5, 2.342703342437744, -2.6231987476348877, 0.0
training, 6, 2.443339729309082, -2.6381790297372, 0.0
validating, 6, 2.286702108383179, -2.631215286254883, 0.0
testing, 6, 2.336921238899231, -2.6209269046783445, 0.0
training, 7, 2.433573259626116, -2.647849954877581, 0.0
validating, 7, 2.282838010787964, -2.631215286254883, 0.0
testing, 7, 2.3319212198257446, -2.6077292442321776, 0.0
training, 8, 2.4406270912715367, -2.6684823989868165, 0.0
validating, 8, 2.2786168098449706, -2.631215286254883, 0.0
testing, 8, 2.3438568830490114, -2.630820059776306, 0.0
training, 9, 2.4260954311915808, -2.63810841015407, 0.0
validating, 9, 2.2547364234924316, -2.631215286254883, 0.0
testing, 9, 2.33382568359375, -2.6069336414337156, 0.0
training, 10, 2.417471946988787, -2.6406155586242677, 0.0
validating, 10, 2.277646541595459, -2.631215286254883, 0.0
testing, 10, 2.329773986339569, -2.6069336414337156, 0.0
training, 11, 2.4145028727395195, -2.633830063683646, 0.0
validating, 11, 2.2664735317230225, -2.631215286254883, 0.0
testing, 11, 2.326909601688385, -2.6069336414337156, 0.0
training, 12, 2.4216192381722585, -2.627676044191633, 0.0
validating, 12, 2.2587394237518312, -2.631215286254883, 0.0
testing, 12, 2.3372212409973145, -2.6069336414337156, 0.0
training, 13, 2.410784571511405, -2.6286623682294574, 0.0
validating, 13, 2.278124141693115, -2.631215286254883, 0.0
testing, 13, 2.3360327243804933, -2.6075437545776365, 0.0
training, 14, 2.419167675290789, -2.6320004871913363, 0.0
validating, 14, 2.267938995361328, -2.631215286254883, 0.0
testing, 14, 2.327748382091522, -2.6069336414337156, 0.0
training, 15, 2.4149412018912177, -2.6275602068219865, 0.0
validating, 15, 2.2558035373687746, -2.631215286254883, 0.0
testing, 15, 2.3239551186561584, -2.6069336414337156, 0.0
training, 16, 2.405424315588815, -2.6275574207305907, 0.0
validating, 16, 2.2525213241577147, -2.631215286254883, 0.0
testing, 16, 2.3237387895584107, -2.6069336414337156, 0.0
training, 17, 2.4041408334459575, -2.6275570596967426, 0.0
validating, 17, 2.2521960735321045, -2.631215286254883, 0.0
testing, 17, 2.3237532138824464, -2.6069336414337156, 0.0
training, 18, 2.4035334518977574, -2.627558415276664, 0.0
validating, 18, 2.2512839317321776, -2.631215286254883, 0.0
testing, 18, 2.3238876342773436, -2.6069336414337156, 0.0
training, 19, 2.402900641305106, -2.627558204105922, 0.0
validating, 19, 2.25129075050354, -2.631215286254883, 0.0
testing, 19, 2.323813056945801, -2.6069336414337156, 0.0
training, 20, 2.4026782921382357, -2.6275594575064525, 0.0
validating, 20, 2.250447654724121, -2.631215286254883, 0.0
testing, 20, 2.323865795135498, -2.6069336414337156, 0.0
training, 21, 2.401794392721994, -2.627565084184919, 0.0
validating, 21, 2.2498457431793213, -2.631215286254883, 0.0
testing, 21, 2.3239935398101808, -2.6069336414337156, 0.0
training, 22, 2.401380750111171, -2.6275655814579557, 0.0
validating, 22, 2.2504515171051027, -2.631215286254883, 0.0
testing, 22, 2.3236972808837892, -2.6069336414337156, 0.0
training, 23, 2.4019182954515728, -2.6275575160980225, 0.0
validating, 23, 2.2499109268188477, -2.631215286254883, 0.0
testing, 23, 2.3237458944320677, -2.6069336414337156, 0.0
training, 24, 2.401738820757185, -2.6275578362601144, 0.0
validating, 24, 2.250129747390747, -2.631215286254883, 0.0
testing, 24, 2.3235220193862913, -2.6069336414337156, 0.0
training, 25, 2.401388250078474, -2.627558401652745, 0.0
validating, 25, 2.24949426651001, -2.631215286254883, 0.0
testing, 25, 2.323650050163269, -2.6069336414337156, 0.0
training, 26, 2.4008715765816824, -2.6275582313537598, 0.0
validating, 26, 2.248769235610962, -2.631215286254883, 0.0
testing, 26, 2.3238343000411987, -2.6069336414337156, 0.0
training, 27, 2.4002165249415808, -2.627556153706142, 0.0
validating, 27, 2.2485957622528074, -2.631215286254883, 0.0
testing, 27, 2.323799562454224, -2.6069336414337156, 0.0
training, 28, 2.400181783948626, -2.627563326699393, 0.0
validating, 28, 2.2490344047546387, -2.631215286254883, 0.0
testing, 28, 2.323686981201172, -2.6069336414337156, 0.0
training, 29, 2.400536060333252, -2.6275860037122456, 0.0
validating, 29, 2.249626636505127, -2.631215286254883, 0.0
testing, 29, 2.3238085508346558, -2.6069336414337156, 0.0
training, 30, 2.4018689428056987, -2.6275648185185023, 0.0
validating, 30, 2.2493006706237795, -2.631215286254883, 0.0
testing, 30, 2.323939347267151, -2.6069336414337156, 0.0
training, 31, 2.4004497255597794, -2.6275603703090122, 0.0
validating, 31, 2.2480798721313477, -2.631215286254883, 0.0
testing, 31, 2.3241729021072386, -2.6069336414337156, 0.0
training, 32, 2.3997362068721224, -2.627558054242815, 0.0
validating, 32, 2.248033809661865, -2.631215286254883, 0.0
testing, 32, 2.3241923809051515, -2.6069336414337156, 0.0
training, 33, 2.3995829377855573, -2.627563279015677, 0.0
validating, 33, 2.2474669456481933, -2.631215286254883, 0.0
testing, 33, 2.324518394470215, -2.6069336414337156, 0.0
training, 34, 2.399112626484462, -2.6275667871747697, 0.0
validating, 34, 2.2469362735748293, -2.631215286254883, 0.0
testing, 34, 2.3243443727493287, -2.6069336414337156, 0.0
training, 35, 2.398673275538853, -2.6275564874921526, 0.0
validating, 35, 2.2471365451812746, -2.631215286254883, 0.0
testing, 35, 2.3241402864456178, -2.6069336414337156, 0.0
training, 36, 2.3988155705588206, -2.6275595120021276, 0.0
validating, 36, 2.2469183444976806, -2.631215286254883, 0.0
testing, 36, 2.324283719062805, -2.6069336414337156, 0.0
training, 37, 2.39880108833313, -2.6275598866598946, 0.0
validating, 37, 2.247534418106079, -2.631215286254883, 0.0
testing, 37, 2.324052095413208, -2.6069336414337156, 0.0
training, 38, 2.399022368022374, -2.627560656411307, 0.0
validating, 38, 2.2472771644592284, -2.631215286254883, 0.0
testing, 38, 2.324047589302063, -2.6069336414337156, 0.0
training, 39, 2.3990126746041436, -2.6275556359972274, 0.0
validating, 39, 2.247332143783569, -2.631215286254883, 0.0
testing, 39, 2.324011516571045, -2.6069336414337156, 0.0
training, 40, 2.3988843849727086, -2.6275640692029683, 0.0
validating, 40, 2.24700608253479, -2.631215286254883, 0.0
testing, 40, 2.3241065979003905, -2.6069336414337156, 0.0
training, 41, 2.3988475458962575, -2.6275586741311208, 0.0
validating, 41, 2.246984100341797, -2.631215286254883, 0.0
testing, 41, 2.324074697494507, -2.6069336414337156, 0.0
training, 42, 2.3987551280430384, -2.627561065128871, 0.0
validating, 42, 2.2470839500427244, -2.631215286254883, 0.0
testing, 42, 2.324057364463806, -2.6069336414337156, 0.0
training, 43, 2.39916969708034, -2.627561787196568, 0.0
validating, 43, 2.2477624893188475, -2.631215286254883, 0.0
testing, 43, 2.323881983757019, -2.6069336414337156, 0.0
training, 44, 2.399532093320574, -2.627556589671544, 0.0
validating, 44, 2.2477582454681397, -2.631215286254883, 0.0
testing, 44, 2.3238928079605103, -2.6069336414337156, 0.0
training, 45, 2.3992772919791086, -2.6275610038212367, 0.0
validating, 45, 2.2472920417785645, -2.631215286254883, 0.0
testing, 45, 2.3240313053131105, -2.6069336414337156, 0.0
training, 46, 2.399083764212472, -2.6275616850171772, 0.0
validating, 46, 2.2472723484039308, -2.631215286254883, 0.0
testing, 46, 2.324029231071472, -2.6069336414337156, 0.0
training, 47, 2.3986106055123466, -2.6275599684034074, 0.0
validating, 47, 2.24645619392395, -2.631215286254883, 0.0
testing, 47, 2.324237895011902, -2.6069336414337156, 0.0
training, 48, 2.397904232570103, -2.627557645525251, 0.0
validating, 48, 2.246033239364624, -2.631215286254883, 0.0
testing, 48, 2.3245038747787476, -2.6069336414337156, 0.0
training, 49, 2.397635929925101, -2.6275642803737096, 0.0
validating, 49, 2.245504856109619, -2.631215286254883, 0.0
testing, 49, 2.324723792076111, -2.6069336414337156, 0.0
training, 50, 2.39709837777274, -2.627559348515102, 0.0
validating, 50, 2.2452393054962156, -2.631215286254883, 0.0
testing, 50, 2.3248427152633666, -2.6069336414337156, 0.0
training, 51, 2.397047131402152, -2.6275597981044223, 0.0
validating, 51, 2.2452340126037598, -2.631215286254883, 0.0
testing, 51, 2.324874663352966, -2.6069336414337156, 0.0
training, 52, 2.3969950948442733, -2.6275667599269323, 0.0
validating, 52, 2.2451510429382324, -2.631215286254883, 0.0
testing, 52, 2.324833130836487, -2.6069336414337156, 0.0
training, 53, 2.396860408782959, -2.6275578362601144, 0.0
validating, 53, 2.245177221298218, -2.631215286254883, 0.0
testing, 53, 2.324775218963623, -2.6069336414337156, 0.0
training, 54, 2.3970920562744142, -2.627561208180019, 0.0
validating, 54, 2.2456949234008787, -2.631215286254883, 0.0
testing, 54, 2.3244722843170167, -2.6069336414337156, 0.0
training, 55, 2.3974028859819683, -2.627555547441755, 0.0
validating, 55, 2.2457247257232664, -2.631215286254883, 0.0
testing, 55, 2.3244423389434816, -2.6069336414337156, 0.0
training, 56, 2.397328063419887, -2.627563680921282, 0.0
validating, 56, 2.2456029415130616, -2.631215286254883, 0.0
testing, 56, 2.3244866371154784, -2.6069336414337156, 0.0
training, 57, 2.3973204272133963, -2.6275606972830636, 0.0
validating, 57, 2.2457288265228272, -2.631215286254883, 0.0
testing, 57, 2.324439597129822, -2.6069336414337156, 0.0
training, 58, 2.3975847925458638, -2.6275578703199116, 0.0
validating, 58, 2.2460580348968504, -2.631215286254883, 0.0
testing, 58, 2.324298286437988, -2.6069336414337156, 0.0
training, 59, 2.3979043619973317, -2.627560588291713, 0.0
validating, 59, 2.2463423728942873, -2.631215286254883, 0.0
testing, 59, 2.3241646766662596, -2.6069336414337156, 0.0
training, 60, 2.398149599347796, -2.627558858054025, 0.0
validating, 60, 2.2462307453155517, -2.631215286254883, 0.0
testing, 60, 2.3242196321487425, -2.6069336414337156, 0.0
training, 61, 2.397967801775251, -2.627562734058925, 0.0
validating, 61, 2.2463118553161623, -2.631215286254883, 0.0
testing, 61, 2.3242177963256836, -2.6069336414337156, 0.0
training, 62, 2.398106724875314, -2.627560179574149, 0.0
validating, 62, 2.2463841438293457, -2.631215286254883, 0.0
testing, 62, 2.324196767807007, -2.6069336414337156, 0.0
training, 63, 2.3980501651763917, -2.6275588989257814, 0.0
validating, 63, 2.246324396133423, -2.631215286254883, 0.0
testing, 63, 2.3241846561431885, -2.6069336414337156, 0.0
training, 64, 2.398073101043701, -2.6275586332593646, 0.0
validating, 64, 2.246241235733032, -2.631215286254883, 0.0
testing, 64, 2.3242351531982424, -2.6069336414337156, 0.0
training, 65, 2.397925192969186, -2.6275577817644393, 0.0
validating, 65, 2.246130084991455, -2.631215286254883, 0.0
testing, 65, 2.324288821220398, -2.6069336414337156, 0.0
training, 66, 2.3977908066340854, -2.627558054242815, 0.0
validating, 66, 2.2460466384887696, -2.631215286254883, 0.0
testing, 66, 2.3243504047393797, -2.6069336414337156, 0.0
training, 67, 2.3951867171696253, -2.627557802200317, 0.0
validating, 67, 2.243154287338257, -2.631215286254883, 0.0
testing, 67, 2.3278783559799194, -2.6069336414337156, 0.0
training, 68, 2.3951931374413626, -2.6275585991995674, 0.0
validating, 68, 2.243113088607788, -2.631215286254883, 0.0
testing, 68, 2.327965831756592, -2.6069336414337156, 0.0
training, 69, 2.395127422469003, -2.6275595528738838, 0.0
validating, 69, 2.243021249771118, -2.631215286254883, 0.0
testing, 69, 2.3281089305877685, -2.6069336414337156, 0.0
