Random seed, 28
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.6874470302036833, -2.82780932698931, 0.0
validating, -1, 2.717226028442383, -2.8386016845703126, 0.0
testing, -1, 2.496653747558594, -2.8257144689559937, 0.0
training, 0, 3.0009765011923655, -3.3250040326799666, 0.0
validating, 0, 3.012973356246948, -3.4047340393066405, 0.0
testing, 0, 2.8677505016326905, -3.2588922023773192, 0.0
training, 1, 2.9411299909864153, -3.050055967058454, 0.0
validating, 1, 2.9225225925445555, -2.9584662437438967, 0.0
testing, 1, 2.777656626701355, -2.8993839263916015, 0.0
training, 2, 2.8765338488987515, -2.926018251691546, 0.0
validating, 2, 2.905356454849243, -2.96160831451416, 0.0
testing, 2, 2.738398241996765, -2.9034997701644896, 0.0
training, 3, 2.8473402908870153, -2.8978428840637207, 0.0
validating, 3, 2.888839912414551, -2.9609696865081787, 0.0
testing, 3, 2.724602746963501, -2.913707399368286, 0.0
training, 4, 2.8105316979544503, -2.866405521120344, 0.0
validating, 4, 2.8257227420806883, -2.889914703369141, 0.0
testing, 4, 2.6595144748687742, -2.866989588737488, 0.0
training, 5, 2.7651892593928746, -2.8449128695896695, 0.0
validating, 5, 2.834298086166382, -2.8506590366363525, 0.0
testing, 5, 2.713476538658142, -2.858137536048889, 0.0
training, 6, 2.7530421188899448, -2.8409805502210346, 0.0
validating, 6, 2.8081767559051514, -2.8660409450531006, 0.0
testing, 6, 2.653364562988281, -2.854062080383301, 0.0
training, 7, 2.739483002253941, -2.8412048203604563, 0.0
validating, 7, 2.777736520767212, -2.845974922180176, 0.0
testing, 7, 2.678062105178833, -2.84400360584259, 0.0
training, 8, 2.7384957722255163, -2.848551641191755, 0.0
validating, 8, 2.802500772476196, -2.8383156776428224, 0.0
testing, 8, 2.682877206802368, -2.881485366821289, 0.0
training, 9, 2.733808388028826, -2.8457237379891533, 0.0
validating, 9, 2.780127477645874, -2.8436398983001707, 0.0
testing, 9, 2.666305923461914, -2.8543184280395506, 0.0
training, 10, 2.729387392316546, -2.8524711063929966, 0.0
validating, 10, 2.831620693206787, -2.953273868560791, 0.0
testing, 10, 2.757547450065613, -2.8816571950912477, 0.0
training, 11, 2.724413912636893, -2.84216068812779, 0.0
validating, 11, 2.7793953895568846, -2.8384098052978515, 0.0
testing, 11, 2.7060791730880736, -2.8768185138702393, 0.0
training, 12, 2.710519415991647, -2.846445989608765, 0.0
validating, 12, 2.790045070648193, -2.8429946899414062, 0.0
testing, 12, 2.6788840770721434, -2.8825071334838865, 0.0
training, 13, 2.7262006078447616, -2.839215067454747, 0.0
validating, 13, 2.7684984683990477, -2.8489131927490234, 0.0
testing, 13, 2.6607964038848877, -2.8839936017990113, 0.0
training, 14, 2.717880800792149, -2.8431571756090435, 0.0
validating, 14, 2.792810869216919, -2.842496919631958, 0.0
testing, 14, 2.7012978553771974, -2.8478320360183718, 0.0
training, 15, 2.7191849299839563, -2.8427112647465296, 0.0
validating, 15, 2.7855387687683106, -2.854831600189209, 0.0
testing, 15, 2.6784286975860594, -2.859231781959534, 0.0
training, 16, 2.7035888671875, -2.8379147393362865, 0.0
validating, 16, 2.7933066844940186, -2.8756142139434813, 0.0
testing, 16, 2.6584864377975466, -2.8893599033355715, 0.0
training, 17, 2.698659202030727, -2.843938650403704, 0.0
validating, 17, 2.7870199203491213, -2.8444573402404787, 0.0
testing, 17, 2.71272292137146, -2.8822190284729006, 0.0
training, 18, 2.706432887486049, -2.839226974759783, 0.0
validating, 18, 2.8085026264190676, -2.9679372787475584, 0.0
testing, 18, 2.728026270866394, -2.9525897979736326, 0.0
training, 19, 2.711085612433297, -2.840094723020281, 0.0
validating, 19, 2.7917105197906493, -2.848614978790283, 0.0
testing, 19, 2.6588540077209473, -2.8574253797531126, 0.0
training, 20, 2.7057191508156913, -2.844299193790981, 0.0
validating, 20, 2.789222574234009, -2.8397315979003905, 0.0
testing, 20, 2.731610655784607, -2.8818793058395387, 0.0
training, 21, 2.708906848090036, -2.835113763809204, 0.0
validating, 21, 2.7852218627929686, -2.845786285400391, 0.0
testing, 21, 2.693208336830139, -2.857687520980835, 0.0
training, 22, 2.683921868460519, -2.841514607838222, 0.0
validating, 22, 2.8023961067199705, -2.9698305130004883, 0.0
testing, 22, 2.7062538623809815, -2.898092198371887, 0.0
training, 23, 2.6851232051849365, -2.8367443016597202, 0.0
validating, 23, 2.793939781188965, -2.844926643371582, 0.0
testing, 23, 2.701856589317322, -2.9467647075653076, 0.0
training, 24, 2.6868322917393277, -2.84120523588998, 0.0
validating, 24, 2.792592716217041, -2.973004627227783, 0.0
testing, 24, 2.690819239616394, -2.956573820114136, 0.0
training, 25, 2.6796149117606025, -2.840745197023664, 0.0
validating, 25, 2.777704858779907, -2.851374053955078, 0.0
testing, 25, 2.6761769533157347, -2.94432327747345, 0.0
training, 26, 2.6701938356672015, -2.8388527733939033, 0.0
validating, 26, 2.7951295375823975, -2.8483142375946047, 0.0
testing, 26, 2.6878753423690798, -2.92589795589447, 0.0
training, 27, 2.6597592081342425, -2.8361178398132325, 0.0
validating, 27, 2.7924298286437987, -2.8408793449401855, 0.0
testing, 27, 2.696970510482788, -2.944644832611084, 0.0
training, 28, 2.6661581652505055, -2.8367591381072996, 0.0
validating, 28, 2.803341865539551, -2.8402099132537844, 0.0
testing, 28, 2.714293336868286, -2.881816577911377, 0.0
training, 29, 2.6633849552699496, -2.8388025420052663, 0.0
validating, 29, 2.7908520698547363, -2.848566436767578, 0.0
testing, 29, 2.6819345474243166, -2.9270012855529783, 0.0
training, 30, 2.668466009412493, -2.8352409294673375, 0.0
validating, 30, 2.784960079193115, -2.8395998001098635, 0.0
testing, 30, 2.6915086269378663, -2.885824990272522, 0.0
training, 31, 2.662052719933646, -2.835904121398926, 0.0
validating, 31, 2.787129545211792, -2.849535655975342, 0.0
testing, 31, 2.6847665309906006, -2.9637083768844605, 0.0
training, 32, 2.6609785420554024, -2.835249410356794, 0.0
validating, 32, 2.7989107608795165, -2.8459927558898928, 0.0
testing, 32, 2.6925408124923704, -2.8729506492614747, 0.0
training, 33, 2.660088913781302, -2.839005878993443, 0.0
validating, 33, 2.7927496910095213, -2.9679890632629395, 0.0
testing, 33, 2.690472674369812, -2.9554639577865602, 0.0
training, 34, 2.6626792635236467, -2.838506984710693, 0.0
validating, 34, 2.794693183898926, -2.8445455551147463, 0.0
testing, 34, 2.6918566465377807, -2.9285867691040037, 0.0
training, 35, 2.65484630720956, -2.8362827914101736, 0.0
validating, 35, 2.8000350475311278, -2.973085880279541, 0.0
testing, 35, 2.7028429746627807, -2.9760401248931885, 0.0
training, 36, 2.64966870035444, -2.837817989076887, 0.0
validating, 36, 2.784910869598389, -2.847256135940552, 0.0
testing, 36, 2.684478425979614, -2.8706632614135743, 0.0
training, 37, 2.643892308643886, -2.8361823763166156, 0.0
validating, 37, 2.793251466751099, -2.8451883792877197, 0.0
testing, 37, 2.693902015686035, -2.860538864135742, 0.0
training, 38, 2.645138508932931, -2.835775477545602, 0.0
validating, 38, 2.789003038406372, -2.8471835136413572, 0.0
testing, 38, 2.6857732057571413, -2.868020534515381, 0.0
training, 39, 2.642696455546788, -2.8349648066929407, 0.0
validating, 39, 2.7881351947784423, -2.847232389450073, 0.0
testing, 39, 2.687336826324463, -2.864953327178955, 0.0
training, 40, 2.6415257385798863, -2.835343960353306, 0.0
validating, 40, 2.7919062614440917, -2.8468308448791504, 0.0
testing, 40, 2.6904130935668946, -2.8628395080566404, 0.0
training, 41, 2.6409797191619875, -2.8348251274653844, 0.0
validating, 41, 2.798121976852417, -2.8451077461242678, 0.0
testing, 41, 2.6984908819198608, -2.9537756204605103, 0.0
training, 42, 2.6397664751325336, -2.8355205604008265, 0.0
validating, 42, 2.7895413875579833, -2.8487300872802734, 0.0
testing, 42, 2.68333580493927, -2.9342668533325194, 0.0
training, 43, 2.6380057062421525, -2.835420404161726, 0.0
validating, 43, 2.79573073387146, -2.844957399368286, 0.0
testing, 43, 2.6924330949783326, -2.888346529006958, 0.0
training, 44, 2.6379381384168354, -2.836001307623727, 0.0
validating, 44, 2.806280326843262, -2.841061544418335, 0.0
testing, 44, 2.7082757711410523, -2.8808650970458984, 0.0
training, 45, 2.6370071956089567, -2.834734698704311, 0.0
validating, 45, 2.789565658569336, -2.846393585205078, 0.0
testing, 45, 2.6918331384658813, -2.9597265243530275, 0.0
training, 46, 2.6359206335885186, -2.8365931374686104, 0.0
validating, 46, 2.7888840675354003, -2.8497395515441895, 0.0
