Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -2.7247837611607142e-08, -2.34953293800354, 0.0
validating, -1, -1.6689300537109374e-07, -2.3154141902923584, 0.0
testing, -1, 3.5762786865234374e-08, -2.394715595245361, 0.0
training, 0, 0.9629477671214512, -2.735729776109968, 0.0
validating, 0, 0.9987379789352417, -2.7537052631378174, 0.0
testing, 0, 0.8656738519668579, -2.780207300186157, 0.0
training, 1, 0.7426779644829886, -2.629643964767456, 0.0
validating, 1, 0.6125764608383178, -2.5788606643676757, 0.0
testing, 1, 0.4896403789520264, -2.593888998031616, 0.0
training, 2, 0.5733334984098162, -2.5705315113067626, 0.0
validating, 2, 0.5738974809646606, -2.5763751029968263, 0.0
testing, 2, 0.45894904136657716, -2.5905012845993043, 0.0
training, 3, 0.5821800402232579, -2.5661119392939975, 0.0
validating, 3, 0.5606915712356567, -2.5773298740386963, 0.0
testing, 3, 0.4497648239135742, -2.5901148080825807, 0.0
training, 4, 0.5754420859473092, -2.570809316635132, 0.0
validating, 4, 0.5774317502975463, -2.5722798824310305, 0.0
testing, 4, 0.4655014991760254, -2.5845771074295043, 0.0
training, 5, 0.568063371522086, -2.563633237566267, 0.0
validating, 5, 0.5693262815475464, -2.550446701049805, 0.0
testing, 5, 0.4597482681274414, -2.583737921714783, 0.0
training, 6, 0.5484606504440308, -2.5661515031542095, 0.0
validating, 6, 0.5526267290115356, -2.5732033252716064, 0.0
testing, 6, 0.4442864656448364, -2.5891428709030153, 0.0
training, 7, 0.5663622549601963, -2.547421680177961, 0.0
validating, 7, 0.5426960229873657, -2.5728557109832764, 0.0
testing, 7, 0.43696739673614504, -2.5889079093933107, 0.0
training, 8, 0.5489521741867065, -2.5629352024623326, 0.0
validating, 8, 0.5254117250442505, -2.574547815322876, 0.0
testing, 8, 0.42510437965393066, -2.5878905773162844, 0.0
training, 9, 0.5445354904447283, -2.5520574297223773, 0.0
validating, 9, 0.5769095659255982, -2.4720555782318114, 0.0
testing, 9, 0.469374942779541, -2.5257723808288572, 0.0
training, 10, 0.5354377780641828, -2.5333102021898544, 0.0
validating, 10, 0.5149983644485474, -2.5465765953063966, 0.0
testing, 10, 0.4142764091491699, -2.5751306295394896, 0.0
training, 11, 0.5426658085414342, -2.524420976638794, 0.0
validating, 11, 0.5139521837234498, -2.546836566925049, 0.0
testing, 11, 0.412691593170166, -2.5324838161468506, 0.0
training, 12, 0.5307050398417882, -2.5336777210235595, 0.0
validating, 12, 0.5429637670516968, -2.4695948123931886, 0.0
testing, 12, 0.4373082399368286, -2.5116671085357667, 0.0
training, 13, 0.5211753606796264, -2.5108210904257637, 0.0
validating, 13, 0.49492266178131106, -2.5776028633117676, 0.0
testing, 13, 0.3986422300338745, -2.583424186706543, 0.0
training, 14, 0.5246274164744786, -2.5051710878099716, 0.0
validating, 14, 0.48570420742034914, -2.5770934581756593, 0.0
testing, 14, 0.39479219913482666, -2.571939563751221, 0.0
training, 15, 0.5089673042297364, -2.525348547526768, 0.0
validating, 15, 0.4793797731399536, -2.5453272819519044, 0.0
testing, 15, 0.3858885049819946, -2.5285070896148683, 0.0
training, 16, 0.5133663858686175, -2.456685073035104, 0.0
validating, 16, 0.49713542461395266, -2.495083522796631, 0.0
testing, 16, 0.39872021675109864, -2.5350794315338137, 0.0
training, 17, 0.5102065290723529, -2.488450860977173, 0.0
validating, 17, 0.4824413537979126, -2.544989490509033, 0.0
testing, 17, 0.3892656803131104, -2.5315091133117678, 0.0
training, 18, 0.5007488761629377, -2.5248986721038817, 0.0
validating, 18, 0.5243394136428833, -2.4723136901855467, 0.0
testing, 18, 0.4217700719833374, -2.4786592721939087, 0.0
training, 19, 0.5027297258377075, -2.4832203320094517, 0.0
validating, 19, 0.4563255548477173, -2.5454392433166504, 0.0
testing, 19, 0.36901111602783204, -2.524515891075134, 0.0
training, 20, 0.4934660468782697, -2.509403542109898, 0.0
validating, 20, 0.4639008045196533, -2.6013373851776125, 0.0
testing, 20, 0.4048450469970703, -2.6378113985061646, 0.0
training, 21, 0.514860987663269, -2.54982134274074, 0.0
validating, 21, 0.46587951183319093, -2.4712286949157716, 0.0
testing, 21, 0.37381954193115235, -2.478514575958252, 0.0
training, 22, 0.4777724640710013, -2.4463134016309467, 0.0
validating, 22, 0.432886528968811, -2.544491243362427, 0.0
testing, 22, 0.35913541316986086, -2.518854784965515, 0.0
training, 23, 0.4879795244761876, -2.550625787462507, 0.0
validating, 23, 0.47141568660736083, -2.440344715118408, 0.0
testing, 23, 0.38406341075897216, -2.4931974172592164, 0.0
training, 24, 0.48095012392316544, -2.50703763961792, 0.0
validating, 24, 0.46835429668426515, -2.4095523834228514, 0.0
testing, 24, 0.3791279077529907, -2.4841756582260133, 0.0
training, 25, 0.46434893608093264, -2.5001172406332834, 0.0
