Random seed, 31
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -1.0899135044642857e-07, -1.105548279626029, 0.0
validating, -1, 0.0, -1.0794637680053711, 0.0
testing, -1, 9.5367431640625e-08, -1.0604365348815918, 0.0
training, 0, 3.3196762902396064, -1.3003602130072458, 0.0
validating, 0, 3.3888683319091797, -1.306412124633789, 0.0
testing, 0, 3.1972749710083006, -1.2879793882369994, 0.0
training, 1, 3.024814932686942, -1.1325267008372715, 0.0
validating, 1, 2.953014373779297, -1.1030722618103028, 0.0
testing, 1, 2.751603603363037, -1.0767797589302064, 0.0
training, 2, 2.8085359028407506, -1.084120546068464, 0.0
validating, 2, 2.80930233001709, -1.0854115962982178, 0.0
testing, 2, 2.6035858154296876, -1.0627172112464904, 0.0
training, 3, 2.6946953092302595, -1.0705379724502564, 0.0
validating, 3, 2.637253189086914, -1.086975383758545, 0.0
testing, 3, 2.549120616912842, -1.0648990154266358, 0.0
training, 4, 2.653501047406878, -1.0734499318259103, 0.0
validating, 4, 2.6692459106445314, -1.0815094709396362, 0.0
testing, 4, 2.481926918029785, -1.0608142971992494, 0.0
training, 5, 2.6368998118809293, -1.0700229712894984, 0.0
validating, 5, 2.6591375350952147, -1.0815094709396362, 0.0
testing, 5, 2.4586947441101072, -1.0608142971992494, 0.0
training, 6, 2.5825156348092215, -1.0699875218527657, 0.0
validating, 6, 2.7201948165893555, -1.0815094709396362, 0.0
testing, 6, 2.4857181549072265, -1.0608142971992494, 0.0
training, 7, 2.531047766549247, -1.0698961394173758, 0.0
validating, 7, 2.7317100524902345, -1.0815094709396362, 0.0
testing, 7, 2.4714688301086425, -1.0608142971992494, 0.0
training, 8, 2.5346984590802872, -1.0698954343795777, 0.0
validating, 8, 2.6419147491455077, -1.0815094709396362, 0.0
testing, 8, 2.4309224128723144, -1.0608142971992494, 0.0
training, 9, 2.476577459062849, -1.0698957409177507, 0.0
validating, 9, 2.7910757064819336, -1.0815094709396362, 0.0
testing, 9, 2.5130331993103026, -1.0608142971992494, 0.0
training, 10, 2.4780648367745535, -1.0698954343795777, 0.0
validating, 10, 2.4945341110229493, -1.0815094709396362, 0.0
testing, 10, 2.367855453491211, -1.0608142971992494, 0.0
training, 11, 2.4446984699794223, -1.0698981727872576, 0.0
validating, 11, 2.5807706832885744, -1.0815094709396362, 0.0
testing, 11, 2.399835395812988, -1.0608142971992494, 0.0
training, 12, 2.422223799569266, -1.069899388722011, 0.0
validating, 12, 2.488819122314453, -1.0815094709396362, 0.0
testing, 12, 2.344978904724121, -1.0608142971992494, 0.0
training, 13, 2.39544380732945, -1.069900734083993, 0.0
