Random seed, 13
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 5.790165492466518e-08, -1.238910368510655, 0.0
validating, -1, 0.0, -1.2105818748474122, 0.0
testing, -1, -1.1920928955078126e-08, -1.243046188354492, 0.0
training, 0, 0.9986124038696289, -1.7060142687388828, 0.0
validating, 0, 0.9979353427886963, -1.7016688346862794, 0.0
testing, 0, 1.112993550300598, -1.7051662921905517, 0.0
training, 1, 0.6095559869493757, -1.365507061140878, 0.0
validating, 1, 0.5197291374206543, -1.3105010032653808, 0.0
testing, 1, 0.44733338356018065, -1.2998523712158203, 0.0
training, 2, 0.41434055737086706, -1.2686257021767753, 0.0
validating, 2, 0.46437549591064453, -1.2811695337295532, 0.0
testing, 2, 0.3942419052124023, -1.2770405650138854, 0.0
training, 3, 0.4218908207757132, -1.2584865808486938, 0.0
validating, 3, 0.45864076614379884, -1.2667364358901978, 0.0
testing, 3, 0.3781109690666199, -1.2632268786430358, 0.0
training, 4, 0.4181079013007028, -1.2535192217145648, 0.0
validating, 4, 0.4674351215362549, -1.2654150485992433, 0.0
testing, 4, 0.37679305076599123, -1.2566428184509277, 0.0
training, 5, 0.42503162111554826, -1.2524658339364187, 0.0
validating, 5, 0.4615763187408447, -1.2654150485992433, 0.0
testing, 5, 0.40047231912612913, -1.2543630480766297, 0.0
training, 6, 0.4192535740988595, -1.2521484988076346, 0.0
validating, 6, 0.48044209480285643, -1.2654150485992433, 0.0
testing, 6, 0.35949302911758424, -1.253807282447815, 0.0
training, 7, 0.42428556850978305, -1.2516146319253103, 0.0
validating, 7, 0.4662143707275391, -1.2654150485992433, 0.0
testing, 7, 0.4034679651260376, -1.2536140441894532, 0.0
training, 8, 0.4526038544518607, -1.2516170978546142, 0.0
validating, 8, 0.46893744468688964, -1.2654150485992433, 0.0
testing, 8, 0.4205924987792969, -1.2532597184181213, 0.0
training, 9, 0.4529848541532244, -1.251846068246024, 0.0
validating, 9, 0.45332112312316897, -1.2654150485992433, 0.0
testing, 9, 0.41970435380935667, -1.2519143223762512, 0.0
training, 10, 0.4377466985157558, -1.2513531173978534, 0.0
validating, 10, 0.4957703113555908, -1.2654150485992433, 0.0
testing, 10, 0.3761492371559143, -1.2523618817329407, 0.0
training, 11, 0.4503935132707868, -1.2508422442844935, 0.0
validating, 11, 0.49717011451721194, -1.2654150485992433, 0.0
testing, 11, 0.4508768081665039, -1.2523618817329407, 0.0
training, 12, 0.5071550301143102, -1.251351411002023, 0.0
validating, 12, 0.4736201286315918, -1.2654150485992433, 0.0
