Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -6.811959402901785e-08, -1.5142621040344237, 0.0
validating, -1, 3.814697265625e-07, -1.4077667474746705, 0.0
testing, -1, 1.9073486328125e-07, -1.5576621055603028, 0.0
training, 0, 1.7368893146514892, -2.1691532032830376, 0.0
validating, 0, 1.6516854763031006, -2.1965924501419067, 0.0
testing, 0, 1.651685905456543, -2.2452556848526, 0.0
training, 1, 1.7367402144840784, -2.1693902424403597, 0.0
validating, 1, 1.6511852741241455, -2.1950496673583983, 0.0
testing, 1, 1.651477003097534, -2.244665026664734, 0.0
training, 2, 1.7354476043156215, -2.167868678910392, 0.0
validating, 2, 1.6491772174835204, -2.192091369628906, 0.0
testing, 2, 1.6497971534729003, -2.242624115943909, 0.0
training, 3, 1.7330040999821255, -2.1643682309559416, 0.0
validating, 3, 1.6446640491485596, -2.1854806184768676, 0.0
testing, 3, 1.6461562156677245, -2.238240361213684, 0.0
training, 4, 1.7281052930014473, -2.157867918695722, 0.0
validating, 4, 1.6368269443511962, -2.1719339370727537, 0.0
testing, 4, 1.6393710613250732, -2.228480267524719, 0.0
training, 5, 1.7167112282344272, -2.1424264465059553, 0.0
validating, 5, 1.623298215866089, -2.14929678440094, 0.0
testing, 5, 1.6265236854553222, -2.210189962387085, 0.0
training, 6, 1.698690298625401, -2.117274274144854, 0.0
validating, 6, 1.599860143661499, -2.113828945159912, 0.0
testing, 6, 1.6058119297027589, -2.1845348358154295, 0.0
training, 7, 1.6708508559635706, -2.082985101427351, 0.0
validating, 7, 1.5685314655303955, -2.0703076124191284, 0.0
testing, 7, 1.5760487556457519, -2.149253177642822, 0.0
training, 8, 1.6366025720323836, -2.040587476321629, 0.0
validating, 8, 1.5213073253631593, -2.005354642868042, 0.0
testing, 8, 1.5301223278045655, -2.0998467087745665, 0.0
training, 9, 1.5708288669586181, -1.9777985879353115, 0.0
validating, 9, 1.4418983936309815, -1.9185229539871216, 0.0
testing, 9, 1.4559056758880615, -2.0330127120018004, 0.0
training, 10, 1.5230186803000314, -1.9349689858300345, 0.0
validating, 10, 1.4307254314422608, -1.8993146657943725, 0.0
testing, 10, 1.458995771408081, -2.0372135281562804, 0.0
training, 11, 1.5098827566419328, -1.9283096756253923, 0.0
validating, 11, 1.38205828666687, -1.8459872245788573, 0.0
testing, 11, 1.416811990737915, -2.00635449886322, 0.0
training, 12, 1.4405287674495153, -1.8735658952168055, 0.0
validating, 12, 1.2935234546661376, -1.7600509405136109, 0.0
testing, 12, 1.3342092037200928, -1.9454017877578735, 0.0
training, 13, 1.360011557170323, -1.8104485205241612, 0.0
validating, 13, 1.1919851303100586, -1.6636765718460083, 0.0
testing, 13, 1.2382131576538087, -1.8767301440238953, 0.0
training, 14, 1.2586080074310302, -1.7370364359446935, 0.0
validating, 14, 1.0887096405029297, -1.558763360977173, 0.0
testing, 14, 1.1441354274749755, -1.8148942828178405, 0.0
training, 15, 1.163884551184518, -1.6650083575929915, 0.0
validating, 15, 0.9750370979309082, -1.5110997200012206, 0.0
testing, 15, 1.0372934341430664, -1.741513192653656, 0.0
training, 16, 1.0751909869057792, -1.6047631127493722, 0.0
validating, 16, 0.9076249599456787, -1.524269986152649, 0.0
testing, 16, 0.9759099960327149, -1.700429344177246, 0.0
training, 17, 1.0592066287994384, -1.6044503961290633, 0.0
validating, 17, 0.890885877609253, -1.5110812664031983, 0.0
testing, 17, 0.9620015144348144, -1.6895451188087462, 0.0
training, 18, 1.035400629043579, -1.5954998799732754, 0.0
validating, 18, 0.886624813079834, -1.509125781059265, 0.0
testing, 18, 0.9564713478088379, -1.6850677728652954, 0.0
training, 19, 1.0209977763039726, -1.5942396436418806, 0.0
validating, 19, 0.8407709121704101, -1.5277127265930175, 0.0
testing, 19, 0.9211208820343018, -1.6591763615608215, 0.0
training, 20, 1.0349343367985318, -1.6052887712206159, 0.0
validating, 20, 0.8561756610870361, -1.5322543144226075, 0.0
testing, 20, 0.9274111747741699, -1.6534009099006652, 0.0
training, 21, 0.9991767951420375, -1.5900017397744315, 0.0
validating, 21, 0.8199156761169434, -1.540442991256714, 0.0
testing, 21, 0.9091193675994873, -1.643955159187317, 0.0
training, 22, 0.9953566483088903, -1.5886524166379656, 0.0
validating, 22, 0.8212233066558838, -1.5347068071365357, 0.0
testing, 22, 0.9100795745849609, -1.6419791102409362, 0.0
training, 23, 1.0048497949327742, -1.589945605822972, 0.0
validating, 23, 0.8302492618560791, -1.535257053375244, 0.0
testing, 23, 0.9239308834075928, -1.6714349269866944, 0.0
training, 24, 1.0790826865604946, -1.6163325922829763, 0.0
validating, 24, 0.929085111618042, -1.535056972503662, 0.0
testing, 24, 0.9802440643310547, -1.699937629699707, 0.0
training, 25, 1.0283647741590227, -1.5891881772450038, 0.0
validating, 25, 0.8393913745880127, -1.513557744026184, 0.0
testing, 25, 0.9074980258941651, -1.6785773754119873, 0.0
training, 26, 0.9810994625091553, -1.5944390467235021, 0.0
validating, 26, 0.7946274757385254, -1.5291515827178954, 0.0
testing, 26, 0.8992519855499268, -1.6565855145454407, 0.0
training, 27, 0.983667939049857, -1.58997859614236, 0.0
validating, 27, 0.7948300838470459, -1.5335349798202516, 0.0
testing, 27, 0.8984583854675293, -1.6531904339790344, 0.0
training, 28, 0.9810275282178607, -1.5891376325062343, 0.0
validating, 28, 0.794748067855835, -1.5291228532791137, 0.0
testing, 28, 0.896247673034668, -1.658036708831787, 0.0
training, 29, 0.977453511101859, -1.5896683522633144, 0.0
validating, 29, 0.7963133811950683, -1.531977152824402, 0.0
testing, 29, 0.893953800201416, -1.6544726490974426, 0.0
training, 30, 0.9766514710017613, -1.5879689795630318, 0.0
validating, 30, 0.794650650024414, -1.5351679801940918, 0.0
testing, 30, 0.8928199768066406, -1.6520956158638, 0.0
training, 31, 0.9753944737570627, -1.5882012946265085, 0.0
validating, 31, 0.7929505825042724, -1.537553644180298, 0.0
testing, 31, 0.8925923347473145, -1.6507290124893188, 0.0
training, 32, 0.9762522493089948, -1.5884629964828492, 0.0
validating, 32, 0.7910449504852295, -1.5412659406661988, 0.0
testing, 32, 0.8933048725128174, -1.6492088079452514, 0.0
training, 33, 0.9809705529894147, -1.5880393913814, 0.0
validating, 33, 0.7917621612548829, -1.5446354627609253, 0.0
testing, 33, 0.8952789783477784, -1.6478920102119445, 0.0
training, 34, 0.9817501817430768, -1.5878736768450057, 0.0
validating, 34, 0.7919607639312745, -1.5428646326065063, 0.0
testing, 34, 0.8962113380432128, -1.6496596574783324, 0.0
training, 35, 0.9792965139661517, -1.588116318838937, 0.0
validating, 35, 0.790524673461914, -1.5410212278366089, 0.0
testing, 35, 0.8943593978881836, -1.6507726073265077, 0.0
training, 36, 0.9819401809147426, -1.5892722742898124, 0.0
validating, 36, 0.7908609867095947, -1.5469995260238647, 0.0
testing, 36, 0.895184326171875, -1.6472797632217406, 0.0
training, 37, 0.9796208994729179, -1.5879751988819668, 0.0
validating, 37, 0.7913880825042725, -1.543154811859131, 0.0
testing, 37, 0.8938008785247803, -1.6492562651634217, 0.0
training, 38, 0.9756834098270961, -1.587724781036377, 0.0
validating, 38, 0.7894000053405762, -1.5427050828933715, 0.0
testing, 38, 0.8914435863494873, -1.6494936108589173, 0.0
training, 39, 0.9995228563036237, -1.590776014328003, 0.0
validating, 39, 0.7905032634735107, -1.5455896615982057, 0.0
testing, 39, 0.8911227703094482, -1.6474607825279235, 0.0
training, 40, 0.9787267071860177, -1.590334357534136, 0.0
validating, 40, 0.7901932716369628, -1.5481173276901246, 0.0
testing, 40, 0.8905441284179687, -1.6460991501808167, 0.0
training, 41, 0.974659354346139, -1.5875928163528443, 0.0
validating, 41, 0.7911071300506591, -1.5432950735092164, 0.0
testing, 41, 0.889833927154541, -1.6486616611480713, 0.0
training, 42, 0.9732207911355155, -1.5879060234342302, 0.0
validating, 42, 0.7900770664215088, -1.542274260520935, 0.0
testing, 42, 0.8895869255065918, -1.649876856803894, 0.0
training, 43, 0.9724478108542306, -1.5867694752556938, 0.0
validating, 43, 0.7895152568817139, -1.541672682762146, 0.0
testing, 43, 0.888806676864624, -1.650158989429474, 0.0
training, 44, 0.971072666985648, -1.5868527344294956, 0.0
validating, 44, 0.7887032508850098, -1.5389735698699951, 0.0
testing, 44, 0.8880906581878663, -1.6524011492729187, 0.0
training, 45, 0.9704749584197998, -1.5874568734850203, 0.0
validating, 45, 0.7897438049316406, -1.5362726688385009, 0.0
testing, 45, 0.8877442836761474, -1.6543501615524292, 0.0
training, 46, 0.9701310225895473, -1.5871255125318255, 0.0
validating, 46, 0.7891335487365723, -1.5381149053573608, 0.0
testing, 46, 0.8875375747680664, -1.6529605031013488, 0.0
training, 47, 0.9704291411808559, -1.586941044671195, 0.0
validating, 47, 0.7898970603942871, -1.5393736362457275, 0.0
testing, 47, 0.8876388549804688, -1.6521373748779298, 0.0
training, 48, 0.9681612627846854, -1.5867830412728445, 0.0
validating, 48, 0.7890832424163818, -1.5367510557174682, 0.0
testing, 48, 0.8860377788543701, -1.6540959119796752, 0.0
training, 49, 0.9686767510005406, -1.5873195818492345, 0.0
validating, 49, 0.7885145664215087, -1.5391778469085693, 0.0
testing, 49, 0.8864981651306152, -1.6526439785957336, 0.0
training, 50, 0.9679141112736294, -1.5869989769799369, 0.0
validating, 50, 0.7887639045715332, -1.536014437675476, 0.0
testing, 50, 0.8855531692504883, -1.6549099564552308, 0.0
training, 51, 0.9694693633488246, -1.5872428178787232, 0.0
validating, 51, 0.7880544185638427, -1.5381904602050782, 0.0
testing, 51, 0.8845486640930176, -1.6530071258544923, 0.0
training, 52, 0.9659802913665771, -1.5866072314126152, 0.0
validating, 52, 0.7864477634429932, -1.5389772653579712, 0.0
testing, 52, 0.8844776630401612, -1.652555274963379, 0.0
training, 53, 0.965587990624564, -1.586615947314671, 0.0
validating, 53, 0.7868507385253907, -1.5389303684234619, 0.0
testing, 53, 0.8842759609222413, -1.6525190114974975, 0.0
training, 54, 0.9649626255035401, -1.5864279338291714, 0.0
validating, 54, 0.7861432552337646, -1.5389577865600585, 0.0
testing, 54, 0.8837532043457031, -1.652543807029724, 0.0
training, 55, 0.9644365242549351, -1.5868236473628452, 0.0
validating, 55, 0.7865446090698243, -1.539001727104187, 0.0
testing, 55, 0.8835273742675781, -1.6524412155151367, 0.0
training, 56, 0.9639933381761824, -1.5866185324532645, 0.0
validating, 56, 0.7870900154113769, -1.5380183935165406, 0.0
testing, 56, 0.8830644607543945, -1.6529897093772887, 0.0
training, 57, 0.9635569913046701, -1.5867154223578317, 0.0
validating, 57, 0.7861294746398926, -1.5382233142852784, 0.0
testing, 57, 0.8829149723052978, -1.6530787825584412, 0.0
training, 58, 0.9633357661111014, -1.5870758397238596, 0.0
