Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.7029898507254463e-08, -3.566073206492833, 0.0
validating, -1, 0.0, -3.5966524124145507, 0.0
testing, -1, -1.4901161193847656e-08, -3.580267381668091, 0.0
training, 0, 0.3145166175706046, -3.7803986821855817, 0.0
validating, 0, 0.334807413816452, -3.831562852859497, 0.0
testing, 0, 0.39858587384223937, -3.8025285243988036, 0.0
training, 1, 0.3143146974699838, -3.7801095962524416, 0.0
validating, 1, 0.334491103887558, -3.8304787635803224, 0.0
testing, 1, 0.397612988948822, -3.800913858413696, 0.0
training, 2, 0.31320434979030065, -3.7784240858895437, 0.0
validating, 2, 0.3338770687580109, -3.8285210609436033, 0.0
testing, 2, 0.3957490622997284, -3.7981177806854247, 0.0
training, 3, 0.31053823232650757, -3.7744788237980433, 0.0
validating, 3, 0.33212860226631163, -3.823840856552124, 0.0
testing, 3, 0.39140093326568604, -3.791927433013916, 0.0
training, 4, 0.3040767788887024, -3.7604648453848704, 0.0
validating, 4, 0.32758849263191225, -3.81626181602478, 0.0
testing, 4, 0.3800757586956024, -3.7879610538482664, 0.0
training, 5, 0.28989179815564836, -3.7399929864065986, 0.0
validating, 5, 0.3192056953907013, -3.8501380443573, 0.0
testing, 5, 0.36142937242984774, -3.7692798376083374, 0.0
training, 6, 0.27021705082484654, -3.715023006711687, 0.0
validating, 6, 0.3103512108325958, -3.835939884185791, 0.0
testing, 6, 0.3455585688352585, -3.754564809799194, 0.0
training, 7, 0.25561406101499284, -3.7006574971335273, 0.0
validating, 7, 0.30496100783348085, -3.806678056716919, 0.0
testing, 7, 0.33687794506549834, -3.7443589687347414, 0.0
training, 8, 0.24748796394893102, -3.692763648714338, 0.0
validating, 8, 0.3064003765583038, -3.806562805175781, 0.0
testing, 8, 0.3386965781450272, -3.74619722366333, 0.0
training, 9, 0.24346216235842025, -3.6851018905639648, 0.0
validating, 9, 0.29491350054740906, -3.8028414249420166, 0.0
testing, 9, 0.32723903357982637, -3.742056107521057, 0.0
training, 10, 0.24056246876716614, -3.683320556368147, 0.0
validating, 10, 0.3028100311756134, -3.808862638473511, 0.0
testing, 10, 0.33626385033130646, -3.7439828395843504, 0.0
training, 11, 0.23418384960719518, -3.6811780044010707, 0.0
validating, 11, 0.29153340458869936, -3.801696014404297, 0.0
testing, 11, 0.3238265186548233, -3.7397528886795044, 0.0
training, 12, 0.23309918301446098, -3.6831399645124163, 0.0
validating, 12, 0.29127430319786074, -3.8019896030426024, 0.0
testing, 12, 0.32497412264347075, -3.739926505088806, 0.0
training, 13, 0.23613822971071516, -3.685674156461443, 0.0
validating, 13, 0.28869547247886657, -3.796117734909058, 0.0
testing, 13, 0.32388691008090975, -3.7458848476409914, 0.0
training, 14, 0.23006447042737688, -3.6825331347329278, 0.0
validating, 14, 0.28648462891578674, -3.798155689239502, 0.0
testing, 14, 0.32197354137897494, -3.738795351982117, 0.0
training, 15, 0.22831297516822815, -3.6773652962275913, 0.0
validating, 15, 0.2880900681018829, -3.8190248012542725, 0.0
testing, 15, 0.32707219421863554, -3.7417330026626585, 0.0
training, 16, 0.2297205150127411, -3.6769523552485874, 0.0
validating, 16, 0.2936573922634125, -3.804431438446045, 0.0
testing, 16, 0.3351038843393326, -3.7434543132781983, 0.0
training, 17, 0.2279805064201355, -3.674331774030413, 0.0
validating, 17, 0.2889549195766449, -3.821967887878418, 0.0
