Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -6.811959402901785e-08, -1.5142621040344237, 0.0
validating, -1, 3.814697265625e-07, -1.4077667474746705, 0.0
testing, -1, 1.9073486328125e-07, -1.5576621055603028, 0.0
training, 0, 1.7368893146514892, -2.1691532032830376, 0.0
validating, 0, 1.6516854763031006, -2.1965924501419067, 0.0
testing, 0, 1.651685905456543, -2.2452556848526, 0.0
training, 1, 1.7352164200374058, -2.167622903415135, 0.0
validating, 1, 1.6469943523406982, -2.191274547576904, 0.0
testing, 1, 1.6474728107452392, -2.241649556159973, 0.0
training, 2, 1.7256040232522147, -2.1607301507677352, 0.0
validating, 2, 1.626268243789673, -2.172539710998535, 0.0
testing, 2, 1.6290411472320556, -2.2273062467575073, 0.0
training, 3, 1.6873195443834577, -2.1403842755726408, 0.0
validating, 3, 1.5526578426361084, -2.1264214277267457, 0.0
testing, 3, 1.5636805057525636, -2.190574622154236, 0.0
training, 4, 1.5972189835139683, -2.1069620302745276, 0.0
validating, 4, 1.4167564392089844, -2.0570574760437013, 0.0
testing, 4, 1.4423448085784911, -2.1305763483047486, 0.0
training, 5, 1.4733313083648683, -2.0449321678706576, 0.0
validating, 5, 1.295349645614624, -1.994571900367737, 0.0
testing, 5, 1.3315183162689208, -2.0793172001838682, 0.0
training, 6, 1.3545533657073974, -2.0190200431006295, 0.0
validating, 6, 1.1431591987609864, -1.9092655181884766, 0.0
testing, 6, 1.1843382358551025, -2.0159380793571473, 0.0
training, 7, 1.2391526971544538, -1.9954396656581335, 0.0
validating, 7, 1.0327088832855225, -1.8498055934906006, 0.0
testing, 7, 1.0684780597686767, -1.9824405550956725, 0.0
training, 8, 1.1405486583709716, -1.980428283555167, 0.0
validating, 8, 0.9634604930877686, -1.8670632123947144, 0.0
testing, 8, 0.9894855499267579, -1.9637896180152894, 0.0
training, 9, 1.0651306492941721, -1.9893759965896607, 0.0
validating, 9, 0.8960325241088867, -1.8779830932617188, 0.0
testing, 9, 0.9084863662719727, -1.9510676383972168, 0.0
training, 10, 0.9831490993499756, -1.984268297467913, 0.0
validating, 10, 0.8424849510192871, -1.8335655450820922, 0.0
testing, 10, 0.886463212966919, -1.9459770679473878, 0.0
training, 11, 0.910895231791905, -1.952515002659389, 0.0
validating, 11, 0.7602593421936035, -1.8237812995910645, 0.0
testing, 11, 0.7988272666931152, -1.9194656968116761, 0.0
training, 12, 0.7912732192448207, -1.932381204196385, 0.0
validating, 12, 0.6697793483734131, -1.8129864931106567, 0.0
testing, 12, 0.6971703052520752, -1.8775772452354431, 0.0
training, 13, 0.6894816262381417, -1.8873842000961303, 0.0
validating, 13, 0.6026085376739502, -1.774754786491394, 0.0
testing, 13, 0.6472770214080811, -1.8347728848457336, 0.0
training, 14, 0.6308570453098842, -1.8405650854110718, 0.0
validating, 14, 0.5527456283569336, -1.7289807319641113, 0.0
testing, 14, 0.6096505880355835, -1.7839271187782288, 0.0
training, 15, 0.5817938123430525, -1.7885808672223773, 0.0
validating, 15, 0.5278168678283691, -1.7016961574554443, 0.0
testing, 15, 0.581289267539978, -1.7299916744232178, 0.0
training, 16, 0.5503589493887765, -1.7422733511243547, 0.0
validating, 16, 0.5028603553771973, -1.6696092128753661, 0.0
testing, 16, 0.5604984283447265, -1.698599112033844, 0.0
training, 17, 0.5431974138532366, -1.712178601537432, 0.0
validating, 17, 0.49514002799987794, -1.6562170743942262, 0.0
testing, 17, 0.5523387908935546, -1.6838051438331605, 0.0
training, 18, 0.5196116447448731, -1.6882017510277885, 0.0
validating, 18, 0.48169479370117185, -1.6356863975524902, 0.0
testing, 18, 0.5392823934555053, -1.6639967441558838, 0.0
training, 19, 0.5026506764548165, -1.6627444437571934, 0.0
validating, 19, 0.4753044605255127, -1.6202560424804688, 0.0
testing, 19, 0.5383928298950196, -1.6482338666915894, 0.0
training, 20, 0.5095075675419398, -1.64432316167014, 0.0
validating, 20, 0.462390661239624, -1.6023953676223754, 0.0
testing, 20, 0.5210929155349732, -1.6343366861343385, 0.0
training, 21, 0.5228554453168597, -1.626463770866394, 0.0
validating, 21, 0.4591396331787109, -1.6051031827926636, 0.0
testing, 21, 0.5179819822311401, -1.6324540376663208, 0.0
training, 22, 0.4946206160954067, -1.6166738407952446, 0.0
validating, 22, 0.4568009853363037, -1.6009634256362915, 0.0
testing, 22, 0.5153218746185303, -1.6326211214065551, 0.0
training, 23, 0.4751099245888846, -1.6102693319320678, 0.0
validating, 23, 0.45030741691589354, -1.582588005065918, 0.0
testing, 23, 0.5069230556488037, -1.6317153930664063, 0.0
training, 24, 0.4693385328565325, -1.6029389687946864, 0.0
validating, 24, 0.4489260673522949, -1.5769025802612304, 0.0
testing, 24, 0.50446937084198, -1.6311439990997314, 0.0
training, 25, 0.465280362537929, -1.6016135351998466, 0.0
validating, 25, 0.446942663192749, -1.5678996324539185, 0.0
testing, 25, 0.5071856498718261, -1.6356731176376342, 0.0
training, 26, 0.5342299938201904, -1.6178875548498972, 0.0
validating, 26, 0.4482574939727783, -1.5722678661346436, 0.0
testing, 26, 0.5054734706878662, -1.633374524116516, 0.0
training, 27, 0.47213843890598844, -1.6007018327713012, 0.0
validating, 27, 0.44597086906433103, -1.5651385068893433, 0.0
testing, 27, 0.4993581295013428, -1.6377192497253419, 0.0
training, 28, 0.4627443722316197, -1.59713499886649, 0.0
validating, 28, 0.4450716495513916, -1.561751914024353, 0.0
testing, 28, 0.49651126861572265, -1.6393639683723449, 0.0
training, 29, 0.45916777338300435, -1.5949697732925414, 0.0
validating, 29, 0.4448408126831055, -1.5611082553863525, 0.0
testing, 29, 0.49418976306915285, -1.6412349820137024, 0.0
training, 30, 0.4575326715196882, -1.5945204223905292, 0.0
validating, 30, 0.4452221393585205, -1.557966160774231, 0.0
testing, 30, 0.4921424388885498, -1.6436824202537537, 0.0
training, 31, 0.4610413483210972, -1.5922378608158656, 0.0
validating, 31, 0.518860149383545, -1.5570725202560425, 0.0
testing, 31, 0.5455097436904908, -1.6516933917999268, 0.0
training, 32, 0.46370345524379186, -1.5974234751292637, 0.0
validating, 32, 0.4455604076385498, -1.5563305377960206, 0.0
testing, 32, 0.4910529851913452, -1.646389889717102, 0.0
training, 33, 0.4572766304016113, -1.5953908511570523, 0.0
validating, 33, 0.44445457458496096, -1.5550504207611084, 0.0
testing, 33, 0.4872877836227417, -1.6488903641700745, 0.0
training, 34, 0.45403783661978586, -1.5930840798786707, 0.0
validating, 34, 0.44530448913574217, -1.5528630018234253, 0.0
testing, 34, 0.48726634979248046, -1.6505442261695862, 0.0
training, 35, 0.45204620361328124, -1.5951323679515295, 0.0
validating, 35, 0.44481935501098635, -1.5541516542434692, 0.0
testing, 35, 0.48390765190124513, -1.649853229522705, 0.0
training, 36, 0.4536605153764997, -1.591598537990025, 0.0
validating, 36, 0.4444481372833252, -1.5606001138687133, 0.0
testing, 36, 0.48460233211517334, -1.6489515066146851, 0.0
training, 37, 0.534079578944615, -1.6102139302662442, 0.0
validating, 37, 0.4656039237976074, -1.558404016494751, 0.0
testing, 37, 0.4977010488510132, -1.6294947981834411, 0.0
training, 38, 0.4708624907902309, -1.5942865337644305, 0.0
validating, 38, 0.519715404510498, -1.5585256814956665, 0.0
testing, 38, 0.562170433998108, -1.6678403973579408, 0.0
training, 39, 0.4531370094844273, -1.6015361751828874, 0.0
validating, 39, 0.44905266761779783, -1.562175178527832, 0.0
testing, 39, 0.48993844985961915, -1.6460147500038147, 0.0
training, 40, 0.4527099336896624, -1.5954221282686507, 0.0
validating, 40, 0.4464424610137939, -1.5569603204727174, 0.0
testing, 40, 0.48227121829986574, -1.649983036518097, 0.0
training, 41, 0.45554513931274415, -1.595794939994812, 0.0
validating, 41, 0.44665727615356443, -1.559005117416382, 0.0
testing, 41, 0.4834031105041504, -1.6503283739089967, 0.0
training, 42, 0.45066497666495187, -1.5968606063297817, 0.0
validating, 42, 0.44602179527282715, -1.5584319829940796, 0.0
testing, 42, 0.4807287693023682, -1.6505240559577943, 0.0
training, 43, 0.4452340534755162, -1.5954751185008458, 0.0
validating, 43, 0.44849429130554197, -1.5566827774047851, 0.0
testing, 43, 0.47664566040039064, -1.651125693321228, 0.0
training, 44, 0.4469096796853202, -1.5934261253901891, 0.0
validating, 44, 0.4458587646484375, -1.5607149124145507, 0.0
testing, 44, 0.4770033597946167, -1.650242280960083, 0.0
training, 45, 0.44428022248404364, -1.5936161518096923, 0.0
validating, 45, 0.44675559997558595, -1.5595487833023072, 0.0
testing, 45, 0.4762112617492676, -1.6516709446907043, 0.0
training, 46, 0.4445756231035505, -1.5947093316486904, 0.0
validating, 46, 0.4482588768005371, -1.5575127124786377, 0.0
testing, 46, 0.47564527988433836, -1.6535348773002625, 0.0
training, 47, 0.4447691236223493, -1.596720882824489, 0.0
validating, 47, 0.44881629943847656, -1.5573427200317382, 0.0
testing, 47, 0.4745914936065674, -1.6538020849227906, 0.0
training, 48, 0.44299423354012624, -1.5948741606303625, 0.0
validating, 48, 0.4489999294281006, -1.5592493057250976, 0.0
testing, 48, 0.4762169361114502, -1.6532437801361084, 0.0
training, 49, 0.44395081656319757, -1.5951773881912232, 0.0
validating, 49, 0.4485012054443359, -1.5594219446182251, 0.0
testing, 49, 0.47549636363983155, -1.652546799182892, 0.0
training, 50, 0.4429201807294573, -1.5953484194619314, 0.0
validating, 50, 0.4496029853820801, -1.5600943565368652, 0.0
testing, 50, 0.4753116130828857, -1.6528753399848939, 0.0
training, 51, 0.4437751633780343, -1.5948349952697753, 0.0
validating, 51, 0.44992704391479493, -1.5597898244857789, 0.0
testing, 51, 0.4755685329437256, -1.6535400390625, 0.0
training, 52, 0.44273761340550016, -1.5955696276256017, 0.0
validating, 52, 0.4519339084625244, -1.5573957204818725, 0.0
testing, 52, 0.47432971000671387, -1.656124222278595, 0.0
training, 53, 0.44124693870544435, -1.596400281361171, 0.0
validating, 53, 0.4510983467102051, -1.558564829826355, 0.0
testing, 53, 0.4741416692733765, -1.6536826252937318, 0.0
training, 54, 0.44143876348223005, -1.5960373674120223, 0.0
validating, 54, 0.45096917152404786, -1.5605634212493897, 0.0
testing, 54, 0.47465291023254397, -1.6528640508651733, 0.0
training, 55, 0.4423915726797921, -1.595199796131679, 0.0
validating, 55, 0.4509329319000244, -1.5613903045654296, 0.0
testing, 55, 0.47441251277923585, -1.6529826760292052, 0.0
training, 56, 0.4413931846618652, -1.5959943737302507, 0.0
validating, 56, 0.4517065525054932, -1.5599843978881835, 0.0
testing, 56, 0.47385349273681643, -1.654175591468811, 0.0
training, 57, 0.4408703531537737, -1.595260000228882, 0.0
validating, 57, 0.4509310245513916, -1.561354160308838, 0.0
testing, 57, 0.47404255867004397, -1.6530052900314331, 0.0
training, 58, 0.4411914757319859, -1.5956056424549647, 0.0
