Random seed, 2
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.7029898507254463e-08, -5.244536903926305, 0.0
validating, -1, -9.5367431640625e-08, -5.223311233520508, 0.0
testing, -1, -2.384185791015625e-08, -5.348644351959228, 0.0
training, 0, 0.6372068643569946, -5.689531149183001, 0.0
validating, 0, 0.6258082389831543, -5.697861576080323, 0.0
testing, 0, 0.600751006603241, -5.756707811355591, 0.0
training, 1, 0.6311418907982963, -5.685709639957973, 0.0
validating, 1, 0.6163058519363404, -5.688815593719482, 0.0
testing, 1, 0.601943027973175, -5.7542884826660154, 0.0
training, 2, 0.6374722378594535, -5.6896182196480884, 0.0
validating, 2, 0.6020411968231201, -5.672459983825684, 0.0
testing, 2, 0.6041801333427429, -5.751298475265503, 0.0
training, 3, 0.6215398141316005, -5.6752159118652346, 0.0
validating, 3, 0.5898523330688477, -5.674080467224121, 0.0
testing, 3, 0.5850426077842712, -5.735547351837158, 0.0
training, 4, 0.6099871260779245, -5.666970035008021, 0.0
validating, 4, 0.5882792234420776, -5.664891910552979, 0.0
testing, 4, 0.5932772040367127, -5.738336706161499, 0.0
training, 5, 0.6278202022824969, -5.679016045161656, 0.0
validating, 5, 0.5984366655349731, -5.65829029083252, 0.0
testing, 5, 0.6091593623161315, -5.755071306228638, 0.0
training, 6, 0.6213932343891688, -5.673758847372873, 0.0
validating, 6, 0.5879254579544068, -5.658055305480957, 0.0
testing, 6, 0.5993499159812927, -5.742747402191162, 0.0
training, 7, 0.6079894849232265, -5.663279369899205, 0.0
validating, 7, 0.582287049293518, -5.663141536712646, 0.0
testing, 7, 0.586796247959137, -5.728281307220459, 0.0
training, 8, 0.5969513245991298, -5.653356960841587, 0.0
validating, 8, 0.5949342250823975, -5.692064571380615, 0.0
testing, 8, 0.5813646435737609, -5.725125312805176, 0.0
training, 9, 0.5916533231735229, -5.649787534986223, 0.0
validating, 9, 0.5817743301391601, -5.656647872924805, 0.0
testing, 9, 0.6081004500389099, -5.74512619972229, 0.0
training, 10, 0.5933894872665405, -5.648283781324114, 0.0
validating, 10, 0.586505126953125, -5.65631856918335, 0.0
testing, 10, 0.6155215859413147, -5.753163242340088, 0.0
training, 11, 0.5949945620128086, -5.648363658360073, 0.0
validating, 11, 0.5829347372055054, -5.678241920471192, 0.0
testing, 11, 0.586914885044098, -5.725746536254883, 0.0
training, 12, 0.5747674022402082, -5.632838099343436, 0.0
validating, 12, 0.5859009742736816, -5.687771987915039, 0.0
testing, 12, 0.5754347443580627, -5.71412672996521, 0.0
training, 13, 0.5752196277890886, -5.632082503182548, 0.0
validating, 13, 0.6046749830245972, -5.7082921981811525, 0.0
testing, 13, 0.5845656752586365, -5.719829463958741, 0.0
training, 14, 0.572625708580017, -5.627184745243618, 0.0
validating, 14, 0.5806070327758789, -5.677000236511231, 0.0
testing, 14, 0.5796926856040955, -5.716727828979492, 0.0
training, 15, 0.5738196952002389, -5.633131490434919, 0.0
validating, 15, 0.5799965858459473, -5.678424739837647, 0.0
testing, 15, 0.5743204712867737, -5.711371994018554, 0.0
training, 16, 0.5838058982576643, -5.634043788909912, 0.0
validating, 16, 0.5696479082107544, -5.653276348114014, 0.0
testing, 16, 0.5906709671020508, -5.728865671157837, 0.0
training, 17, 0.5881470441818237, -5.634230559212821, 0.0
validating, 17, 0.5665723085403442, -5.652853965759277, 0.0
testing, 17, 0.5966716885566712, -5.729852104187012, 0.0
training, 18, 0.5739132710865565, -5.6269790513174875, 0.0
validating, 18, 0.5743391990661622, -5.673045349121094, 0.0
testing, 18, 0.575473153591156, -5.711109304428101, 0.0
training, 19, 0.5823442765644619, -5.629635293143136, 0.0
validating, 19, 0.5705324649810791, -5.642994403839111, 0.0
testing, 19, 0.6322409152984619, -5.7531451225280765, 0.0
training, 20, 0.5980645486286709, -5.636826133728027, 0.0
validating, 20, 0.5650977611541748, -5.638833808898926, 0.0
testing, 20, 0.627900755405426, -5.753535747528076, 0.0
training, 21, 0.6129844495228358, -5.647379330226353, 0.0
validating, 21, 0.5625822305679321, -5.654657173156738, 0.0
testing, 21, 0.5730605721473694, -5.719412755966187, 0.0
training, 22, 0.5890903302601406, -5.630466393062046, 0.0
validating, 22, 0.565589427947998, -5.663067150115967, 0.0
testing, 22, 0.5860307812690735, -5.720609331130982, 0.0
training, 23, 0.5614497900009155, -5.610783032008579, 0.0
validating, 23, 0.5651703119277954, -5.664144611358642, 0.0
testing, 23, 0.5728323101997376, -5.711985874176025, 0.0
training, 24, 0.5586228064128331, -5.612229674203055, 0.0
validating, 24, 0.5675302743911743, -5.669058227539063, 0.0
testing, 24, 0.5640718102455139, -5.704300832748413, 0.0
training, 25, 0.5735301664897374, -5.621618189130511, 0.0
validating, 25, 0.5604216098785401, -5.637875270843506, 0.0
testing, 25, 0.6229272365570069, -5.746014976501465, 0.0
training, 26, 0.592776962688991, -5.628312219892229, 0.0
validating, 26, 0.5582842588424682, -5.644204902648926, 0.0
testing, 26, 0.6092009305953979, -5.738725996017456, 0.0
training, 27, 0.5599307298660279, -5.614051151275635, 0.0
validating, 27, 0.5638643503189087, -5.6678119659423825, 0.0
testing, 27, 0.5654922962188721, -5.712376403808594, 0.0
training, 28, 0.5794999871935164, -5.614468288421631, 0.0
validating, 28, 0.5708961009979248, -5.640639591217041, 0.0
testing, 28, 0.6536271333694458, -5.7704814910888675, 0.0
training, 29, 0.5792863198689052, -5.61460234778268, 0.0
validating, 29, 0.5629913568496704, -5.652584362030029, 0.0
testing, 29, 0.580012571811676, -5.722531509399414, 0.0
training, 30, 0.5741857630865914, -5.615928186689104, 0.0
validating, 30, 0.565705943107605, -5.651114463806152, 0.0
testing, 30, 0.5961011409759521, -5.740253639221192, 0.0
training, 31, 0.5702885355268206, -5.611445208958217, 0.0
validating, 31, 0.5600333213806152, -5.654474449157715, 0.0
testing, 31, 0.5665123581886291, -5.7166510105133055, 0.0
training, 32, 0.5560684817177909, -5.600338404519217, 0.0
validating, 32, 0.5669994115829468, -5.664200115203857, 0.0
testing, 32, 0.5576432108879089, -5.706528425216675, 0.0
training, 33, 0.5546883174351284, -5.600525038582938, 0.0
validating, 33, 0.5553893566131591, -5.652050304412842, 0.0
testing, 33, 0.5538784861564636, -5.704478549957275, 0.0
training, 34, 0.5533998898097447, -5.59487054007394, 0.0
validating, 34, 0.5534809827804565, -5.657087898254394, 0.0
testing, 34, 0.5525927186012268, -5.709078073501587, 0.0
training, 35, 0.5542538745062692, -5.594841861724854, 0.0
validating, 35, 0.5512034177780152, -5.6509857177734375, 0.0
testing, 35, 0.560004448890686, -5.715410470962524, 0.0
training, 36, 0.5400916576385498, -5.58769257409232, 0.0
validating, 36, 0.5618199586868287, -5.6601231575012205, 0.0
testing, 36, 0.5918086290359497, -5.747043418884277, 0.0
training, 37, 0.5518666063036237, -5.592856693267822, 0.0
validating, 37, 0.5613554239273071, -5.656748104095459, 0.0
testing, 37, 0.5935977578163147, -5.748757982254029, 0.0
training, 38, 0.5473470755985805, -5.588874558040074, 0.0
validating, 38, 0.5660004615783691, -5.664664554595947, 0.0
testing, 38, 0.5600221633911133, -5.718653821945191, 0.0
training, 39, 0.5301225253513882, -5.5803057534354075, 0.0
validating, 39, 0.5587090015411377, -5.655913162231445, 0.0
testing, 39, 0.5593225955963135, -5.718409538269043, 0.0
training, 40, 0.535660195350647, -5.580267347608294, 0.0
validating, 40, 0.5594045877456665, -5.656229877471924, 0.0
testing, 40, 0.5619914650917053, -5.721568632125854, 0.0
training, 41, 0.5426098551068987, -5.582481384277344, 0.0
validating, 41, 0.5618619203567505, -5.652187061309815, 0.0
testing, 41, 0.5770199298858643, -5.73512372970581, 0.0
training, 42, 0.535290231023516, -5.579951054709298, 0.0
validating, 42, 0.5590472221374512, -5.654091739654541, 0.0
testing, 42, 0.5681851625442504, -5.73053092956543, 0.0
training, 43, 0.5415077686309815, -5.579501519884382, 0.0
validating, 43, 0.5574440479278564, -5.652354526519775, 0.0
testing, 43, 0.5648846387863159, -5.728444814682007, 0.0
training, 44, 0.5406004428863526, -5.577629947662354, 0.0
validating, 44, 0.5565271139144897, -5.650812435150146, 0.0
testing, 44, 0.5603782773017884, -5.722558832168579, 0.0
training, 45, 0.5351880584444318, -5.5742616380964005, 0.0
validating, 45, 0.5595144987106323, -5.656475448608399, 0.0
testing, 45, 0.5689695596694946, -5.735142993927002, 0.0
training, 46, 0.5404927798679897, -5.577644266401019, 0.0
validating, 46, 0.562491488456726, -5.660767555236816, 0.0
testing, 46, 0.5630581498146057, -5.731987333297729, 0.0
training, 47, 0.5300826924187797, -5.572601672581264, 0.0
validating, 47, 0.5627896308898925, -5.658047485351562, 0.0
testing, 47, 0.5674299716949462, -5.730546855926514, 0.0
training, 48, 0.5300965445382254, -5.572339521135603, 0.0
validating, 48, 0.5618382215499877, -5.657546138763427, 0.0
testing, 48, 0.5581870555877686, -5.720762252807617, 0.0
training, 49, 0.5264354910169329, -5.571983173915318, 0.0
validating, 49, 0.5629047155380249, -5.658057117462159, 0.0
testing, 49, 0.5614729285240173, -5.72409725189209, 0.0
training, 50, 0.531785832132612, -5.572599983215332, 0.0
validating, 50, 0.5626094102859497, -5.6589967727661135, 0.0
testing, 50, 0.5729482769966125, -5.735814762115479, 0.0
training, 51, 0.5353534357888358, -5.57351086480277, 0.0
validating, 51, 0.5656567811965942, -5.663715839385986, 0.0
testing, 51, 0.5767576932907105, -5.742123746871949, 0.0
training, 52, 0.5285217727933611, -5.570833219800677, 0.0
validating, 52, 0.5637457370758057, -5.6613672256469725, 0.0
testing, 52, 0.5688044667243958, -5.733141613006592, 0.0
training, 53, 0.5306844779423305, -5.569655282156808, 0.0
validating, 53, 0.5682454824447631, -5.664896297454834, 0.0
testing, 53, 0.5821780920028686, -5.7449182033538815, 0.0
training, 54, 0.5375072956085205, -5.5741104262215755, 0.0
validating, 54, 0.5625502824783325, -5.66361083984375, 0.0
testing, 54, 0.5674105405807495, -5.733487176895141, 0.0
training, 55, 0.5337805952344622, -5.573758888244629, 0.0
validating, 55, 0.5651715517044067, -5.666918182373047, 0.0
testing, 55, 0.5706142902374267, -5.736926460266114, 0.0
training, 56, 0.5351091589246477, -5.572212246486119, 0.0
validating, 56, 0.5692075252532959, -5.668036651611328, 0.0
testing, 56, 0.5845178961753845, -5.748143863677979, 0.0
training, 57, 0.5373485599245343, -5.57185731615339, 0.0
validating, 57, 0.5732606649398804, -5.67271671295166, 0.0
testing, 57, 0.604170048236847, -5.7564280986785885, 0.0
training, 58, 0.5331511156899589, -5.569793156215122, 0.0
validating, 58, 0.5711465835571289, -5.672463226318359, 0.0
testing, 58, 0.588336706161499, -5.750726795196533, 0.0
training, 59, 0.5319632700511387, -5.5690522875104636, 0.0
validating, 59, 0.5703303098678589, -5.67225923538208, 0.0
testing, 59, 0.5841087937355042, -5.74881420135498, 0.0
training, 60, 0.5248739651271275, -5.5680501120431085, 0.0
validating, 60, 0.5674793720245361, -5.670839405059814, 0.0
testing, 60, 0.5678018808364869, -5.737818956375122, 0.0
training, 61, 0.5223664828709194, -5.566656684875488, 0.0
validating, 61, 0.5665218114852906, -5.670541477203369, 0.0
testing, 61, 0.5670920372009277, -5.7369945526123045, 0.0
training, 62, 0.5230697529656546, -5.565796225411551, 0.0
validating, 62, 0.5664347648620606, -5.670038223266602, 0.0
testing, 62, 0.5671479105949402, -5.737556838989258, 0.0
training, 63, 0.5216516937528338, -5.565224756513323, 0.0
validating, 63, 0.565380859375, -5.670183753967285, 0.0
testing, 63, 0.5655302405357361, -5.736481714248657, 0.0
training, 64, 0.5248992851802281, -5.565358216421945, 0.0
validating, 64, 0.5673437595367432, -5.672344589233399, 0.0
testing, 64, 0.5694310188293457, -5.740066957473755, 0.0
training, 65, 0.5255877188273839, -5.565571866716657, 0.0
validating, 65, 0.5690176486968994, -5.672622489929199, 0.0
testing, 65, 0.5794105052947998, -5.746436738967896, 0.0
training, 66, 0.5277641841343471, -5.565357603345599, 0.0
validating, 66, 0.5676848649978637, -5.671125602722168, 0.0
testing, 66, 0.5743853092193604, -5.742711448669434, 0.0
training, 67, 0.525756243297032, -5.565423924582345, 0.0
validating, 67, 0.5669177293777465, -5.670612239837647, 0.0
testing, 67, 0.5720539927482605, -5.741015100479126, 0.0
training, 68, 0.5229927267347063, -5.5647463117327005, 0.0
validating, 68, 0.565666389465332, -5.670008277893066, 0.0
testing, 68, 0.567730438709259, -5.736833572387695, 0.0
training, 69, 0.5210997922079904, -5.565234320504325, 0.0
validating, 69, 0.5656642436981201, -5.670756816864014, 0.0
testing, 69, 0.5678890228271485, -5.737081575393677, 0.0
training, 70, 0.5242706605366299, -5.565351322719029, 0.0
validating, 70, 0.5672067403793335, -5.670687294006347, 0.0
testing, 70, 0.5731951832771301, -5.742011213302613, 0.0
training, 71, 0.5239358765738351, -5.564455931527274, 0.0
validating, 71, 0.5673512697219849, -5.669790363311767, 0.0
testing, 71, 0.574670922756195, -5.743144845962524, 0.0
training, 72, 0.5262035506112235, -5.564054720742362, 0.0
validating, 72, 0.5691616058349609, -5.671010875701905, 0.0
testing, 72, 0.5826987862586975, -5.748338747024536, 0.0
training, 73, 0.5258129187992641, -5.5640467916216165, 0.0
validating, 73, 0.5682147741317749, -5.67076301574707, 0.0
testing, 73, 0.5768576622009277, -5.744722509384156, 0.0
training, 74, 0.5232766900743757, -5.564791325160435, 0.0
validating, 74, 0.565464997291565, -5.670236682891845, 0.0
testing, 74, 0.5665811538696289, -5.736521530151367, 0.0
training, 75, 0.5210076638630459, -5.564456817081997, 0.0
validating, 75, 0.5661202669143677, -5.6702474594116214, 0.0
testing, 75, 0.5694077491760254, -5.739527416229248, 0.0
training, 76, 0.521759227343968, -5.564091696058001, 0.0
validating, 76, 0.5662863731384278, -5.670180130004883, 0.0
testing, 76, 0.5707720279693603, -5.740639686584473, 0.0
training, 77, 0.5238745485033308, -5.564023154122489, 0.0
validating, 77, 0.5659778356552124, -5.668418121337891, 0.0
testing, 77, 0.5717005729675293, -5.741379356384277, 0.0
training, 78, 0.5231160504477365, -5.563274506160191, 0.0
validating, 78, 0.5653310537338256, -5.667959403991699, 0.0
testing, 78, 0.5699456930160522, -5.740038442611694, 0.0
training, 79, 0.5233725411551339, -5.562968608311245, 0.0
validating, 79, 0.5673227310180664, -5.6699014663696286, 0.0
testing, 79, 0.5746436595916748, -5.7438551902771, 0.0
training, 80, 0.5228006839752197, -5.562965624673026, 0.0
validating, 80, 0.5659500122070312, -5.669727420806884, 0.0
testing, 80, 0.5680108428001404, -5.739507246017456, 0.0
training, 81, 0.5205548592976161, -5.562632274627686, 0.0
validating, 81, 0.5658228874206543, -5.669693470001221, 0.0
testing, 81, 0.5674955010414123, -5.739190149307251, 0.0
training, 82, 0.5202526603426252, -5.562618568965367, 0.0
validating, 82, 0.5663981676101685, -5.669394874572754, 0.0
testing, 82, 0.5686332821846009, -5.740044593811035, 0.0
training, 83, 0.5198509795325142, -5.562074211665562, 0.0
validating, 83, 0.5661829948425293, -5.66929931640625, 0.0
testing, 83, 0.5681933760643005, -5.739628601074219, 0.0
training, 84, 0.5194336107798985, -5.561867441449847, 0.0
validating, 84, 0.5658268451690673, -5.669546031951905, 0.0
testing, 84, 0.5663790941238404, -5.7384498596191404, 0.0
training, 85, 0.5184223822184971, -5.561859839303153, 0.0
validating, 85, 0.5657312870025635, -5.6695122718811035, 0.0
testing, 85, 0.5652428388595581, -5.737693500518799, 0.0
training, 86, 0.5190016133444649, -5.561536407470703, 0.0
validating, 86, 0.5662635326385498, -5.669783020019532, 0.0
testing, 86, 0.5674294590950012, -5.739177942276001, 0.0
training, 87, 0.518889342035566, -5.561541816166469, 0.0
validating, 87, 0.5661009550094604, -5.669852638244629, 0.0
testing, 87, 0.5666626930236817, -5.738897228240967, 0.0
training, 88, 0.5186752455575125, -5.561488737378801, 0.0
validating, 88, 0.5663669586181641, -5.670256900787353, 0.0
testing, 88, 0.5673869967460632, -5.739570760726929, 0.0
training, 89, 0.5187456641878401, -5.561414664132254, 0.0
validating, 89, 0.5669718980789185, -5.67109432220459, 0.0
testing, 89, 0.5692133069038391, -5.741052293777466, 0.0
training, 90, 0.519568794114249, -5.561699662889753, 0.0
validating, 90, 0.5670415878295898, -5.671625995635987, 0.0
testing, 90, 0.5693613290786743, -5.741190242767334, 0.0
training, 91, 0.519507908821106, -5.561877223423549, 0.0
validating, 91, 0.5669912099838257, -5.671988010406494, 0.0
testing, 91, 0.5695152163505555, -5.741237497329712, 0.0
training, 92, 0.5200673750468663, -5.561850084577288, 0.0
validating, 92, 0.5671266794204712, -5.671817493438721, 0.0
testing, 92, 0.5702515244483948, -5.741744804382324, 0.0
training, 93, 0.5199046237128121, -5.561548396519252, 0.0
validating, 93, 0.5669639348983765, -5.67160930633545, 0.0
testing, 93, 0.5698389172554016, -5.741415119171142, 0.0
training, 94, 0.5196719782693046, -5.561466203417097, 0.0
validating, 94, 0.5664098262786865, -5.671083164215088, 0.0
testing, 94, 0.5677417993545533, -5.739965200424194, 0.0
training, 95, 0.5187071084976196, -5.561317307608468, 0.0
validating, 95, 0.5665337562561035, -5.671209812164307, 0.0
testing, 95, 0.5678622484207153, -5.740045261383057, 0.0
training, 96, 0.5195906128202166, -5.561521094185966, 0.0
validating, 96, 0.5669360160827637, -5.671522617340088, 0.0
testing, 96, 0.5694481134414673, -5.7412299633026125, 0.0
training, 97, 0.519303720338004, -5.561224065508161, 0.0
validating, 97, 0.5665914058685303, -5.671041011810303, 0.0
testing, 97, 0.5683299660682678, -5.740439367294312, 0.0
training, 98, 0.5191279649734497, -5.561144556318011, 0.0
validating, 98, 0.5665020704269409, -5.671029281616211, 0.0
testing, 98, 0.5683490037918091, -5.7404345035552975, 0.0
training, 99, 0.5193261623382568, -5.56267649786813, 0.0
validating, 99, 0.566793704032898, -5.671226119995117, 0.0
testing, 99, 0.5690492391586304, -5.740997743606568, 0.0
training, 100, 0.5196025269372123, -5.5611079352242605, 0.0
validating, 100, 0.5668811559677124, -5.671261405944824, 0.0
testing, 100, 0.5693437933921814, -5.74122428894043, 0.0
Random seed, 1
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -6.8119594029017855e-09, -5.278073528834752, 0.0
validating, -1, 0.0, -5.265794849395752, 0.0
testing, -1, -2.384185791015625e-08, -5.232350301742554, 0.0
training, 0, 0.5750752329826355, -5.756162302834647, 0.0
validating, 0, 0.5518840074539184, -5.764704895019531, 0.0
testing, 0, 0.5610960960388184, -5.751988267898559, 0.0
training, 1, 0.5712098240852356, -5.755501774379185, 0.0
validating, 1, 0.5464826345443725, -5.769976711273193, 0.0
testing, 1, 0.5587796211242676, -5.7531651020050045, 0.0
training, 2, 0.5690794348716736, -5.7542281968252995, 0.0
validating, 2, 0.5464678525924682, -5.770372295379639, 0.0
testing, 2, 0.5587204217910766, -5.752661848068238, 0.0
training, 3, 0.5684981226921082, -5.753366770063128, 0.0
validating, 3, 0.5465167760848999, -5.769471454620361, 0.0
testing, 3, 0.5587664842605591, -5.751785945892334, 0.0
training, 4, 0.5684017028127398, -5.753487873077392, 0.0
validating, 4, 0.5431877374649048, -5.767525291442871, 0.0
testing, 4, 0.5587218046188355, -5.75220046043396, 0.0
training, 5, 0.5683891994612558, -5.752850927625384, 0.0
validating, 5, 0.5452744722366333, -5.768966197967529, 0.0
testing, 5, 0.5596556663513184, -5.752262449264526, 0.0
training, 6, 0.5678495253835406, -5.75168433870588, 0.0
validating, 6, 0.5491687536239624, -5.7732209205627445, 0.0
testing, 6, 0.5576881647109986, -5.749438190460205, 0.0
training, 7, 0.5673692413738796, -5.750977570669992, 0.0
validating, 7, 0.5518391847610473, -5.7767970085144045, 0.0
testing, 7, 0.5598509550094605, -5.750666856765747, 0.0
training, 8, 0.567350675378527, -5.750497627258301, 0.0
validating, 8, 0.552652907371521, -5.7776820182800295, 0.0
testing, 8, 0.5616661667823791, -5.751880836486817, 0.0
training, 9, 0.5667667371886117, -5.749256774357387, 0.0
validating, 9, 0.5538173913955688, -5.779957962036133, 0.0
testing, 9, 0.559553587436676, -5.748962783813477, 0.0
training, 10, 0.5673282504081726, -5.749144785744804, 0.0
validating, 10, 0.5543673276901245, -5.779344367980957, 0.0
testing, 10, 0.5618813633918762, -5.75111231803894, 0.0
training, 11, 0.5667243157114301, -5.748780291421073, 0.0
validating, 11, 0.5505203008651733, -5.777786159515381, 0.0
testing, 11, 0.5584583520889282, -5.746751880645752, 0.0
training, 12, 0.565949308872223, -5.74931617464338, 0.0
validating, 12, 0.5561526536941528, -5.783195686340332, 0.0
testing, 12, 0.5619760394096375, -5.749857378005982, 0.0
training, 13, 0.5672196234975543, -5.74830562046596, 0.0
validating, 13, 0.5554567098617553, -5.784802055358886, 0.0
testing, 13, 0.5592760801315307, -5.7448896884918215, 0.0
training, 14, 0.5665166497230529, -5.746827411651611, 0.0
validating, 14, 0.5594494581222534, -5.786794376373291, 0.0
testing, 14, 0.5613834500312805, -5.7463812828063965, 0.0
training, 15, 0.565755900314876, -5.744832842690604, 0.0
validating, 15, 0.5597685098648071, -5.786759853363037, 0.0
testing, 15, 0.5599657535552979, -5.743217468261719, 0.0
training, 16, 0.5670437046459743, -5.745144435337612, 0.0
validating, 16, 0.5610687971115113, -5.788006687164307, 0.0
testing, 16, 0.56090087890625, -5.743658781051636, 0.0
