Random seed, 6
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -5.108969552176339e-08, -5.307122475760323, 0.0
validating, -1, 0.0, -5.305107116699219, 0.0
testing, -1, 5.960464477539063e-08, -5.268668270111084, 0.0
training, 0, 0.4069086347307478, -5.708258901323591, 0.0
validating, 0, 0.4448725700378418, -5.681014060974121, 0.0
testing, 0, 0.41380547285079955, -5.690657663345337, 0.0
training, 1, 0.36521732125963485, -5.6930813925606865, 0.0
validating, 1, 0.3611985921859741, -5.648494148254395, 0.0
testing, 1, 0.34639744758605956, -5.6743546485900875, 0.0
training, 2, 0.3012972252709525, -5.667983477456229, 0.0
validating, 2, 0.34492456912994385, -5.635592460632324, 0.0
testing, 2, 0.34255998134613036, -5.679869556427002, 0.0
training, 3, 0.29833530017307824, -5.659285041264125, 0.0
validating, 3, 0.34222629070281985, -5.627921867370605, 0.0
testing, 3, 0.3399964451789856, -5.676903963088989, 0.0
training, 4, 0.2908337048121861, -5.653144277845111, 0.0
validating, 4, 0.3414085149765015, -5.623174667358398, 0.0
testing, 4, 0.3401621222496033, -5.675748634338379, 0.0
training, 5, 0.28897484711238314, -5.647509779248919, 0.0
validating, 5, 0.3433076858520508, -5.621816539764405, 0.0
testing, 5, 0.3423220157623291, -5.678011846542359, 0.0
training, 6, 0.28786640167236327, -5.643732506888253, 0.0
validating, 6, 0.34035894870758054, -5.6194765090942385, 0.0
testing, 6, 0.3334147572517395, -5.668438863754273, 0.0
training, 7, 0.2871153116226196, -5.643989426749093, 0.0
validating, 7, 0.33834598064422605, -5.6162598609924315, 0.0
testing, 7, 0.33045971393585205, -5.665747785568238, 0.0
training, 8, 0.2822819641658238, -5.640082740783692, 0.0
validating, 8, 0.34223434925079343, -5.624185276031494, 0.0
testing, 8, 0.3311525821685791, -5.6631019115448, 0.0
training, 9, 0.28090269906180243, -5.639035906110491, 0.0
validating, 9, 0.34387505054473877, -5.6240050315856935, 0.0
testing, 9, 0.33118160963058474, -5.663147401809693, 0.0
training, 10, 0.27805228233337403, -5.6337337357657296, 0.0
validating, 10, 0.3446145534515381, -5.620839786529541, 0.0
testing, 10, 0.32728755474090576, -5.660356187820435, 0.0
training, 11, 0.277573003087725, -5.632078238895962, 0.0
validating, 11, 0.3446435689926147, -5.620343017578125, 0.0
testing, 11, 0.32730965614318847, -5.660777473449707, 0.0
training, 12, 0.2750581639153617, -5.628994178771973, 0.0
validating, 12, 0.3400635004043579, -5.61671667098999, 0.0
testing, 12, 0.32551724910736085, -5.657821416854858, 0.0
training, 13, 0.2739342621394566, -5.629121903010777, 0.0
validating, 13, 0.3440235614776611, -5.620641136169434, 0.0
testing, 13, 0.3227364420890808, -5.65344762802124, 0.0
training, 14, 0.2723969187055315, -5.627397741590228, 0.0
validating, 14, 0.35029842853546145, -5.628248119354248, 0.0
testing, 14, 0.3279386281967163, -5.65879373550415, 0.0
training, 15, 0.27350185598645893, -5.626290157863072, 0.0
validating, 15, 0.3509024143218994, -5.632709407806397, 0.0
testing, 15, 0.3296224355697632, -5.659932327270508, 0.0
training, 16, 0.27033257484436035, -5.623115158081054, 0.0
validating, 16, 0.3479019641876221, -5.63150691986084, 0.0
testing, 16, 0.32319830656051635, -5.6555037021636965, 0.0
training, 17, 0.2688326018197196, -5.626034927368164, 0.0
validating, 17, 0.34163129329681396, -5.629235458374024, 0.0
testing, 17, 0.3171847462654114, -5.6480803966522215, 0.0
training, 18, 0.26797576291220526, -5.624135208129883, 0.0
validating, 18, 0.3496425628662109, -5.634186172485352, 0.0
testing, 18, 0.3232621312141418, -5.655113983154297, 0.0
training, 19, 0.2669611964906965, -5.622508076259068, 0.0
validating, 19, 0.34682307243347166, -5.637392330169678, 0.0
testing, 19, 0.3219589591026306, -5.652736568450928, 0.0
training, 20, 0.2652602195739746, -5.621633625030517, 0.0
validating, 20, 0.35187041759490967, -5.633611106872559, 0.0
testing, 20, 0.3271834969520569, -5.656763219833374, 0.0
training, 21, 0.26572045598711286, -5.62093312399728, 0.0
validating, 21, 0.34451286792755126, -5.631951427459716, 0.0
testing, 21, 0.3225971221923828, -5.653077411651611, 0.0
training, 22, 0.26412193434579034, -5.620953110286168, 0.0
validating, 22, 0.34772405624389646, -5.632978820800782, 0.0
testing, 22, 0.32367830276489257, -5.65366005897522, 0.0
training, 23, 0.2677567754473005, -5.619384547642299, 0.0
validating, 23, 0.35162341594696045, -5.6304628372192385, 0.0
testing, 23, 0.32628482580184937, -5.652263736724853, 0.0
training, 24, 0.2650141511644636, -5.616587884085519, 0.0
validating, 24, 0.3582198143005371, -5.642817497253418, 0.0
testing, 24, 0.32364094257354736, -5.6528843402862545, 0.0
training, 25, 0.2675365890775408, -5.615742410932269, 0.0
validating, 25, 0.3622918605804443, -5.650831127166748, 0.0
testing, 25, 0.32561697959899905, -5.656382751464844, 0.0
training, 26, 0.26652009827750067, -5.615305805206299, 0.0
validating, 26, 0.3617051362991333, -5.6468016624450685, 0.0
testing, 26, 0.3260738253593445, -5.655756616592408, 0.0
training, 27, 0.26421008110046384, -5.614305441720145, 0.0
validating, 27, 0.35731256008148193, -5.647630500793457, 0.0
testing, 27, 0.32323139905929565, -5.653647184371948, 0.0
training, 28, 0.26518185138702394, -5.616447489602225, 0.0
validating, 28, 0.35185167789459226, -5.638327980041504, 0.0
testing, 28, 0.32112964391708376, -5.648668670654297, 0.0
training, 29, 0.2615789992468698, -5.612967586517334, 0.0
validating, 29, 0.3612872362136841, -5.643466472625732, 0.0
testing, 29, 0.32346845865249635, -5.650147485733032, 0.0
training, 30, 0.2656059741973877, -5.611659158979143, 0.0
validating, 30, 0.366237473487854, -5.647214126586914, 0.0
testing, 30, 0.32434467077255247, -5.650255489349365, 0.0
training, 31, 0.26423427377428327, -5.610656493050712, 0.0
validating, 31, 0.36386475563049314, -5.645032215118408, 0.0
testing, 31, 0.3233594536781311, -5.6490171432495115, 0.0
training, 32, 0.26338749953678675, -5.609585816519601, 0.0
validating, 32, 0.3636382818222046, -5.646064186096192, 0.0
testing, 32, 0.3218568921089172, -5.647384595870972, 0.0
training, 33, 0.2644496543066842, -5.609441893441336, 0.0
validating, 33, 0.3663750410079956, -5.646785926818848, 0.0
testing, 33, 0.323850953578949, -5.648343801498413, 0.0
training, 34, 0.26681501865386964, -5.610280391148159, 0.0
validating, 34, 0.36581227779388426, -5.644919109344483, 0.0
testing, 34, 0.3250018358230591, -5.648578023910522, 0.0
training, 35, 0.26382037912096296, -5.608875056675502, 0.0
validating, 35, 0.36429314613342284, -5.647253131866455, 0.0
testing, 35, 0.32154700756072996, -5.647141790390014, 0.0
training, 36, 0.26276183468954906, -5.609972490583147, 0.0
validating, 36, 0.3621943712234497, -5.645937728881836, 0.0
testing, 36, 0.3214757561683655, -5.6466912746429445, 0.0
training, 37, 0.26166815417153494, -5.609272520882743, 0.0
validating, 37, 0.35935561656951903, -5.645417213439941, 0.0
testing, 37, 0.3214353442192078, -5.6472546577453615, 0.0
training, 38, 0.26134406157902307, -5.609970024653843, 0.0
validating, 38, 0.35871257781982424, -5.645545291900635, 0.0
testing, 38, 0.3211578369140625, -5.6465311527252195, 0.0
training, 39, 0.2620905365262713, -5.609473105839321, 0.0
validating, 39, 0.3620879650115967, -5.646151828765869, 0.0
testing, 39, 0.32218897342681885, -5.646807718276977, 0.0
training, 40, 0.261557023865836, -5.609043884277344, 0.0
validating, 40, 0.36520326137542725, -5.650993537902832, 0.0
testing, 40, 0.32254748344421386, -5.647940444946289, 0.0
training, 41, 0.26206155845097134, -5.607308074406215, 0.0
validating, 41, 0.3688980579376221, -5.651088714599609, 0.0
testing, 41, 0.32424246072769164, -5.648102617263794, 0.0
training, 42, 0.26394052505493165, -5.607355076926095, 0.0
validating, 42, 0.368567967414856, -5.652261447906494, 0.0
testing, 42, 0.3233006238937378, -5.647890663146972, 0.0
training, 43, 0.2622260298047747, -5.607298265184675, 0.0
validating, 43, 0.36509552001953127, -5.648280429840088, 0.0
testing, 43, 0.32347625494003296, -5.64740891456604, 0.0
training, 44, 0.26246236733027867, -5.608386680058071, 0.0
validating, 44, 0.36322996616363523, -5.646670150756836, 0.0
testing, 44, 0.3235073447227478, -5.647261095046997, 0.0
training, 45, 0.26249985354287286, -5.60811779839652, 0.0
validating, 45, 0.36507766246795653, -5.647318267822266, 0.0
testing, 45, 0.32408416271209717, -5.6477257251739506, 0.0
training, 46, 0.2617544889450073, -5.6073474611554825, 0.0
validating, 46, 0.36588923931121825, -5.6512072563171385, 0.0
testing, 46, 0.3233113527297974, -5.6480645656585695, 0.0
training, 47, 0.26220650332314627, -5.608300018310547, 0.0
validating, 47, 0.3632709503173828, -5.64929609298706, 0.0
testing, 47, 0.32322417497634887, -5.647976016998291, 0.0
training, 48, 0.26110852786472866, -5.607622310093471, 0.0
validating, 48, 0.3648457288742065, -5.648139953613281, 0.0
testing, 48, 0.32398887872695925, -5.64747052192688, 0.0
training, 49, 0.26241006170000347, -5.607205908639091, 0.0
validating, 49, 0.3675556659698486, -5.648608016967773, 0.0
testing, 49, 0.3256044864654541, -5.648241710662842, 0.0
training, 50, 0.264884649004255, -5.607232652391706, 0.0
validating, 50, 0.36897964477539064, -5.646614646911621, 0.0
testing, 50, 0.32778788805007936, -5.649405384063721, 0.0
training, 51, 0.26466950689043317, -5.60692115511213, 0.0
validating, 51, 0.3694791793823242, -5.6483865737915036, 0.0
testing, 51, 0.32782543897628785, -5.650202846527099, 0.0
training, 52, 0.26363827501024517, -5.606625992911202, 0.0
validating, 52, 0.3696864366531372, -5.650216007232666, 0.0
testing, 52, 0.32701475620269777, -5.650074291229248, 0.0
training, 53, 0.2634570496422904, -5.606622586931501, 0.0
