Random seed, 3
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 2.7247837611607142e-08, -4.879238292149135, 0.0
validating, -1, -2.384185791015625e-08, -4.868107700347901, 0.0
testing, -1, -1.1920928955078126e-08, -4.8296197891235355, 0.0
training, 0, 0.27540994031088695, -5.126853111812046, 0.0
validating, 0, 0.3351186752319336, -5.182115745544434, 0.0
testing, 0, 0.2930707335472107, -5.106196069717408, 0.0
training, 1, 0.27208356857299804, -5.12246356691633, 0.0
validating, 1, 0.32858521938323976, -5.177569007873535, 0.0
testing, 1, 0.2833346605300903, -5.096670055389405, 0.0
training, 2, 0.26190150124686107, -5.116212817600795, 0.0
validating, 2, 0.30955307483673095, -5.167094421386719, 0.0
testing, 2, 0.2757529020309448, -5.093175458908081, 0.0
training, 3, 0.24579611165182932, -5.108852345602853, 0.0
validating, 3, 0.26865200996398925, -5.145339393615723, 0.0
testing, 3, 0.2654474854469299, -5.091686344146728, 0.0
training, 4, 0.22518765585763115, -5.096869577680315, 0.0
validating, 4, 0.23197274208068847, -5.121684169769287, 0.0
testing, 4, 0.2450399875640869, -5.077871084213257, 0.0
training, 5, 0.20405617100851878, -5.084982585906983, 0.0
validating, 5, 0.19501793384552002, -5.092732715606689, 0.0
testing, 5, 0.21880005598068236, -5.057628345489502, 0.0
training, 6, 0.18062667506081717, -5.066617516108922, 0.0
validating, 6, 0.1962301254272461, -5.090390205383301, 0.0
testing, 6, 0.20995304584503174, -5.051138019561767, 0.0
training, 7, 0.17906445094517298, -5.065067768096924, 0.0
validating, 7, 0.22279760837554932, -5.113320827484131, 0.0
testing, 7, 0.22493549585342407, -5.060322284698486, 0.0
training, 8, 0.17016774586268835, -5.057887417929513, 0.0
validating, 8, 0.17030603885650636, -5.060975456237793, 0.0
testing, 8, 0.19172629117965698, -5.0362330913543705, 0.0
training, 9, 0.16414151532309396, -5.050847952706473, 0.0
validating, 9, 0.16273899078369142, -5.052673625946045, 0.0
testing, 9, 0.1863083839416504, -5.031388807296753, 0.0
training, 10, 0.16260779585157123, -5.051292896270752, 0.0
validating, 10, 0.17318482398986818, -5.062619304656982, 0.0
testing, 10, 0.19316160678863525, -5.035769367218018, 0.0
training, 11, 0.16209940910339354, -5.050080994197301, 0.0
validating, 11, 0.15500545501708984, -5.047035121917725, 0.0
testing, 11, 0.1837256908416748, -5.0265212059021, 0.0
training, 12, 0.15916096482958111, -5.0482344218662805, 0.0
validating, 12, 0.15352673530578614, -5.048076534271241, 0.0
testing, 12, 0.1834482192993164, -5.026324653625489, 0.0
training, 13, 0.1607539176940918, -5.047773061479841, 0.0
validating, 13, 0.15277743339538574, -5.043862152099609, 0.0
testing, 13, 0.17938506603240967, -5.023346281051635, 0.0
training, 14, 0.1595496109553746, -5.045756271907261, 0.0
validating, 14, 0.15488288402557374, -5.048081874847412, 0.0
testing, 14, 0.18340598344802855, -5.028701114654541, 0.0
training, 15, 0.15911778381892613, -5.0485765184674944, 0.0
validating, 15, 0.1510556936264038, -5.0442201614379885, 0.0
testing, 15, 0.1793651819229126, -5.024535846710205, 0.0
training, 16, 0.158243043082101, -5.045245524815151, 0.0
validating, 16, 0.14953923225402832, -5.043910980224609, 0.0
testing, 16, 0.1790393590927124, -5.022814464569092, 0.0
training, 17, 0.1590505634035383, -5.046189294542585, 0.0
validating, 17, 0.1524980068206787, -5.043345737457275, 0.0
testing, 17, 0.1792108416557312, -5.024416065216064, 0.0
training, 18, 0.15866224765777587, -5.046169172014509, 0.0
validating, 18, 0.15168182849884032, -5.0444786071777346, 0.0
testing, 18, 0.18006370067596436, -5.022767829895019, 0.0
training, 19, 0.1596224342073713, -5.046387604304722, 0.0
validating, 19, 0.15036087036132811, -5.041331195831299, 0.0
testing, 19, 0.17798465490341187, -5.023636388778686, 0.0
training, 20, 0.15752769538334438, -5.046394579751151, 0.0
validating, 20, 0.1547009229660034, -5.052868938446045, 0.0
testing, 20, 0.186831533908844, -5.028106832504273, 0.0
training, 21, 0.1593447412763323, -5.047503961835589, 0.0
validating, 21, 0.1485586643218994, -5.042158222198486, 0.0
testing, 21, 0.17746272087097167, -5.021161794662476, 0.0
training, 22, 0.16448303290775845, -5.0517488207135886, 0.0
validating, 22, 0.14614663124084473, -5.041049575805664, 0.0
testing, 22, 0.17690095901489258, -5.021772623062134, 0.0
training, 23, 0.1589811222893851, -5.047331728254046, 0.0
validating, 23, 0.14751322269439698, -5.042537593841553, 0.0
testing, 23, 0.17698019742965698, -5.021796035766601, 0.0
training, 24, 0.15967727729252407, -5.0470153399876185, 0.0
validating, 24, 0.15357506275177002, -5.044883823394775, 0.0
testing, 24, 0.18055132627487183, -5.026312351226807, 0.0
training, 25, 0.1738919292177473, -5.061077608380999, 0.0
validating, 25, 0.152793550491333, -5.0436304092407225, 0.0
testing, 25, 0.18000168800354005, -5.0260216236114506, 0.0
training, 26, 0.16621016434260777, -5.051831531524658, 0.0
validating, 26, 0.15456066131591797, -5.047452068328857, 0.0
testing, 26, 0.17966873645782472, -5.025475597381591, 0.0
training, 27, 0.15930915219443184, -5.047344289507184, 0.0
validating, 27, 0.15129265785217286, -5.04219799041748, 0.0
testing, 27, 0.1762292981147766, -5.022497129440308, 0.0
training, 28, 0.1579897369657244, -5.046765831538609, 0.0
validating, 28, 0.14947805404663086, -5.046926975250244, 0.0
testing, 28, 0.17969778776168824, -5.024998998641967, 0.0
training, 29, 0.15717501980917795, -5.046025357927594, 0.0
validating, 29, 0.1535811424255371, -5.0475164413452145, 0.0
testing, 29, 0.18162832260131836, -5.028505802154541, 0.0
training, 30, 0.15732596261160714, -5.045798424312046, 0.0
validating, 30, 0.1502241849899292, -5.045710563659668, 0.0
testing, 30, 0.17854384183883668, -5.024697494506836, 0.0
training, 31, 0.15731732845306395, -5.046120616367885, 0.0
validating, 31, 0.16611332893371583, -5.058438873291015, 0.0
testing, 31, 0.1893901228904724, -5.033614206314087, 0.0
training, 32, 0.1603006022317069, -5.048264081137521, 0.0
validating, 32, 0.1517176628112793, -5.042976760864258, 0.0
testing, 32, 0.17808384895324708, -5.024560832977295, 0.0
training, 33, 0.1620931591306414, -5.051406274523054, 0.0
validating, 33, 0.15021846294403077, -5.0463056564331055, 0.0
testing, 33, 0.17854453325271608, -5.023174095153808, 0.0
training, 34, 0.15787874289921353, -5.046051515851702, 0.0
validating, 34, 0.15245118141174316, -5.045733547210693, 0.0
