Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 1.7029898507254464e-09, -1.412187467302595, 0
validating, -1, -2.384185791015625e-08, -1.4314445734024048, 0
testing, -1, -9.5367431640625e-08, -1.410153090953827, 0
training, 0, 0.5572275297982352, -1.47335763999394, 0
validating, 0, 0.46047099828720095, -1.4945476531982422, 0
testing, 0, 0.42067387104034426, -1.4577941417694091, 0
training, 1, 0.5506951740809849, -1.4669782774788993, 0
validating, 1, 0.44478594064712523, -1.4506901025772094, 0
testing, 1, 0.410878574848175, -1.4467742800712586, 0
training, 2, 0.5382065977369036, -1.445314311981201, 0
validating, 2, 0.4362712264060974, -1.4396310567855835, 0
testing, 2, 0.40490366220474244, -1.437653863430023, 0
training, 3, 0.5301669699805124, -1.4388069323131016, 0
validating, 3, 0.4326974034309387, -1.4363616228103637, 0
testing, 3, 0.40189987421035767, -1.4366520404815675, 0
training, 4, 0.5300937056541443, -1.4481412002018519, 0
validating, 4, 0.43077257871627805, -1.4455090045928956, 0
testing, 4, 0.3973548889160156, -1.4368169069290162, 0
training, 5, 0.5217589139938354, -1.435282928603036, 0
validating, 5, 0.42743879556655884, -1.4329041481018066, 0
testing, 5, 0.3966892004013062, -1.4329341411590577, 0
training, 6, 0.5182794434683663, -1.434208117212568, 0
validating, 6, 0.4250839352607727, -1.4323943853378296, 0
testing, 6, 0.3954673111438751, -1.432375466823578, 0
training, 7, 0.514967257635934, -1.434015427316938, 0
validating, 7, 0.423770534992218, -1.435654878616333, 0
testing, 7, 0.39240590333938596, -1.43334242105484, 0
training, 8, 0.5111601608140128, -1.432675153868539, 0
validating, 8, 0.41885491609573366, -1.4339298486709595, 0
testing, 8, 0.38810125589370725, -1.4326251029968262, 0
training, 9, 0.5048162034579686, -1.4322242838995798, 0
validating, 9, 0.41597450971603395, -1.431532621383667, 0
testing, 9, 0.38857362866401673, -1.4313753724098206, 0
training, 10, 0.5006869401250567, -1.4330865587506976, 0
validating, 10, 0.414474880695343, -1.4319341659545899, 0
testing, 10, 0.38884496688842773, -1.4320523977279662, 0
training, 11, 0.4980302742549351, -1.4325960772378104, 0
validating, 11, 0.41323601007461547, -1.431532621383667, 0
testing, 11, 0.3853214383125305, -1.431532621383667, 0
training, 12, 0.49610735859189714, -1.4317157404763359, 0
validating, 12, 0.41067529916763307, -1.431532621383667, 0
testing, 12, 0.38429075479507446, -1.4314574241638183, 0
training, 13, 0.4920225160462516, -1.4317025354930333, 0
validating, 13, 0.4105191588401794, -1.433377242088318, 0
testing, 13, 0.37960100173950195, -1.4336696147918702, 0
training, 14, 0.49060198068618777, -1.4314789601734705, 0
validating, 14, 0.4086986184120178, -1.431532621383667, 0
testing, 14, 0.3816573262214661, -1.431284284591675, 0
training, 15, 0.48699771336146763, -1.4313293661390032, 0
validating, 15, 0.4046011805534363, -1.431532621383667, 0
testing, 15, 0.3767137050628662, -1.431532621383667, 0
training, 16, 0.48349610226494927, -1.4314331327165877, 0
validating, 16, 0.40482484102249144, -1.431532621383667, 0
testing, 16, 0.37653937339782717, -1.4314907670021058, 0
training, 17, 0.4840299844741821, -1.4314315148762293, 0
validating, 17, 0.4062212347984314, -1.431532621383667, 0
testing, 17, 0.3753438413143158, -1.431532621383667, 0
training, 18, 0.4826439567974636, -1.4312534604753766, 0
validating, 18, 0.4042796492576599, -1.431532621383667, 0
testing, 18, 0.37530800700187683, -1.431532621383667, 0
training, 19, 0.4810963000570025, -1.4313592638288226, 0
validating, 19, 0.4031169056892395, -1.431532621383667, 0
testing, 19, 0.3767319321632385, -1.431225562095642, 0
training, 20, 0.48000602211271015, -1.4312702894210816, 0
validating, 20, 0.4005241751670837, -1.431532621383667, 0
testing, 20, 0.37484666109085085, -1.4314866662025452, 0
training, 21, 0.4769985590662275, -1.431282731464931, 0
validating, 21, 0.4001154065132141, -1.431532621383667, 0
testing, 21, 0.37573965191841124, -1.431252086162567, 0
training, 22, 0.47688125031335016, -1.4312574590955462, 0
validating, 22, 0.4026243805885315, -1.431532621383667, 0
testing, 22, 0.37271127104759216, -1.4313353896141052, 0
training, 23, 0.47798354625701905, -1.4311761004584176, 0
validating, 23, 0.40260523557662964, -1.431532621383667, 0
testing, 23, 0.3732589364051819, -1.4312551856040954, 0
training, 24, 0.47628616435187204, -1.4311645201274328, 0
validating, 24, 0.40177260637283324, -1.431532621383667, 0
testing, 24, 0.3777041554450989, -1.4309714317321778, 0
training, 25, 0.4747300727026803, -1.4312737090247019, 0
validating, 25, 0.39823375940322875, -1.431532621383667, 0
testing, 25, 0.37218691110610963, -1.4314200162887574, 0
training, 26, 0.47342588220323834, -1.4311635868889945, 0
validating, 26, 0.39776819944381714, -1.431532621383667, 0
testing, 26, 0.3723939716815948, -1.4312681317329408, 0
training, 27, 0.4727648786136082, -1.4310981443950108, 0
validating, 27, 0.40131465196609495, -1.431630301475525, 0
testing, 27, 0.3812087714672089, -1.4310035705566406, 0
training, 28, 0.4748864872114999, -1.4310772589274816, 0
validating, 28, 0.3990469813346863, -1.431532621383667, 0
testing, 28, 0.37709311246871946, -1.430772078037262, 0
training, 29, 0.4727204748562404, -1.4309937477111816, 0
validating, 29, 0.39910298585891724, -1.431532621383667, 0
testing, 29, 0.3758479475975037, -1.4308580040931702, 0
training, 30, 0.47301492520741056, -1.4309152500970024, 0
validating, 30, 0.39735654592514036, -1.431532621383667, 0
testing, 30, 0.37027894854545595, -1.4311376810073853, 0
training, 31, 0.46828673226492745, -1.4311020919254849, 0
validating, 31, 0.399865186214447, -1.431532621383667, 0
testing, 31, 0.3727703273296356, -1.4306806683540345, 0
training, 32, 0.4702363133430481, -1.4309419087001256, 0
validating, 32, 0.39736160039901736, -1.431532621383667, 0
testing, 32, 0.37070953845977783, -1.430843710899353, 0
training, 33, 0.46816630363464357, -1.4308856998171124, 0
validating, 33, 0.39759830236434934, -1.431532621383667, 0
testing, 33, 0.37280558943748476, -1.4307839035987855, 0
training, 34, 0.46742722136633735, -1.4308727196284703, 0
validating, 34, 0.39643839597702024, -1.431532621383667, 0
testing, 34, 0.37139046788215635, -1.4309143900871277, 0
training, 35, 0.46698942354747225, -1.4308621270315989, 0
validating, 35, 0.39638093709945676, -1.431532621383667, 0
testing, 35, 0.37123043537139894, -1.4308905839920043, 0
training, 36, 0.4668584721429007, -1.430847270148141, 0
validating, 36, 0.39634803533554075, -1.431532621383667, 0
testing, 36, 0.3726799488067627, -1.4307879686355591, 0
training, 37, 0.46614417007991243, -1.4308574948992048, 0
validating, 37, 0.39555877447128296, -1.431532621383667, 0
testing, 37, 0.36911759376525877, -1.4310182332992554, 0
training, 38, 0.466122043132782, -1.4307888644082205, 0
validating, 38, 0.3964429020881653, -1.431532621383667, 0
testing, 38, 0.3728895127773285, -1.4307011485099792, 0
training, 39, 0.4654859048979623, -1.430766545023237, 0
validating, 39, 0.39539560079574587, -1.431532621383667, 0
testing, 39, 0.37059471011161804, -1.430854892730713, 0
training, 40, 0.4680470926421029, -1.4308603286743165, 0
validating, 40, 0.3974359631538391, -1.431532621383667, 0
testing, 40, 0.3743723750114441, -1.4306260466575622, 0
training, 41, 0.46484524692807877, -1.4307715722492762, 0
validating, 41, 0.3950787901878357, -1.431532621383667, 0
testing, 41, 0.365819251537323, -1.4312934875488281, 0
training, 42, 0.46375095673969813, -1.430771745954241, 0
validating, 42, 0.3950599551200867, -1.431532621383667, 0
testing, 42, 0.37012470364570615, -1.4309264302253724, 0
training, 43, 0.46451748950140814, -1.4307360308510917, 0
validating, 43, 0.3953835844993591, -1.431532621383667, 0
testing, 43, 0.3710071325302124, -1.4308587908744812, 0
training, 44, 0.46445328337805614, -1.43074129649571, 0
