Random seed, 26
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -2.1348591123308456, 0
validating, -1, 1.9073486328125e-07, -2.126520109176636, 0
testing, -1, -2.384185791015625e-08, -2.1620331764221192, 0
training, 0, 0.864223951952798, -2.27325736454555, 0
validating, 0, 0.8948019742965698, -2.2676225662231446, 0
testing, 0, 0.8209517359733581, -2.2571768045425413, 0
training, 1, 0.7959331257002694, -2.2143186160496304, 0
validating, 1, 0.7922137022018433, -2.1334866523742675, 0
testing, 1, 0.7068144917488098, -2.115634322166443, 0
training, 2, 0.7064061045646668, -2.1254334722246444, 0
validating, 2, 0.7017449617385865, -2.126784658432007, 0
testing, 2, 0.6196048617362976, -2.115634322166443, 0
training, 3, 0.6338234577860151, -2.12245341028486, 0
validating, 3, 0.6206796407699585, -2.126784658432007, 0
testing, 3, 0.5546115279197693, -2.115634322166443, 0
training, 4, 0.5958320123808725, -2.1224635328565324, 0
validating, 4, 0.6114462614059448, -2.126784658432007, 0
testing, 4, 0.5429845452308655, -2.115634322166443, 0
training, 5, 0.5825656873839242, -2.122425842285156, 0
validating, 5, 0.6017090559005738, -2.126784658432007, 0
testing, 5, 0.5317584633827209, -2.115634322166443, 0
training, 6, 0.5704641495432172, -2.1224146979195733, 0
validating, 6, 0.607055926322937, -2.126784658432007, 0
testing, 6, 0.5274486422538758, -2.115634322166443, 0
training, 7, 0.5689582807677133, -2.1224045889718193, 0
validating, 7, 0.5857218027114868, -2.126784658432007, 0
testing, 7, 0.5113655686378479, -2.115634322166443, 0
training, 8, 0.5514956286975315, -2.1223951407841275, 0
validating, 8, 0.5796618700027466, -2.126784658432007, 0
testing, 8, 0.5009660959243775, -2.115634322166443, 0
training, 9, 0.53599522624697, -2.122390617643084, 0
validating, 9, 0.5971550226211548, -2.126784658432007, 0
testing, 9, 0.5025920391082763, -2.115634322166443, 0
training, 10, 0.5402036445481436, -2.1224156447819302, 0
validating, 10, 0.5750421762466431, -2.126784658432007, 0
testing, 10, 0.48920273780822754, -2.115634322166443, 0
training, 11, 0.531173118523189, -2.122461427961077, 0
validating, 11, 0.5642399072647095, -2.126784658432007, 0
testing, 11, 0.47976936101913453, -2.1156343460083007, 0
training, 12, 0.531079181603023, -2.122394909177508, 0
validating, 12, 0.5653688669204712, -2.126784658432007, 0
testing, 12, 0.47956897020339967, -2.1156343698501585, 0
training, 13, 0.5240228465625218, -2.122404534476144, 0
validating, 13, 0.5651590585708618, -2.126784658432007, 0
testing, 13, 0.47436908483505247, -2.115634322166443, 0
training, 14, 0.5174375040190561, -2.1224134513310022, 0
validating, 14, 0.5631577253341675, -2.126784658432007, 0
testing, 14, 0.47315411567687987, -2.115634322166443, 0
training, 15, 0.5163419570241655, -2.122403676169259, 0
validating, 15, 0.5616406202316284, -2.126784658432007, 0
testing, 15, 0.4717474222183228, -2.115634322166443, 0
training, 16, 0.5126123206956046, -2.1224174295152936, 0
validating, 16, 0.5607009172439575, -2.126784658432007, 0
testing, 16, 0.4716793537139893, -2.115634322166443, 0
training, 17, 0.5142090473856245, -2.122409922736032, 0
validating, 17, 0.5603657960891724, -2.126784658432007, 0
testing, 17, 0.46979188919067383, -2.115634322166443, 0
training, 18, 0.5066912157194955, -2.122428478513445, 0
validating, 18, 0.5647359132766724, -2.126784658432007, 0
testing, 18, 0.4719428658485413, -2.115634322166443, 0
training, 19, 0.5097435218947274, -2.1224571568625312, 0
validating, 19, 0.5718100547790528, -2.126784658432007, 0
testing, 19, 0.4715851187705994, -2.115634322166443, 0
training, 20, 0.5042607699121747, -2.1231880596705843, 0
validating, 20, 0.5624924898147583, -2.126784658432007, 0
testing, 20, 0.46826757192611695, -2.115634322166443, 0
training, 21, 0.5079443778310503, -2.1224092279161724, 0
validating, 21, 0.5628230810165405, -2.126784658432007, 0
testing, 21, 0.4674952030181885, -2.115634322166443, 0
training, 22, 0.5038237588746207, -2.1224054745265417, 0
validating, 22, 0.5560123682022095, -2.126784658432007, 0
testing, 22, 0.46586806774139405, -2.115634322166443, 0
training, 23, 0.49536688498088294, -2.122408219746181, 0
validating, 23, 0.5814380168914794, -2.126784658432007, 0
testing, 23, 0.47571897506713867, -2.115634322166443, 0
training, 24, 0.5019294551440647, -2.1224052224840437, 0
validating, 24, 0.5685686588287353, -2.126784658432007, 0
testing, 24, 0.4672945737838745, -2.115634322166443, 0
training, 25, 0.4946588431085859, -2.1224104063851494, 0
validating, 25, 0.5639290809631348, -2.126784658432007, 0
testing, 25, 0.4647064685821533, -2.115634322166443, 0
training, 26, 0.49407702684402466, -2.1224172592163084, 0
validating, 26, 0.5850934982299805, -2.126784658432007, 0
testing, 26, 0.4758936047554016, -2.115634322166443, 0
training, 27, 0.49966617822647097, -2.1223953996385845, 0
validating, 27, 0.5658900737762451, -2.126784658432007, 0
testing, 27, 0.4670368194580078, -2.115634322166443, 0
training, 28, 0.49071186099733627, -2.1224054949624196, 0
validating, 28, 0.5582773447036743, -2.126784658432007, 0
testing, 28, 0.46249229907989503, -2.115634322166443, 0
training, 29, 0.4938427260943821, -2.1224186829158236, 0
validating, 29, 0.5578350067138672, -2.126784658432007, 0
testing, 29, 0.463107967376709, -2.115634322166443, 0
training, 30, 0.4907429712159293, -2.1224071979522705, 0
validating, 30, 0.5702905654907227, -2.126784658432007, 0
testing, 30, 0.46916351318359373, -2.115634322166443, 0
training, 31, 0.49330956084387645, -2.1224026816231865, 0
validating, 31, 0.5528254270553589, -2.126784658432007, 0
testing, 31, 0.4640584230422974, -2.115634322166443, 0
training, 32, 0.48803368806838987, -2.1224372795649935, 0
